Precinct	total_votes	votes|Jerry Joyce	votes|Paul Vallas	votes|Willie L. Wilson	votes|Toni Preckwinkle	votes|William M. Daley	votes|Garry Mccarthy	votes|Gery Chico	votes|Susana A. Mendoza	votes|Amara Enyia	votes|La Shawn K. Ford	votes|Neal Sales-Griffin	votes|Lori Lightfoot	votes|Robert ''Bob'' Fioretti	votes|John Kenneth Kozlar
02045	332	23	15	21	55	63	18	15	33	24	4	0	53	3	5
02046	153	7	14	6	19	42	5	5	13	8	1	0	30	2	1
03001	405	11	5	129	105	31	3	9	11	51	7	1	37	4	1
03002	466	12	6	94	181	41	3	14	15	25	3	1	66	4	1
03003	320	20	6	48	90	34	2	17	22	20	7	2	51	1	0
03004	377	4	16	84	101	24	1	2	11	67	2	0	63	1	1
03005	188	5	2	64	43	22	1	2	4	14	1	0	29	1	0
03006	417	20	38	10	47	105	11	34	26	30	3	2	88	3	0
03007	260	2	6	70	68	31	2	4	4	21	2	4	44	2	0
03008	238	6	3	84	51	19	1	2	8	21	6	0	34	1	2
03009	341	13	5	68	88	20	2	12	7	53	3	3	63	3	1
03010	132	3	4	58	27	15	0	3	3	9	2	0	8	0	0
03011	301	11	12	72	72	16	0	4	9	42	3	1	57	1	1
03012	383	6	8	88	124	25	2	4	8	42	9	0	64	3	0
03013	412	16	33	16	72	64	6	28	32	19	3	1	114	4	4
03014	326	11	15	34	72	51	5	12	14	41	3	1	66	0	1
03015	265	3	2	77	75	29	1	0	7	29	4	2	32	4	0
03016	256	3	7	83	55	20	4	3	7	38	5	0	28	3	0
03017	359	11	14	22	68	52	9	12	31	50	4	3	75	7	1
03018	395	9	12	91	97	45	6	8	15	32	7	1	61	10	1
03019	396	25	31	8	57	118	9	30	16	15	1	1	77	6	2
03020	330	4	8	78	85	28	1	7	7	53	4	1	52	2	0
03021	405	14	21	23	96	83	6	27	19	19	0	1	82	11	3
03022	410	22	21	10	54	60	8	17	46	43	1	1	124	3	0
03023	253	6	4	81	58	19	5	10	6	33	2	0	29	0	0
03024	268	6	8	78	65	34	4	7	4	22	4	2	33	1	0
03025	563	21	47	20	82	158	14	46	47	22	1	1	100	2	2
03026	462	9	29	12	98	117	6	21	26	18	2	2	109	10	3
03027	425	31	25	8	62	75	12	24	39	35	2	0	101	10	1
03028	275	5	2	86	94	21	2	2	14	14	2	0	31	1	1
03029	279	4	11	75	58	23	1	5	14	38	5	0	40	4	1
03030	294	2	7	83	77	19	0	10	8	42	4	1	41	0	0
03031	347	5	3	89	94	26	1	7	9	54	8	1	50	0	0
03032	369	11	14	27	76	62	9	13	30	29	2	1	84	9	2
03033	353	10	19	12	68	47	12	11	29	28	5	3	101	6	2
03034	389	6	22	28	74	53	5	27	25	26	3	1	103	14	2
03035	138	2	3	21	35	19	1	2	2	15	3	0	29	6	0
03036	150	1	4	48	39	8	1	3	3	16	2	0	22	2	1
03037	269	5	4	74	73	17	1	7	6	39	5	0	38	0	0
03038	319	3	9	86	101	19	4	9	9	29	3	0	45	2	0
03039	449	20	28	5	72	88	10	19	47	41	4	6	99	7	3
03040	258	7	5	35	56	36	2	9	20	29	3	1	42	11	2
03041	291	11	11	42	87	34	4	9	8	26	2	0	45	7	5
04001	463	3	7	22	177	25	3	9	18	75	2	5	116	1	0
04002	401	12	24	8	76	63	10	15	24	21	2	3	132	9	2
04003	259	6	2	61	97	16	0	3	7	28	4	0	35	0	0
04004	456	8	11	101	171	34	5	4	13	38	6	2	57	5	1
04005	369	4	12	57	131	18	0	7	14	47	6	3	67	3	0
04006	428	11	8	69	137	51	3	8	14	34	4	0	78	10	1
04007	464	8	10	68	166	24	2	4	19	68	10	1	83	1	0
04008	389	2	10	76	129	15	2	10	10	61	7	2	62	2	1
04009	474	14	12	60	209	31	1	10	5	43	4	0	84	1	0
04010	436	10	17	52	150	29	5	7	12	45	4	4	97	3	1
04011	298	3	5	77	83	26	1	5	8	38	8	1	39	4	0
04012	359	2	2	73	106	20	0	7	6	54	8	2	78	1	0
04013	279	10	8	6	41	38	7	11	26	40	3	2	80	2	5
04014	347	0	9	72	89	32	5	15	17	36	6	3	45	17	1
04015	409	6	2	78	139	31	2	15	17	55	7	0	56	1	0
04016	471	18	28	8	85	81	12	19	42	39	4	0	123	8	4
04017	427	7	29	6	78	54	7	7	52	33	2	2	143	6	1
04018	378	9	5	85	138	26	3	8	11	37	6	0	49	1	0
04019	209	2	4	66	52	18	2	6	6	15	5	0	32	1	0
04020	360	17	24	6	68	63	11	12	25	16	3	0	101	12	2
04021	338	4	15	12	70	45	5	15	20	38	1	0	105	5	3
04022	385	1	7	30	129	59	1	9	14	44	3	0	87	1	0
04023	469	5	11	23	234	27	1	2	11	44	2	1	105	3	0
04024	322	2	7	27	145	24	5	3	8	37	0	2	60	2	0
04025	385	10	18	15	78	75	8	18	33	19	2	0	96	9	4
04026	320	2	5	90	105	22	1	4	6	28	7	2	45	3	0
04027	428	7	9	25	156	24	3	5	17	89	3	3	85	1	1
04028	296	8	9	51	91	25	3	6	6	48	8	2	35	4	0
04029	294	2	7	58	88	9	1	8	9	54	1	1	54	1	1
04030	402	3	7	112	118	21	1	9	20	53	7	0	48	3	0
04031	306	5	6	30	146	29	1	7	2	17	2	3	53	5	0
04032	372	1	8	61	126	29	1	7	10	54	6	0	66	2	1
04033	367	1	5	48	143	33	0	4	9	47	9	2	63	1	2
04034	325	7	16	51	110	19	2	12	13	36	2	2	53	1	1
04035	396	8	7	63	140	29	2	10	6	44	8	1	76	2	0
04036	395	9	12	52	122	46	1	14	8	45	8	1	66	11	0
04037	512	23	28	12	96	74	13	32	40	40	2	3	140	8	1
04038	374	8	9	56	101	46	0	14	14	40	8	2	71	4	1
05001	231	3	5	51	71	15	2	6	5	24	4	0	43	2	0
05002	192	8	4	65	36	11	0	3	3	36	3	0	22	1	0
05003	368	4	8	8	166	17	2	6	9	60	2	3	82	0	1
05004	403	5	7	42	128	24	3	6	15	79	7	3	82	2	0
05005	285	7	3	82	83	21	0	5	13	33	2	0	36	0	0
05006	251	2	5	82	77	17	2	3	7	19	3	1	31	2	0
05007	354	6	9	33	140	33	1	9	5	43	3	1	71	0	0
05008	376	8	12	3	149	26	1	3	15	28	0	1	128	1	1
05009	426	5	9	21	182	23	1	16	10	56	6	2	92	1	2
05010	225	2	4	65	53	15	1	4	12	38	2	0	29	0	0
05011	392	6	9	24	141	33	5	4	17	45	2	0	103	1	2
05012	191	8	5	55	49	10	2	5	5	12	4	1	35	0	0
05013	251	6	2	57	59	17	3	6	9	36	4	3	47	2	0
05014	299	7	4	39	80	29	2	5	6	53	4	0	65	5	0
05015	302	5	10	36	118	28	5	12	10	28	1	0	48	1	0
05016	267	4	6	73	68	21	2	5	7	34	4	1	39	3	0
05017	270	4	9	70	89	23	3	6	8	26	4	0	26	2	0
05018	336	3	9	33	121	19	2	6	13	42	1	2	84	1	0
05019	371	5	18	14	136	30	3	5	9	50	1	1	98	1	0
05020	403	8	15	27	167	32	3	9	10	46	9	1	76	0	0
05021	343	3	13	24	110	20	0	4	13	31	5	1	119	0	0
05022	443	7	14	16	168	78	1	11	10	24	2	2	109	1	0
05023	590	10	13	28	238	36	5	10	14	88	2	0	143	3	0
05024	370	3	8	25	139	25	1	5	17	52	2	0	91	0	2
05025	315	2	7	36	115	34	1	6	15	29	8	0	61	1	0
05026	331	2	12	73	98	24	3	7	6	37	1	1	62	5	0
05027	340	2	10	1	117	45	0	4	10	34	2	1	114	0	0
05028	334	4	10	76	103	17	3	8	13	31	3	0	59	6	1
05029	338	5	8	62	104	20	2	8	3	45	11	3	67	0	0
05030	210	5	8	60	46	16	1	2	6	32	2	1	31	0	0
05031	237	2	9	58	68	14	0	5	1	33	9	3	34	1	0
05032	413	8	13	85	152	32	1	7	13	39	8	2	50	2	1
05033	345	2	4	120	99	30	2	7	3	24	4	0	48	2	0
05034	403	3	13	5	148	43	2	3	20	36	0	3	126	1	0
05035	419	7	16	17	162	34	3	4	8	50	0	4	113	1	0
05036	189	3	4	47	60	18	2	6	6	8	1	2	30	1	1
05037	452	5	10	15	184	38	3	10	23	39	3	3	113	4	2
05038	281	5	3	89	63	21	1	3	13	35	7	1	39	1	0
05039	299	4	8	9	130	38	3	6	16	16	0	2	66	0	1
05040	271	2	5	67	93	23	2	1	5	33	7	0	33	0	0
05041	243	5	5	9	89	44	2	6	11	10	1	2	59	0	0
06001	312	4	4	67	122	21	1	8	4	22	7	0	50	2	0
06002	267	7	7	71	50	31	1	6	9	23	7	0	50	5	0
06003	319	5	2	107	67	34	5	4	10	25	9	3	46	2	0
06004	193	4	4	61	44	21	2	5	2	15	4	0	30	0	1
06005	149	2	1	75	28	10	0	4	2	12	1	0	14	0	0
06006	296	8	7	65	89	23	0	9	5	34	3	0	50	3	0
06007	217	2	5	67	54	19	1	4	8	17	5	0	35	0	0
06008	272	5	3	68	70	23	1	4	13	22	2	0	60	1	0
06009	205	2	4	64	52	20	1	4	6	17	5	2	25	3	0
06010	151	2	2	51	30	9	1	3	5	20	7	0	21	0	0
06011	207	9	2	72	38	11	2	4	6	30	2	2	28	1	0
06012	157	3	2	61	37	7	2	6	8	10	4	1	15	1	0
06013	203	6	2	63	40	19	1	16	4	20	4	0	27	1	0
06014	241	8	8	80	50	11	1	5	4	20	9	0	43	2	0
06015	184	5	4	79	34	19	1	3	9	14	1	1	14	0	0
06016	305	8	10	91	74	12	4	9	9	36	6	1	44	1	0
06017	161	1	2	52	37	22	0	5	2	13	5	0	20	2	0
06018	178	4	4	68	47	16	2	4	5	9	1	0	16	0	2
06019	239	7	4	84	59	19	0	0	4	25	4	1	31	1	0
06020	130	3	0	47	18	14	2	3	5	7	5	3	22	1	0
06021	116	1	5	53	22	6	2	1	3	8	0	0	15	0	0
06022	148	6	6	44	34	11	2	2	7	16	0	1	18	1	0
06023	110	0	3	37	24	16	1	5	3	6	1	0	14	0	0
06024	133	3	6	44	39	11	1	0	0	8	6	1	14	0	0
06025	115	4	2	55	25	9	0	2	2	7	2	0	7	0	0
06026	153	2	2	54	45	8	0	3	6	17	5	0	11	0	0
06027	130	2	0	47	25	11	6	2	3	13	1	0	20	0	0
06028	125	1	6	54	33	6	2	1	1	9	1	0	10	0	1
06029	286	7	11	57	80	28	4	13	14	35	11	0	24	2	0
06030	216	8	2	58	58	20	1	1	7	21	5	3	31	1	0
06031	276	5	10	59	80	22	3	7	9	22	5	1	53	0	0
06032	246	8	6	63	65	21	0	3	6	29	3	0	36	6	0
06033	249	2	4	71	68	10	1	5	4	28	2	1	50	3	0
06034	265	3	0	52	88	32	1	8	8	26	6	0	38	2	1
06035	239	7	4	62	62	19	4	4	9	23	6	0	35	4	0
06036	319	12	10	60	105	27	1	10	5	30	7	0	51	0	1
06037	307	7	10	76	90	24	1	4	8	25	5	1	52	3	1
06038	283	4	13	78	63	19	1	11	10	26	3	0	54	1	0
06039	197	2	2	60	44	16	4	5	4	18	4	0	36	2	0
06040	232	4	5	67	69	12	1	9	6	23	4	0	32	0	0
06041	262	5	10	75	65	19	3	11	5	27	6	1	33	2	0
06042	228	4	3	64	61	19	1	9	6	17	4	0	36	4	0
06043	222	3	4	71	49	17	2	3	6	25	6	1	35	0	0
06044	222	2	2	67	53	23	1	2	5	25	2	1	38	1	0
06045	280	7	6	90	77	24	2	4	6	32	4	1	26	1	0
06046	174	5	2	54	44	12	1	8	2	19	2	0	25	0	0
06047	185	4	2	61	38	12	0	8	8	13	5	1	32	0	1
06048	258	2	5	69	65	18	0	10	5	26	3	0	55	0	0
07001	236	4	9	82	52	12	2	5	9	26	1	0	33	1	0
07002	190	1	6	73	35	4	1	7	8	29	2	0	23	1	0
07003	274	3	2	64	60	24	2	8	10	35	7	2	57	0	0
07004	250	1	4	57	59	20	3	7	10	33	6	2	42	6	0
07005	228	8	6	70	62	18	1	8	7	21	3	1	23	0	0
07006	317	5	8	43	94	27	5	5	7	40	5	3	75	0	0
07007	195	3	4	60	44	15	0	3	9	20	3	1	30	3	0
07008	217	8	6	51	57	15	0	8	14	25	3	1	29	0	0
07009	432	9	7	108	118	42	4	17	15	48	7	0	54	3	0
07010	255	9	8	67	58	24	2	9	9	23	0	0	46	0	0
07011	217	6	2	71	55	15	1	5	14	17	1	2	28	0	0
07012	222	5	5	78	54	25	0	4	11	14	0	0	23	3	0
07013	165	2	6	41	47	18	1	4	11	10	1	0	23	0	1
07014	248	6	6	58	56	26	2	4	12	32	8	0	37	1	0
07015	233	4	4	58	57	15	3	9	4	33	1	0	45	0	0
07016	156	1	4	52	39	9	4	5	7	19	4	0	12	0	0
07017	164	0	4	45	38	17	0	1	9	20	1	1	25	2	1
07018	212	8	4	51	51	14	3	4	9	26	4	1	33	0	4
07019	231	6	3	52	46	34	2	6	7	33	4	0	38	0	0
07020	148	3	2	45	34	11	1	7	3	19	1	2	18	2	0
07021	164	1	6	47	42	14	3	9	7	11	3	0	21	0	0
07022	201	1	10	48	37	21	2	12	13	20	5	0	30	1	1
07023	267	3	11	63	84	12	2	7	8	33	6	1	33	4	0
07024	197	6	4	52	50	19	0	7	7	22	2	0	26	1	1
07025	153	3	4	40	26	14	6	6	18	10	1	1	23	1	0
07026	199	2	8	39	50	20	1	9	3	24	2	3	36	2	0
07027	186	5	4	44	39	13	3	4	16	25	6	2	25	0	0
07028	166	8	7	38	42	17	1	4	13	10	2	2	18	4	0
07029	188	3	7	62	54	9	0	3	3	18	0	0	27	2	0
07030	149	5	5	51	25	9	0	11	13	12	0	0	18	0	0
07031	149	3	3	31	24	18	2	10	13	17	1	3	24	0	0
07032	369	4	10	79	102	43	2	12	13	35	7	6	54	2	0
07033	355	7	7	77	96	41	3	16	11	27	6	2	57	4	1
07034	316	7	8	72	86	30	5	15	15	35	5	1	35	2	0
07035	244	3	7	59	59	18	2	14	13	23	5	1	37	3	0
07036	297	5	8	64	89	27	1	14	11	30	2	0	45	1	0
07037	281	3	8	58	68	40	1	12	7	33	2	1	48	0	0
07038	208	1	1	69	53	20	4	7	11	21	2	0	16	3	0
07039	248	3	6	79	54	17	2	7	9	29	6	0	34	1	1
07040	223	5	4	63	59	20	1	7	8	18	2	1	34	1	0
07041	224	7	8	83	42	18	1	7	5	25	9	0	19	0	0
07042	205	3	6	62	47	12	4	6	4	21	6	0	31	1	2
07043	233	5	5	79	43	19	0	5	11	21	3	1	40	0	1
07044	177	2	4	51	39	18	3	4	11	19	3	0	22	1	0
07045	195	1	3	69	37	18	1	7	10	12	3	2	30	2	0
07046	141	5	1	43	42	12	0	9	10	2	1	0	15	1	0
08001	227	4	8	59	54	24	4	4	8	23	5	1	31	2	0
08002	224	0	3	65	53	31	2	6	6	23	7	0	25	3	0
08003	347	13	8	69	105	42	2	11	11	30	5	0	50	1	0
08004	317	9	10	57	88	33	3	11	14	38	6	1	43	4	0
08005	311	6	11	63	90	21	0	13	6	44	7	0	50	0	0
08006	265	3	5	56	80	32	1	7	9	20	6	3	42	1	0
08007	320	5	6	74	83	25	4	8	12	40	1	5	57	0	0
08008	306	13	16	63	84	32	1	5	11	30	2	0	45	4	0
08009	170	5	7	40	32	17	1	4	4	25	5	0	29	1	0
08010	390	2	15	71	117	27	1	12	10	57	7	1	67	3	0
08011	225	7	1	54	81	17	1	4	9	20	3	1	23	4	0
08012	226	2	2	64	74	19	1	11	2	20	2	0	28	1	0
08013	271	3	4	71	83	23	0	8	16	25	3	0	34	1	0
08014	144	3	1	39	44	8	1	2	6	10	2	1	26	1	0
08015	222	4	4	61	55	22	1	11	6	21	6	2	29	0	0
08016	66	2	3	17	15	6	1	1	1	5	1	1	13	0	0
08017	244	6	3	49	90	27	2	10	3	19	2	0	33	0	0
08018	190	7	2	58	40	12	2	3	7	23	3	0	33	0	0
08019	335	6	13	74	94	33	1	8	5	43	5	1	49	3	0
08020	338	12	9	88	86	28	2	5	9	42	7	4	46	0	0
08021	329	8	3	95	82	34	2	7	1	37	7	2	49	1	1
08022	246	6	5	75	48	30	1	5	5	27	2	1	40	1	0
08023	194	6	4	43	63	25	0	4	5	19	0	1	24	0	0
08024	177	8	6	48	33	10	0	4	6	27	2	0	32	1	0
08025	226	3	3	87	59	14	1	5	7	14	10	2	21	0	0
08026	221	3	1	70	61	15	0	3	6	22	2	0	37	1	0
08027	310	6	5	77	77	44	3	7	3	30	3	1	53	1	0
08028	267	3	5	67	74	18	1	7	11	36	4	0	40	1	0
08029	312	2	9	88	72	16	0	14	6	31	4	1	66	1	2
08030	259	2	8	64	75	18	2	4	11	30	7	2	35	0	1
08031	184	2	7	44	52	14	2	4	3	21	3	1	28	3	0
08032	192	6	7	46	50	16	2	3	6	26	5	1	23	1	0
08033	270	5	5	86	60	29	1	0	12	20	1	2	48	0	1
08034	262	9	8	65	59	24	3	5	18	26	5	0	34	5	1
08035	315	5	4	83	66	38	2	10	6	29	11	0	60	0	1
08036	280	6	3	64	86	22	0	4	7	31	10	2	44	1	0
08037	234	5	8	50	63	19	0	9	9	31	4	0	36	0	0
08038	167	2	3	48	39	29	2	2	4	14	1	1	21	0	1
08039	251	7	5	55	74	21	1	12	10	19	4	1	40	1	1
08040	202	4	5	48	53	16	0	6	11	24	2	0	31	2	0
08041	275	10	4	74	56	25	1	5	16	26	8	2	44	4	0
08042	324	4	10	74	102	24	1	8	8	31	9	1	50	2	0
08043	146	4	0	50	26	15	1	5	3	13	2	0	26	1	0
08044	172	1	5	39	49	15	4	6	5	11	4	0	31	1	1
08045	186	3	5	63	55	20	2	2	5	12	5	0	14	0	0
08046	206	5	4	55	54	22	2	10	5	22	1	1	22	3	0
08047	208	9	1	66	41	20	1	7	11	21	2	1	26	2	0
08048	212	5	7	67	47	17	3	4	6	29	4	1	21	0	1
08049	236	5	1	65	60	19	1	13	8	27	2	0	32	2	1
08050	292	8	7	62	75	36	6	6	9	35	6	0	39	3	0
08051	294	9	5	71	68	25	3	10	14	37	8	1	42	1	0
08052	348	5	9	72	85	36	3	13	13	44	7	0	58	2	1
08053	144	3	4	41	42	12	0	3	1	14	2	0	18	3	1
08054	196	8	3	70	45	17	1	3	7	12	5	1	24	0	0
08055	236	1	1	73	73	25	1	4	5	19	4	3	26	1	0
08056	278	4	6	67	67	21	2	10	16	32	4	1	47	1	0
09001	240	8	5	83	46	28	0	8	8	17	4	2	30	1	0
09002	207	7	6	78	43	14	2	4	7	17	6	0	21	2	0
09003	125	3	10	50	20	6	0	5	5	9	0	0	16	1	0
09004	190	4	3	66	38	19	1	6	3	12	3	0	34	1	0
09005	244	6	3	67	55	22	0	6	9	27	4	0	43	2	0
09006	222	3	5	79	47	15	4	3	3	19	3	2	37	1	1
09007	193	2	4	54	47	25	1	6	10	16	2	0	24	2	0
09008	193	4	5	68	44	10	0	8	9	18	5	0	21	1	0
09009	287	10	10	78	58	32	0	9	10	35	1	7	35	2	0
09010	179	7	4	66	36	14	1	1	5	10	2	1	32	0	0
09011	169	2	1	70	33	11	1	0	5	15	3	0	26	2	0
09012	279	5	5	71	68	33	1	8	4	35	5	1	40	1	2
09013	296	7	7	99	71	30	4	5	5	14	4	1	46	3	0
09014	314	9	5	78	71	32	2	5	12	33	2	1	62	2	0
09015	154	0	9	57	33	13	2	2	5	11	1	0	21	0	0
09016	218	12	6	62	55	15	2	13	5	14	1	0	30	3	0
09017	156	3	1	62	44	10	1	8	4	9	0	0	14	0	0
09018	166	1	2	56	43	8	1	5	10	15	2	1	20	2	0
09019	209	1	7	72	47	23	0	3	6	14	2	0	31	3	0
09020	251	4	3	89	49	24	0	9	6	20	2	0	43	0	2
09021	219	3	6	85	41	22	1	7	7	13	6	0	28	0	0
09022	284	2	10	76	75	23	5	10	10	26	3	1	40	3	0
09023	299	7	8	72	69	27	0	11	9	37	5	3	48	2	1
09024	257	7	6	61	66	22	2	15	9	25	4	1	36	2	1
09025	257	4	1	69	62	23	2	9	5	31	3	1	46	1	0
09026	178	1	6	73	34	17	0	3	6	18	1	0	18	1	0
09027	196	4	2	67	46	19	3	2	5	15	4	0	29	0	0
09028	97	2	3	22	19	12	1	6	13	10	0	0	9	0	0
09029	206	2	4	72	56	22	0	1	5	16	4	3	19	2	0
09030	175	7	5	56	41	15	3	1	1	19	2	0	24	1	0
09031	170	0	4	82	37	15	0	5	5	9	2	2	9	0	0
09032	227	6	2	70	52	24	2	8	5	31	4	0	21	2	0
09033	163	5	8	54	35	20	1	3	3	10	4	0	20	0	0
09034	186	4	4	68	34	16	1	7	13	15	2	0	21	0	1
09035	252	5	4	73	66	35	1	17	5	13	2	0	30	1	0
09036	187	1	4	55	43	9	1	6	6	27	5	3	26	1	0
09037	381	26	28	35	66	44	13	30	25	34	1	0	65	14	0
09038	222	3	1	61	64	21	2	4	7	15	5	1	34	4	0
09039	260	6	3	75	70	30	2	4	6	27	1	1	31	4	0
09040	285	5	6	82	60	28	0	11	10	28	4	0	51	0	0
09041	197	3	6	79	36	8	0	5	5	17	6	2	30	0	0
09042	289	5	8	71	66	20	2	13	7	31	8	1	56	1	0
09043	199	4	7	83	44	6	0	5	3	20	3	0	24	0	0
09044	232	2	4	86	54	18	4	8	10	16	3	0	25	2	0
09045	170	3	5	59	44	8	1	6	7	12	2	0	22	1	0
09046	244	7	13	67	46	23	6	9	10	22	1	0	30	8	2
09047	289	8	4	68	78	20	2	11	5	32	1	3	57	0	0
09048	260	8	7	63	66	29	3	8	6	40	4	0	26	0	0
09049	283	7	4	69	73	26	5	9	2	33	2	1	51	1	0
09050	354	4	14	73	98	36	1	14	6	43	7	0	57	1	0
09051	252	7	8	79	49	20	0	7	5	33	6	1	32	4	1
10001	213	6	6	37	51	16	2	24	32	14	1	0	21	1	2
