Precinct	total_votes	votes|Richard Gonzalez	votes|Sol A. Flores	votes|Jesus ''Chuy'' Garcia
31008	93	12	15	66
31009	123	19	25	79
31010	96	9	24	63
31011	84	24	21	39
31012	89	14	19	56
31013	142	22	19	101
31014	112	23	19	70
31015	115	14	24	77
31016	196	11	60	125
31017	105	19	22	64
31018	112	17	22	73
31019	100	8	19	73
31020	103	16	14	73
31021	116	33	13	70
31022	92	10	13	69
31023	112	17	22	73
31024	155	17	28	110
31025	95	19	17	59
31026	140	24	21	95
31027	136	42	17	77
31028	90	16	15	59
31029	140	32	16	92
31030	85	12	17	56
31031	104	21	9	74
31032	75	3	8	64
31033	89	20	16	53
31034	113	19	24	70
31035	108	18	19	71
31036	138	26	23	89
31037	103	14	21	68
31038	90	10	22	58
31039	142	9	32	101
31040	131	26	32	73
31041	108	14	13	81
32001	1	0	0	1
32003	304	22	99	183
32011	300	20	100	180
32012	214	26	63	125
32014	287	15	118	154
32016	6	1	2	3
32017	282	27	100	155
32020	287	14	117	156
32022	378	27	142	209
32026	322	37	114	171
32028	278	25	100	153
32043	241	32	68	141
33001	277	13	99	165
33003	323	28	108	187
33004	314	29	97	188
33006	217	24	58	135
33007	104	14	30	60
33008	150	10	66	74
33009	294	40	99	155
33010	216	43	46	127
33011	260	29	70	161
33012	239	41	57	141
33013	244	34	63	147
33014	108	8	32	68
33015	304	29	90	185
33016	346	37	99	210
33017	274	37	83	154
33019	117	20	28	69
33020	285	26	100	159
33021	296	35	74	187
33022	261	46	69	146
33023	289	39	81	169
33025	308	34	91	183
33026	191	20	46	125
33027	265	26	73	166
33028	247	20	65	162
35001	220	17	78	125
35002	302	19	90	193
35003	210	20	44	146
35004	211	21	60	130
35005	205	23	53	129
35006	206	13	51	142
35007	234	12	72	150
35008	251	28	68	155
35009	177	29	44	104
35010	330	17	107	206
35011	229	18	62	149
35012	145	13	12	120
35013	139	16	12	111
35014	155	31	22	102
35015	261	18	86	157
35016	133	14	19	100
35017	241	29	87	125
35018	154	21	22	111
35019	93	18	16	59
35020	179	14	40	125
35021	216	28	56	132
35022	254	23	74	157
35023	232	29	53	150
35024	196	26	44	126
35025	253	19	112	122
35026	177	18	39	120
35027	188	22	34	132
35028	199	17	70	112
35029	148	17	34	97
35030	174	27	30	117
35031	240	38	58	144
36001	152	30	27	95
36002	127	22	17	88
36003	145	21	26	98
36004	118	11	21	86
36006	118	16	18	84
36008	117	25	15	77
36009	135	16	16	103
36010	176	29	38	109
36011	96	8	29	59
36012	87	7	15	65
36013	93	17	12	64
36016	39	6	7	26
36019	180	24	28	128
36020	77	10	11	56
36021	26	6	4	16
36022	112	21	14	77
36023	93	7	12	74
36024	24	5	3	16
36025	133	16	19	98
36027	151	33	26	92
36029	89	20	22	47
37026	9	2	2	5
38001	155	15	54	86
38035	98	16	13	69
38041	218	32	63	123
39006	1	0	0	1
39012	71	11	13	47
39025	1	0	0	1
39028	168	21	58	89
39031	183	28	42	113
45001	181	13	54	114
45002	215	25	64	126
45008	183	25	55	103
45009	204	33	39	132
45010	216	30	62	124
Berwyn Ward 1 Precinct 1	197	28	56	113
Berwyn Ward 1 Precinct 5	205	26	58	121
Berwyn Ward 2 Precinct 1	135	20	26	89
Berwyn Ward 2 Precinct 4	295	48	82	165
Berwyn Ward 3 Precinct 1	214	38	42	134
Berwyn Ward 3 Precinct 2	157	17	33	107
Berwyn Ward 3 Precinct 3	186	17	52	117
Berwyn Ward 3 Precinct 4	210	32	36	142
Berwyn Ward 3 Precinct 5	314	36	108	170
Berwyn Ward 4 Precinct 1	127	20	34	73
Berwyn Ward 4 Precinct 2	230	41	38	151
Berwyn Ward 4 Precinct 3	252	27	55	170
Berwyn Ward 4 Precinct 4	172	19	28	125
Berwyn Ward 5 Precinct 1	342	44	52	246
Berwyn Ward 5 Precinct 2	183	12	26	145
Berwyn Ward 5 Precinct 3	172	21	33	118
Berwyn Ward 6 Precinct 1	107	18	19	70
Berwyn Ward 6 Precinct 3	111	16	21	74
Berwyn Ward 6 Precinct 4	168	14	46	108
Berwyn Ward 8 Precinct 2	175	38	36	101
Berwyn Ward 8 Precinct 3	129	16	21	92
Cicero 1	192	27	17	148
Cicero 2	103	23	12	68
Cicero 3	189	24	25	140
Cicero 4	135	27	19	89
Cicero 6	101	31	11	59
Cicero 7	112	15	8	89
Cicero 8	133	27	15	91
Cicero 9	188	21	20	147
Cicero 10	216	23	28	165
Cicero 12	192	30	18	144
Cicero 14	175	20	12	143
Cicero 15	210	37	29	144
Cicero 16	126	19	16	91
Cicero 17	172	25	19	128
Cicero 18	119	13	19	87
Cicero 19	278	46	34	198
Cicero 21	188	29	18	141
Cicero 22	194	37	14	143
Cicero 23	262	49	29	184
Cicero 24	174	25	27	122
Cicero 25	200	35	16	149
Cicero 26	163	39	13	111
Cicero 27	182	18	26	138
Cicero 28	196	29	24	143
Cicero 29	188	23	16	149
Cicero 30	141	21	14	106
Cicero 31	111	19	14	78
Cicero 32	160	16	13	131
Leyden 26	219	50	52	117
Oak Park 33	0	0	0	0
Proviso 3	152	35	29	88
Proviso 6	129	24	37	68
Proviso 7	60	16	14	30
Proviso 10	128	11	8	109
Proviso 11	162	14	29	119
Proviso 12	238	36	33	169
Proviso 13	143	34	16	93
Proviso 14	134	16	17	101
Proviso 15	140	17	15	108
Proviso 16	166	35	28	103
Proviso 25	118	19	48	51
Proviso 27	268	51	92	125
Proviso 28	204	37	58	109
Proviso 29	318	54	102	162
Proviso 30	1	0	0	1
Proviso 32	279	56	90	133
Proviso 54	309	50	118	141
Proviso 63	256	56	60	140
Proviso 71	233	59	48	126
Proviso 75	245	37	100	108
Proviso 78	56	7	8	41
Proviso 80	92	14	10	68
Proviso 85	145	27	45	73
Proviso 87	269	37	22	210
Proviso 88	76	8	5	63
Proviso 89	195	24	68	103
Proviso 90	386	68	133	185
Proviso 95	202	39	43	120
Proviso 97	281	47	123	111
Proviso 98	248	33	26	189
Proviso 100	288	47	21	220
Proviso 102	115	23	38	54
River Forest 1	317	49	111	157
Riverside 1	339	35	199	105
Riverside 2	12	4	3	5
Riverside 3	171	13	114	44
Riverside 4	425	38	268	119
Riverside 5	183	19	89	75
Riverside 6	162	24	60	78
Riverside 7	155	26	49	80
Riverside 8	336	32	212	92
Riverside 9	271	29	171	71
Riverside 10	312	28	193	91
Riverside 11	339	57	135	147
Riverside 12	150	15	66	69
Riverside 13	192	30	67	95
