Precinct	total_votes	votes|Larry Rogers, Jr.
17020	413	413
17021	416	416
17022	271	271
17023	204	204
17024	334	334
17025	233	233
17026	325	325
17027	300	300
17028	239	239
17029	308	308
17030	226	226
17031	191	191
17032	255	255
17033	206	206
17034	232	232
17035	211	211
17036	291	291
17037	262	262
17038	301	301
17039	300	300
17040	330	330
17041	396	396
18001	318	318
18002	290	290
18003	284	284
18004	376	376
18005	216	216
18006	248	248
18007	321	321
18008	345	345
18009	336	336
18010	469	469
18011	280	280
18012	341	341
18013	365	365
18014	380	380
18015	368	368
18016	337	337
18017	339	339
18018	289	289
18019	337	337
18020	283	283
18021	429	429
18022	420	420
18023	340	340
18024	306	306
18025	320	320
18026	433	433
18027	279	279
18028	280	280
18029	368	368
18030	350	350
18031	372	372
18032	352	352
18033	269	269
18034	411	411
18035	414	414
18036	345	345
18037	401	401
18038	336	336
18039	263	263
18040	363	363
18041	403	403
18042	299	299
18043	225	225
18044	252	252
18045	302	302
18046	336	336
18047	264	264
18048	292	292
18049	208	208
18050	255	255
19002	122	122
19005	403	403
19006	144	144
19007	282	282
19008	16	16
19010	431	431
19013	471	471
19014	418	418
19017	264	264
19018	335	335
19019	175	175
19020	323	323
19021	17	17
19023	304	304
19025	328	328
19026	335	335
19027	393	393
19028	454	454
19029	237	237
19031	298	298
19032	258	258
19034	318	318
19035	326	326
19036	535	535
19037	371	371
19038	334	334
19040	353	353
19042	302	302
19043	539	539
19046	316	316
19048	444	444
19049	466	466
19050	265	265
19052	305	305
19056	400	400
19057	294	294
20001	331	331
20002	136	136
20003	307	307
20004	156	156
20005	389	389
20006	148	148
20007	357	357
20008	319	319
20009	493	493
20010	228	228
20011	455	455
20012	266	266
20013	358	358
20014	163	163
20015	261	261
20016	388	388
20017	187	187
20018	229	229
20019	341	341
20020	213	213
20021	240	240
20022	439	439
20023	362	362
20024	379	379
20025	231	231
20026	357	357
20027	166	166
20028	215	215
20029	374	374
20030	155	155
20031	400	400
20032	320	320
20033	199	199
20034	555	555
20035	230	230
20036	107	107
20037	96	96
20038	106	106
20039	20	20
21001	384	384
21002	263	263
21003	383	383
21004	331	331
21005	377	377
21006	292	292
21007	354	354
21008	354	354
21009	385	385
21010	297	297
21011	331	331
21012	310	310
21013	330	330
21014	366	366
21015	314	314
21016	325	325
21017	306	306
21018	386	386
21019	350	350
21020	303	303
21021	295	295
21022	310	310
21023	298	298
21024	346	346
21025	296	296
21026	337	337
21027	342	342
21028	432	432
21029	395	395
21030	268	268
21031	249	249
21032	315	315
21033	301	301
21034	312	312
21035	405	405
21036	326	326
21037	251	251
21038	322	322
21039	281	281
21040	304	304
21041	340	340
21042	373	373
21043	329	329
21044	347	347
21045	324	324
21046	365	365
21047	328	328
21048	331	331
21049	392	392
21050	278	278
21051	334	334
21052	328	328
21053	287	287
21054	297	297
22001	0	0
22003	380	380
22004	223	223
22005	259	259
22006	263	263
22010	98	98
22013	253	253
22014	158	158
22016	247	247
22017	275	275
22019	148	148
22020	256	256
22021	314	314
22023	267	267
22024	288	288
23001	222	222
23002	255	255
23003	248	248
23010	20	20
23011	304	304
23012	256	256
23014	235	235
23016	242	242
23018	202	202
23021	237	237
23022	81	81
23023	234	234
23027	188	188
23028	267	267
23030	3	3
23032	40	40
23035	163	163
23036	243	243
23037	259	259
24001	255	255
24002	267	267
24003	281	281
24004	214	214
24005	149	149
24006	289	289
24008	137	137
24009	263	263
24010	129	129
24011	312	312
24012	156	156
24013	148	148
24014	248	248
24015	137	137
24017	222	222
24018	316	316
24019	343	343
24020	247	247
24021	141	141
24022	340	340
24023	206	206
24024	287	287
24025	228	228
24026	394	394
24027	306	306
24028	179	179
24029	225	225
24030	166	166
24031	314	314
24032	140	140
24033	166	166
24034	261	261
24035	266	266
24036	337	337
24037	167	167
24038	239	239
24039	289	289
24040	319	319
24041	194	194
25003	631	631
25004	291	291
25010	594	594
25016	578	578
25020	258	258
25021	729	729
25025	372	372
25027	1	1
25029	184	184
25031	718	718
26004	206	206
26019	187	187
26045	68	68
27002	362	362
27003	212	212
27004	204	204
27005	258	258
27008	270	270
27010	375	375
27014	179	179
27015	173	173
27016	390	390
27017	354	354
27018	254	254
27019	172	172
27022	152	152
27023	257	257
27024	245	245
27025	315	315
27026	265	265
27027	421	421
27029	230	230
27030	163	163
27031	268	268
27032	316	316
27033	283	283
27034	249	249
27036	305	305
27039	252	252
27041	289	289
27043	216	216
27044	241	241
27045	86	86
27049	268	268
27050	328	328
28001	196	196
28002	256	256
28003	237	237
28004	263	263
28005	191	191
28006	166	166
28007	279	279
28008	362	362
28009	266	266
28010	382	382
28011	595	595
28012	294	294
28013	314	314
28014	216	216
28015	56	56
28016	183	183
28017	249	249
28018	260	260
28019	5	5
28020	272	272
28021	240	240
28022	254	254
28023	311	311
28024	238	238
28025	384	384
28026	273	273
28027	289	289
28028	359	359
28029	150	150
28030	45	45
28031	378	378
28032	264	264
28033	301	301
28034	486	486
28035	347	347
28036	166	166
28037	357	357
28038	140	140
28039	211	211
28040	399	399
28041	224	224
28042	283	283
28043	344	344
28044	203	203
28045	377	377
28046	8	8
29002	469	469
29003	384	384
29004	386	386
29005	295	295
29006	298	298
29008	322	322
29011	212	212
29012	440	440
29013	363	363
29014	339	339
29015	409	409
29016	345	345
29017	319	319
29018	344	344
29019	368	368
29020	411	411
29021	451	451
29022	248	248
29024	322	322
29025	424	424
29026	354	354
29027	326	326
29028	436	436
29033	245	245
29034	249	249
29035	276	276
29036	314	314
29037	352	352
29040	414	414
29041	281	281
29042	393	393
29044	448	448
30006	281	281
30011	329	329
34001	378	378
34002	290	290
34003	348	348
34004	264	264
34005	300	300
34006	401	401
34007	403	403
34008	286	286
34009	225	225
34010	332	332
34011	302	302
34012	387	387
34013	342	342
34014	267	267
34015	310	310
34016	284	284
34017	441	441
34018	264	264
34019	377	377
34020	405	405
34021	426	426
34022	357	357
34023	278	278
34024	315	315
34025	523	523
34026	366	366
34027	290	290
34028	229	229
34029	270	270
34030	348	348
34031	286	286
34032	347	347
34033	284	284
34034	373	373
34035	375	375
34036	317	317
34037	215	215
34038	170	170
34039	247	247
34040	378	378
34041	218	218
34042	340	340
34043	323	323
34044	358	358
34045	366	366
34046	239	239
34047	329	329
34048	367	367
34049	330	330
34050	278	278
34051	369	369
34052	266	266
34053	213	213
36002	288	288
36004	96	96
36005	286	286
36021	234	234
36022	62	62
36023	254	254
37001	215	215
37002	259	259
37003	233	233
37004	246	246
37005	339	339
37006	359	359
37007	211	211
37008	213	213
37009	334	334
37010	261	261
37011	209	209
37012	224	224
37013	219	219
37014	317	317
37015	319	319
37016	350	350
37017	256	256
37018	262	262
37019	218	218
37020	250	250
37021	275	275
37022	211	211
37023	288	288
37024	332	332
37025	285	285
37026	406	406
37027	289	289
37028	266	266
37029	274	274
37030	302	302
37031	326	326
37032	275	275
37033	336	336
37034	293	293
37035	332	332
37036	314	314
37037	332	332
37038	305	305
37039	275	275
37040	322	322
37041	312	312
42002	541	541
42004	911	911
42006	428	428
42007	563	563
42008	406	406
42009	189	189
42010	639	639
42011	291	291
42013	377	377
42019	405	405
42020	515	515
42022	228	228
42023	146	146
42025	451	451
42026	601	601
42027	332	332
42028	494	494
42029	498	498
42030	353	353
42031	528	528
42032	467	467
42033	559	559
42035	609	609
42039	131	131
42040	675	675
42042	811	811
Berwyn Ward 2 Precinct 1	245	245
Berwyn Ward 3 Precinct 1	363	363
Berwyn Ward 3 Precinct 2	284	284
Berwyn Ward 3 Precinct 3	285	285
Berwyn Ward 3 Precinct 4	377	377
Berwyn Ward 3 Precinct 5	508	508
Berwyn Ward 4 Precinct 1	249	249
Berwyn Ward 4 Precinct 2	399	399
Berwyn Ward 4 Precinct 3	436	436
Berwyn Ward 4 Precinct 4	260	260
Berwyn Ward 5 Precinct 1	599	599
Berwyn Ward 5 Precinct 2	367	367
Berwyn Ward 5 Precinct 3	331	331
Berwyn Ward 6 Precinct 1	205	205
Berwyn Ward 6 Precinct 2	275	275
Berwyn Ward 6 Precinct 3	370	370
Berwyn Ward 6 Precinct 4	442	442
Berwyn Ward 7 Precinct 1	345	345
Berwyn Ward 7 Precinct 2	367	367
Berwyn Ward 7 Precinct 3	407	407
Berwyn Ward 7 Precinct 4	507	507
Berwyn Ward 8 Precinct 1	607	607
Berwyn Ward 8 Precinct 2	358	358
Berwyn Ward 8 Precinct 3	252	252
Bloom 3	312	312
Bloom 6	169	169
Bloom 10	184	184
Bloom 16	373	373
Bloom 19	429	429
Bloom 21	118	118
Bloom 23	416	416
Bloom 24	700	700
Bloom 26	268	268
Bloom 27	400	400
Bloom 29	166	166
Bloom 30	530	530
Bloom 33	401	401
Bloom 34	266	266
Bloom 36	595	595
Bloom 37	288	288
Bloom 38	1033	1033
Bloom 39	166	166
Bloom 40	297	297
Bloom 41	582	582
Bloom 43	454	454
Bloom 45	650	650
Bloom 48	363	363
Bloom 49	515	515
Bloom 54	169	169
Bloom 55	354	354
Bloom 57	178	178
Bloom 60	411	411
Bremen 1	393	393
Bremen 3	10	10
Bremen 7	258	258
Bremen 8	353	353
Bremen 12	241	241
Bremen 13	40	40
Bremen 14	286	286
Bremen 17	388	388
Bremen 19	158	158
Bremen 21	331	331
Bremen 23	141	141
Bremen 26	412	412
Bremen 29	630	630
Bremen 31	419	419
Bremen 32	396	396
Bremen 35	279	279
Bremen 37	222	222
Bremen 38	348	348
Bremen 39	281	281
Bremen 40	670	670
Bremen 44	367	367
Bremen 45	203	203
Bremen 47	380	380
Bremen 48	352	352
Bremen 49	390	390
Bremen 51	564	564
Bremen 55	321	321
Bremen 56	492	492
Bremen 63	571	571
Bremen 65	197	197
Bremen 66	381	381
Bremen 70	282	282
Bremen 71	328	328
Bremen 74	4	4
Bremen 75	499	499
Bremen 78	401	401
Bremen 80	409	409
Calumet 1	376	376
Calumet 2	344	344
Calumet 3	413	413
Calumet 4	368	368
Calumet 5	368	368
Calumet 6	600	600
Calumet 7	462	462
Calumet 8	275	275
Calumet 9	319	319
Calumet 10	453	453
Calumet 11	614	614
Calumet 12	321	321
Cicero 3	288	288
Cicero 15	389	389
Cicero 16	282	282
Cicero 17	418	418
Cicero 18	237	237
Cicero 19	442	442
Cicero 21	367	367
Cicero 23	467	467
Cicero 24	417	417
Cicero 27	387	387
Cicero 28	116	116
Cicero 30	349	349
Cicero 31	271	271
Lyons 8	241	241
Lyons 13	190	190
Lyons 38	174	174
Lyons 48	197	197
Lyons 51	88	88
Lyons 56	517	517
Lyons 57	429	429
Lyons 58	249	249
Lyons 60	608	608
Lyons 65	495	495
Lyons 70	357	357
Lyons 75	244	244
Lyons 77	256	256
Oak Park 1	487	487
Oak Park 2	772	772
Oak Park 3	814	814
Oak Park 4	661	661
Oak Park 5	709	709
Oak Park 6	800	800
Oak Park 7	507	507
Oak Park 8	633	633
Oak Park 9	401	401
Oak Park 10	611	611
Oak Park 11	565	565
Oak Park 12	346	346
Oak Park 13	619	619
Oak Park 14	660	660
Oak Park 15	804	804
Oak Park 16	877	877
Oak Park 17	888	888
Oak Park 18	534	534
Oak Park 19	652	652
Oak Park 20	888	888
Oak Park 21	483	483
Oak Park 22	471	471
Oak Park 23	603	603
Oak Park 24	441	441
Oak Park 25	611	611
Oak Park 26	554	554
Oak Park 27	164	164
Oak Park 28	832	832
Oak Park 29	556	556
Oak Park 30	731	731
Oak Park 31	967	967
Oak Park 32	437	437
Oak Park 33	593	593
Oak Park 34	539	539
Oak Park 35	730	730
Oak Park 36	757	757
Oak Park 37	405	405
Proviso 1	362	362
Proviso 2	350	350
Proviso 4	486	486
Proviso 5	480	480
Proviso 8	301	301
Proviso 9	418	418
Proviso 10	303	303
Proviso 11	291	291
Proviso 12	429	429
Proviso 13	131	131
Proviso 14	239	239
Proviso 15	337	337
Proviso 17	307	307
Proviso 18	584	584
Proviso 19	465	465
Proviso 20	415	415
Proviso 22	371	371
Proviso 31	314	314
Proviso 33	543	543
Proviso 34	780	780
Proviso 36	459	459
Proviso 37	325	325
Proviso 38	422	422
Proviso 39	154	154
Proviso 40	470	470
Proviso 41	402	402
Proviso 42	307	307
Proviso 43	312	312
Proviso 44	347	347
Proviso 45	422	422
Proviso 47	254	254
Proviso 48	552	552
Proviso 52	318	318
Proviso 53	473	473
Proviso 56	342	342
Proviso 58	285	285
Proviso 61	535	535
Proviso 62	581	581
Proviso 64	484	484
Proviso 65	374	374
Proviso 66	577	577
Proviso 67	708	708
Proviso 68	297	297
Proviso 69	356	356
Proviso 72	411	411
Proviso 73	428	428
Proviso 74	494	494
Proviso 76	539	539
Proviso 78	105	105
Proviso 79	388	388
Proviso 80	264	264
Proviso 81	149	149
Proviso 82	667	667
Proviso 83	567	567
Proviso 86	461	461
Proviso 87	378	378
Proviso 88	181	181
Proviso 94	397	397
Proviso 95	131	131
Proviso 98	384	384
Proviso 99	478	478
Proviso 100	439	439
Rich 1	1765	1765
Rich 2	537	537
Rich 3	716	716
Rich 5	635	635
Rich 6	737	737
Rich 8	822	822
Rich 9	379	379
Rich 10	405	405
Rich 12	583	583
Rich 13	284	284
Rich 15	865	865
Rich 18	567	567
Rich 21	618	618
Rich 22	460	460
Rich 23	393	393
Rich 24	577	577
Rich 25	764	764
Rich 26	563	563
Rich 27	571	571
Rich 28	428	428
Rich 30	749	749
Rich 32	675	675
Rich 34	516	516
Rich 35	404	404
Rich 36	1244	1244
Rich 37	427	427
Rich 38	388	388
Rich 39	563	563
Rich 40	477	477
Rich 41	354	354
Rich 42	508	508
Rich 44	408	408
Rich 45	667	667
Rich 46	789	789
Rich 47	801	801
Rich 48	590	590
Rich 49	464	464
Rich 51	490	490
Stickney 1	171	171
Stickney 2	289	289
Stickney 3	529	529
Stickney 4	401	401
Stickney 5	283	283
Stickney 6	503	503
Stickney 7	221	221
Stickney 8	340	340
Stickney 9	334	334
Stickney 10	422	422
Stickney 11	395	395
Stickney 12	374	374
Stickney 13	327	327
Stickney 14	273	273
Stickney 15	425	425
Stickney 16	448	448
Stickney 17	256	256
Stickney 18	200	200
Stickney 19	303	303
Stickney 20	310	310
Thornton 1	267	267
Thornton 2	200	200
Thornton 3	393	393
Thornton 4	523	523
Thornton 5	324	324
Thornton 6	565	565
Thornton 7	431	431
Thornton 8	422	422
Thornton 9	261	261
Thornton 10	409	409
Thornton 11	232	232
Thornton 12	334	334
Thornton 13	192	192
Thornton 14	425	425
Thornton 15	405	405
Thornton 17	454	454
Thornton 19	326	326
Thornton 20	242	242
Thornton 21	613	613
Thornton 22	405	405
Thornton 23	379	379
Thornton 26	384	384
Thornton 27	567	567
Thornton 28	315	315
Thornton 29	261	261
Thornton 30	245	245
Thornton 31	112	112
Thornton 32	312	312
Thornton 33	405	405
Thornton 34	630	630
Thornton 35	627	627
Thornton 36	212	212
Thornton 37	458	458
Thornton 38	608	608
Thornton 39	329	329
Thornton 40	322	322
Thornton 41	292	292
Thornton 42	295	295
Thornton 44	283	283
Thornton 45	392	392
Thornton 46	476	476
Thornton 48	402	402
Thornton 49	214	214
Thornton 52	429	429
Thornton 53	295	295
Thornton 54	680	680
Thornton 55	318	318
Thornton 56	390	390
Thornton 58	464	464
Thornton 59	311	311
Thornton 60	276	276
Thornton 62	120	120
Thornton 63	212	212
Thornton 64	410	410
Thornton 66	675	675
Thornton 67	251	251
Thornton 69	309	309
Thornton 70	213	213
Thornton 71	238	238
Thornton 72	427	427
Thornton 73	620	620
Thornton 74	457	457
Thornton 75	426	426
Thornton 76	476	476
Thornton 77	652	652
Thornton 78	481	481
Thornton 79	544	544
Thornton 80	406	406
Thornton 81	412	412
Thornton 82	283	283
Thornton 83	570	570
Thornton 84	595	595
Thornton 85	389	389
Thornton 86	391	391
Thornton 87	602	602
Thornton 88	422	422
Thornton 89	613	613
Thornton 90	465	465
Thornton 91	439	439
Thornton 92	479	479
Thornton 93	301	301
Thornton 94	515	515
Thornton 95	329	329
Thornton 96	336	336
Thornton 97	167	167
Thornton 98	144	144
Thornton 99	362	362
Thornton 100	260	260
Thornton 101	368	368
Thornton 102	229	229
Thornton 103	250	250
Thornton 104	158	158
Thornton 105	386	386
Thornton 106	303	303
Thornton 107	623	623
Thornton 108	231	231
Thornton 109	301	301
Thornton 110	266	266
Thornton 111	312	312
Thornton 112	218	218
Thornton 113	208	208
Thornton 115	439	439
Thornton 116	454	454
Thornton 117	459	459
Thornton 118	413	413
Thornton 119	411	411
Thornton 120	699	699
Thornton 121	337	337
Thornton 122	579	579
Thornton 123	299	299
Worth 9	2	2
Worth 24	127	127
Worth 43	294	294
