Precinct	total_votes	votes|Marcus Lewis	votes|Robin Kelly
Thornton 26	160	35	125
Thornton 27	381	53	328
Thornton 28	166	27	139
Thornton 29	129	23	106
Thornton 30	135	28	107
Thornton 32	140	20	120
Thornton 33	218	29	189
Thornton 34	333	59	274
Thornton 35	294	53	241
Thornton 36	89	20	69
Thornton 37	196	40	156
Thornton 38	282	60	222
Thornton 39	176	40	136
Thornton 40	157	28	129
Thornton 41	149	30	119
Thornton 42	150	28	122
Thornton 43	161	38	123
Thornton 44	131	25	106
Thornton 45	220	32	188
Thornton 46	251	47	204
Thornton 47	127	29	98
Thornton 48	201	36	165
Thornton 49	98	16	82
Thornton 50	145	31	114
Thornton 51	132	33	99
Thornton 52	247	49	198
Thornton 53	129	19	110
Thornton 54	387	58	329
Thornton 55	157	26	131
Thornton 56	177	48	129
Thornton 57	97	17	80
Thornton 58	219	38	181
Thornton 59	149	31	118
Thornton 60	140	22	118
Thornton 61	124	32	92
Thornton 62	50	16	34
Thornton 63	106	20	86
Thornton 64	267	58	209
Thornton 65	187	56	131
Thornton 66	411	60	351
Thornton 67	308	44	264
Thornton 68	191	37	154
Thornton 69	148	22	126
Thornton 70	140	18	122
Thornton 71	129	28	101
Thornton 72	211	32	179
Thornton 73	335	66	269
Thornton 74	199	28	171
Thornton 75	215	34	181
Thornton 76	282	62	220
Thornton 77	321	59	262
Thornton 78	260	53	207
Thornton 79	258	58	200
Thornton 80	259	38	221
Thornton 81	223	41	182
Thornton 82	129	25	104
Thornton 83	274	38	236
Thornton 84	322	53	269
Thornton 85	210	46	164
Thornton 86	201	34	167
Thornton 87	332	67	265
Thornton 88	240	44	196
Thornton 89	300	48	252
Thornton 90	278	49	229
Thornton 91	259	39	220
Thornton 92	259	42	217
Thornton 93	152	19	133
Thornton 94	271	54	217
Thornton 95	150	22	128
Thornton 96	176	40	136
Thornton 98	51	6	45
Thornton 99	171	50	121
Thornton 100	117	26	91
Thornton 101	177	37	140
Thornton 102	131	31	100
Thornton 103	131	27	104
Thornton 104	77	9	68
Thornton 105	206	35	171
Thornton 106	170	35	135
Thornton 107	416	52	364
Thornton 108	122	30	92
Thornton 109	154	22	132
Thornton 110	160	37	123
Thornton 111	153	38	115
Thornton 112	84	21	63
Thornton 113	111	26	85
Thornton 114	204	43	161
Thornton 115	208	37	171
Thornton 116	199	38	161
Thornton 117	244	40	204
Thornton 118	329	61	268
Thornton 119	208	37	171
Thornton 120	388	87	301
Thornton 121	190	29	161
Thornton 122	304	57	247
Thornton 123	171	18	153
