Precinct	total_votes	votes|Janice D. Schakowsky	votes|John D. Elleson
New Trier 23	709	323	386
New Trier 24	797	622	175
New Trier 25	601	380	221
New Trier 26	515	385	130
New Trier 27	689	524	165
New Trier 28	571	376	195
New Trier 29	634	414	220
New Trier 30	828	503	325
New Trier 31	741	528	213
New Trier 32	639	464	175
New Trier 33	819	634	185
New Trier 34	548	387	161
New Trier 35	436	281	155
New Trier 36	902	644	258
New Trier 37	687	521	166
New Trier 38	709	539	170
New Trier 39	492	331	161
New Trier 40	429	251	178
New Trier 41	557	302	255
Niles 1	616	341	275
Niles 2	650	424	226
Niles 3	981	584	397
Niles 4	479	292	187
Niles 5	371	217	154
Niles 6	558	302	256
Niles 7	867	645	222
Niles 8	301	235	66
Niles 9	423	240	183
Niles 10	611	432	179
Niles 11	330	215	115
Niles 12	395	314	81
Niles 13	658	393	265
Niles 14	751	602	149
Niles 15	626	476	150
Niles 16	767	576	191
Niles 17	716	564	152
Niles 18	379	307	72
Niles 19	656	421	235
Niles 20	533	379	154
Niles 21	864	694	170
Niles 22	621	480	141
Niles 23	610	462	148
Niles 24	662	512	150
Niles 25	356	265	91
Niles 26	647	440	207
Niles 27	484	395	89
Niles 28	705	512	193
Niles 29	403	298	105
Niles 30	470	331	139
Niles 31	650	499	151
Niles 32	296	228	68
Niles 33	708	586	122
Niles 34	552	408	144
Niles 35	676	489	187
Niles 36	371	313	58
Niles 37	593	456	137
Niles 38	952	668	284
Niles 39	686	493	193
Niles 40	302	188	114
Niles 41	671	523	148
Niles 42	537	417	120
Niles 43	747	478	269
Niles 44	672	536	136
Niles 45	459	356	103
Niles 46	690	495	195
Niles 47	358	281	77
Niles 48	505	389	116
Niles 49	831	706	125
Niles 50	700	461	239
Niles 51	339	220	119
Niles 52	470	318	152
Niles 53	847	615	232
Niles 54	382	272	110
Niles 55	396	335	61
Niles 56	776	484	292
Niles 57	683	477	206
Niles 58	628	454	174
Niles 59	895	622	273
Niles 60	773	585	188
Niles 61	739	560	179
Niles 62	364	284	80
Niles 63	713	570	143
Niles 64	777	578	199
Northfield 6	687	338	349
Northfield 7	913	551	362
Northfield 8	715	381	334
Northfield 9	502	288	214
Northfield 12	1,073	594	479
Northfield 14	541	353	188
Northfield 19	706	437	269
Northfield 20	669	426	243
Northfield 21	942	597	345
Northfield 23	538	247	291
Northfield 24	617	390	227
Northfield 30	728	450	278
Northfield 31	813	448	365
Northfield 35	676	372	304
Northfield 37	745	418	327
Northfield 42	594	331	263
Northfield 44	463	315	148
Northfield 45	830	505	325
Northfield 46	880	592	288
Northfield 52	626	413	213
Northfield 56	864	509	355
Norwood Park 3	659	388	271
Norwood Park 10	378	177	201
Norwood Park 11	829	476	353
Norwood Park 14	471	288	183
Wheeling 2	451	248	203
Wheeling 3	623	394	229
Wheeling 5	572	364	208
Wheeling 7	852	549	303
Wheeling 8	436	262	174
Wheeling 10	761	454	307
Wheeling 13	542	261	281
Wheeling 14	500	292	208
Wheeling 15	564	357	207
Wheeling 18	539	309	230
Wheeling 19	790	492	298
Wheeling 20	682	408	274
Wheeling 21	454	223	231
Wheeling 22	683	422	261
Wheeling 23	582	307	275
Wheeling 24	518	224	294
Wheeling 25	719	496	223
Wheeling 26	875	536	339
Wheeling 27	885	543	342
Wheeling 28	317	168	149
Wheeling 30	828	436	392
Wheeling 31	423	258	165
Wheeling 32	423	223	200
Wheeling 34	776	460	316
Wheeling 35	567	323	244
Wheeling 36	921	549	372
Wheeling 39	644	405	239
Wheeling 40	624	366	258
Wheeling 41	1,001	568	433
Wheeling 44	706	380	326
Wheeling 45	494	315	179
Wheeling 46	957	514	443
Wheeling 47	468	293	175
Wheeling 52	2	2	0
Wheeling 53	693	354	339
Wheeling 54	738	361	377
Wheeling 57	711	396	315
Wheeling 58	481	262	219
Wheeling 59	641	412	229
Wheeling 60	2	0	2
Wheeling 61	483	223	260
Wheeling 62	678	415	263
Wheeling 68	371	197	174
Wheeling 69	577	366	211
Wheeling 71	941	542	399
Wheeling 73	571	380	191
Wheeling 78	900	555	345
Wheeling 82	793	515	278
Wheeling 86	698	383	315
Wheeling 87	577	353	224
Wheeling 90	582	348	234
Wheeling 92	496	266	230
