Precinct	total_votes	votes|Pat Quinn	votes|Renato Mariotti	votes|Scott Drury	votes|Nancy Rotering	votes|Kwame Raoul	votes|Jesse Ruiz	votes|Sharon Fairley	votes|Aaron Goldstein
06034	250	32	6	5	7	171	4	25	0
06035	231	36	5	8	5	156	3	17	1
06036	310	55	3	3	6	225	0	16	2
06037	298	43	5	10	5	195	1	33	6
06038	276	43	1	7	3	185	6	28	3
06039	192	36	4	4	2	135	1	9	1
06040	209	45	3	4	3	136	6	10	2
06041	243	46	4	2	1	173	3	13	1
06042	206	46	1	2	5	124	3	21	4
06043	215	30	0	7	7	152	8	9	2
06044	201	42	1	2	2	133	7	12	2
06045	249	39	3	3	5	180	3	13	3
06046	153	18	1	3	6	110	6	8	1
06047	174	46	3	4	4	101	6	9	1
06048	232	39	1	4	6	159	6	14	3
07001	202	37	0	1	6	137	4	17	0
07002	183	26	2	2	3	131	6	12	1
07003	278	46	6	8	6	184	3	20	5
07004	242	38	4	7	6	166	4	14	3
07005	193	28	4	2	3	133	6	13	4
07006	279	44	5	2	2	191	5	28	2
07007	189	30	3	1	2	138	5	9	1
07008	179	41	2	3	5	116	4	7	1
07009	396	69	2	8	6	270	9	23	9
07010	244	31	2	0	2	181	6	19	3
07011	187	42	5	5	5	109	6	11	4
07012	201	36	6	4	4	140	1	10	0
07013	159	33	4	4	6	91	3	15	3
07014	227	46	5	3	7	143	6	14	3
07015	235	33	1	1	7	167	4	21	1
07016	171	34	4	1	7	107	3	12	3
07017	169	39	1	3	5	101	6	13	1
07018	177	45	2	3	6	98	4	17	2
07019	232	40	2	6	2	156	6	18	2
07020	152	38	3	0	2	89	4	14	2
07021	174	38	3	2	6	109	8	7	1
07022	183	36	5	4	5	105	15	12	1
07023	266	43	1	1	6	193	4	16	2
07024	182	29	2	3	8	116	6	16	2
07025	138	33	2	2	1	79	9	11	1
07026	192	27	1	1	4	141	3	15	0
07027	194	32	3	4	5	131	5	13	1
07028	145	39	2	3	3	87	4	7	0
07029	177	31	0	6	3	116	6	10	5
07030	150	34	0	5	5	89	11	3	3
07031	121	19	1	2	7	74	12	5	1
07032	378	57	1	5	5	273	4	28	5
07033	357	53	4	3	3	269	6	18	1
07034	284	40	4	5	11	201	10	12	1
07035	228	42	5	3	3	153	9	12	1
07036	293	54	5	5	6	191	9	21	2
07037	245	57	4	4	4	154	9	11	2
07038	188	46	2	5	3	118	5	7	2
07039	209	47	1	5	3	136	3	14	0
07040	195	36	2	6	2	133	4	11	1
07041	204	52	0	1	3	133	5	9	1
07042	210	40	3	6	2	137	3	18	1
07043	213	48	2	5	3	138	6	11	0
07044	159	38	5	2	4	94	7	9	0
07045	172	45	1	2	8	104	3	9	0
07046	135	18	4	2	4	90	12	5	0
08001	198	47	2	4	1	118	11	11	4
08002	205	35	4	4	7	136	8	7	4
08003	314	39	1	5	3	225	5	31	5
08004	299	50	6	5	3	209	7	18	1
08005	308	43	1	7	5	210	3	32	7
08006	255	48	3	5	4	180	3	11	1
08007	314	45	0	6	1	221	7	27	7
08008	283	34	2	3	5	211	5	18	5
08009	183	33	2	4	3	119	4	14	4
08010	367	51	0	5	5	257	10	35	4
08011	223	41	6	3	2	152	2	14	3
08012	203	37	4	2	3	134	7	14	2
08013	250	47	4	5	3	159	8	21	3
08014	136	38	2	5	2	78	0	8	3
08015	215	61	4	2	7	123	7	11	0
08016	66	5	1	2	4	50	0	4	0
08017	230	34	2	4	2	172	4	9	3
08018	178	47	1	7	6	99	5	11	2
08019	300	53	6	2	2	201	8	22	6
08020	291	46	2	1	5	213	5	14	5
08021	301	54	2	3	4	201	5	26	6
08022	228	42	4	4	4	160	6	6	2
08023	193	46	3	2	4	117	5	13	3
08024	170	35	0	3	0	118	3	10	1
08025	212	42	0	3	5	140	3	17	2
08026	223	41	1	4	5	153	7	9	3
08027	280	40	4	2	3	206	4	16	5
08028	256	30	2	3	5	176	2	37	1
08029	299	55	1	2	3	208	3	24	3
08030	247	36	3	4	6	175	8	14	1
08031	191	39	5	2	5	121	3	16	0
08032	189	38	1	2	6	126	4	9	3
08033	242	38	2	4	5	166	9	14	4
08034	242	43	3	3	5	173	2	11	2
08035	270	36	0	4	4	185	6	28	7
08036	272	52	4	4	1	185	6	17	3
08037	233	33	0	3	4	159	6	23	5
08038	147	27	2	3	6	94	3	11	1
08039	240	33	2	1	4	179	3	15	3
08040	197	37	2	4	2	127	3	17	5
08041	241	45	5	5	7	155	1	21	2
08042	290	35	1	4	9	211	3	24	3
08043	116	27	1	0	3	73	6	6	0
08044	151	38	0	4	3	92	3	9	2
08045	180	40	3	4	8	108	3	13	1
08046	176	32	0	2	3	115	4	19	1
08047	200	43	2	3	5	129	4	10	4
08048	201	36	1	4	3	133	5	14	5
08049	226	34	6	5	3	160	6	11	1
08050	273	41	2	4	2	197	3	19	5
08051	280	34	2	4	2	208	7	21	2
08052	348	59	4	13	6	227	6	29	4
08053	140	22	0	1	2	96	5	13	1
08054	152	38	2	4	2	96	1	9	0
08055	222	38	0	4	9	156	4	10	1
08056	278	52	2	3	7	181	8	24	1
09001	229	60	5	5	6	136	5	10	2
09002	198	44	5	11	5	113	8	9	3
09003	139	33	2	3	10	71	1	17	2
09004	161	36	3	2	1	110	2	6	1
09005	234	44	4	2	2	158	3	19	2
09006	202	44	1	3	5	127	3	13	6
09007	165	40	3	5	3	93	6	13	2
09008	202	47	2	2	6	119	10	14	2
09009	267	57	1	3	10	161	10	21	4
09010	167	46	1	0	5	97	4	10	4
09011	164	37	2	3	4	90	12	15	1
09012	277	61	4	7	1	177	1	24	2
09013	270	52	1	1	5	190	3	14	4
09014	295	62	5	8	6	200	8	4	2
09015	126	52	0	2	3	57	2	9	1
09016	194	40	4	1	2	127	5	13	2
09017	148	37	3	8	3	83	5	6	3
09018	148	22	3	4	4	95	4	15	1
09019	198	55	2	2	3	120	3	12	1
09020	250	39	7	7	6	166	8	12	5
09021	194	50	2	4	4	117	4	9	4
09022	252	57	2	3	8	155	10	14	3
09023	286	54	1	3	4	198	5	20	1
09024	234	33	3	1	7	157	6	22	5
09025	219	49	3	5	7	135	5	14	1
09026	158	48	1	7	6	77	7	7	5
09027	195	57	1	6	4	107	3	15	2
09028	122	26	0	8	3	47	30	8	0
09029	184	49	2	4	5	101	12	10	1
09030	164	38	4	1	7	104	4	6	0
09031	158	30	1	3	5	97	8	12	2
09032	228	55	4	3	3	135	5	21	2
09033	154	37	0	6	4	93	5	8	1
09034	161	52	0	4	2	89	4	10	0
09035	232	51	2	5	6	141	6	19	2
09036	191	47	2	3	4	112	3	18	2
09037	318	80	8	11	11	117	42	35	14
09038	198	56	2	2	1	118	5	12	2
09039	237	55	2	7	1	151	6	13	2
09040	277	61	2	4	6	183	1	18	2
09041	169	37	6	2	5	104	3	9	3
09042	242	46	0	3	2	157	7	24	3
09043	184	48	2	3	5	113	6	7	0
09044	207	53	2	4	5	126	3	9	5
09045	160	40	2	2	0	102	3	10	1
09046	225	59	3	7	7	110	16	19	4
09047	275	65	2	2	7	174	2	19	4
09048	245	43	1	2	4	175	3	13	4
09049	238	38	2	2	6	163	6	18	3
09050	352	63	1	4	6	248	3	23	4
09051	241	41	6	3	5	166	4	12	4
10001	183	35	4	5	7	95	22	12	3
10002	177	53	3	17	13	30	44	13	4
10003	154	40	5	4	12	58	23	10	2
10004	140	47	7	3	4	47	25	7	0
10005	122	36	3	11	11	25	29	5	2
10006	130	36	4	9	2	23	47	6	3
10007	99	23	1	8	7	19	34	2	5
10008	88	19	0	2	5	41	14	5	2
10009	137	27	4	18	13	23	36	13	3
10010	174	52	7	9	3	37	49	10	7
10011	170	49	4	14	7	20	64	7	5
10012	95	31	4	7	5	13	30	3	2
10013	157	48	0	4	4	44	55	2	0
10014	188	57	5	9	7	32	65	4	9
10015	438	95	6	7	11	285	10	19	5
10016	112	32	4	9	2	31	26	7	1
10017	216	57	7	32	10	52	34	21	3
10018	98	31	1	2	6	35	16	4	3
10019	147	33	5	10	5	33	50	10	1
10020	167	59	10	7	8	25	44	13	1
10021	134	28	6	10	10	22	53	3	2
10022	94	31	3	2	9	14	31	2	2
10023	131	49	5	6	4	17	41	6	3
10024	147	33	9	17	14	40	19	10	5
10025	57	16	1	1	1	17	11	9	1
10026	110	42	5	2	6	22	27	4	2
10027	156	32	4	2	3	79	27	8	1
10028	163	61	5	9	7	32	41	7	1
10029	124	32	1	4	7	20	45	11	4
10030	141	51	6	4	10	24	40	1	5
10031	103	33	1	6	7	16	38	1	1
10032	143	49	2	6	9	21	50	5	1
10033	117	23	5	5	13	16	46	6	3
10034	92	24	4	3	1	38	16	5	1
10035	184	62	7	17	15	27	41	8	7
10036	48	17	0	0	1	20	7	1	2
11001	236	56	5	18	19	80	17	32	9
11002	16	5	0	1	0	8	0	1	1
11003	204	61	7	8	7	47	29	30	15
11004	229	72	11	17	19	49	26	27	8
11005	284	83	12	15	18	72	24	39	21
11006	283	58	16	14	19	75	26	63	12
11007	192	43	12	7	12	55	12	41	10
11008	211	79	4	14	14	46	25	18	11
11009	184	55	10	13	15	38	30	15	8
11010	217	72	20	21	13	53	13	20	5
11011	238	51	12	25	20	64	33	25	8
11012	349	118	14	45	19	124	12	13	4
11013	304	98	10	34	18	102	15	16	11
11014	122	54	9	11	6	27	6	8	1
11015	110	27	1	11	8	37	9	11	6
11016	173	55	7	28	9	52	3	12	7
11017	292	85	13	20	20	83	28	28	15
11018	197	72	15	13	14	52	9	20	2
11019	289	82	14	19	25	59	34	38	18
11020	172	58	4	16	8	64	9	11	2
11021	368	121	15	29	30	122	17	27	7
11022	277	92	21	20	14	66	30	21	13
11023	178	60	20	11	9	54	9	14	1
11024	364	109	14	21	13	168	20	13	6
11025	267	81	19	16	15	79	17	33	7
11026	329	85	13	16	24	126	28	17	20
11027	89	29	6	5	7	17	10	8	7
11028	96	34	4	7	3	28	6	9	5
11029	339	96	20	20	13	131	28	27	4
11030	113	36	3	12	6	35	8	8	5
11031	268	95	5	43	17	61	20	17	10
11032	140	39	18	9	7	54	3	6	4
11033	220	47	8	14	6	60	25	51	9
11034	110	37	9	9	21	26	4	4	0
11035	85	29	4	1	1	39	7	3	1
11036	96	41	7	6	9	19	2	9	3
11037	82	35	3	5	4	23	3	7	2
11038	116	24	6	7	8	30	15	19	7
12001	230	73	13	12	7	39	59	13	14
12002	177	54	7	9	9	24	62	10	2
12003	300	77	3	17	19	52	90	27	15
12004	245	76	4	16	17	35	69	16	12
12005	207	69	7	9	10	45	47	14	6
12006	192	56	9	6	10	32	68	8	3
12007	174	43	7	7	12	28	44	14	19
12008	230	70	13	11	15	41	65	12	3
12009	176	59	3	8	6	30	54	12	4
12010	215	73	2	3	11	36	70	11	9
12011	190	57	0	4	9	21	93	4	2
12012	184	61	3	11	7	22	63	7	10
12013	220	56	7	14	15	29	82	5	12
12014	173	51	1	1	8	22	77	4	9
12015	180	54	5	9	6	26	68	9	3
12016	145	47	2	3	4	19	67	1	2
12017	191	59	7	9	13	25	68	9	1
12018	132	46	2	0	3	22	49	6	4
12019	189	56	4	12	14	26	60	11	6
12020	217	60	5	5	12	28	82	14	11
12021	203	68	2	10	19	24	55	23	2
12022	164	45	1	6	10	18	64	8	12
12023	229	78	4	18	7	32	65	16	9
13001	197	87	8	21	8	27	33	11	2
13002	210	87	12	14	20	40	14	15	8
13003	165	73	9	11	7	18	36	8	3
13004	210	94	14	20	17	20	32	9	4
13005	228	99	4	18	13	25	57	9	3
13006	234	119	7	24	11	24	38	5	6
13007	146	63	6	7	8	28	24	8	2
13008	162	64	8	18	9	30	26	6	1
13009	171	59	5	15	7	24	51	5	5
13010	194	71	4	31	16	30	25	13	4
13011	239	99	7	21	20	31	41	11	9
13012	165	55	9	15	7	27	40	6	6
13013	206	108	4	14	15	21	38	5	1
13014	172	65	3	23	8	16	41	4	12
13015	309	135	8	17	19	30	77	14	9
13016	125	60	3	11	6	10	27	3	5
13017	189	87	7	21	14	19	24	15	2
