Precinct	total_votes	votes|Bobby L. Rush
34040	199	199
34041	4	4
34042	242	242
34043	210	210
34044	222	222
34045	194	194
34046	149	149
34047	171	171
34048	244	244
34049	212	212
34050	145	145
34051	232	232
34052	166	166
Bremen 1	219	219
Bremen 2	113	113
Bremen 3	79	79
Bremen 4	121	121
Bremen 5	98	98
Bremen 6	87	87
Bremen 9	103	103
Bremen 10	124	124
Bremen 11	143	143
Bremen 12	145	145
Bremen 13	170	170
Bremen 14	103	103
Bremen 15	103	103
Bremen 16	142	142
Bremen 17	193	193
Bremen 18	120	120
Bremen 19	91	91
Bremen 20	105	105
Bremen 21	164	164
Bremen 22	79	79
Bremen 23	81	81
Bremen 24	85	85
Bremen 25	180	180
Bremen 27	136	136
Bremen 28	86	86
Bremen 30	131	131
Bremen 33	86	86
Bremen 34	134	134
Bremen 36	76	76
Bremen 37	137	137
Bremen 40	109	109
Bremen 41	66	66
Bremen 42	129	129
Bremen 43	107	107
Bremen 45	30	30
Bremen 46	83	83
Bremen 50	117	117
Bremen 52	103	103
Bremen 53	75	75
Bremen 54	83	83
Bremen 55	102	102
Bremen 57	103	103
Bremen 58	144	144
Bremen 59	108	108
Bremen 60	118	118
Bremen 61	117	117
Bremen 62	120	120
Bremen 64	144	144
Bremen 65	106	106
Bremen 67	131	131
Bremen 68	73	73
Bremen 69	140	140
Bremen 72	82	82
Bremen 73	133	133
Bremen 74	134	134
Bremen 76	90	90
Bremen 77	177	177
Bremen 79	128	128
Calumet 1	179	179
Calumet 2	176	176
Calumet 3	237	237
Calumet 5	203	203
Calumet 6	297	297
Calumet 7	240	240
Calumet 8	102	102
Calumet 9	190	190
Calumet 10	296	296
Calumet 11	368	368
Calumet 12	168	168
Orland 3	87	87
Orland 5	92	92
Orland 6	87	87
Orland 7	66	66
Orland 10	125	125
Orland 11	93	93
Orland 13	176	176
Orland 14	117	117
Orland 17	99	99
Orland 19	90	90
Orland 21	137	137
Orland 24	105	105
Orland 25	205	205
Orland 27	86	86
Orland 28	76	76
Orland 30	73	73
Orland 31	80	80
Orland 32	66	66
Orland 33	90	90
Orland 34	123	123
Orland 35	146	146
Orland 37	164	164
Orland 38	60	60
Orland 40	114	114
Orland 46	105	105
Orland 48	125	125
Orland 50	55	55
Orland 52	121	121
Orland 54	150	150
Orland 55	118	118
Orland 62	119	119
Orland 67	67	67
Orland 69	101	101
Orland 72	109	109
Orland 73	141	141
Palos 1	77	77
Palos 9	36	36
Palos 33	128	128
Rich 7	221	221
Rich 20	245	245
Thornton 31	43	43
Thornton 49	10	10
Thornton 97	53	53
Worth 7	97	97
Worth 8	186	186
Worth 9	83	83
Worth 10	230	230
Worth 12	87	87
Worth 13	220	220
Worth 14	174	174
Worth 15	118	118
Worth 16	196	196
Worth 17	170	170
Worth 18	89	89
Worth 19	140	140
Worth 20	99	99
Worth 23	138	138
Worth 24	97	97
Worth 29	174	174
Worth 31	236	236
Worth 32	111	111
Worth 34	143	143
Worth 37	150	150
Worth 38	226	226
Worth 39	164	164
Worth 42	131	131
Worth 43	138	138
Worth 45	149	149
Worth 50	151	151
Worth 52	75	75
Worth 54	190	190
Worth 55	82	82
Worth 57	187	187
Worth 59	339	339
Worth 64	165	165
Worth 65	166	166
Worth 68	150	150
Worth 69	232	232
Worth 72	183	183
Worth 73	96	96
Worth 79	82	82
Worth 80	220	220
Worth 81	44	44
Worth 87	96	96
Worth 88	103	103
Worth 89	171	171
Worth 95	120	120
Worth 96	218	218
Worth 97	179	179
