Precinct	total_votes	votes|Karen Yarbrough
29035	131	131
29036	177	177
29037	181	181
29040	218	218
29041	141	141
29042	181	181
29043	166	166
29044	223	223
36005	109	109
36021	74	74
37001	105	105
37002	86	86
37003	102	102
37004	103	103
37005	172	172
37006	151	151
37007	91	91
37008	86	86
37009	160	160
37010	162	162
37011	84	84
37012	88	88
37013	108	108
37014	162	162
37015	166	166
37016	159	159
37017	125	125
37018	150	150
37019	109	109
37020	105	105
37021	133	133
37022	99	99
37023	155	155
37024	165	165
37025	144	144
37026	194	194
37027	144	144
37028	113	113
37029	144	144
37030	128	128
37031	141	141
37032	149	149
37033	177	177
37034	128	128
37035	188	188
37036	127	127
37037	188	188
37038	178	178
37039	119	119
37040	174	174
37041	127	127
42001	166	166
42002	137	137
42003	171	171
42004	230	230
42005	128	128
42006	238	238
42007	198	198
42008	162	162
42009	166	166
42010	195	195
42011	133	133
42012	170	170
42013	195	195
42014	138	138
42015	123	123
42016	173	173
42017	209	209
42018	113	113
42019	212	212
42020	122	122
42021	137	137
42022	66	66
42023	159	159
42024	152	152
42025	134	134
42026	179	179
42027	146	146
42028	233	233
42029	159	159
42030	177	177
42031	177	177
42032	107	107
42033	173	173
42034	148	148
42035	237	237
42036	218	218
42037	99	99
42038	122	122
42039	148	148
42040	199	199
42041	152	152
42042	231	231
43001	99	99
43005	16	16
43009	24	24
43033	207	207
43035	214	214
43045	117	117
Berwyn Ward 6 Precinct 2	118	118
Berwyn Ward 6 Precinct 3	64	64
Berwyn Ward 6 Precinct 4	43	43
Berwyn Ward 7 Precinct 1	145	145
Berwyn Ward 7 Precinct 2	160	160
Berwyn Ward 7 Precinct 3	180	180
Berwyn Ward 7 Precinct 4	175	175
Berwyn Ward 8 Precinct 1	250	250
Berwyn Ward 8 Precinct 2	1	1
Oak Park 1	285	285
Oak Park 2	429	429
Oak Park 3	491	491
Oak Park 4	375	375
Oak Park 5	430	430
Oak Park 6	384	384
Oak Park 7	277	277
Oak Park 8	391	391
Oak Park 9	226	226
Oak Park 10	387	387
Oak Park 11	321	321
Oak Park 12	171	171
