Precinct	total_votes	votes|Michael Cabonargi
16018	107	107
16019	70	70
16022	49	49
16023	9	9
16032	109	109
16035	132	132
17006	67	67
17007	94	94
17012	48	48
17014	138	138
17016	16	16
22001	102	102
22002	194	194
22007	83	83
22008	188	188
22009	86	86
22010	13	13
22011	96	96
22012	141	141
22014	32	32
22015	79	79
22018	96	96
22019	20	20
22022	102	102
22023	66	66
22025	110	110
23004	165	165
23005	145	145
23006	146	146
23007	122	122
23008	176	176
23009	121	121
23010	170	170
23013	109	109
23015	115	115
23017	72	72
23019	115	115
23020	71	71
23022	84	84
23024	114	114
23025	123	123
23026	146	146
23029	134	134
23030	161	161
23031	89	89
23032	134	134
23033	145	145
23034	114	114
23038	122	122
23039	130	130
24007	69	69
24016	143	143
25001	150	150
25002	148	148
25004	10	10
25005	167	167
25006	49	49
25007	147	147
25008	169	169
25009	140	140
25011	173	173
25012	140	140
25013	144	144
25014	81	81
25015	123	123
25017	171	171
25018	55	55
25019	167	167
25021	0	0
25022	138	138
25023	188	188
25024	150	150
25026	129	129
25027	126	126
25028	158	158
25029	47	47
25030	144	144
25032	124	124
26001	146	146
26002	126	126
26003	160	160
26005	126	126
26006	103	103
26007	121	121
26008	54	54
26009	106	106
26010	120	120
26011	121	121
26012	111	111
26013	58	58
26014	92	92
26015	61	61
26016	66	66
26017	97	97
26018	75	75
26020	105	105
26021	142	142
26022	46	46
26023	74	74
26024	119	119
26025	107	107
26026	71	71
26027	161	161
26028	177	177
26029	76	76
26030	101	101
26031	60	60
26032	133	133
26033	131	131
26034	152	152
26035	108	108
26036	109	109
26037	113	113
26038	50	50
26039	130	130
26040	82	82
26041	130	130
26042	98	98
26043	53	53
26044	76	76
26045	37	37
26046	79	79
26047	60	60
26048	105	105
26049	54	54
27001	137	137
27005	2	2
27006	103	103
27007	182	182
27009	58	58
27011	113	113
27012	63	63
27013	231	231
27016	2	2
27020	60	60
27021	106	106
27027	5	5
27028	78	78
27033	36	36
27035	135	135
27037	141	141
27038	228	228
27040	138	138
27042	87	87
27043	9	9
27045	154	154
27046	81	81
27047	103	103
27048	160	160
28019	99	99
28046	184	184
29001	233	233
29007	174	174
29009	187	187
29010	208	208
29023	158	158
29029	126	126
29030	211	211
29031	112	112
29032	88	88
29038	108	108
29039	128	128
29043	225	225
30001	156	156
30002	98	98
30003	118	118
30004	109	109
30005	66	66
30007	124	124
30008	173	173
30009	89	89
30010	104	104
30012	78	78
30013	107	107
30014	57	57
30015	165	165
30016	43	43
30017	146	146
30018	130	130
30019	107	107
30020	124	124
30021	92	92
30022	163	163
30023	112	112
30024	152	152
30025	188	188
30026	74	74
30027	65	65
30028	168	168
30029	57	57
30030	38	38
30031	77	77
30032	107	107
31001	55	55
31002	80	80
31003	55	55
31004	124	124
31005	101	101
31006	63	63
31007	163	163
31008	61	61
31009	88	88
31010	78	78
31011	53	53
31012	72	72
31013	89	89
31014	83	83
31015	75	75
31016	130	130
31017	83	83
31018	75	75
31019	63	63
31020	76	76
31021	77	77
31022	64	64
31023	68	68
31024	103	103
31025	76	76
31026	76	76
31027	89	89
31028	59	59
31029	93	93
31030	62	62
31031	63	63
31032	51	51
31033	56	56
31034	86	86
31035	78	78
31036	95	95
31037	77	77
31038	58	58
31039	89	89
31040	84	84
31041	68	68
32001	202	202
32002	140	140
32003	221	221
32004	154	154
32005	170	170
32006	177	177
32007	165	165
32008	150	150
32009	160	160
32010	160	160
32011	212	212
32012	132	132
32013	149	149
32014	192	192
32015	153	153
32016	172	172
32017	189	189
32018	130	130
32019	147	147
32020	199	199
32021	205	205
32022	259	259
32023	144	144
32024	95	95
32025	176	176
32026	217	217
32027	138	138
32028	190	190
32029	203	203
32030	120	120
32031	173	173
32032	178	178
32033	166	166
32034	154	154
32035	147	147
32036	159	159
32037	132	132
32038	140	140
32039	164	164
32040	185	185
32041	163	163
32042	142	142
32043	178	178
33001	200	200
33002	245	245
33003	250	250
33004	227	227
33005	133	133
33006	162	162
33007	206	206
33008	300	300
33009	217	217
33010	165	165
33011	186	186
33012	166	166
33013	180	180
33014	83	83
33015	214	214
33016	256	256
33017	197	197
33018	217	217
33019	180	180
33020	190	190
33021	215	215
33022	190	190
33023	209	209
33024	317	317
33025	225	225
33026	138	138
33027	187	187
33028	171	171
35001	151	151
35002	200	200
35003	154	154
35004	138	138
35005	134	134
35006	148	148
35007	163	163
35008	173	173
35009	125	125
35010	229	229
35011	149	149
35012	112	112
35013	97	97
35014	111	111
35015	169	169
35016	83	83
35017	155	155
35018	96	96
35019	65	65
35020	133	133
35021	155	155
35022	184	184
35023	161	161
35024	126	126
35025	180	180
35026	134	134
35027	132	132
35028	140	140
35029	98	98
35030	127	127
35031	175	175
36001	112	112
36003	102	102
36004	58	58
36006	78	78
36007	163	163
36008	81	81
36009	84	84
36010	129	129
36011	62	62
36012	57	57
36013	62	62
36014	137	137
36015	171	171
36016	150	150
36017	160	160
36018	133	133
36019	121	121
36020	123	123
36022	59	59
36024	97	97
36025	79	79
36026	93	93
36027	112	112
36028	89	89
36029	119	119
36030	112	112
37010	52	52
37022	23	23
38001	119	119
38002	142	142
38003	110	110
38004	129	129
38005	122	122
38006	104	104
38007	107	107
38008	121	121
38009	138	138
38010	112	112
38011	139	139
38012	120	120
38013	137	137
38014	128	128
38015	116	116
38016	128	128
38017	142	142
38018	134	134
38019	160	160
38020	132	132
38021	115	115
38022	138	138
38023	165	165
38024	123	123
38025	102	102
38026	122	122
38027	128	128
38028	144	144
38029	137	137
38030	117	117
38031	162	162
38032	115	115
38033	126	126
38034	143	143
38035	130	130
38036	120	120
38037	147	147
38038	121	121
38039	175	175
38040	151	151
38041	164	164
39001	175	175
39002	168	168
39003	215	215
39004	164	164
39005	161	161
39006	164	164
39007	143	143
39008	159	159
39009	143	143
39010	87	87
39011	132	132
39012	205	205
39013	122	122
39014	137	137
39015	157	157
39016	103	103
39017	195	195
39018	166	166
39019	171	171
39020	169	169
39021	130	130
39022	98	98
39023	175	175
39024	154	154
39025	135	135
39026	135	135
39027	41	41
39028	227	227
39029	91	91
39030	187	187
39031	134	134
39032	137	137
39033	172	172
39034	163	163
39035	140	140
39036	50	50
39037	200	200
39038	117	117
39039	96	96
39040	136	136
39041	170	170
39042	199	199
39043	176	176
39044	122	122
39045	160	160
40001	133	133
40002	157	157
40003	245	245
40004	102	102
40005	207	207
40006	221	221
40007	219	219
40008	257	257
40009	110	110
40010	145	145
40011	200	200
40012	140	140
40013	314	314
40014	115	115
40015	156	156
40016	242	242
40017	163	163
40018	122	122
40019	200	200
40020	153	153
40021	239	239
40022	198	198
40023	248	248
40024	121	121
40025	237	237
40026	207	207
40027	236	236
40028	221	221
40029	186	186
40030	172	172
40031	241	241
40032	241	241
40033	243	243
40034	130	130
40035	106	106
40036	173	173
40037	173	173
40038	261	261
40039	40	40
41001	111	111
41002	142	142
41004	162	162
41006	205	205
41009	148	148
41010	187	187
41011	29	29
41012	133	133
41014	179	179
41016	46	46
41019	170	170
41022	11	11
41024	107	107
41027	56	56
41032	130	130
41035	7	7
41039	186	186
41040	173	173
41042	121	121
41044	138	138
41047	160	160
42001	139	139
42003	149	149
42005	116	116
42009	107	107
42012	149	149
42014	120	120
42015	110	110
42016	148	148
42017	165	165
42018	93	93
42019	40	40
42021	124	124
42023	103	103
42024	123	123
42034	124	124
42036	183	183
42037	85	85
42038	117	117
42039	109	109
42041	129	129
43001	87	87
43002	133	133
43003	152	152
43004	160	160
43005	141	141
43006	102	102
43007	116	116
43008	127	127
43009	188	188
43010	190	190
43011	90	90
43012	119	119
43013	165	165
43014	174	174
43015	143	143
43016	102	102
43017	119	119
43018	173	173
43019	177	177
43020	144	144
43021	156	156
43022	104	104
43023	118	118
43024	110	110
43025	156	156
43026	117	117
43027	159	159
43028	161	161
43029	129	129
43030	139	139
43031	175	175
43032	168	168
43033	171	171
43034	133	133
43035	174	174
43036	67	67
43037	151	151
43038	112	112
43039	103	103
43040	106	106
43041	213	213
43042	164	164
43043	160	160
43044	143	143
43045	95	95
43046	74	74
44001	286	286
44002	177	177
44003	149	149
44004	160	160
44005	192	192
44006	219	219
44007	141	141
44008	245	245
44009	135	135
44010	151	151
44011	175	175
44012	204	204
44013	109	109
44014	134	134
44015	169	169
44016	185	185
44017	264	264
44018	166	166
44019	229	229
44020	167	167
44021	203	203
44022	215	215
44023	179	179
44024	135	135
44025	159	159
44026	199	199
44027	200	200
44028	189	189
44029	152	152
44030	185	185
44031	129	129
44032	182	182
44033	191	191
44034	219	219
44035	229	229
44036	155	155
44037	206	206
44038	126	126
44039	162	162
44040	116	116
44041	203	203
45001	129	129
45002	164	164
45003	171	171
45004	222	222
45005	204	204
45006	227	227
45007	276	276
45008	144	144
45009	148	148
45010	148	148
45011	109	109
45012	162	162
45013	150	150
45014	194	194
45015	238	238
45016	152	152
45017	152	152
45018	147	147
45019	73	73
45020	109	109
45021	130	130
45022	133	133
45023	130	130
45024	128	128
45025	97	97
45026	78	78
45027	126	126
45028	99	99
45029	84	84
45030	141	141
45031	121	121
45032	118	118
45033	102	102
45034	161	161
45035	156	156
45036	155	155
45037	143	143
45038	117	117
45039	123	123
45040	149	149
45041	122	122
45042	139	139
45043	152	152
45044	127	127
46001	146	146
46002	174	174
46003	253	253
46004	188	188
46005	188	188
46006	139	139
46007	232	232
46008	133	133
46009	221	221
46010	230	230
46011	157	157
46012	222	222
46013	163	163
46014	189	189
46015	174	174
46016	221	221
46017	223	223
46018	202	202
46019	164	164
46020	159	159
46021	113	113
46022	104	104
46023	137	137
46024	208	208
46025	163	163
46026	188	188
46027	227	227
46028	229	229
46029	156	156
46030	185	185
46031	182	182
46032	173	173
46033	214	214
46034	184	184
46035	173	173
46036	202	202
46037	145	145
46038	153	153
46039	192	192
46040	192	192
47001	99	99
47002	214	214
47003	250	250
47004	260	260
47005	241	241
47006	215	215
47007	190	190
47008	236	236
47009	190	190
47010	283	283
47011	187	187
47012	264	264
47013	245	245
47014	214	214
47015	295	295
47016	243	243
47017	207	207
47018	189	189
47019	268	268
47020	202	202
47021	231	231
47022	242	242
47023	263	263
47024	205	205
47025	233	233
47026	247	247
47027	207	207
47028	210	210
47029	231	231
47030	260	260
47031	183	183
47032	267	267
47033	162	162
47034	238	238
47035	209	209
47036	257	257
47037	213	213
47038	202	202
47039	228	228
47040	269	269
47041	248	248
47042	227	227
47043	189	189
47044	154	154
47045	222	222
47046	210	210
47047	211	211
47048	21	21
48001	205	205
48002	101	101
48003	213	213
48004	197	197
48005	147	147
48006	251	251
48007	218	218
48008	128	128
48009	125	125
48010	299	299
48011	198	198
48012	248	248
48013	273	273
48014	115	115
48015	110	110
48016	207	207
48017	207	207
48018	154	154
48019	199	199
48020	274	274
48021	226	226
48022	237	237
48023	229	229
48024	192	192
48025	227	227
48026	88	88
48027	220	220
48028	223	223
48029	137	137
48030	205	205
48031	225	225
48032	196	196
48033	145	145
48034	172	172
48035	135	135
48036	143	143
48037	205	205
48038	259	259
48039	181	181
48040	215	215
48041	209	209
48042	292	292
48043	210	210
48044	277	277
48045	175	175
48046	130	130
49001	124	124
49002	137	137
49003	250	250
49004	244	244
49005	252	252
49006	195	195
49007	199	199
49008	151	151
49009	211	211
49010	232	232
49011	277	277
49012	299	299
49013	264	264
49014	181	181
49015	146	146
49016	225	225
49017	119	119
49018	275	275
49019	156	156
49020	332	332
49021	115	115
49022	234	234
49023	273	273
49024	139	139
49025	269	269
49026	221	221
49027	222	222
49028	257	257
49029	259	259
49030	255	255
49031	174	174
49032	210	210
49033	175	175
50001	130	130
50002	99	99
50003	137	137
50004	170	170
50005	91	91
50006	183	183
50007	229	229
50008	131	131
50009	142	142
50010	93	93
50011	88	88
50012	73	73
50013	138	138
50014	41	41
50015	209	209
50016	44	44
50017	89	89
50018	34	34
50019	87	87
50020	147	147
50021	125	125
50022	97	97
50023	78	78
50024	96	96
50025	108	108
50026	116	116
50027	45	45
50028	125	125
50029	78	78
50030	90	90
50031	159	159
50032	143	143
50033	121	121
50034	204	204
50035	217	217
50036	155	155
50037	166	166
50038	78	78
50039	66	66
50040	108	108
Evanston Ward 1 Precinct 1	130	130
Evanston Ward 1 Precinct 2	259	259
Evanston Ward 1 Precinct 3	258	258
Evanston Ward 1 Precinct 4	383	383
Evanston Ward 2 Precinct 1	406	406
Evanston Ward 2 Precinct 2	217	217
Evanston Ward 2 Precinct 3	223	223
Evanston Ward 2 Precinct 4	327	327
Evanston Ward 2 Precinct 5	258	258
Evanston Ward 3 Precinct 1	266	266
Evanston Ward 3 Precinct 2	336	336
Evanston Ward 3 Precinct 3	310	310
Evanston Ward 3 Precinct 4	154	154
Evanston Ward 3 Precinct 5	244	244
Evanston Ward 3 Precinct 6	269	269
Evanston Ward 3 Precinct 7	267	267
Evanston Ward 4 Precinct 1	157	157
Evanston Ward 4 Precinct 2	259	259
Evanston Ward 4 Precinct 3	141	141
Evanston Ward 4 Precinct 4	426	426
Evanston Ward 4 Precinct 5	174	174
Evanston Ward 4 Precinct 6	343	343
Evanston Ward 5 Precinct 1	209	209
Evanston Ward 5 Precinct 2	285	285
Evanston Ward 5 Precinct 3	241	241
Evanston Ward 5 Precinct 4	122	122
Evanston Ward 6 Precinct 1	505	505
Evanston Ward 6 Precinct 2	254	254
Evanston Ward 6 Precinct 3	251	251
Evanston Ward 6 Precinct 4	310	310
Evanston Ward 6 Precinct 5	388	388
Evanston Ward 6 Precinct 6	203	203
Evanston Ward 6 Precinct 7	403	403
Evanston Ward 7 Precinct 1	443	443
Evanston Ward 7 Precinct 2	467	467
Evanston Ward 7 Precinct 3	61	61
Evanston Ward 7 Precinct 4	272	272
Evanston Ward 7 Precinct 5	399	399
Evanston Ward 7 Precinct 6	16	16
Evanston Ward 8 Precinct 1	313	313
Evanston Ward 8 Precinct 2	216	216
Evanston Ward 8 Precinct 3	190	190
Evanston Ward 8 Precinct 4	310	310
Evanston Ward 8 Precinct 5	307	307
Evanston Ward 9 Precinct 1	190	190
Evanston Ward 9 Precinct 2	269	269
Evanston Ward 9 Precinct 3	391	391
Evanston Ward 9 Precinct 4	367	367
Evanston Ward 9 Precinct 5	209	209
Evanston Ward 9 Precinct 6	263	263
Leyden 1	1	1
Leyden 42	128	128
Maine 15	70	70
Maine 40	117	117
Maine 62	67	67
Maine 63	103	103
Maine 71	73	73
Maine 73	39	39
Maine 90	59	59
New Trier 3	219	219
New Trier 15	124	124
New Trier 17	215	215
New Trier 18	146	146
New Trier 21	271	271
New Trier 24	260	260
New Trier 26	212	212
New Trier 27	241	241
New Trier 28	186	186
New Trier 30	235	235
New Trier 31	246	246
New Trier 32	192	192
New Trier 33	282	282
New Trier 34	153	153
New Trier 35	136	136
New Trier 36	295	295
New Trier 37	256	256
New Trier 38	231	231
Niles 1	190	190
Niles 2	166	166
Niles 3	73	73
Niles 4	96	96
Niles 5	94	94
Niles 6	115	115
Niles 7	221	221
Niles 8	111	111
Niles 9	117	117
Niles 10	172	172
Niles 12	109	109
Niles 13	141	141
Niles 14	259	259
Niles 15	203	203
Niles 16	221	221
Niles 17	250	250
Niles 18	143	143
Niles 19	201	201
Niles 20	152	152
Niles 21	305	305
Niles 22	173	173
Niles 23	192	192
Niles 24	228	228
Niles 25	135	135
Niles 26	174	174
Niles 27	124	124
Niles 28	232	232
Niles 29	103	103
Niles 30	117	117
Niles 31	223	223
Niles 32	69	69
Niles 33	207	207
Niles 34	169	169
Niles 35	185	185
Niles 36	129	129
Niles 37	189	189
Niles 38	295	295
Niles 39	197	197
Niles 40	87	87
Niles 41	203	203
Niles 42	172	172
Niles 43	184	184
Niles 44	246	246
Niles 45	178	178
Niles 46	160	160
Niles 47	116	116
Niles 48	156	156
Niles 49	366	366
Niles 50	186	186
Niles 51	82	82
Niles 52	129	129
Niles 53	258	258
Niles 54	119	119
Niles 55	149	149
Niles 56	202	202
Niles 57	194	194
Niles 58	183	183
Niles 59	262	262
Niles 60	247	247
Niles 61	247	247
Niles 62	134	134
Niles 63	282	282
Niles 64	238	238
Norwood Park 1	135	135
Norwood Park 2	181	181
Norwood Park 4	162	162
Norwood Park 5	146	146
Norwood Park 6	184	184
Norwood Park 7	132	132
Norwood Park 8	85	85
Norwood Park 9	106	106
Norwood Park 12	133	133
Norwood Park 13	114	114
Norwood Park 15	110	110
Norwood Park 16	99	99
Norwood Park 17	160	160
