Precinct	Votes	votes|Danny K. Davis	pct|Danny K. Davis	votes|Anthony V. Clark	pct|Anthony V. Clark
27021	142	106	74.65	36	25.35
27022	116	103	88.79	13	11.21
27023	161	142	88.20	19	11.80
27024	105	88	83.81	17	16.19
27025	181	145	80.11	36	19.89
27026	175	150	85.71	25	14.29
27027	181	146	80.66	35	19.34
27028	96	76	79.17	20	20.83
27029	108	92	85.19	16	14.81
27030	107	97	90.65	10	9.35
27031	168	143	85.12	25	14.88
27032	159	122	76.73	37	23.27
27033	153	111	72.55	42	27.45
27034	150	133	88.67	17	11.33
27035	165	107	64.85	58	35.15
27036	151	124	82.12	27	17.88
27037	221	182	82.35	39	17.65
27038	310	248	80.00	62	20.00
27039	155	135	87.10	20	12.90
27040	167	124	74.25	43	25.75
27041	217	206	94.93	11	5.07
27042	85	77	90.59	8	9.41
27043	114	98	85.96	16	14.04
27044	128	116	90.63	12	9.38
27045	239	161	67.36	78	32.64
27047	162	138	85.19	24	14.81
27048	245	186	75.92	59	24.08
27049	138	122	88.41	16	11.59
27050	182	162	89.01	20	10.99
28001	115	102	88.70	13	11.30
28002	142	122	85.92	20	14.08
28003	134	116	86.57	18	13.43
28004	105	67	63.81	38	36.19
28005	124	104	83.87	20	16.13
28006	119	99	83.19	20	16.81
28007	151	137	90.73	14	9.27
28008	130	83	63.85	47	36.15
28009	155	135	87.10	20	12.90
28010	207	159	76.81	48	23.19
28011	251	162	64.54	89	35.46
28012	166	153	92.17	13	7.83
28013	178	155	87.08	23	12.92
28014	151	137	90.73	14	9.27
28015	54	47	87.04	7	12.96
28016	100	88	88.00	12	12.00
28017	129	112	86.82	17	13.18
28018	149	133	89.26	16	10.74
28019	148	102	68.92	46	31.08
28020	163	139	85.28	24	14.72
28021	140	123	87.86	17	12.14
28022	149	127	85.23	22	14.77
28023	176	160	90.91	16	9.09
28024	141	120	85.11	21	14.89
28025	253	229	90.51	24	9.49
28026	177	160	90.40	17	9.60
28027	162	111	68.52	51	31.48
28028	204	147	72.06	57	27.94
28029	66	56	84.85	10	15.15
28030	38	37	97.37	1	2.63
28031	273	237	86.81	36	13.19
28032	154	133	86.36	21	13.64
28033	185	167	90.27	18	9.73
28034	227	201	88.55	26	11.45
28035	168	151	89.88	17	10.12
28036	88	79	89.77	9	10.23
28037	204	184	90.20	20	9.80
28038	75	67	89.33	8	10.67
28039	106	95	89.62	11	10.38
28040	210	195	92.86	15	7.14
28041	128	113	88.28	15	11.72
28042	176	159	90.34	17	9.66
28043	201	178	88.56	23	11.44
28044	121	108	89.26	13	10.74
28045	120	78	65.00	42	35.00
28046	260	171	65.77	89	34.23
29001	308	220	71.43	88	28.57
29002	310	272	87.74	38	12.26
29003	212	179	84.43	33	15.57
29004	264	233	88.26	31	11.74
29005	150	131	87.33	19	12.67
29006	175	152	86.86	23	13.14
29007	241	194	80.50	47	19.50
29008	142	122	85.92	20	14.08
29009	3	2	66.67	1	33.33
29010	296	193	65.20	103	34.80
29011	138	110	79.71	28	20.29
29012	270	226	83.70	44	16.30
29013	219	195	89.04	24	10.96
29014	204	180	88.24	24	11.76
29015	259	219	84.56	40	15.44
29016	234	168	71.79	66	28.21
29017	226	198	87.61	28	12.39
29018	220	182	82.73	38	17.27
29019	233	186	79.83	47	20.17
29020	263	222	84.41	41	15.59
29021	234	211	90.17	23	9.83
29022	182	142	78.02	40	21.98
29024	216	177	81.94	39	18.06
29025	284	241	84.86	43	15.14
