Precinct	total_votes	votes|Joseph Berrios	votes|Frederick ''Fritz'' Kaegi	votes|Andrea A. Raila
08011	207	110	63	34
08012	190	91	62	37
08013	235	117	66	52
08014	118	49	30	39
08015	204	93	65	46
08016	59	21	20	18
08017	221	100	80	41
08018	152	78	40	34
08019	291	157	90	44
08020	268	118	93	57
08021	287	145	98	44
08022	219	107	63	49
08023	180	87	55	38
08024	165	85	55	25
08025	198	93	62	43
08026	202	81	69	52
08027	260	100	102	58
08028	246	91	99	56
08029	283	139	97	47
08030	223	102	73	48
08031	174	85	58	31
08032	163	82	43	38
08033	220	122	55	43
08034	229	111	71	47
08035	263	116	96	51
08036	245	106	79	60
08037	221	99	81	41
08038	136	66	42	28
08039	211	104	60	47
08040	183	86	71	26
08041	228	105	72	51
08042	270	116	96	58
08043	101	54	28	19
08044	146	77	40	29
08045	172	76	56	40
08046	161	63	68	30
08047	186	103	48	35
08048	191	101	52	38
08049	221	106	76	39
08050	261	117	101	43
08051	272	118	104	50
08052	325	159	100	66
08053	133	61	42	30
08054	144	85	33	26
08055	194	97	66	31
08056	259	117	95	47
09001	216	90	79	47
09002	189	83	63	43
09003	120	51	36	33
09004	153	74	54	25
09005	227	102	87	38
09006	188	92	57	39
09007	153	56	55	42
09008	180	81	54	45
09009	252	105	92	55
09010	159	75	59	25
09011	150	65	58	27
09012	265	123	93	49
09013	267	109	107	51
09014	279	117	114	48
09015	111	38	33	40
09016	193	97	58	38
09017	135	64	43	28
09018	138	70	42	26
09019	192	81	63	48
09020	234	120	58	56
09021	180	89	50	41
09022	233	94	89	50
09023	266	102	116	48
09024	217	92	89	36
09025	204	85	72	47
09026	143	58	54	31
09027	185	61	83	41
09028	116	54	40	22
09029	164	70	51	43
09030	155	66	52	37
09031	137	60	46	31
09032	204	82	80	42
09033	142	66	43	33
09034	154	79	41	34
09035	221	84	85	52
09036	177	81	61	35
09037	298	89	152	57
09038	187	79	58	50
09039	230	109	75	46
09040	262	109	100	53
09041	157	58	76	23
09042	233	85	106	42
09043	163	80	48	35
09044	193	81	81	31
09045	147	64	50	33
09046	216	83	89	44
09047	257	108	99	50
09048	234	90	91	53
09049	226	112	76	38
09050	339	139	141	59
09051	223	97	74	52
10001	163	68	61	34
10002	166	60	60	46
10003	137	67	38	32
10004	129	68	34	27
10005	116	44	41	31
10006	126	59	41	26
10007	97	46	25	26
10008	82	24	26	32
10009	131	43	59	29
10010	161	72	58	31
10011	161	90	43	28
10012	92	38	31	23
10013	156	85	40	31
10014	180	78	59	43
10015	407	217	106	84
10016	113	36	44	33
10017	209	69	102	38
10018	99	49	25	25
10019	137	58	49	30
10020	151	81	50	20
10021	128	62	45	21
10022	88	48	26	14
10023	123	64	42	17
10024	140	55	56	29
10025	52	27	17	8
10026	105	56	34	15
10027	149	66	38	45
10028	163	68	59	36
10029	123	58	39	26
10030	132	59	38	35
10031	98	45	33	20
10032	135	62	38	35
10033	117	57	34	26
10034	87	43	20	24
10035	178	77	70	31
10036	43	28	10	5
11001	230	89	90	51
11002	14	8	3	3
11003	187	42	100	45
11004	213	93	73	47
11005	274	81	133	60
11006	263	63	138	62
11007	174	45	95	34
11008	195	76	71	48
11009	179	66	77	36
11010	205	82	79	44
11011	231	89	97	45
11012	333	179	124	30
11013	290	146	108	36
11014	114	41	56	17
11015	101	48	43	10
11016	160	71	63	26
11017	276	87	139	50
11018	191	103	60	28
11019	275	95	113	67
11020	164	66	79	19
11021	359	172	144	43
11022	255	110	107	38
11023	175	75	72	28
11024	350	186	127	37
11025	259	85	133	41
11026	307	140	110	57
11027	80	33	27	20
11028	90	47	27	16
11029	313	180	87	46
11030	105	44	44	17
11031	251	103	118	30
11032	137	84	41	12
11033	211	54	121	36
11034	80	43	23	14
11035	76	54	11	11
11036	84	33	39	12
11037	57	17	32	8
11038	107	24	58	25
12001	219	88	94	37
12002	162	64	71	27
12003	281	80	155	46
12004	238	92	105	41
12005	203	53	115	35
12006	186	62	90	34
12007	169	58	78	33
12008	221	98	77	46
12009	177	67	61	49
12010	205	78	77	50
12011	185	85	51	49
12012	178	78	53	47
12013	204	85	72	47
12014	171	73	67	31
12015	170	73	58	39
12016	141	53	47	41
12017	180	72	63	45
12018	119	46	49	24
12019	182	70	70	42
12020	206	97	75	34
12021	187	61	87	39
12022	153	74	48	31
12023	217	84	79	54
13001	184	93	54	37
13002	206	106	72	28
13003	152	83	40	29
13004	204	97	69	38
13005	229	134	48	47
13006	226	110	83	33
13007	140	81	39	20
13008	161	77	58	26
13009	175	90	50	35
13010	194	79	88	27
13011	231	118	76	37
13012	168	87	52	29
13013	222	160	36	26
13014	167	92	48	27
13015	307	193	53	61
13016	122	84	21	17
13017	191	93	68	30
13018	161	74	57	30
13019	158	102	29	27
13020	119	60	39	20
13021	220	113	78	29
13022	224	95	93	36
13023	144	85	29	30
13024	194	109	53	32
13025	178	95	44	39
13026	174	110	40	24
13027	207	119	48	40
13028	162	96	37	29
13029	148	84	40	24
13030	171	119	31	21
13031	229	115	88	26
13032	176	81	72	23
13033	224	117	72	35
13034	295	211	49	35
13035	214	138	43	33
13036	118	76	27	15
13037	256	148	65	43
13038	195	93	71	31
13039	202	142	35	25
13040	212	111	59	42
13041	199	125	43	31
13042	224	102	97	25
13043	222	128	59	35
13044	239	171	42	26
13045	262	144	87	31
13046	228	135	54	39
13047	198	126	42	30
13048	214	111	85	18
14001	267	121	110	36
14002	252	131	85	36
14003	160	77	57	26
14004	244	122	88	34
14005	246	136	72	38
14006	99	65	11	23
14007	195	96	53	46
14008	184	85	70	29
14009	270	124	101	45
14010	128	55	44	29
14011	128	84	30	14
14012	214	104	72	38
14013	181	100	54	27
14014	209	112	51	46
14015	192	112	39	41
14016	145	59	48	38
14017	166	93	28	45
14018	92	48	23	21
14019	196	116	45	35
14020	121	60	34	27
14021	199	96	55	48
14022	248	112	85	51
14023	165	91	46	28
14024	294	119	129	46
14025	115	59	32	24
14026	149	72	46	31
14027	187	96	56	35
14028	139	64	45	30
14029	186	95	69	22
14030	107	65	23	19
14031	100	50	27	23
15001	169	68	55	46
15002	110	53	21	36
15003	115	68	28	19
15004	170	81	49	40
15005	149	73	40	36
15006	151	87	34	30
15007	112	57	32	23
15008	156	71	51	34
15009	210	109	53	48
15010	212	77	83	52
15011	184	80	70	34
15012	186	85	57	44
15013	159	66	45	48
15014	141	56	53	32
15015	124	57	38	29
15016	179	89	45	45
15017	145	77	44	24
15018	93	48	18	27
15019	173	81	49	43
15020	110	50	35	25
15021	123	51	37	35
15022	107	51	31	25
15023	136	67	45	24
15024	103	63	28	12
16001	188	99	33	56
16002	151	85	31	35
16003	111	57	34	20
16004	120	54	32	34
16005	106	52	24	30
16006	132	71	32	29
16007	125	61	31	33
16008	93	42	32	19
16009	165	73	49	43
16010	118	65	30	23
16011	112	62	25	25
16012	110	46	37	27
16013	116	65	24	27
16014	112	58	35	19
16015	165	72	56	37
