Precinct	total_votes	votes|Joseph Berrios	votes|Frederick ''Fritz'' Kaegi	votes|Andrea A. Raila
31012	89	39	34	16
31013	132	82	30	20
31014	110	51	37	22
31015	105	59	26	20
31016	177	46	92	39
31017	106	51	39	16
31018	112	60	27	25
31019	100	57	23	20
31020	111	70	25	16
31021	113	71	26	16
31022	93	47	30	16
31023	105	38	46	21
31024	163	93	50	20
31025	94	48	26	20
31026	144	68	51	25
31027	127	63	39	25
31028	89	41	30	18
31029	135	60	41	34
31030	82	41	21	20
31031	98	51	36	11
31032	71	42	21	8
31033	90	53	25	12
31034	114	36	57	21
31035	105	50	32	23
31036	145	73	54	18
31037	102	58	28	16
31038	86	50	22	14
31039	130	49	55	26
31040	122	31	65	26
31041	105	64	28	13
32001	256	75	133	48
32002	202	31	133	38
32003	295	47	164	84
32004	222	46	135	41
32005	222	35	123	64
32006	217	43	137	37
32007	211	49	118	44
32008	193	23	129	41
32009	208	49	122	37
32010	211	40	132	39
32011	281	44	177	60
32012	204	55	115	34
32013	183	47	107	29
32014	265	41	170	54
32015	210	34	123	53
32016	238	48	144	46
32017	272	44	157	71
32018	177	37	106	34
32019	194	38	109	47
32020	275	53	164	58
32021	253	47	148	58
32022	357	56	231	70
32023	189	36	115	38
32024	112	25	64	23
32025	221	41	131	49
32026	298	60	183	55
32027	181	33	107	41
32028	269	46	173	50
32029	254	43	154	57
32030	163	43	94	26
32031	222	39	135	48
32032	233	43	139	51
32033	226	46	137	43
32034	224	49	113	62
32035	180	24	120	36
32036	216	28	149	39
32037	182	45	102	35
32038	182	48	93	41
32039	204	52	111	41
32040	248	53	150	45
32041	218	45	120	53
32042	176	37	92	47
32043	226	48	138	40
33001	266	66	148	52
33002	309	87	152	70
33003	327	76	171	80
33004	297	79	145	73
33005	179	48	90	41
33006	216	93	80	43
33007	246	77	115	54
33008	420	70	268	82
33009	298	77	152	69
33010	227	73	108	46
33011	246	83	121	42
33012	231	78	98	55
33013	232	79	96	57
33014	105	22	56	27
33015	287	81	145	61
33016	333	108	137	88
33017	262	81	120	61
33018	292	74	132	86
33019	232	62	116	54
33020	276	59	145	72
33021	283	79	133	71
33022	249	72	126	51
33023	284	60	171	53
33024	434	62	304	68
33025	288	67	151	70
33026	183	44	103	36
33027	248	54	141	53
33028	224	49	135	40
34001	240	95	96	49
34002	198	110	45	43
34003	195	104	54	37
34004	143	78	27	38
34005	182	96	51	35
34006	238	103	73	62
34007	249	138	68	43
34008	169	73	46	50
34009	148	78	44	26
34010	221	117	52	52
34011	150	72	33	45
34012	222	105	69	48
34013	229	115	69	45
34014	153	77	37	39
34015	161	86	41	34
34016	170	77	44	49
34017	270	121	86	63
34018	161	76	51	34
34019	209	84	88	37
34020	268	124	84	60
34021	276	134	88	54
34022	230	102	92	36
34023	173	94	44	35
34024	185	77	69	39
34025	339	150	111	78
34026	243	124	64	55
34027	180	85	57	38
34028	126	82	28	16
34029	170	87	40	43
34030	244	87	97	60
34031	162	83	47	32
34032	183	91	59	33
34033	168	83	53	32
34034	240	135	64	41
34035	216	108	61	47
34036	215	107	53	55
34037	112	57	32	23
34038	92	48	23	21
34039	141	78	38	25
34040	224	109	64	51
34041	134	66	33	35
34042	250	118	81	51
34043	231	122	74	35
34044	246	121	73	52
34045	222	104	63	55
34046	163	76	58	29
34047	179	98	49	32
34048	262	110	94	58
34049	228	104	83	41
34050	149	80	37	32
34051	244	112	73	59
34052	172	76	60	36
34053	112	41	42	29
35001	212	66	105	41
35002	289	50	192	47
35003	196	65	98	33
35004	190	44	106	40
35005	193	60	98	35
35006	203	43	118	42
35007	220	51	128	41
35008	232	75	108	49
35009	173	60	84	29
35010	309	54	190	65
35011	216	59	117	40
35012	142	76	31	35
35013	134	72	34	28
35014	146	66	41	39
35015	236	60	127	49
35016	134	81	32	21
35017	220	46	122	52
35018	149	86	44	19
35019	92	55	19	18
35020	167	56	66	45
35021	196	63	85	48
35022	236	68	117	51
35023	231	70	118	43
35024	190	62	97	31
35025	230	40	127	63
35026	172	56	79	37
35027	185	65	76	44
35028	188	42	105	41
35029	143	48	53	42
35030	169	48	78	43
35031	231	61	112	58
36001	157	73	50	34
36002	125	67	36	22
36003	144	55	49	40
36004	116	48	38	30
36005	137	66	45	26
36006	117	51	35	31
36007	218	50	138	30
36008	116	65	32	19
36009	127	60	47	20
36010	174	69	73	32
36011	104	48	35	21
36012	80	42	22	16
36013	84	48	24	12
36014	178	50	97	31
36015	201	60	113	28
36016	183	65	94	24
36017	200	72	96	32
36018	172	54	96	22
36019	180	96	63	21
36020	154	47	82	25
36021	112	53	39	20
36022	109	50	32	27
36023	99	43	36	20
36024	135	41	68	26
36025	126	64	36	26
36026	123	52	53	18
36027	154	57	67	30
36028	116	37	56	23
36029	170	59	75	36
36030	148	51	78	19
37001	126	52	45	29
37002	111	53	35	23
37003	117	57	36	24
37004	118	68	27	23
37005	202	94	61	47
37006	172	83	57	32
37007	124	65	40	19
37008	119	61	35	23
37009	183	98	56	29
37010	189	114	47	28
37011	100	51	28	21
37012	99	48	34	17
37013	123	62	40	21
37014	184	99	53	32
37015	186	106	54	26
37016	181	102	50	29
37017	141	71	49	21
37018	170	86	51	33
37019	132	64	41	27
37020	130	71	33	26
37021	164	98	41	25
37022	128	58	50	20
37023	179	82	63	34
37024	193	100	54	39
37025	165	89	55	21
37026	229	125	66	38
37027	167	84	56	27
37028	136	80	39	17
37029	171	90	44	37
37030	148	70	52	26
37031	163	88	51	24
37032	166	80	65	21
37033	212	123	59	30
37034	148	77	40	31
37035	206	101	64	41
37036	149	75	47	27
37037	222	104	71	47
37038	221	107	73	41
37039	144	73	42	29
37040	201	101	74	26
37041	160	85	46	29
38001	162	41	90	31
38002	191	70	93	28
38003	145	50	68	27
38004	162	57	75	30
38005	162	45	89	28
38006	136	60	50	26
38007	151	65	64	22
38008	148	52	69	27
38009	180	52	85	43
38010	137	42	67	28
38011	180	51	92	37
38012	166	66	60	40
38013	182	55	90	37
38014	179	49	89	41
38015	153	53	69	31
38016	174	61	71	42
38017	193	68	92	33
38018	181	55	105	21
38019	217	77	103	37
38020	175	74	78	23
38021	155	52	69	34
38022	186	70	90	26
38023	213	73	101	39
38024	164	54	77	33
38025	143	42	77	24
38026	163	62	68	33
38027	157	58	72	27
38028	193	53	93	47
38029	170	67	78	25
38030	163	50	78	35
38031	201	48	119	34
38032	154	50	73	31
38033	170	63	79	28
38034	175	49	84	42
38035	175	64	77	34
38036	158	48	85	25
38037	188	63	88	37
38038	151	57	61	33
38039	214	61	107	46
38040	188	57	81	50
38041	222	52	125	45
39001	233	60	132	41
39002	235	108	100	27
39003	271	57	141	73
39004	224	61	130	33
39005	195	44	105	46
39006	209	59	109	41
39007	180	50	96	34
39008	213	69	103	41
39009	180	64	83	33
39010	112	33	64	15
39011	177	67	80	30
39012	250	72	129	49
39013	155	36	85	34
39014	167	36	91	40
39015	212	63	108	41
39016	126	49	51	26
39017	248	60	147	41
39018	233	44	142	47
39019	221	57	122	42
39020	238	57	142	39
39021	187	67	83	37
39022	139	36	71	32
39023	234	54	137	43
39024	248	74	124	50
39025	170	50	85	35
39026	189	60	95	34
39027	59	13	34	12
39028	315	69	194	52
39029	116	37	48	31
39030	251	65	136	50
39031	180	63	73	44
39032	184	56	97	31
39033	227	48	135	44
39034	221	59	116	46
39035	200	36	139	25
39036	63	27	27	9
39037	260	48	181	31
39038	154	40	91	23
39039	129	34	68	27
39040	183	42	105	36
39041	230	48	145	37
39042	276	86	151	39
39043	243	61	142	40
39044	170	33	108	29
39045	221	49	135	37
40001	182	68	81	33
40002	203	59	108	36
40003	315	77	160	78
40004	133	25	76	32
40005	252	59	135	58
40006	282	37	165	80
40007	283	37	192	54
40008	332	42	211	79
40009	156	71	48	37
40010	183	60	90	33
40011	256	53	147	56
40012	187	36	113	38
40013	401	65	242	94
40014	144	45	71	28
40015	193	54	97	42
40016	322	49	208	65
40017	226	41	137	48
40018	154	45	71	38
40019	254	73	114	67
40020	196	52	99	45
40021	315	60	192	63
40022	248	44	151	53
40023	328	55	204	69
40024	155	40	75	40
40025	295	43	174	78
40026	271	46	150	75
40027	316	71	160	85
40028	285	63	157	65
40029	253	55	158	40
40030	242	53	138	51
40031	302	51	179	72
40032	313	72	172	69
40033	310	32	205	73
40034	179	59	89	31
40035	137	45	63	29
40036	227	52	133	42
40037	230	55	134	41
40038	333	47	209	77
40039	55	23	19	13
41001	156	44	86	26
41002	193	56	108	29
41003	193	53	102	38
41004	242	61	148	33
41005	194	48	108	38
41006	284	68	170	46
41007	218	55	123	40
41008	197	65	98	34
41009	196	48	116	32
41010	274	87	148	39
41011	217	64	123	30
41012	174	69	80	25
41013	186	50	104	32
41014	261	48	170	43
41015	256	88	141	27
41016	166	51	83	32
41017	211	58	117	36
41018	164	56	84	24
41019	257	41	171	45
41020	152	46	68	38
41021	198	62	94	42
41022	257	60	159	38
41023	153	64	63	26
41024	141	41	71	29
41025	82	35	32	15
41026	213	65	110	38
41027	120	52	46	22
41028	138	59	42	37
41029	101	46	34	21
41030	176	55	95	26
41031	240	67	124	49
41032	162	48	81	33
41033	159	50	82	27
41034	181	49	106	26
41035	243	73	130	40
41036	200	54	114	32
41037	217	70	113	34
41038	185	46	98	41
41039	241	50	138	53
41040	234	74	116	44
41041	163	57	75	31
41042	182	43	102	37
41043	183	66	85	32
41044	195	48	114	33
41045	160	53	83	24
41046	250	69	135	46
41047	221	45	132	44
42001	230	62	136	32
42002	154	42	87	25
42003	195	24	125	46
42004	274	71	154	49
42005	149	33	91	25
42006	297	73	159	65
42007	231	37	149	45
42008	211	40	129	42
42009	196	46	102	48
42010	238	41	144	53
42011	153	37	80	36
42012	215	40	133	42
42013	246	56	147	43
42014	161	37	101	23
42015	155	34	90	31
42016	203	47	121	35
42017	247	37	159	51
42018	129	24	86	19
42019	272	35	179	58
42020	138	23	81	34
42021	152	30	90	32
42022	84	16	52	16
42023	187	39	112	36
42024	202	39	123	40
42025	161	42	82	37
42026	206	51	100	55
42027	179	50	82	47
42028	259	60	141	58
42029	178	21	121	36
42030	211	34	135	42
42031	205	50	109	46
42032	126	32	58	36
42033	210	32	125	53
42034	183	40	116	27
42035	258	61	143	54
42036	249	42	161	46
42037	108	22	68	18
42038	148	28	88	32
42039	164	30	97	37
42040	217	39	115	63
42041	174	29	113	32
42042	263	54	167	42
43001	118	24	68	26
43002	185	36	114	35
43003	213	29	154	30
43004	217	34	148	35
43005	179	27	129	23
43006	135	27	80	28
43007	155	35	93	27
43008	178	33	108	37
43009	250	71	141	38
43010	258	33	186	39
43011	127	19	85	23
43012	150	23	98	29
43013	200	57	100	43
43014	243	33	170	40
43015	195	29	124	42
43016	149	23	96	30
43017	156	23	116	17
43018	235	49	145	41
43019	242	45	147	50
43020	199	27	140	32
43021	205	26	136	43
43022	120	29	63	28
43023	137	21	84	32
43024	148	41	72	35
43025	206	39	125	42
43026	169	24	122	23
43027	204	38	132	34
43028	232	45	151	36
43029	182	22	131	29
43030	202	30	136	36
43031	227	64	111	52
43032	233	41	148	44
43033	250	48	163	39
43034	184	30	121	33
43035	278	49	184	45
43036	84	14	44	26
43037	186	29	113	44
43038	208	34	147	27
43039	137	30	74	33
43040	135	30	79	26
43041	287	43	197	47
43042	207	29	128	50
43043	256	43	172	41
43044	203	27	145	31
43045	136	24	99	13
43046	104	14	68	22
44001	354	59	213	82
44002	236	40	147	49
44003	238	43	161	34
44004	255	41	149	65
44005	236	53	119	64
44006	275	53	163	59
44007	204	38	135	31
44008	311	55	170	86
44009	183	34	115	34
44010	184	29	101	54
44011	223	34	131	58
44012	261	46	167	48
44013	147	25	87	35
44014	165	34	89	42
44015	228	33	143	52
44016	259	33	170	56
44017	365	78	212	75
44018	208	46	109	53
44019	293	61	167	65
44020	203	47	107	49
44021	250	49	139	62
44022	298	55	178	65
44023	210	48	121	41
44024	216	40	135	41
44025	214	38	115	61
44026	236	39	134	63
44027	277	48	181	48
44028	226	50	131	45
44029	187	37	106	44
44030	245	44	152	49
44031	172	37	97	38
44032	241	23	155	63
44033	222	41	127	54
44034	267	66	160	41
44035	334	73	188	73
44036	207	40	125	42
44037	257	45	147	65
44038	164	30	99	35
44039	202	30	119	53
44040	168	19	108	41
44041	257	46	140	71
45001	176	38	105	33
45002	204	51	109	44
45003	221	47	127	47
45004	282	50	185	47
45005	256	56	162	38
45006	303	54	200	49
45007	349	61	221	67
45008	197	55	113	29
45009	192	61	90	41
45010	219	66	108	45
45011	141	44	73	24
45012	217	57	122	38
45013	206	35	143	28
45014	244	81	125	38
45015	306	95	166	45
45016	204	51	119	34
45017	217	59	112	46
45018	184	65	85	34
45019	97	36	38	23
45020	133	40	66	27
45021	190	55	108	27
45022	180	53	99	28
45023	180	58	88	34
45024	163	58	85	20
45025	135	38	73	24
45026	99	29	51	19
45027	164	56	80	28
45028	137	37	74	26
45029	120	45	59	16
45030	190	52	94	44
45031	160	43	88	29
45032	151	44	70	37
45033	137	43	66	28
45034	212	64	101	47
45035	235	56	144	35
45036	230	59	128	43
45037	182	48	104	30
45038	159	66	67	26
45039	174	56	89	29
45040	197	72	89	36
45041	175	57	85	33
45042	196	49	116	31
45043	197	59	95	43
45044	181	48	99	34
45045	102	32	53	17
45046	132	36	76	20
45047	137	39	74	24
45048	132	42	67	23
46001	195	41	100	54
46002	223	53	114	56
46003	322	66	187	69
46004	237	61	127	49
46005	242	42	149	51
46006	196	59	88	49
46007	320	110	150	60
46008	181	55	77	49
46009	272	47	152	73
46010	283	57	166	60
46011	196	58	95	43
46012	293	50	173	70
46013	233	51	138	44
46014	250	113	89	48
46015	240	50	144	46
46016	305	53	187	65
46017	301	72	147	82
46018	243	56	132	55
46019	209	43	117	49
46020	214	66	93	55
46021	150	42	61	47
46022	156	37	85	34
46023	188	57	81	50
46024	288	65	162	61
46025	224	50	118	56
46026	243	60	130	53
46027	300	66	144	90
46028	310	64	164	82
46029	223	51	135	37
46030	225	60	114	51
46031	228	47	125	56
46032	224	58	108	58
46033	280	44	173	63
46034	250	58	122	70
46035	232	64	112	56
46036	254	65	126	63
46037	191	51	85	55
46038	185	51	79	55
46039	225	57	95	73
46040	249	47	148	54
47001	141	21	87	33
47002	303	49	201	53
47003	310	89	156	65
47004	329	65	181	83
47005	320	63	189	68
47006	266	44	165	57
47007	238	52	129	57
47008	286	56	164	66
47009	232	45	142	45
47010	344	48	212	84
47011	234	32	155	47
47012	324	60	182	82
47013	300	43	197	60
47014	265	46	148	71
47015	373	59	218	96
47016	304	61	163	80
47017	269	71	137	61
47018	270	44	173	53
47019	335	53	189	93
47020	271	47	182	42
47021	289	51	165	73
47022	321	53	210	58
47023	334	56	205	73
47024	248	47	150	51
47025	273	42	164	67
47026	311	45	177	89
47027	237	43	137	57
47028	283	48	168	67
47029	271	46	154	71
47030	341	77	174	90
47031	250	42	161	47
47032	358	48	236	74
47033	202	38	123	41
47034	312	52	190	70
47035	263	48	161	54
47036	321	61	201	59
47037	293	53	154	86
47038	280	43	182	55
47039	294	42	177	75
47040	356	48	243	65
47041	320	59	178	83
47042	277	51	165	61
47043	244	44	139	61
47044	194	45	105	44
47045	282	41	188	53
47046	268	70	135	63
47047	278	46	182	50
47048	31	20	8	3
48001	270	50	163	57
48002	165	24	115	26
48003	276	75	138	63
48004	255	50	143	62
48005	203	32	138	33
48006	311	79	164	68
48007	304	49	184	71
48008	163	36	99	28
48009	171	44	84	43
48010	397	46	245	106
48011	272	35	175	62
48012	324	62	180	82
48013	352	84	181	87
48014	163	43	73	47
48015	147	46	64	37
48016	272	55	127	90
48017	271	62	147	62
48018	208	86	75	47
48019	252	38	163	51
48020	356	43	221	92
48021	284	85	116	83
48022	308	84	153	71
48023	323	51	196	76
48024	256	87	119	50
48025	311	45	177	89
48026	118	32	53	33
48027	272	67	123	82
48028	280	73	129	78
48029	188	48	80	60
48030	271	39	155	77
48031	284	83	123	78
48032	246	74	106	66
48033	190	55	110	25
48034	238	38	140	60
48035	176	60	81	35
48036	193	41	110	42
48037	276	40	161	75
48038	363	39	208	116
48039	243	52	127	64
48040	262	41	160	61
48041	259	51	143	65
48042	366	64	213	89
48043	271	56	154	61
48044	348	49	223	76
48045	218	31	125	62
48046	187	70	77	40
49001	164	48	81	35
49002	181	33	105	43
49003	289	58	187	44
49004	318	53	194	71
49005	319	91	157	71
49006	246	42	149	55
49007	258	31	158	69
49008	203	50	112	41
49009	261	43	150	68
49010	303	52	181	70
49011	342	67	213	62
49012	370	54	236	80
49013	332	74	185	73
49014	247	63	131	53
49015	191	58	103	30
49016	296	76	150	70
49017	147	30	84	33
49018	359	58	243	58
49019	204	63	93	48
49020	409	62	286	61
49021	156	54	70	32
49022	303	81	166	56
49023	332	65	197	70
49024	187	54	89	44
49025	342	57	209	76
49026	287	64	168	55
49027	288	64	149	75
49028	327	61	195	71
49029	350	55	208	87
49030	323	84	173	66
49031	224	61	112	51
49032	265	87	129	49
49033	228	56	120	52
50001	181	46	100	35
50002	123	51	54	18
50003	190	50	105	35
50004	226	64	120	42
50005	136	43	69	24
50006	236	73	117	46
50007	291	72	168	51
50008	182	57	91	34
50009	181	52	97	32
50010	133	45	60	28
50011	127	47	48	32
50012	104	31	45	28
50013	173	59	70	44
50014	61	19	21	21
50015	285	54	194	37
50016	67	17	42	8
50017	120	39	55	26
50018	57	25	18	14
50019	116	38	53	25
50020	208	43	127	38
50021	181	34	106	41
50022	120	44	50	26
50023	104	42	41	21
50024	138	55	56	27
50025	157	61	71	25
50026	150	57	59	34
50027	62	17	31	14
50028	162	78	48	36
50029	106	40	45	21
50030	123	45	58	20
50031	199	55	87	57
50032	174	70	65	39
50033	179	45	97	37
50034	287	58	168	61
50035	287	51	175	61
50036	213	50	115	48
50037	219	48	123	48
50038	103	33	51	19
50039	85	32	40	13
50040	179	67	74	38
Barrington 1	118	20	70	28
Barrington 2	165	40	75	50
Barrington 3	93	20	52	21
Barrington 4	155	39	76	40
Barrington 5	81	20	38	23
Barrington 6	158	32	80	46
Barrington 7	41	8	25	8
Barrington 8	131	33	62	36
Barrington 9	116	26	62	28
Barrington 10	192	38	109	45
Barrington 11	70	23	34	13
Berwyn Ward 1 Precinct 1	198	60	103	35
Berwyn Ward 1 Precinct 2	198	65	102	31
Berwyn Ward 1 Precinct 3	307	130	123	54
Berwyn Ward 1 Precinct 4	219	56	110	53
Berwyn Ward 1 Precinct 5	200	68	87	45
Berwyn Ward 2 Precinct 1	136	49	63	24
Berwyn Ward 2 Precinct 2	199	94	62	43
Berwyn Ward 2 Precinct 3	282	121	110	51
Berwyn Ward 2 Precinct 4	295	101	139	55
Berwyn Ward 3 Precinct 1	210	88	79	43
Berwyn Ward 3 Precinct 2	160	61	74	25
Berwyn Ward 3 Precinct 3	177	62	86	29
Berwyn Ward 3 Precinct 4	211	98	83	30
Berwyn Ward 3 Precinct 5	309	89	150	70
Berwyn Ward 4 Precinct 1	126	54	45	27
Berwyn Ward 4 Precinct 2	229	117	77	35
Berwyn Ward 4 Precinct 3	252	128	79	45
Berwyn Ward 4 Precinct 4	173	93	53	27
Berwyn Ward 5 Precinct 1	332	168	106	58
Berwyn Ward 5 Precinct 2	172	80	54	38
Berwyn Ward 5 Precinct 3	173	85	50	38
Berwyn Ward 6 Precinct 1	108	53	41	14
Berwyn Ward 6 Precinct 2	153	77	42	34
Berwyn Ward 6 Precinct 3	184	75	69	40
Berwyn Ward 6 Precinct 4	216	93	79	44
Berwyn Ward 7 Precinct 1	162	79	51	32
Berwyn Ward 7 Precinct 2	186	74	79	33
Berwyn Ward 7 Precinct 3	217	97	74	46
Berwyn Ward 7 Precinct 4	228	109	73	46
Berwyn Ward 8 Precinct 1	287	119	104	64
Berwyn Ward 8 Precinct 2	180	74	63	43
Berwyn Ward 8 Precinct 3	128	52	48	28
Bloom 1	303	64	181	58
Bloom 2	275	67	147	61
Bloom 3	141	77	34	30
Bloom 4	159	93	47	19
Bloom 5	137	57	53	27
Bloom 6	90	49	26	15
Bloom 7	212	74	86	52
Bloom 8	145	55	62	28
Bloom 9	161	62	57	42
Bloom 10	91	56	17	18
Bloom 11	96	39	36	21
Bloom 12	195	80	59	56
Bloom 13	392	172	149	71
Bloom 14	232	112	82	38
Bloom 15	151	67	56	28
Bloom 16	211	86	85	40
Bloom 17	178	86	61	31
Bloom 18	158	67	61	30
Bloom 19	314	114	142	58
Bloom 20	257	79	125	53
Bloom 21	52	28	19	5
Bloom 22	138	54	45	39
Bloom 23	171	68	60	43
Bloom 24	323	125	109	89
Bloom 25	130	65	39	26
Bloom 26	85	43	28	14
Bloom 27	180	86	66	28
Bloom 28	200	85	74	41
Bloom 29	108	53	26	29
Bloom 30	344	113	163	68
Bloom 31	207	88	88	31
Bloom 32	132	53	50	29
Bloom 33	253	84	104	65
Bloom 34	187	65	84	38
Bloom 35	101	66	18	17
Bloom 36	306	158	86	62
Bloom 37	166	67	62	37
Bloom 38	590	261	213	116
Bloom 39	145	93	36	16
Bloom 40	196	68	86	42
Bloom 41	332	147	117	68
Bloom 42	247	78	119	50
Bloom 43	290	142	83	65
Bloom 44	226	71	99	56
Bloom 45	356	153	123	80
Bloom 46	156	87	37	32
Bloom 47	336	89	184	63
Bloom 48	236	103	93	40
Bloom 49	300	146	104	50
Bloom 50	232	78	114	40
Bloom 51	94	44	29	21
Bloom 52	183	100	48	35
Bloom 53	84	41	28	15
Bloom 54	192	92	69	31
Bloom 55	125	57	41	27
Bloom 56	146	69	49	28
Bloom 57	199	81	79	39
Bloom 58	193	71	72	50
Bloom 59	175	74	60	41
Bloom 60	233	109	80	44
Bloom 61	148	64	57	27
Bremen 1	225	113	63	49
Bremen 2	143	40	70	33
Bremen 3	112	38	50	24
Bremen 4	140	46	56	38
Bremen 5	113	45	41	27
Bremen 6	107	42	43	22
Bremen 7	126	51	48	27
Bremen 8	148	58	60	30
Bremen 9	128	34	61	33
Bremen 10	169	52	85	32
Bremen 11	181	79	62	40
Bremen 12	152	88	51	13
Bremen 13	208	95	66	47
Bremen 14	113	44	39	30
Bremen 15	112	45	39	28
Bremen 16	187	60	91	36
Bremen 17	209	94	54	61
Bremen 18	145	49	58	38
Bremen 19	96	46	26	24
Bremen 20	136	50	61	25
Bremen 21	179	64	72	43
Bremen 22	98	22	56	20
Bremen 23	83	38	25	20
Bremen 24	128	39	68	21
Bremen 25	232	89	101	42
Bremen 26	258	83	117	58
Bremen 27	157	66	61	30
Bremen 28	102	41	46	15
Bremen 29	368	175	113	80
Bremen 30	167	67	70	30
Bremen 31	198	82	77	39
Bremen 32	240	96	100	44
Bremen 33	118	46	55	17
Bremen 34	171	47	87	37
Bremen 35	120	59	39	22
Bremen 36	100	33	52	15
Bremen 37	151	80	46	25
Bremen 38	155	77	47	31
Bremen 39	117	44	45	28
Bremen 40	360	151	140	69
Bremen 41	87	35	32	20
Bremen 42	171	49	90	32
Bremen 43	124	56	36	32
Bremen 44	195	78	73	44
Bremen 45	89	43	23	23
Bremen 46	129	36	65	28
Bremen 47	213	87	84	42
Bremen 48	174	76	62	36
Bremen 49	244	100	113	31
Bremen 50	166	53	87	26
Bremen 51	293	104	126	63
Bremen 52	123	50	46	27
Bremen 53	93	41	32	20
Bremen 54	125	35	62	28
Bremen 55	117	60	32	25
Bremen 56	269	140	83	46
Bremen 57	141	35	75	31
Bremen 58	201	57	102	42
Bremen 59	138	50	68	20
Bremen 60	144	60	62	22
Bremen 61	149	56	48	45
Bremen 62	147	58	60	29
Bremen 63	292	124	105	63
Bremen 64	180	62	72	46
Bremen 65	109	52	36	21
Bremen 66	246	80	121	45
Bremen 67	166	46	83	37
Bremen 68	98	37	39	22
Bremen 69	168	54	74	40
Bremen 70	134	51	51	32
Bremen 71	191	78	78	35
Bremen 72	108	36	46	26
Bremen 73	150	57	52	41
Bremen 74	157	54	59	44
Bremen 75	305	87	144	74
Bremen 76	120	31	70	19
Bremen 77	221	75	93	53
Bremen 78	236	79	113	44
Bremen 79	164	51	76	37
Bremen 80	239	97	102	40
Calumet 1	221	114	68	39
Calumet 2	205	87	65	53
Calumet 3	263	161	59	43
Calumet 4	186	87	59	40
Calumet 5	231	127	60	44
Calumet 6	332	164	94	74
Calumet 7	275	168	50	57
Calumet 8	130	76	31	23
Calumet 9	203	88	71	44
Calumet 10	321	174	84	63
Calumet 11	394	205	117	72
Calumet 12	182	94	47	41
Cicero 1	188	117	32	39
Cicero 2	101	63	11	27
Cicero 3	180	115	34	31
Cicero 4	131	84	27	20
Cicero 5	300	185	57	58
Cicero 6	228	141	50	37
Cicero 7	110	70	14	26
Cicero 8	133	89	21	23
Cicero 9	178	120	23	35
Cicero 10	208	130	33	45
Cicero 11	186	114	29	43
Cicero 12	201	115	41	45
Cicero 13	190	101	52	37
Cicero 14	177	101	33	43
Cicero 15	198	97	54	47
Cicero 16	123	74	30	19
Cicero 17	173	102	29	42
Cicero 18	119	74	24	21
Cicero 19	286	185	40	61
Cicero 20	167	103	29	35
Cicero 21	178	100	46	32
Cicero 22	192	131	29	32
Cicero 23	262	151	39	72
Cicero 24	165	102	30	33
Cicero 25	198	114	36	48
Cicero 26	163	108	26	29
Cicero 27	177	99	49	29
Cicero 28	189	99	40	50
Cicero 29	179	104	35	40
Cicero 30	141	89	21	31
Cicero 31	103	49	30	24
Cicero 32	159	96	20	43
Elk Grove 1	230	42	137	51
Elk Grove 2	96	48	31	17
Elk Grove 3	194	59	89	46
Elk Grove 4	143	41	76	26
Elk Grove 5	330	103	152	75
Elk Grove 6	134	46	56	32
Elk Grove 7	262	66	142	54
Elk Grove 8	177	46	89	42
Elk Grove 9	145	52	61	32
Elk Grove 10	302	81	146	75
Elk Grove 11	227	66	112	49
Elk Grove 12	96	26	40	30
Elk Grove 13	129	45	49	35
Elk Grove 14	184	37	95	52
Elk Grove 15	96	31	46	19
Elk Grove 16	271	74	138	59
Elk Grove 17	136	51	51	34
Elk Grove 18	193	62	86	45
Elk Grove 19	210	51	104	55
Elk Grove 20	154	51	65	38
Elk Grove 21	122	37	40	45
Elk Grove 22	117	36	49	32
Elk Grove 23	307	95	151	61
Elk Grove 24	120	33	56	31
Elk Grove 25	194	42	107	45
Elk Grove 26	126	36	53	37
Elk Grove 27	182	50	89	43
Elk Grove 28	91	38	34	19
Elk Grove 29	138	40	71	27
Elk Grove 30	143	43	63	37
Elk Grove 31	71	20	36	15
Elk Grove 32	83	35	30	18
Elk Grove 33	76	16	38	22
Elk Grove 34	382	111	184	87
Elk Grove 35	102	37	41	24
Elk Grove 36	85	35	26	24
Elk Grove 37	189	67	76	46
Elk Grove 38	81	32	32	17
Elk Grove 39	203	73	77	53
Elk Grove 40	118	38	48	32
Elk Grove 41	110	23	61	26
Elk Grove 42	103	30	33	40
Elk Grove 43	142	35	81	26
Elk Grove 44	109	32	55	22
Elk Grove 45	133	36	68	29
Elk Grove 46	106	21	57	28
Elk Grove 47	188	54	97	37
Elk Grove 48	138	20	90	28
Elk Grove 49	145	51	52	42
Elk Grove 50	73	15	36	22
Elk Grove 51	195	53	103	39
Elk Grove 52	101	34	41	26
Evanston Ward 1 Precinct 1	139	15	82	42
Evanston Ward 1 Precinct 2	337	70	200	67
Evanston Ward 1 Precinct 3	366	56	272	38
Evanston Ward 1 Precinct 4	539	81	388	70
Evanston Ward 2 Precinct 1	544	132	309	103
Evanston Ward 2 Precinct 2	267	69	155	43
Evanston Ward 2 Precinct 3	274	113	97	64
Evanston Ward 2 Precinct 4	401	131	188	82
Evanston Ward 2 Precinct 5	301	93	150	58
Evanston Ward 3 Precinct 1	388	47	267	74
Evanston Ward 3 Precinct 2	434	66	280	88
Evanston Ward 3 Precinct 3	411	56	285	70
Evanston Ward 3 Precinct 4	215	32	147	36
Evanston Ward 3 Precinct 5	308	55	184	69
