Precinct	total_votes	votes|JB Pritzker & Juliana Stratton	votes|Bruce Rauner & Evelyn Sanguinetti	votes|Grayson Kash Jackson & Sanjeev Mohip	votes|William McCann & Aaron Merreighn
13017	299	204	83	6	6
13018	277	169	91	6	11
13019	370	335	23	8	4
13020	208	114	83	4	7
13021	413	226	164	7	16
13022	388	231	130	9	18
13023	252	211	33	2	6
13024	341	255	66	10	10
13025	342	273	58	4	7
13026	328	240	73	8	7
13027	321	223	72	13	13
13028	269	220	43	3	3
13029	268	208	48	6	6
13030	273	245	18	7	3
13031	375	234	120	9	12
13032	293	157	120	7	9
13033	356	214	126	7	9
13034	415	363	37	10	5
13035	314	260	40	4	10
13036	212	180	22	5	5
13037	385	332	41	4	8
13038	314	184	111	7	12
13039	343	287	43	6	7
13040	356	281	65	4	6
13041	378	324	41	6	7
13042	352	202	134	6	10
13043	359	273	68	9	9
13044	346	309	33	1	3
13045	388	267	101	11	9
13046	400	321	62	11	6
13047	367	325	33	3	6
13048	316	188	107	8	13
14001	441	243	187	4	7
14002	449	353	78	12	6
14003	355	318	25	6	6
14004	386	216	154	5	11
14005	497	459	27	9	2
14006	170	157	11	2	0
14007	419	363	46	4	6
14008	410	341	59	6	4
14009	456	298	138	11	9
14010	262	205	40	8	9
14011	222	196	20	3	3
14012	397	313	64	6	14
14013	327	279	41	3	4
14014	328	276	37	11	4
14015	388	355	28	3	2
14016	245	198	40	4	3
14017	295	256	28	6	5
14018	160	107	48	2	3
14019	313	273	22	11	7
14020	249	215	27	5	2
14021	345	289	48	3	5
14022	491	351	113	13	14
14023	307	231	61	6	9
14024	459	276	165	7	11
14025	206	173	30	3	0
14026	265	235	17	4	9
14027	350	276	56	12	6
14028	279	229	37	9	4
14029	287	258	22	4	3
14030	193	173	17	2	1
14031	200	174	15	5	6
15001	323	269	36	13	5
15002	219	206	5	4	4
15003	234	223	5	4	2
15004	331	295	28	4	4
15005	304	268	33	1	2
15006	322	264	48	6	4
15007	241	229	5	7	0
15008	285	254	24	2	5
15009	421	370	36	9	6
15010	446	370	55	10	11
15011	369	318	40	7	4
15012	375	320	39	9	7
15013	296	263	22	4	7
15014	283	260	19	4	0
15015	265	221	29	14	1
15016	358	324	25	4	5
15017	268	253	7	6	2
15018	220	212	4	1	3
15019	299	259	29	8	3
15020	254	240	8	1	5
15021	216	203	5	6	2
15022	276	258	9	5	4
15023	270	258	6	5	1
15024	210	199	7	1	3
16001	378	334	33	6	5
16002	286	267	12	2	5
16003	238	226	6	2	4
16004	293	271	10	6	6
16005	196	184	3	6	3
16006	289	278	2	7	2
16007	258	235	10	6	7
16008	186	173	7	4	2
16009	287	272	8	6	1
16010	268	252	10	1	5
16011	277	258	12	5	2
16012	241	224	8	6	3
16013	273	249	16	4	4
16014	215	197	7	7	4
16015	294	277	9	4	4
16016	280	268	7	3	2
16017	335	311	16	5	3
16018	312	284	16	5	7
16019	245	228	6	5	6
16020	234	225	5	2	2
16021	245	233	5	3	4
16022	236	218	5	8	5
16023	326	296	24	2	4
16024	155	147	3	3	2
16025	331	304	12	7	8
16026	220	210	7	2	1
16027	243	229	7	5	2
16028	258	246	1	6	5
16029	268	260	3	3	2
16030	233	216	6	3	8
16031	289	278	6	0	5
16032	297	258	24	10	5
16033	263	255	3	4	1
16034	251	235	10	4	2
16035	350	323	15	5	7
16036	214	204	3	6	1
17001	341	300	26	7	8
17002	350	327	11	8	4
17003	354	329	15	2	8
17004	429	408	12	7	2
17005	261	242	9	3	7
17006	293	282	7	2	2
17007	280	264	10	5	1
17008	285	273	10	1	1
17009	274	265	6	2	1
17010	464	432	11	13	8
17011	271	256	2	10	3
17012	434	391	25	14	4
17013	296	281	9	5	1
17014	392	364	18	9	1
17015	373	347	16	6	4
17016	328	304	13	6	5
17017	322	297	17	7	1
17018	379	358	9	8	4
17019	201	188	7	4	2
17020	435	421	7	4	3
17021	461	440	4	14	3
17022	302	289	6	5	2
17023	223	215	5	2	1
17024	357	341	8	4	4
17025	267	251	5	8	3
17026	361	342	7	6	6
17027	333	314	11	7	1
17028	281	269	5	4	3
17029	348	320	15	6	7
17030	267	233	25	4	5
17031	216	207	3	3	3
17032	275	263	5	4	3
17033	221	206	9	2	4
17034	264	254	4	5	1
17035	237	231	3	3	0
17036	333	324	4	3	2
17037	297	284	6	5	2
17038	328	314	3	4	7
17039	328	303	10	7	8
17040	362	342	9	4	7
17041	419	403	3	9	4
18001	338	313	16	4	5
18002	343	285	45	3	10
18003	342	256	69	6	11
18004	404	382	14	5	3
18005	237	222	6	7	2
18006	317	223	80	3	11
18007	371	326	36	2	7
18008	389	361	18	4	6
18009	372	333	30	4	5
18010	498	459	25	7	7
18011	319	286	27	2	4
18012	384	357	19	6	2
18013	400	374	8	10	8
18014	406	391	6	7	2
18015	425	349	51	16	9
18016	365	333	18	9	5
18017	370	326	30	8	6
18018	312	294	9	5	4
18019	370	347	11	7	5
18020	302	290	10	1	1
18021	454	419	22	7	6
18022	457	434	10	5	8
18023	382	345	23	7	7
18024	384	305	58	8	13
18025	379	298	58	11	12
18026	464	436	17	5	6
18027	306	272	17	14	3
18028	360	250	92	8	10
18029	409	355	38	7	9
18030	445	336	88	7	14
18031	398	375	12	6	5
18032	384	360	15	7	2
18033	300	294	2	0	4
18034	459	416	27	9	7
18035	451	415	20	11	5
18036	410	343	52	9	6
18037	439	408	15	7	9
18038	367	352	9	4	2
18039	290	270	14	2	4
18040	408	337	41	14	16
18041	441	408	15	11	7
18042	335	304	15	9	7
