Precinct	total_votes	votes|Robin Kelly	votes|David Merkle
Bremen 63	626	600	26
Bremen 66	400	390	10
Bremen 70	305	290	15
Bremen 71	360	345	15
Bremen 75	601	510	91
Bremen 78	436	418	18
Bremen 80	440	429	11
Calumet 4	408	392	16
Rich 1	1,855	1,798	57
Rich 2	579	545	34
Rich 3	832	724	108
Rich 4	460	443	17
Rich 5	721	654	67
Rich 6	809	760	49
Rich 8	910	847	63
Rich 9	740	711	29
Rich 10	451	408	43
Rich 11	563	480	83
Rich 12	658	586	72
Rich 13	325	294	31
Rich 14	469	391	78
Rich 15	906	875	31
Rich 16	427	348	79
Rich 17	483	410	73
Rich 18	616	582	34
Rich 19	398	267	131
Rich 21	688	624	64
Rich 22	545	474	71
Rich 23	795	763	32
Rich 24	637	572	65
Rich 25	842	783	59
Rich 26	651	581	70
Rich 27	635	588	47
Rich 28	467	457	10
Rich 29	634	495	139
Rich 30	806	774	32
Rich 31	515	386	129
Rich 32	748	674	74
Rich 33	508	384	124
Rich 34	558	528	30
Rich 35	448	403	45
Rich 36	1,376	1,293	83
Rich 37	451	443	8
Rich 38	544	511	33
Rich 39	640	576	64
Rich 40	517	490	27
Rich 41	388	360	28
Rich 42	542	529	13
Rich 43	642	617	25
Rich 44	445	429	16
Rich 45	767	692	75
Rich 46	825	808	17
Rich 47	850	815	35
Rich 48	617	603	14
Rich 49	542	469	73
Rich 50	278	151	127
Rich 51	526	500	26
Thornton 1	285	274	11
Thornton 2	225	205	20
Thornton 3	437	396	41
Thornton 4	561	543	18
Thornton 5	349	313	36
Thornton 6	608	590	18
Thornton 7	455	444	11
Thornton 8	456	441	15
Thornton 9	280	269	11
Thornton 10	444	405	39
Thornton 11	242	221	21
Thornton 12	371	337	34
Thornton 13	441	341	100
Thornton 14	508	408	100
Thornton 15	448	428	20
Thornton 16	486	352	134
Thornton 17	550	448	102
Thornton 18	707	476	231
Thornton 19	593	467	126
Thornton 20	361	224	137
Thornton 21	687	599	88
Thornton 22	437	425	12
Thornton 23	444	392	52
Thornton 24	584	455	129
Thornton 25	531	385	146
Thornton 26	463	374	89
Thornton 27	616	575	41
Thornton 28	358	324	34
Thornton 29	275	271	4
Thornton 30	264	250	14
Thornton 32	339	323	16
Thornton 33	435	416	19
Thornton 34	688	664	24
Thornton 35	673	636	37
Thornton 36	227	217	10
Thornton 37	582	426	156
Thornton 38	663	613	50
Thornton 39	359	343	16
Thornton 40	336	323	13
Thornton 41	332	305	27
Thornton 42	306	301	5
Thornton 43	445	295	150
Thornton 44	318	305	13
Thornton 45	414	406	8
Thornton 46	515	503	12
Thornton 47	383	292	91
Thornton 48	432	426	6
Thornton 49	222	214	8
Thornton 50	387	330	57
Thornton 51	424	286	138
Thornton 52	468	458	10
Thornton 53	317	311	6
Thornton 54	732	672	60
Thornton 55	329	312	17
Thornton 56	469	387	82
Thornton 57	382	244	138
Thornton 58	526	465	61
Thornton 59	343	320	23
Thornton 60	294	278	16
Thornton 61	310	283	27
Thornton 62	174	123	51
Thornton 63	247	209	38
Thornton 64	429	413	16
Thornton 65	625	453	172
Thornton 66	742	678	64
Thornton 67	662	488	174
Thornton 68	511	384	127
Thornton 69	329	325	4
Thornton 70	231	223	8
Thornton 71	255	247	8
Thornton 72	453	445	8
Thornton 73	689	639	50
Thornton 74	489	478	11
Thornton 75	450	436	14
Thornton 76	506	471	35
Thornton 77	704	682	22
Thornton 78	509	494	15
Thornton 79	606	537	69
Thornton 80	445	415	30
Thornton 81	430	409	21
Thornton 82	437	258	179
Thornton 83	616	594	22
Thornton 84	625	607	18
Thornton 85	423	414	9
Thornton 86	412	395	17
Thornton 87	642	630	12
Thornton 88	453	439	14
Thornton 89	652	614	38
Thornton 90	513	471	42
Thornton 91	483	439	44
Thornton 92	531	472	59
Thornton 93	317	310	7
Thornton 94	557	525	32
Thornton 95	347	338	9
Thornton 96	351	338	13
Thornton 98	168	161	7
Thornton 99	395	359	36
Thornton 100	275	265	10
Thornton 101	390	378	12
Thornton 102	254	245	9
Thornton 103	271	259	12
Thornton 104	184	181	3
Thornton 105	410	404	6
Thornton 106	326	317	9
Thornton 107	658	626	32
Thornton 108	266	247	19
Thornton 109	318	307	11
Thornton 110	292	276	16
Thornton 111	332	317	15
Thornton 112	243	217	26
Thornton 113	229	221	8
Thornton 114	495	382	113
Thornton 115	463	448	15
Thornton 116	497	457	40
Thornton 117	581	449	132
Thornton 118	499	413	86
Thornton 119	439	423	16
Thornton 120	758	714	44
Thornton 121	370	354	16
Thornton 122	653	576	77
Thornton 123	334	308	26
