Precinct	total_votes	votes|Jesus ''Chuy'' Garcia	votes|Mark Wayne Lorch
30030	192	174	18
30031	281	227	54
30032	320	286	34
31001	256	236	20
31002	227	208	19
31003	233	190	43
31004	394	365	29
31005	293	254	39
31006	204	181	23
31007	438	420	18
31008	215	187	28
31009	263	223	40
31010	243	216	27
31011	224	190	34
31012	262	216	46
31013	279	266	13
31014	244	201	43
31015	247	214	33
31016	354	326	28
31017	257	223	34
31018	262	231	31
31019	252	224	28
31020	244	213	31
31021	258	231	27
31022	239	219	20
31023	286	246	40
31024	271	237	34
31025	256	228	28
31026	308	259	49
31027	308	264	44
31028	226	197	29
31029	291	250	41
31030	211	195	16
31031	231	189	42
31032	231	200	31
31033	225	187	38
31034	263	219	44
31035	312	278	34
31036	306	276	30
31037	273	244	29
31038	226	209	17
31039	319	303	16
31040	320	286	34
31041	244	220	24
32001	0	0	0
32003	632	577	55
32011	524	495	29
32012	431	400	31
32014	600	555	45
32016	29	23	6
32017	578	533	45
32020	558	526	32
32022	727	668	59
32026	644	597	47
32028	578	533	45
32043	548	493	55
33001	541	491	50
33003	722	666	56
33004	752	656	96
33006	486	436	50
33007	218	198	20
33008	287	269	18
33009	617	515	102
33010	452	388	64
33011	604	538	66
33012	543	480	63
33013	552	496	56
33014	294	255	39
33015	546	496	50
33016	724	624	100
33017	614	531	83
33019	345	299	46
33020	647	595	52
33021	588	538	50
33022	508	433	75
33023	574	517	57
33025	691	608	83
33026	456	429	27
33027	607	540	67
33028	544	511	33
35001	509	456	53
35002	555	497	58
35003	442	421	21
35004	471	395	76
35005	443	409	34
35006	451	422	29
35007	495	470	25
35008	521	487	34
35009	423	361	62
35010	635	603	32
35011	541	488	53
35012	315	294	21
35013	326	300	26
35014	334	306	28
35015	586	547	39
35016	267	251	16
35017	547	507	40
35018	307	294	13
35019	261	239	22
35020	425	378	47
35021	423	394	29
35022	578	531	47
35023	483	425	58
35024	436	385	51
35025	558	520	38
35026	417	363	54
35027	403	352	51
35028	464	423	41
35029	411	357	54
35030	455	396	59
35031	500	430	70
36001	360	312	48
36002	344	303	41
36003	338	299	39
36004	357	326	31
36006	322	288	34
36008	277	259	18
36009	341	309	32
36010	471	388	83
36011	270	243	27
36012	242	226	16
36013	266	249	17
36016	33	19	14
36019	431	371	60
36020	222	180	42
36021	212	187	25
36022	298	275	23
36023	333	299	34
36024	49	44	5
36025	376	344	32
36027	389	314	75
36029	200	147	53
37026	1	1	0
38001	396	303	93
38035	248	189	59
38041	393	321	72
39006	1	1	0
39012	170	157	13
39025	9	8	1
39028	293	249	44
39031	381	329	52
45001	393	343	50
45002	463	415	48
45008	444	367	77
45009	453	354	99
45010	480	368	112
Berwyn Ward 1 Precinct 1	376	295	81
Berwyn Ward 1 Precinct 5	393	304	89
Berwyn Ward 2 Precinct 1	297	240	57
Berwyn Ward 2 Precinct 4	693	552	141
Berwyn Ward 3 Precinct 1	456	358	98
Berwyn Ward 3 Precinct 2	372	268	104
Berwyn Ward 3 Precinct 3	374	295	79
Berwyn Ward 3 Precinct 4	466	367	99
Berwyn Ward 3 Precinct 5	648	500	148
Berwyn Ward 4 Precinct 1	296	243	53
Berwyn Ward 4 Precinct 2	482	396	86
Berwyn Ward 4 Precinct 3	556	463	93
Berwyn Ward 4 Precinct 4	309	246	63
Berwyn Ward 5 Precinct 1	686	608	78
Berwyn Ward 5 Precinct 2	433	379	54
Berwyn Ward 5 Precinct 3	379	339	40
Berwyn Ward 6 Precinct 1	256	210	46
Berwyn Ward 6 Precinct 3	261	227	34
Berwyn Ward 6 Precinct 4	412	361	51
Berwyn Ward 8 Precinct 2	443	358	85
Berwyn Ward 8 Precinct 3	288	256	32
Cicero 1	517	481	36
Cicero 2	251	230	21
Cicero 3	344	300	44
Cicero 4	376	340	36
Cicero 6	176	140	36
Cicero 7	300	277	23
Cicero 8	248	228	20
Cicero 9	427	399	28
Cicero 10	523	454	69
Cicero 12	389	321	68
Cicero 14	404	337	67
Cicero 15	468	401	67
Cicero 16	346	302	44
Cicero 17	493	437	56
Cicero 18	273	244	29
Cicero 19	620	516	104
Cicero 21	430	377	53
Cicero 22	350	319	31
Cicero 23	547	475	72
Cicero 24	504	462	42
Cicero 25	403	348	55
Cicero 26	300	260	40
Cicero 27	456	403	53
Cicero 28	423	387	36
Cicero 29	413	380	33
Cicero 30	378	347	31
Cicero 31	329	294	35
Cicero 32	373	333	40
Leyden 26	807	489	318
Oak Park 33	3	3	0
Proviso 3	333	279	54
Proviso 6	416	265	151
Proviso 7	117	75	42
Proviso 10	367	339	28
Proviso 11	376	305	71
Proviso 12	561	427	134
Proviso 13	517	388	129
Proviso 14	332	262	70
Proviso 15	425	376	49
Proviso 16	467	379	88
Proviso 25	315	184	131
Proviso 27	631	454	177
Proviso 28	628	383	245
Proviso 29	772	556	216
Proviso 30	2	2	0
Proviso 32	685	469	216
Proviso 54	891	591	300
Proviso 63	636	414	222
Proviso 71	604	492	112
Proviso 75	642	458	184
Proviso 78	149	113	36
Proviso 80	318	279	39
Proviso 85	365	276	89
Proviso 87	552	394	158
Proviso 88	229	204	25
Proviso 89	448	307	141
Proviso 90	897	660	237
Proviso 95	423	331	92
Proviso 97	805	476	329
Proviso 98	553	387	166
Proviso 100	681	432	249
Proviso 102	296	177	119
River Forest 1	946	621	325
Riverside 1	712	439	273
Riverside 2	60	42	18
Riverside 3	421	286	135
Riverside 4	835	523	312
Riverside 5	412	299	113
Riverside 6	508	328	180
Riverside 7	439	268	171
Riverside 8	765	505	260
Riverside 9	531	311	220
Riverside 10	747	432	315
Riverside 11	816	524	292
Riverside 12	413	280	133
Riverside 13	597	363	234
