Precinct	total_votes	votes|Michael J. Madigan
23007	120	120
23008	163	163
23009	60	60
23010	176	176
23011	152	152
23012	118	118
23014	116	116
23015	100	100
23016	140	140
23017	47	47
23018	109	109
23019	81	81
23020	70	70
23021	130	130
23022	131	131
23023	126	126
23025	123	123
23026	136	136
23027	107	107
23028	133	133
23029	130	130
23030	173	173
23031	55	55
23032	138	138
23033	140	140
23034	74	74
23035	83	83
23036	122	122
23037	122	122
23038	112	112
23039	8	8
Berwyn Ward 1 Precinct 2	121	121
Berwyn Ward 1 Precinct 3	209	209
Berwyn Ward 1 Precinct 4	120	120
Berwyn Ward 2 Precinct 2	141	141
Berwyn Ward 2 Precinct 3	158	158
Cicero 5	222	222
Cicero 6	89	89
Cicero 11	136	136
Cicero 13	127	127
Cicero 20	126	126
Lemont 1	60	60
Lemont 2	63	63
Lemont 3	87	87
Lemont 4	89	89
Lemont 5	99	99
Lemont 6	82	82
Lemont 7	79	79
Lemont 8	97	97
Lemont 9	37	37
Lemont 10	65	65
Lemont 11	77	77
Lemont 12	66	66
Lemont 13	70	70
Lemont 14	66	66
Lyons 1	12	12
Lyons 2	111	111
Lyons 3	103	103
Lyons 4	208	208
Lyons 5	114	114
Lyons 6	95	95
Lyons 7	164	164
Lyons 8	88	88
Lyons 9	149	149
Lyons 10	112	112
Lyons 11	95	95
Lyons 13	62	62
Lyons 14	112	112
Lyons 15	115	115
Lyons 16	212	212
Lyons 18	77	77
Lyons 19	136	136
Lyons 20	134	134
Lyons 21	153	153
Lyons 22	85	85
Lyons 23	132	132
Lyons 24	86	86
Lyons 25	102	102
Lyons 28	103	103
Lyons 29	83	83
Lyons 30	36	36
Lyons 31	81	81
Lyons 32	41	41
Lyons 33	60	60
Lyons 34	50	50
Lyons 35	78	78
Lyons 37	94	94
Lyons 38	69	69
Lyons 39	90	90
Lyons 40	82	82
Lyons 41	47	47
Lyons 42	74	74
Lyons 43	74	74
Lyons 44	137	137
Lyons 45	184	184
Lyons 46	75	75
Lyons 47	97	97
Lyons 48	155	155
Lyons 49	71	71
Lyons 50	128	128
Lyons 51	99	99
Lyons 52	132	132
Lyons 53	99	99
Lyons 54	57	57
Lyons 55	85	85
Lyons 56	199	199
Lyons 57	170	170
Lyons 58	69	69
Lyons 59	82	82
Lyons 60	239	239
Lyons 61	100	100
Lyons 64	123	123
Lyons 65	173	173
Lyons 66	92	92
Lyons 67	122	122
Lyons 68	86	86
Lyons 69	126	126
Lyons 70	112	112
Lyons 71	62	62
Lyons 72	119	119
Lyons 73	113	113
Lyons 74	58	58
Lyons 75	84	84
Lyons 76	82	82
Lyons 77	76	76
Lyons 78	65	65
Orland 1	108	108
Orland 2	102	102
Orland 4	53	53
Orland 8	98	98
Orland 9	97	97
Orland 12	47	47
Orland 14	9	9
Orland 15	88	88
Orland 16	48	48
Orland 18	127	127
Orland 20	43	43
Orland 22	80	80
Orland 23	72	72
Orland 26	88	88
Orland 29	95	95
Orland 36	145	145
Orland 39	66	66
Orland 41	78	78
Orland 42	112	112
Orland 43	112	112
Orland 44	78	78
Orland 45	97	97
Orland 47	116	116
Orland 49	61	61
Orland 50	42	42
Orland 51	106	106
Orland 53	100	100
Orland 56	51	51
Orland 57	75	75
Orland 58	98	98
Orland 59	87	87
Orland 60	73	73
Orland 61	68	68
Orland 63	91	91
Orland 64	104	104
Orland 65	73	73
Orland 66	86	86
Orland 68	48	48
Orland 70	108	108
Orland 71	77	77
Orland 74	72	72
Orland 75	91	91
Palos 2	61	61
Palos 3	81	81
Palos 4	79	79
Palos 5	76	76
Palos 6	51	51
Palos 7	94	94
Palos 8	43	43
Palos 9	28	28
Palos 10	96	96
Palos 11	57	57
Palos 12	111	111
Palos 13	68	68
Palos 14	65	65
Palos 15	84	84
Palos 16	104	104
Palos 17	137	137
Palos 18	137	137
Palos 19	131	131
Palos 20	102	102
Palos 21	64	64
Palos 22	22	22
Palos 23	61	61
Palos 24	49	49
Palos 25	119	119
Palos 26	51	51
Palos 27	116	116
Palos 28	108	108
Palos 29	64	64
Palos 30	118	118
Palos 31	110	110
Palos 32	48	48
Palos 34	82	82
Palos 35	139	139
Palos 36	109	109
Palos 37	92	92
Palos 38	122	122
Palos 39	97	97
Riverside 2	0	0
Stickney 1	46	46
Stickney 2	100	100
Stickney 3	186	186
Stickney 4	157	157
Stickney 5	154	154
Stickney 6	213	213
Stickney 7	77	77
Stickney 8	109	109
Stickney 9	111	111
Stickney 10	181	181
Stickney 11	151	151
Stickney 12	145	145
Stickney 13	129	129
Stickney 14	154	154
Stickney 15	132	132
Stickney 16	120	120
Stickney 17	78	78
Stickney 18	57	57
Stickney 19	103	103
Stickney 20	123	123
Worth 1	68	68
Worth 2	136	136
Worth 3	118	118
Worth 4	192	192
Worth 5	134	134
Worth 6	114	114
Worth 9	96	96
Worth 11	140	140
Worth 15	90	90
Worth 21	173	173
Worth 22	109	109
Worth 25	139	139
Worth 26	104	104
Worth 27	105	105
Worth 28	97	97
Worth 30	138	138
Worth 33	90	90
Worth 35	124	124
Worth 36	166	166
Worth 40	151	151
Worth 41	95	95
Worth 44	73	73
Worth 46	138	138
Worth 47	69	69
Worth 48	90	90
Worth 49	80	80
Worth 51	75	75
Worth 53	136	136
Worth 56	119	119
Worth 58	140	140
Worth 60	59	59
Worth 61	101	101
Worth 62	75	75
Worth 63	128	128
Worth 66	82	82
Worth 67	43	43
Worth 70	144	144
Worth 71	77	77
Worth 74	63	63
Worth 75	161	161
Worth 76	61	61
Worth 77	144	144
Worth 78	158	158
Worth 81	39	39
Worth 82	114	114
Worth 83	72	72
Worth 84	137	137
Worth 85	128	128
Worth 86	164	164
Worth 90	165	165
Worth 91	62	62
Worth 92	136	136
Worth 93	66	66
Worth 94	146	146
Worth 98	144	144
Worth 99	57	57
Worth 100	138	138
