Precinct	total_votes	votes|Maria Pappas
08034	355	355
08035	409	409
08036	396	396
08037	315	315
08038	241	241
08039	370	370
08040	287	287
08041	409	409
08042	457	457
08043	192	192
08044	253	253
08045	352	352
08046	294	294
08047	301	301
08048	336	336
08049	345	345
08050	376	376
08051	400	400
08052	465	465
08053	210	210
08054	298	298
08055	284	284
08056	377	377
09001	337	337
09002	307	307
09003	243	243
09004	261	261
09005	337	337
09006	323	323
09007	279	279
09008	343	343
09009	364	364
09010	275	275
09011	227	227
09012	389	389
09013	392	392
09014	422	422
09015	369	369
09016	310	310
09017	231	231
09018	251	251
09019	330	330
09020	341	341
09021	291	291
09022	351	351
09023	397	397
09024	355	355
09025	349	349
09026	370	370
09027	295	295
09028	208	208
09029	293	293
09030	271	271
09031	263	263
09032	344	344
09033	262	262
09034	243	243
09035	349	349
09036	275	275
09037	465	465
09038	363	363
09039	373	373
09040	383	383
09041	276	276
09042	351	351
09043	294	294
09044	307	307
09045	276	276
09046	338	338
09047	356	356
09048	399	399
09049	367	367
09050	447	447
09051	348	348
10001	310	310
10002	308	308
10003	307	307
10004	245	245
10005	242	242
10006	263	263
10007	240	240
10008	201	201
10009	261	261
10010	320	320
10011	380	380
10012	209	209
10013	307	307
10014	398	398
10015	643	643
10016	239	239
10017	390	390
10018	209	209
10019	311	311
10020	341	341
10021	322	322
10022	197	197
10023	296	296
10024	289	289
10025	99	99
10026	251	251
10027	324	324
10028	361	361
10029	294	294
10030	278	278
10031	248	248
10032	310	310
10033	232	232
10034	232	232
10035	356	356
10036	85	85
11001	344	344
11002	24	24
11003	389	389
11004	316	316
11005	488	488
11006	604	604
11007	603	603
11008	374	374
11009	298	298
11010	326	326
11011	382	382
11012	443	443
11013	381	381
11014	176	176
11015	142	142
11016	241	241
11017	472	472
11018	278	278
11019	476	476
11020	253	253
11021	465	465
11022	412	412
11023	228	228
11024	418	418
11025	470	470
11026	407	407
11027	122	122
11028	159	159
11029	384	384
11030	168	168
11031	353	353
11032	168	168
11033	475	475
11034	108	108
11035	93	93
11036	156	156
11037	104	104
11038	206	206
12001	333	333
12002	288	288
12003	455	455
12004	371	371
12005	284	284
12006	341	341
12007	315	315
12008	361	361
12009	279	279
12010	409	409
12011	338	338
12012	343	343
12013	335	335
12014	318	318
12015	264	264
12016	307	307
12017	337	337
12018	285	285
12019	324	324
12020	403	403
12021	318	318
12022	286	286
12023	340	340
13001	251	251
13002	255	255
13003	251	251
13004	282	282
13005	364	364
13006	282	282
13007	232	232
13008	240	240
13009	307	307
13010	256	256
13011	314	314
13012	265	265
13013	288	288
13014	318	318
13015	429	429
13016	211	211
13017	240	240
13018	221	221
13019	338	338
13020	165	165
13021	320	320
13022	322	322
13023	225	225
13024	301	301
13025	296	296
13026	275	275
13027	278	278
13028	249	249
13029	224	224
13030	248	248
13031	307	307
13032	227	227
13033	280	280
13034	345	345
13035	270	270
13036	191	191
13037	334	334
13038	235	235
13039	313	313
13040	301	301
13041	340	340
13042	278	278
13043	300	300
13044	282	282
13045	315	315
13046	369	369
13047	341	341
13048	257	257
14001	336	336
14002	418	418
14003	327	327
14004	298	298
14005	428	428
14006	147	147
14007	370	370
14008	353	353
14009	377	377
14010	222	222
14011	190	190
14012	351	351
14013	279	279
14014	289	289
14015	341	341
14016	226	226
14017	260	260
14018	138	138
14019	292	292
14020	220	220
14021	294	294
14022	426	426
14023	249	249
14024	368	368
14025	180	180
14026	241	241
14027	305	305
14028	251	251
14029	256	256
14030	182	182
14031	198	198
15001	294	294
15002	204	204
15003	214	214
15004	311	311
15005	276	276
15006	291	291
15007	214	214
15008	261	261
15009	379	379
15010	407	407
15011	340	340
15012	351	351
15013	289	289
15014	260	260
15015	239	239
15016	324	324
15017	241	241
15018	191	191
15019	268	268
15020	239	239
15021	194	194
15022	243	243
15023	236	236
15024	191	191
16001	356	356
16002	259	259
16003	221	221
16004	255	255
16005	184	184
16006	270	270
16007	241	241
16008	171	171
16009	257	257
16010	227	227
16011	252	252
16012	222	222
16013	247	247
16014	198	198
16015	278	278
16016	249	249
16017	315	315
16018	282	282
16019	223	223
16020	209	209
16021	229	229
16022	214	214
16023	286	286
16024	142	142
16025	288	288
16026	196	196
16027	211	211
16028	227	227
16029	241	241
16030	211	211
16031	263	263
16032	286	286
16033	240	240
16034	235	235
16035	321	321
16036	192	192
17001	316	316
17002	311	311
17003	314	314
17004	387	387
17005	222	222
17006	269	269
17007	262	262
17008	258	258
17009	247	247
17010	413	413
17011	243	243
17012	412	412
17013	273	273
17014	356	356
17015	341	341
17016	311	311
17017	276	276
17018	350	350
17019	181	181
17020	409	409
17021	419	419
17022	278	278
17023	204	204
17024	330	330
17025	244	244
17026	328	328
17027	293	293
17028	247	247
17029	309	309
17030	245	245
17031	196	196
17032	244	244
17033	201	201
17034	238	238
17035	221	221
17036	296	296
17037	266	266
17038	298	298
17039	297	297
17040	334	334
17041	397	397
18001	316	316
18002	304	304
18003	295	295
18004	376	376
18005	217	217
18006	267	267
18007	335	335
18008	356	356
18009	348	348
18010	475	475
18011	293	293
18012	340	340
18013	370	370
18014	381	381
18015	383	383
18016	337	337
18017	347	347
18018	289	289
18019	340	340
18020	286	286
18021	425	425
18022	423	423
18023	346	346
18024	325	325
18025	340	340
18026	430	430
18027	286	286
18028	313	313
18029	379	379
18030	392	392
18031	379	379
18032	355	355
18033	273	273
18034	424	424
18035	419	419
18036	363	363
18037	404	404
18038	336	336
18039	270	270
18040	387	387
18041	412	412
18042	315	315
18043	242	242
18044	282	282
18045	313	313
18046	360	360
18047	267	267
18048	286	286
18049	216	216
18050	274	274
19001	316	316
19002	541	541
19003	228	228
19004	361	361
19005	427	427
19006	339	339
19007	329	329
19008	347	347
19009	257	257
19010	469	469
19011	277	277
19012	251	251
19013	487	487
19014	450	450
19015	399	399
19016	337	337
19017	303	303
19018	355	355
19019	508	508
19020	335	335
19021	287	287
19022	421	421
19023	346	346
19024	226	226
19025	351	351
19026	382	382
19027	411	411
19028	457	457
19029	315	315
19030	302	302
19031	334	334
19032	306	306
19033	331	331
19034	360	360
19035	355	355
19036	541	541
19037	391	391
19038	345	345
19039	160	160
19040	392	392
19041	276	276
19042	325	325
19043	556	556
19044	347	347
19045	343	343
19046	372	372
19047	561	561
19048	451	451
19049	482	482
19050	293	293
19051	400	400
19052	338	338
19053	334	334
19054	247	247
19055	263	263
19056	419	419
19057	316	316
20001	329	329
20002	141	141
20003	298	298
20004	158	158
20005	395	395
20006	155	155
20007	358	358
20008	313	313
20009	505	505
20010	230	230
20011	458	458
20012	279	279
20013	363	363
20014	168	168
20015	279	279
20016	398	398
20017	192	192
20018	227	227
20019	355	355
20020	230	230
20021	240	240
20022	438	438
20023	365	365
20024	393	393
20025	239	239
20026	357	357
20027	174	174
20028	218	218
20029	383	383
20030	156	156
20031	403	403
20032	332	332
20033	200	200
20034	579	579
20035	223	223
20036	107	107
20037	100	100
20038	108	108
20039	23	23
21001	392	392
21002	256	256
21003	385	385
21004	333	333
21005	386	386
21006	301	301
21007	362	362
21008	359	359
21009	408	408
21010	308	308
21011	343	343
21012	324	324
21013	348	348
21014	368	368
21015	317	317
21016	330	330
21017	310	310
21018	404	404
21019	368	368
21020	304	304
21021	305	305
21022	309	309
21023	316	316
21024	358	358
21025	302	302
21026	332	332
21027	358	358
21028	418	418
21029	401	401
21030	279	279
21031	253	253
21032	315	315
21033	313	313
21034	308	308
21035	412	412
21036	334	334
21037	260	260
21038	321	321
21039	294	294
21040	325	325
21041	356	356
21042	390	390
21043	342	342
21044	350	350
21045	338	338
21046	377	377
21047	321	321
21048	346	346
21049	387	387
21050	279	279
21051	330	330
21052	340	340
21053	293	293
21054	303	303
22001	199	199
22002	368	368
22003	422	422
22004	250	250
22005	279	279
22006	286	286
22007	234	234
22008	414	414
22009	241	241
22010	399	399
22011	238	238
22012	277	277
22013	301	301
22014	222	222
22015	249	249
22016	269	269
22017	301	301
22018	259	259
22019	152	152
22020	270	270
22021	317	317
22022	276	276
22023	417	417
22024	324	324
22025	303	303
23001	257	257
23002	294	294
23003	291	291
23004	339	339
23005	327	327
23006	330	330
23007	263	263
23008	351	351
23009	269	269
23010	351	351
23011	327	327
23012	291	291
23013	279	279
23014	264	264
23015	271	271
23016	283	283
23017	207	207
23018	226	226
23019	263	263
23020	178	178
23021	283	283
23022	311	311
23023	278	278
23024	265	265
23025	263	263
23026	326	326
23027	235	235
23028	292	292
23029	252	252
23030	355	355
23031	247	247
23032	309	309
23033	326	326
23034	294	294
23035	187	187
23036	283	283
23037	295	295
23038	259	259
23039	337	337
24001	249	249
24002	271	271
24003	291	291
24004	229	229
24005	145	145
24006	287	287
24007	191	191
24008	141	141
24009	266	266
24010	126	126
24011	318	318
24012	162	162
24013	150	150
24014	254	254
24015	140	140
24016	381	381
24017	220	220
24018	327	327
24019	341	341
24020	251	251
24021	137	137
24022	340	340
24023	223	223
24024	304	304
24025	242	242
24026	407	407
24027	301	301
24028	191	191
24029	226	226
24030	172	172
24031	319	319
24032	151	151
24033	174	174
24034	268	268
24035	259	259
24036	336	336
24037	167	167
24038	234	234
24039	298	298
24040	327	327
24041	195	195
25001	323	323
25002	475	475
25003	658	658
25004	334	334
25005	424	424
25006	120	120
25007	419	419
25008	459	459
25009	389	389
25010	613	613
25011	441	441
25012	407	407
25013	469	469
25014	234	234
25015	356	356
25016	607	607
25017	447	447
25018	203	203
25019	433	433
25020	251	251
25021	754	754
25022	396	396
25023	467	467
25024	415	415
25025	402	402
25026	353	353
25027	527	527
25028	423	423
25029	328	328
25030	390	390
25031	751	751
25032	320	320
26001	361	361
26002	288	288
26003	390	390
26004	218	218
26005	305	305
26006	289	289
26007	347	347
26008	164	164
26009	225	225
26010	294	294
26011	297	297
26012	355	355
26013	173	173
26014	252	252
26015	195	195
26016	176	176
26017	255	255
26018	240	240
26019	199	199
26020	280	280
26021	393	393
26022	150	150
26023	211	211
26024	265	265
26025	299	299
26026	234	234
26027	390	390
26028	478	478
26029	198	198
26030	257	257
26031	140	140
26032	383	383
26033	364	364
26034	407	407
26035	272	272
26036	339	339
26037	362	362
26038	141	141
26039	371	371
26040	229	229
26041	387	387
26042	268	268
26043	180	180
26044	189	189
26045	151	151
26046	220	220
26047	212	212
26048	308	308
26049	180	180
27001	781	781
27002	377	377
27003	222	222
27004	201	201
27005	288	288
27006	419	419
27007	549	549
27008	281	281
27009	184	184
27010	386	386
27011	504	504
27012	284	284
27013	521	521
27014	182	182
27015	185	185
27016	431	431
27017	371	371
27018	250	250
27019	178	178
27020	279	279
27021	397	397
27022	167	167
27023	268	268
27024	262	262
27025	321	321
27026	274	274
27027	453	453
27028	360	360
27029	243	243
27030	166	166
27031	279	279
27032	321	321
27033	401	401
27034	258	258
27035	436	436
27036	306	306
27037	455	455
27038	565	565
27039	270	270
27040	511	511
27041	299	299
27042	270	270
27043	234	234
27044	245	245
27045	811	811
27046	306	306
27047	248	248
27048	710	710
27049	260	260
27050	334	334
28001	203	203
28002	261	261
28003	249	249
28004	296	296
28005	197	197
28006	174	174
28007	287	287
28008	373	373
28009	275	275
28010	390	390
28011	614	614
28012	295	295
28013	329	329
28014	214	214
28015	55	55
28016	184	184
28017	263	263
28018	267	267
28019	265	265
28020	280	280
28021	249	249
28022	261	261
28023	329	329
28024	242	242
28025	399	399
28026	289	289
28027	307	307
28028	382	382
28029	147	147
28030	46	46
28031	384	384
28032	268	268
28033	306	306
28034	511	511
28035	346	346
28036	164	164
28037	359	359
28038	136	136
28039	210	210
28040	411	411
28041	226	226
28042	295	295
28043	353	353
28044	209	209
28045	387	387
28046	592	592
29001	486	486
29002	477	477
29003	388	388
29004	396	396
29005	311	311
29006	306	306
29007	367	367
29008	311	311
29009	409	409
29010	485	485
29011	213	213
29012	456	456
29013	384	384
29014	342	342
29015	425	425
29016	352	352
29017	332	332
29018	345	345
29019	379	379
29020	432	432
29021	447	447
29022	245	245
29023	410	410
29024	333	333
29025	450	450
29026	361	361
29027	332	332
29028	442	442
29029	310	310
29030	494	494
29031	333	333
29032	313	313
29033	252	252
29034	262	262
29035	281	281
29036	330	330
29037	363	363
29038	364	364
29039	330	330
29040	422	422
29041	289	289
29042	412	412
29043	470	470
29044	459	459
30001	426	426
30002	359	359
30003	326	326
30004	345	345
30005	264	264
30006	307	307
30007	395	395
30008	462	462
30009	290	290
30010	392	392
30011	357	357
30012	319	319
30013	356	356
30014	231	231
30015	366	366
30016	176	176
30017	356	356
30018	470	470
30019	330	330
30020	410	410
30021	264	264
30022	507	507
30023	409	409
30024	488	488
30025	540	540
30026	219	219
30027	247	247
30028	386	386
30029	208	208
30030	169	169
30031	246	246
30032	288	288
31001	218	218
31002	214	214
31003	212	212
31004	348	348
31005	267	267
31006	183	183
31007	407	407
31008	202	202
31009	228	228
31010	226	226
31011	188	188
31012	228	228
31013	257	257
31014	212	212
31015	219	219
31016	312	312
31017	221	221
31018	229	229
31019	226	226
31020	216	216
31021	230	230
31022	217	217
31023	244	244
31024	235	235
31025	229	229
31026	264	264
31027	263	263
31028	196	196
31029	258	258
31030	192	192
31031	200	200
31032	197	197
31033	198	198
31034	224	224
31035	269	269
31036	267	267
31037	237	237
31038	201	201
31039	282	282
31040	279	279
31041	213	213
32001	534	534
32002	515	515
32003	554	554
32004	453	453
32005	497	497
32006	589	589
32007	516	516
32008	587	587
32009	451	451
32010	502	502
32011	467	467
32012	373	373
32013	504	504
32014	529	529
32015	472	472
32016	506	506
32017	509	509
32018	434	434
32019	505	505
32020	496	496
32021	515	515
32022	640	640
32023	537	537
32024	348	348
32025	499	499
32026	562	562
32027	466	466
32028	521	521
32029	556	556
32030	486	486
32031	529	529
32032	555	555
32033	501	501
32034	552	552
32035	505	505
32036	530	530
32037	490	490
32038	458	458
32039	519	519
32040	535	535
32041	510	510
32042	427	427
32043	492	492
33001	475	475
33002	596	596
33003	681	681
33004	651	651
33005	454	454
33006	426	426
33007	554	554
33008	652	652
33009	541	541
33010	468	468
33011	550	550
33012	480	480
33013	494	494
33014	252	252
33015	487	487
33016	636	636
33017	546	546
33018	666	666
33019	540	540
33020	585	585
33021	523	523
33022	443	443
33023	531	531
33024	640	640
33025	609	609
33026	422	422
33027	541	541
33028	499	499
34001	389	389
34002	294	294
34003	361	361
34004	269	269
34005	306	306
34006	417	417
34007	404	404
34008	292	292
34009	240	240
34010	343	343
34011	304	304
34012	392	392
34013	352	352
34014	277	277
34015	320	320
34016	289	289
34017	442	442
34018	268	268
34019	381	381
34020	412	412
34021	431	431
34022	358	358
34023	287	287
34024	322	322
34025	539	539
34026	370	370
34027	298	298
34028	230	230
34029	275	275
34030	357	357
34031	297	297
34032	357	357
34033	289	289
34034	368	368
34035	390	390
34036	326	326
34037	219	219
34038	166	166
34039	250	250
34040	383	383
34041	212	212
34042	345	345
34043	328	328
34044	370	370
34045	387	387
34046	248	248
34047	348	348
34048	364	364
34049	337	337
34050	290	290
34051	375	375
34052	267	267
34053	221	221
35001	435	435
35002	483	483
35003	400	400
35004	418	418
35005	398	398
35006	399	399
35007	445	445
35008	465	465
35009	352	352
35010	569	569
35011	469	469
35012	289	289
35013	288	288
35014	300	300
35015	511	511
35016	246	246
35017	484	484
35018	278	278
35019	223	223
35020	377	377
35021	369	369
35022	528	528
35023	425	425
35024	377	377
35025	491	491
35026	368	368
35027	358	358
35028	407	407
35029	361	361
35030	384	384
35031	440	440
36001	315	315
36002	306	306
36003	315	315
36004	317	317
36005	308	308
36006	285	285
36007	371	371
36008	246	246
36009	303	303
36010	394	394
36011	233	233
36012	207	207
36013	228	228
36014	349	349
36015	335	335
36016	353	353
36017	371	371
36018	339	339
36019	373	373
36020	355	355
36021	255	255
36022	264	264
36023	271	271
36024	319	319
36025	336	336
36026	309	309
36027	322	322
36028	280	280
36029	349	349
36030	329	329
37001	219	219
37002	266	266
37003	232	232
37004	253	253
37005	352	352
37006	360	360
37007	226	226
37008	233	233
37009	340	340
37010	387	387
37011	206	206
37012	236	236
37013	233	233
37014	334	334
37015	324	324
37016	353	353
37017	261	261
37018	279	279
37019	230	230
37020	260	260
37021	295	295
37022	284	284
37023	295	295
37024	351	351
37025	287	287
37026	414	414
37027	295	295
37028	284	284
37029	281	281
37030	310	310
37031	336	336
37032	273	273
37033	336	336
37034	301	301
37035	339	339
37036	305	305
37037	338	338
37038	313	313
37039	298	298
37040	335	335
37041	325	325
38001	343	343
38002	311	311
38003	319	319
38004	317	317
38005	333	333
38006	321	321
38007	292	292
38008	289	289
38009	368	368
38010	273	273
38011	299	299
38012	302	302
38013	321	321
38014	369	369
38015	302	302
38016	316	316
38017	393	393
38018	366	366
38019	409	409
38020	326	326
38021	292	292
38022	349	349
38023	371	371
38024	340	340
38025	308	308
38026	356	356
38027	327	327
38028	388	388
38029	334	334
38030	315	315
38031	347	347
38032	330	330
38033	332	332
38034	361	361
38035	370	370
38036	327	327
38037	351	351
38038	322	322
38039	391	391
38040	356	356
38041	337	337
39001	382	382
39002	304	304
39003	427	427
39004	337	337
39005	386	386
39006	372	372
39007	354	354
39008	399	399
39009	365	365
39010	202	202
39011	344	344
39012	519	519
39013	300	300
39014	415	415
39015	384	384
39016	300	300
39017	403	403
39018	373	373
39019	392	392
39020	431	431
39021	334	334
39022	312	312
39023	366	366
39024	439	439
39025	346	346
39026	339	339
39027	65	65
39028	493	493
39029	227	227
39030	476	476
39031	342	342
39032	312	312
39033	423	423
39034	407	407
39035	386	386
39036	112	112
39037	360	360
39038	231	231
39039	253	253
39040	337	337
39041	382	382
39042	376	376
39043	376	376
39044	277	277
39045	349	349
40001	360	360
40002	376	376
40003	587	587
40004	241	241
40005	478	478
40006	582	582
40007	472	472
40008	607	607
40009	349	349
40010	404	404
40011	475	475
40012	404	404
40013	763	763
40014	359	359
40015	386	386
40016	643	643
40017	374	374
40018	348	348
40019	502	502
40020	441	441
40021	516	516
40022	528	528
40023	579	579
40024	360	360
40025	574	574
40026	509	509
40027	609	609
40028	503	503
40029	412	412
40030	368	368
40031	548	548
40032	546	546
40033	480	480
40034	381	381
40035	290	290
40036	433	433
40037	418	418
40038	585	585
40039	169	169
41001	315	315
41002	320	320
41003	341	341
41004	364	364
41005	421	421
41006	424	424
41007	377	377
41008	342	342
41009	348	348
41010	380	380
41011	376	376
41012	360	360
41013	399	399
41014	416	416
41015	446	446
41016	320	320
41017	356	356
41018	326	326
41019	405	405
41020	250	250
41021	385	385
41022	390	390
41023	339	339
41024	289	289
41025	256	256
41026	350	350
41027	297	297
41028	355	355
41029	252	252
41030	360	360
41031	409	409
41032	294	294
41033	329	329
41034	318	318
41035	414	414
41036	346	346
41037	413	413
41038	327	327
41039	387	387
41040	351	351
41041	352	352
41042	324	324
41043	376	376
41044	319	319
41045	331	331
41046	380	380
41047	363	363
42001	428	428
42002	555	555
42003	523	523
42004	954	954
42005	431	431
42006	463	463
42007	596	596
42008	436	436
42009	590	590
42010	668	668
42011	314	314
42012	435	435
42013	412	412
42014	643	643
42015	536	536
42016	514	514
42017	643	643
42018	554	554
42019	610	610
42020	537	537
42021	548	548
42022	245	245
42023	514	514
42024	508	508
42025	473	473
42026	631	631
42027	357	357
42028	536	536
42029	523	523
42030	399	399
42031	565	565
42032	496	496
42033	593	593
42034	413	413
42035	641	641
42036	848	848
42037	369	369
42038	468	468
42039	695	695
42040	698	698
42041	528	528
42042	845	845
43001	270	270
43002	535	535
43003	475	475
43004	561	561
43005	445	445
43006	383	383
43007	320	320
43008	352	352
43009	496	496
43010	569	569
43011	435	435
43012	355	355
43013	483	483
43014	480	480
43015	485	485
43016	575	575
43017	374	374
43018	564	564
43019	559	559
43020	552	552
43021	542	542
43022	343	343
43023	358	358
43024	370	370
43025	398	398
43026	326	326
43027	482	482
43028	635	635
43029	468	468
43030	544	544
43031	491	491
43032	497	497
43033	484	484
43034	360	360
43035	517	517
43036	285	285
43037	559	559
43038	363	363
43039	470	470
43040	355	355
43041	669	669
43042	480	480
43043	452	452
43044	458	458
43045	297	297
43046	291	291
44001	850	850
44002	525	525
44003	338	338
44004	473	473
44005	638	638
44006	683	683
44007	369	369
44008	767	767
44009	540	540
44010	546	546
44011	584	584
44012	585	585
44013	436	436
44014	496	496
44015	493	493
44016	599	599
44017	740	740
44018	600	600
44019	671	671
44020	605	605
44021	693	693
44022	569	569
44023	554	554
44024	409	409
44025	537	537
44026	677	677
44027	648	648
44028	535	535
44029	549	549
44030	662	662
44031	459	459
44032	598	598
44033	619	619
44034	602	602
44035	653	653
44036	579	579
44037	612	612
44038	527	527
44039	568	568
44040	485	485
44041	692	692
45001	350	350
45002	415	415
45003	375	375
45004	496	496
45005	415	415
45006	552	552
45007	585	585
45008	415	415
45009	375	375
45010	398	398
45011	287	287
45012	363	363
45013	343	343
45014	500	500
45015	490	490
45016	333	333
45017	442	442
45018	393	393
45019	201	201
45020	279	279
45021	325	325
45022	354	354
45023	327	327
45024	290	290
45025	232	232
45026	173	173
45027	332	332
45028	293	293
45029	232	232
45030	340	340
45031	298	298
45032	331	331
45033	283	283
45034	382	382
45035	380	380
45036	386	386
45037	354	354
45038	320	320
45039	362	362
45040	347	347
45041	303	303
45042	338	338
45043	334	334
45044	345	345
45045	225	225
45046	252	252
45047	242	242
45048	287	287
46001	377	377
46002	474	474
46003	607	607
46004	483	483
46005	681	681
46006	431	431
46007	530	530
46008	323	323
46009	569	569
46010	808	808
46011	476	476
46012	573	573
46013	517	517
46014	451	451
46015	515	515
46016	610	610
46017	588	588
46018	572	572
46019	372	372
46020	410	410
46021	324	324
46022	375	375
46023	429	429
46024	617	617
46025	501	501
46026	579	579
46027	652	652
46028	499	499
46029	429	429
46030	545	545
46031	527	527
46032	514	514
46033	621	621
46034	602	602
46035	573	573
46036	507	507
46037	444	444
46038	549	549
46039	495	495
46040	431	431
47001	346	346
47002	515	515
47003	502	502
47004	568	568
47005	577	577
47006	634	634
47007	472	472
47008	511	511
47009	494	494
47010	683	683
47011	510	510
47012	554	554
47013	527	527
47014	481	481
47015	657	657
47016	516	516
47017	514	514
47018	494	494
47019	687	687
47020	517	517
47021	514	514
47022	537	537
47023	605	605
47024	554	554
47025	605	605
47026	707	707
47027	483	483
47028	484	484
47029	576	576
47030	668	668
47031	529	529
47032	665	665
47033	486	486
47034	551	551
47035	502	502
47036	613	613
47037	522	522
47038	522	522
47039	526	526
47040	526	526
47041	605	605
47042	553	553
47043	482	482
47044	494	494
47045	519	519
47046	502	502
47047	587	587
47048	47	47
48001	483	483
48002	240	240
48003	548	548
48004	490	490
48005	304	304
48006	606	606
48007	517	517
48008	270	270
48009	302	302
48010	746	746
48011	455	455
48012	625	625
48013	620	620
48014	250	250
48015	348	348
48016	525	525
48017	457	457
48018	340	340
48019	352	352
48020	600	600
48021	632	632
48022	440	440
48023	525	525
48024	542	542
48025	461	461
48026	250	250
48027	731	731
48028	503	503
48029	263	263
48030	462	462
48031	626	626
48032	534	534
48033	279	279
48034	448	448
48035	320	320
48036	287	287
48037	524	524
48038	509	509
48039	404	404
48040	453	453
48041	633	633
48042	610	610
48043	546	546
48044	649	649
