Precinct	total_votes	votes|Karen A. Yarbrough
19021	257	257
19022	387	387
19023	323	323
19024	195	195
19025	338	338
19026	340	340
19027	406	406
19028	473	473
19029	278	278
19030	271	271
19031	299	299
19032	274	274
19033	287	287
19034	324	324
19035	331	331
19036	541	541
19037	378	378
19038	344	344
19039	160	160
19040	375	375
19041	253	253
19042	307	307
19043	549	549
19044	324	324
19045	318	318
19046	321	321
19047	548	548
19048	454	454
19049	480	480
19050	273	273
19051	365	365
19052	313	313
19053	306	306
19054	219	219
19055	232	232
19056	392	392
19057	305	305
20001	348	348
20002	145	145
20003	303	303
20004	155	155
20005	407	407
20006	151	151
20007	371	371
20008	322	322
20009	515	515
20010	233	233
20011	484	484
20012	284	284
20013	380	380
20014	169	169
20015	272	272
20016	390	390
20017	191	191
20018	241	241
20019	361	361
20020	221	221
20021	245	245
20022	449	449
20023	379	379
20024	403	403
20025	248	248
20026	358	358
20027	180	180
20028	216	216
20029	397	397
20030	163	163
20031	418	418
20032	336	336
20033	210	210
20034	585	585
20035	245	245
20036	116	116
20037	108	108
20038	118	118
20039	22	22
21001	393	393
21002	268	268
21003	398	398
21004	343	343
21005	398	398
21006	304	304
21007	370	370
21008	376	376
21009	400	400
21010	316	316
21011	339	339
21012	331	331
21013	347	347
21014	381	381
21015	324	324
21016	339	339
21017	325	325
21018	406	406
21019	378	378
21020	314	314
21021	308	308
21022	316	316
21023	315	315
21024	361	361
21025	310	310
21026	355	355
21027	360	360
21028	441	441
21029	417	417
21030	285	285
21031	261	261
21032	323	323
21033	317	317
21034	330	330
21035	420	420
21036	334	334
21037	269	269
21038	332	332
21039	304	304
21040	320	320
21041	356	356
21042	385	385
21043	347	347
21044	356	356
21045	336	336
21046	389	389
21047	345	345
21048	355	355
21049	397	397
21050	291	291
21051	340	340
21052	337	337
21053	297	297
21054	307	307
22001	199	199
22002	359	359
22003	402	402
22004	230	230
22005	271	271
22006	274	274
22007	215	215
22008	404	404
22009	237	237
22010	378	378
22011	224	224
22012	266	266
22013	284	284
22014	213	213
22015	242	242
22016	254	254
22017	285	285
22018	256	256
22019	155	155
22020	270	270
22021	336	336
22022	270	270
22023	428	428
22024	309	309
22025	296	296
23001	238	238
23002	279	279
23003	263	263
23004	310	310
23005	322	322
23006	316	316
23007	255	255
23008	358	358
23009	261	261
23010	341	341
23011	320	320
23012	275	275
23013	277	277
23014	242	242
23015	260	260
23016	254	254
23017	201	201
23018	214	214
23019	260	260
23020	177	177
23021	246	246
23022	304	304
23023	235	235
23024	257	257
23025	250	250
23026	311	311
23027	209	209
23028	275	275
23029	246	246
23030	337	337
23031	252	252
23032	296	296
23033	310	310
23034	286	286
23035	175	175
23036	252	252
23037	274	274
23038	252	252
23039	318	318
24001	264	264
24002	289	289
24003	310	310
24004	233	233
24005	155	155
24006	302	302
24007	193	193
24008	146	146
24009	268	268
24010	136	136
24011	325	325
24012	177	177
24013	159	159
24014	267	267
24015	152	152
24016	387	387
24017	239	239
24018	328	328
24019	350	350
24020	257	257
24021	142	142
24022	363	363
24023	229	229
24024	311	311
24025	251	251
24026	413	413
24027	312	312
24028	201	201
24029	237	237
24030	183	183
24031	324	324
24032	152	152
24033	181	181
24034	265	265
24035	279	279
24036	364	364
24037	179	179
24038	244	244
24039	304	304
24040	338	338
24041	210	210
25001	317	317
25002	476	476
25003	650	650
25004	350	350
25005	412	412
25006	116	116
25007	417	417
25008	449	449
25009	373	373
