Precinct	total_votes	votes|Kwame Raoul	votes|Erika Harold	votes|Bubba Harsy
03040	563	487	65	11
03041	358	298	48	12
04001	805	729	68	8
04002	717	562	141	14
04003	423	412	8	3
04004	715	664	44	7
04005	522	484	31	7
04006	623	562	51	10
04007	628	591	25	12
04008	569	542	20	7
04009	602	567	26	9
04010	658	622	30	6
04011	553	519	28	6
04012	602	566	31	5
04013	684	562	95	27
04014	556	517	33	6
04015	659	627	27	5
04016	936	773	139	24
04017	717	611	84	22
04018	519	479	30	10
04019	408	382	21	5
04020	521	401	105	15
04021	773	646	102	25
04022	556	502	47	7
04023	729	683	44	2
04024	512	464	39	9
04025	644	492	143	9
04026	512	477	25	10
04027	714	669	34	11
04028	449	402	41	6
04029	454	436	10	8
04030	728	692	23	13
04031	560	514	42	4
04032	590	555	24	11
04033	554	512	34	8
04034	463	436	22	5
04035	625	591	29	5
04036	611	566	34	11
04037	1032	841	164	27
04038	571	525	36	10
05001	410	392	14	4
05002	343	324	14	5
05003	588	540	44	4
05004	702	651	34	17
05005	456	432	14	10
05006	400	373	22	5
05007	544	497	40	7
05008	553	500	48	5
05009	627	587	31	9
05010	391	374	11	6
05011	555	504	43	8
05012	328	311	14	3
05013	421	395	23	3
05014	398	382	16	0
05015	481	427	48	6
05016	469	455	11	3
05017	414	392	14	8
05018	498	459	32	7
05019	496	447	44	5
05020	596	549	39	8
05021	577	538	31	8
05022	594	529	59	6
05023	909	827	75	7
05024	584	531	45	8
05025	456	431	17	8
05026	489	458	22	9
05027	624	546	69	9
05028	533	480	41	12
05029	510	468	36	6
05030	338	324	12	2
05031	386	367	14	5
05032	606	555	42	9
05033	548	519	19	10
05034	619	543	64	12
05035	631	578	45	8
05036	289	265	17	7
05037	576	529	39	8
05038	444	421	16	7
05039	427	376	45	6
05040	343	327	11	5
05041	291	266	23	2
06001	445	434	9	2
06002	428	414	10	4
06003	450	431	12	7
06004	319	299	15	5
06005	274	270	4	0
06006	434	399	26	9
06007	367	345	13	9
06008	396	380	10	6
06009	365	341	20	4
06010	245	230	12	3
06011	358	339	14	5
06012	294	274	17	3
06013	314	297	12	5
06014	370	352	14	4
06015	343	320	14	9
06016	419	389	18	12
06017	270	251	15	4
06018	301	288	8	5
06019	364	347	12	5
06020	239	228	7	4
06021	223	209	8	6
06022	236	215	19	2
06023	215	202	12	1
06024	211	192	13	6
06025	212	203	8	1
06026	297	278	17	2
06027	225	212	7	6
06028	198	190	5	3
06029	431	415	11	5
06030	324	300	17	7
06031	411	383	21	7
06032	372	351	19	2
06033	403	371	31	1
06034	406	388	15	3
06035	366	348	11	7
06036	471	456	15	0
06037	414	387	20	7
06038	422	392	22	8
06039	330	309	15	6
06040	360	340	12	8
06041	400	381	15	4
06042	412	385	21	6
06043	363	338	19	6
06044	394	374	15	5
06045	425	400	17	8
06046	273	263	7	3
06047	291	272	16	3
06048	429	403	22	4
07001	360	337	17	6
07002	368	346	17	5
07003	402	381	14	7
07004	398	368	24	6
07005	328	304	19	5
07006	493	468	18	7
07007	378	360	15	3
07008	321	299	15	7
07009	666	618	37	11
07010	426	407	16	3
07011	418	393	19	6
07012	359	347	11	1
07013	245	228	10	7
07014	417	389	24	4
07015	373	350	17	6
07016	291	277	8	6
07017	323	306	12	5
07018	344	311	28	5
07019	361	341	15	5
07020	294	283	9	2
07021	284	265	16	3
07022	325	298	22	5
07023	369	359	7	3
07024	311	294	14	3
07025	304	276	24	4
07026	308	293	10	5
07027	307	294	11	2
07028	285	264	19	2
07029	318	296	10	12
07030	273	246	17	10
07031	251	227	17	7
07032	508	475	27	6
07033	497	471	24	2
07034	444	417	17	10
07035	411	382	19	10
07036	448	430	12	6
07037	400	363	31	6
07038	322	310	10	2
07039	343	324	16	3
07040	331	313	12	6
07041	373	358	10	5
07042	316	302	13	1
07043	382	357	20	5
07044	321	305	13	3
07045	355	334	16	5
07046	161	154	3	4
08001	344	310	29	5
08002	365	343	17	5
08003	447	427	13	7
08004	450	436	12	2
08005	444	417	19	8
08006	411	393	14	4
08007	461	437	16	8
08008	401	383	15	3
08009	271	259	9	3
08010	505	472	24	9
08011	337	313	17	7
08012	351	340	8	3
08013	458	435	16	7
08014	291	278	10	3
08015	358	336	12	10
08016	124	117	6	1
08017	359	346	12	1
08018	383	358	21	4
08019	431	406	19	6
08020	450	432	12	6
08021	499	471	25	3
08022	364	343	14	7
08023	338	321	9	8
08024	245	230	11	4
08025	398	366	29	3
08026	374	351	18	5
08027	432	399	25	8
08028	415	386	23	6
08029	462	436	17	9
08030	424	400	19	5
08031	305	278	20	7
08032	331	318	10	3
08033	383	365	13	5
08034	384	365	15	4
08035	436	407	23	6
08036	426	403	20	3
08037	336	313	16	7
08038	271	259	8	4
08039	407	391	10	6
08040	308	289	15	4
08041	461	437	21	3
08042	484	466	16	2
08043	222	208	8	6
08044	277	266	9	2
08045	390	362	24	4
08046	317	300	13	4
08047	329	302	22	5
08048	372	353	12	7
08049	373	362	8	3
08050	409	387	17	5
08051	445	431	9	5
08052	495	463	22	10
08053	231	210	17	4
08054	326	312	11	3
08055	321	297	17	7
08056	400	384	12	4
09001	377	354	20	3
09002	336	322	9	5
09003	302	288	10	4
09004	289	284	4	1
09005	366	358	5	3
09006	343	326	11	6
09007	316	301	14	1
09008	369	345	18	6
09009	406	382	20	4
09010	305	294	6	5
09011	249	234	12	3
09012	428	404	20	4
09013	427	407	16	4
09014	454	434	19	1
09015	415	398	14	3
09016	327	310	10	7
09017	254	235	14	5
09018	276	272	4	0
09019	354	344	6	4
09020	377	354	10	13
09021	323	300	20	3
09022	385	370	14	1
09023	437	424	10	3
09024	387	364	19	4
09025	379	367	11	1
09026	414	400	10	4
09027	325	315	7	3
09028	227	203	17	7
09029	347	328	13	6
09030	296	279	15	2
09031	290	274	14	2
09032	377	354	20	3
09033	283	270	8	5
09034	277	262	12	3
09035	377	356	13	8
09036	312	301	10	1
09037	530	428	88	14
09038	398	379	13	6
09039	400	379	16	5
09040	410	385	22	3
09041	312	296	12	4
09042	377	360	16	1
09043	333	317	13	3
09044	326	309	13	4
09045	298	285	12	1
09046	374	334	28	12
09047	396	374	16	6
09048	430	404	18	8
09049	406	390	11	5
09050	498	483	12	3
09051	367	346	19	2
10001	342	309	26	7
10002	386	229	145	12
10003	380	245	123	12
10004	285	251	29	5
10005	295	183	105	7
10006	305	232	61	12
10007	266	210	51	5
10008	235	205	24	6
10009	347	216	126	5
10010	375	267	100	8
10011	417	321	85	11
10012	239	171	65	3
10013	331	282	42	7
10014	457	347	101	9
10015	685	657	21	7
10016	286	190	82	14
10017	487	304	167	16
10018	235	207	23	5
10019	375	245	119	11
10020	404	293	95	16
10021	368	286	68	14
10022	208	163	38	7
10023	319	267	45	7
10024	374	216	150	8
10025	106	94	12	0
10026	272	232	36	4
10027	355	316	35	4
10028	398	310	75	13
10029	323	251	56	16
10030	305	243	47	15
10031	269	241	22	6
10032	362	259	89	14
10033	252	208	39	5
10034	255	224	24	7
10035	429	271	144	14
10036	96	75	16	5
11001	441	300	119	22
11002	33	22	10	1
11003	445	391	37	17
11004	372	271	90	11
11005	551	455	81	15
11006	732	576	135	21
11007	681	588	80	13
11008	434	331	86	17
11009	357	252	91	14
11010	406	292	102	12
11011	485	332	135	18
11012	590	340	227	23
11013	527	289	216	22
11014	281	190	86	5
11015	168	127	39	2
11016	298	187	100	11
11017	545	410	118	17
11018	333	235	92	6
11019	555	430	107	18
11020	303	211	85	7
11021	557	385	154	18
11022	496	355	126	15
11023	273	178	90	5
11024	501	361	132	8
11025	575	416	144	15
11026	513	371	131	11
11027	151	119	28	4
11028	199	123	70	6
11029	489	330	147	12
11030	230	153	72	5
11031	431	250	164	17
11032	221	136	81	4
11033	571	421	137	13
11034	173	123	44	6
11035	129	99	26	4
11036	184	126	51	7
11037	130	108	21	1
11038	243	204	35	4
12001	370	296	59	15
12002	332	265	58	9
12003	490	401	72	17
12004	405	317	68	20
12005	340	239	89	12
12006	384	305	65	14
12007	346	291	43	12
12008	408	313	78	17
12009	325	247	70	8
12010	433	365	41	27
12011	375	314	49	12
12012	377	299	62	16
12013	366	295	65	6
12014	327	290	26	11
12015	280	241	32	7
12016	333	284	40	9
12017	371	300	61	10
12018	321	276	30	15
12019	384	306	63	15
12020	452	363	80	9
12021	359	294	49	16
12022	309	272	28	9
12023	383	300	72	11
13001	300	189	98	13
13002	309	188	114	7
13003	281	235	41	5
13004	360	200	149	11
13005	395	311	79	5
13006	352	196	147	9
13007	266	216	43	7
13008	287	167	110	10
13009	361	283	69	9
13010	327	136	183	8
13011	378	248	115	15
13012	304	228	64	12
13013	355	294	51	10
13014	356	271	76	9
13015	471	379	81	11
13016	229	183	38	8
13017	297	187	99	11
13018	275	164	98	13
13019	375	323	41	11
13020	206	109	90	7
13021	404	225	170	9
13022	392	216	157	19
13023	255	209	40	6
13024	348	250	93	5
13025	347	269	66	12
13026	328	230	89	9
13027	320	228	78	14
13028	265	214	48	3
13029	260	196	59	5
13030	275	239	25	11
13031	376	213	150	13
13032	288	150	130	8
13033	356	200	146	10
13034	414	359	45	10
13035	312	255	52	5
13036	213	170	36	7
13037	394	324	64	6
13038	309	176	123	10
13039	340	278	53	9
13040	355	270	77	8
13041	380	320	50	10
13042	343	183	147	13
13043	351	267	72	12
13044	350	305	41	4
13045	396	273	118	5
13046	396	324	64	8
13047	367	304	58	5
13048	315	175	127	13
14001	432	210	215	7
14002	463	357	99	7
14003	364	308	44	12
14004	389	221	158	10
14005	496	448	38	10
14006	172	151	13	8
14007	423	340	70	13
14008	407	318	81	8
14009	454	281	155	18
14010	258	193	56	9
14011	225	198	22	5
14012	398	296	90	12
14013	324	274	40	10
14014	330	271	45	14
14015	393	345	39	9
14016	257	213	36	8
14017	296	256	34	6
14018	159	98	57	4
14019	316	264	40	12
14020	257	208	44	5
14021	350	294	49	7
14022	489	353	122	14
14023	308	220	82	6
14024	458	254	196	8
14025	203	166	33	4
14026	266	227	33	6
14027	347	269	69	9
14028	280	223	50	7
14029	286	241	33	12
14030	199	177	17	5
14031	206	177	23	6
15001	324	254	60	10
15002	218	204	11	3
15003	233	220	10	3
15004	331	271	47	13
15005	311	260	41	10
15006	317	246	60	11
15007	240	225	10	5
15008	285	240	41	4
15009	414	342	59	13
15010	445	353	79	13
15011	372	306	57	9
15012	387	313	62	12
15013	304	261	38	5
15014	286	236	41	9
15015	263	214	40	9
15016	356	302	45	9
15017	270	256	10	4
15018	216	211	4	1
15019	297	252	36	9
15020	258	239	16	3
15021	217	205	8	4
15022	277	263	12	2
15023	271	258	11	2
15024	214	199	13	2
16001	380	314	56	10
16002	284	261	18	5
16003	245	232	11	2
16004	297	275	17	5
16005	200	187	10	3
16006	291	280	8	3
16007	262	240	17	5
16008	193	176	10	7
16009	293	275	13	5
16010	272	253	14	5
16011	275	252	18	5
16012	243	230	11	2
16013	276	250	18	8
16014	212	197	12	3
16015	297	278	16	3
16016	278	266	9	3
16017	341	300	34	7
16018	320	290	22	8
16019	247	227	15	5
16020	231	214	11	6
16021	247	229	11	7
16022	237	219	13	5
16023	328	289	33	6
16024	158	152	4	2
16025	333	305	21	7
16026	224	215	7	2
16027	246	231	12	3
16028	258	245	10	3
16029	274	264	7	3
16030	233	217	11	5
16031	296	278	15	3
16032	301	257	37	7
16033	268	257	9	2
16034	254	236	15	3
16035	342	317	23	2
16036	222	208	7	7
17001	342	294	37	11
17002	349	327	15	7
17003	353	324	20	9
17004	433	413	17	3
17005	263	247	12	4
17006	297	278	18	1
17007	281	258	20	3
17008	288	266	21	1
17009	276	264	10	2
17010	469	431	21	17
17011	274	263	8	3
17012	445	396	40	9
17013	304	287	14	3
17014	401	365	31	5
17015	373	356	12	5
17016	337	304	25	8
17017	325	297	25	3
17018	386	371	13	2
17019	205	195	8	2
17020	443	429	11	3
17021	465	443	18	4
17022	304	284	12	8
17023	230	218	10	2
17024	370	349	13	8
17025	265	253	9	3
17026	372	351	21	0
17027	335	314	11	10
17028	281	266	10	5
17029	357	330	20	7
17030	268	229	33	6
17031	218	207	8	3
17032	274	262	9	3
17033	230	213	12	5
17034	262	248	12	2
17035	243	236	5	2
17036	333	323	7	3
17037	301	287	12	2
17038	333	320	9	4
17039	332	313	16	3
17040	357	344	9	4
17041	428	403	22	3
18001	341	314	25	2
18002	352	278	68	6
18003	347	244	97	6
18004	408	385	21	2
18005	240	227	9	4
18006	323	220	94	9
18007	371	321	46	4
18008	388	359	26	3
18009	375	338	33	4
18010	499	458	35	6
18011	328	280	40	8
18012	392	362	28	2
18013	401	371	22	8
18014	404	386	13	5
18015	421	342	64	15
18016	366	332	26	8
18017	374	332	36	6
18018	323	303	13	7
18019	370	350	18	2
18020	311	298	12	1
18021	470	417	47	6
18022	465	442	19	4
18023	380	349	26	5
18024	379	285	85	9
18025	373	288	66	19
18026	471	441	27	3
18027	313	287	24	2
18028	369	242	119	8
18029	414	352	56	6
18030	447	320	114	13
18031	400	373	23	4
18032	387	361	21	5
18033	305	291	10	4
18034	457	417	30	10
18035	456	420	27	9
18036	411	344	61	6
18037	442	409	24	9
18038	369	347	21	1
18039	288	268	16	4
18040	416	336	67	13
18041	444	402	32	10
18042	336	304	21	11
18043	288	211	71	6
18044	340	218	114	8
18045	342	292	43	7
18046	409	313	92	4
18047	292	272	12	8
18048	314	294	12	8
18049	232	208	19	5
18050	303	289	10	4
19001	402	198	193	11
19002	612	494	110	8
19003	346	100	233	13
19004	485	204	267	14
19005	486	336	136	14
19006	463	211	243	9
19007	396	225	162	9
19008	486	189	289	8
19009	327	160	159	8
19010	545	385	146	14
19011	413	141	264	8
19012	361	126	225	10
19013	526	477	39	10
19014	520	392	117	11
19015	548	216	313	19
19016	462	183	267	12
19017	396	201	185	10
19018	418	275	132	11
19019	586	421	159	6
19020	371	319	44	8
19021	402	153	239	10
19022	485	310	163	12
19023	454	231	208	15
19024	316	112	198	6
19025	437	257	167	13
19026	460	274	168	18
19027	456	383	63	10
19028	503	467	28	8
19029	451	177	260	14
19030	410	158	240	12
19031	410	257	147	6
19032	410	209	189	12
19033	458	169	275	14
19034	416	258	148	10
19035	408	276	125	7
19036	613	533	73	7
19037	431	365	57	9
19038	395	341	49	5
19039	171	153	17	1
19040	472	324	141	7
19041	404	150	240	14
19042	387	298	83	6
19043	597	560	35	2
19044	481	185	280	16
19045	444	215	220	9
19046	455	222	220	13
19047	622	507	99	16
19048	509	480	28	1
19049	528	455	65	8
19050	371	224	134	13
19051	492	262	213	17
19052	461	198	244	19
19053	413	251	152	10
19054	367	131	220	16
19055	372	137	222	13
19056	482	329	145	8
19057	372	281	84	7
20001	368	350	13	5
20002	159	152	7	0
20003	322	305	10	7
20004	174	156	15	3
20005	450	420	20	10
20006	179	162	13	4
20007	403	378	20	5
20008	358	334	19	5
20009	546	522	21	3
20010	261	243	12	6
20011	510	484	17	9
20012	305	294	9	2
20013	409	383	17	9
20014	192	181	4	7
20015	303	268	25	10
20016	437	403	26	8
20017	223	198	24	1
20018	257	246	8	3
20019	394	370	18	6
20020	249	210	28	11
20021	262	235	24	3
20022	479	443	30	6
20023	420	392	22	6
20024	442	405	30	7
20025	282	258	18	6
20026	398	369	22	7
20027	199	183	13	3
20028	237	222	13	2
20029	450	425	17	8
20030	176	172	3	1
20031	456	437	12	7
20032	377	357	16	4
20033	226	217	8	1
20034	639	590	43	6
20035	274	260	13	1
20036	123	114	7	2
20037	116	111	3	2
20038	132	120	9	3
20039	24	23	1	0
21001	421	402	11	8
21002	291	277	11	3
21003	426	395	24	7
21004	362	346	11	5
21005	425	402	19	4
21006	319	301	17	1
21007	392	376	11	5
21008	399	380	12	7
21009	432	418	10	4
21010	344	319	19	6
21011	365	339	15	11
21012	362	344	11	7
21013	379	352	22	5
21014	402	379	17	6
21015	338	318	17	3
21016	362	342	13	7
21017	350	324	21	5
21018	435	417	11	7
21019	386	371	9	6
21020	339	321	16	2
21021	325	302	17	6
21022	335	313	19	3
21023	338	321	12	5
21024	378	359	14	5
21025	332	317	8	7
21026	381	356	18	7
21027	377	355	12	10
21028	471	449	16	6
21029	440	423	11	6
21030	316	297	16	3
21031	283	273	8	2
21032	345	335	7	3
21033	341	325	11	5
21034	352	340	9	3
21035	444	422	16	6
21036	360	342	10	8
21037	282	268	10	4
21038	369	359	8	2
21039	323	310	7	6
21040	354	336	13	5
21041	390	372	11	7
21042	424	398	23	3
21043	373	354	15	4
21044	380	365	13	2
21045	360	346	13	1
21046	419	401	14	4
21047	363	349	13	1
21048	382	357	23	2
21049	421	397	16	8
21050	304	285	15	4
21051	358	342	9	7
21052	360	342	16	2
21053	330	306	23	1
21054	336	311	21	4
22001	211	201	8	2
22002	418	294	116	8
22003	462	404	45	13
22004	254	223	25	6
22005	318	281	30	7
22006	313	270	31	12
22007	244	207	26	11
22008	472	361	96	15
22009	268	232	29	7
22010	431	366	55	10
22011	267	222	36	9
22012	319	238	66	15
22013	327	274	41	12
22014	248	216	28	4
22015	273	240	26	7
22016	284	250	26	8
22017	349	288	47	14
22018	288	235	44	9
22019	185	173	10	2
22020	289	241	36	12
22021	365	355	6	4
22022	302	257	34	11
22023	468	443	19	6
22024	340	282	41	17
22025	337	289	42	6
23001	356	175	169	12
23002	377	218	148	11
23003	363	174	180	9
23004	403	238	150	15
23005	362	296	57	9
23006	376	293	74	9
23007	290	227	56	7
23008	421	293	107	21
23009	286	234	43	9
23010	395	312	70	13
23011	358	282	55	21
23012	369	177	184	8
23013	298	248	45	5
23014	346	184	151	11
23015	304	243	47	14
23016	355	171	172	12
23017	228	186	30	12
23018	300	157	137	6
23019	281	240	33	8
23020	204	159	38	7
23021	373	166	198	9
23022	374	223	136	15
23023	358	202	147	9
23024	292	226	58	8
23025	292	223	61	8
23026	370	281	81	8
23027	310	143	152	15
23028	374	214	143	17
23029	310	194	105	11
23030	388	300	76	12
23031	285	226	50	9
23032	339	272	58	9
23033	359	283	63	13
23034	328	262	61	5
23035	263	133	124	6
23036	349	174	166	9
23037	375	179	182	14
23038	334	201	127	6
23039	357	301	52	4
24001	290	282	5	3
24002	304	293	9	2
24003	334	314	19	1
24004	259	249	8	2
24005	177	172	3	2
24006	325	306	16	3
24007	213	182	22	9
24008	161	149	9	3
24009	302	286	10	6
24010	141	133	5	3
24011	366	342	19	5
24012	194	181	11	2
24013	178	162	12	4
24014	301	286	10	5
24015	167	155	9	3
24016	452	374	61	17
24017	259	238	10	11
24018	367	352	14	1
24019	377	366	6	5
24020	269	255	8	6
24021	151	146	4	1
24022	391	374	13	4
24023	257	234	17	6
24024	348	324	19	5
24025	273	262	9	2
24026	443	421	17	5
24027	340	330	5	5
24028	213	199	10	4
24029	253	242	8	3
24030	190	182	7	1
24031	348	330	15	3
24032	173	159	10	4
24033	191	182	3	6
24034	308	295	10	3
24035	306	287	14	5
24036	380	357	21	2
24037	189	178	7	4
24038	265	233	29	3
24039	333	290	35	8
24040	378	357	18	3
24041	223	212	8	3
25001	358	318	31	9
25002	531	485	36	10
25003	802	584	197	21
25004	401	351	37	13
25005	481	397	69	15
25006	158	99	49	10
25007	484	421	50	13
25008	496	436	43	17
25009	440	391	36	13
25010	761	565	179	17
25011	487	420	57	10
25012	454	390	48	16
25013	517	462	42	13
25014	309	248	58	3
25015	401	332	52	17
25016	781	561	205	15
25017	522	444	64	14
25018	297	222	67	8
25019	485	433	42	10
25020	308	287	15	6
25021	890	710	146	34
25022	442	391	36	15
25023	517	461	43	13
25024	463	416	34	13
25025	493	337	135	21
25026	406	346	52	8
25027	619	479	121	19
25028	475	419	51	5
25029	370	336	28	6
25030	438	382	43	13
25031	924	665	236	23
25032	372	296	67	9
26001	407	348	39	20
26002	329	280	41	8
26003	446	373	63	10
26004	238	214	21	3
26005	343	306	23	14
26006	322	275	42	5
26007	377	337	30	10
26008	196	161	28	7
26009	260	227	25	8
26010	322	290	25	7
26011	329	279	38	12
26012	410	349	49	12
26013	188	168	13	7
26014	277	245	22	10
26015	217	178	33	6
26016	195	155	31	9
26017	324	228	86	10
26018	272	220	41	11
26019	229	199	26	4
26020	320	273	43	4
26021	442	395	36	11
26022	180	143	26	11
26023	242	210	25	7
26024	292	257	30	5
26025	342	297	34	11
26026	261	231	27	3
26027	457	396	52	9
26028	548	446	93	9
26029	234	192	38	4
26030	288	260	23	5
26031	156	128	25	3
26032	445	356	76	13
26033	423	368	43	12
26034	468	417	41	10
26035	315	274	27	14
26036	384	317	54	13
26037	395	353	34	8
26038	154	132	19	3
26039	412	338	66	8
26040	252	219	25	8
26041	428	380	36	12
26042	303	268	28	7
26043	197	167	24	6
26044	210	181	26	3
26045	167	141	24	2
26046	271	204	61	6
26047	234	198	32	4
26048	355	302	42	11
26049	201	175	24	2
27001	933	729	182	22
27002	481	379	95	7
27003	250	234	14	2
27004	221	203	11	7
27005	324	299	19	6
27006	526	422	90	14
27007	631	534	88	9
27008	321	293	25	3
27009	242	165	74	3
27010	444	403	33	8
27011	616	457	137	22
27012	343	239	96	8
27013	580	524	46	10
27014	202	193	4	5
27015	210	198	8	4
27016	516	401	109	6
27017	408	372	30	6
27018	295	267	25	3
27019	205	187	14	4
27020	324	306	17	1
27021	474	364	100	10
27022	195	177	16	2
27023	290	277	12	1
27024	288	264	21	3
27025	381	343	37	1
27026	317	295	18	4
27027	505	458	36	11
27028	430	321	103	6
27029	267	247	14	6
27030	186	176	8	2
27031	321	302	16	3
27032	373	336	28	9
27033	487	388	82	17
27034	293	281	11	1
27035	530	399	115	16
27036	339	305	26	8
27037	552	430	107	15
27038	673	522	130	21
27039	293	276	14	3
27040	636	494	123	19
27041	339	328	11	0
27042	311	236	62	13
27043	267	235	22	10
27044	272	263	9	0
27045	986	735	224	27
27046	382	256	114	12
27047	294	265	23	6
27048	855	706	133	16
27049	295	283	7	5
27050	379	360	16	3
28001	238	224	11	3
28002	307	287	18	2
28003	275	256	17	2
28004	349	260	80	9
28005	231	203	25	3
28006	204	173	24	7
28007	313	300	11	2
28008	447	353	79	15
28009	325	309	10	6
28010	466	386	69	11
28011	701	598	79	24
28012	323	313	6	4
28013	384	359	20	5
28014	252	243	8	1
28015	72	63	5	4
28016	202	194	8	0
28017	281	269	8	4
28018	292	277	9	6
28019	305	264	36	5
28020	309	289	17	3
28021	274	258	12	4
28022	297	273	20	4
28023	369	341	21	7
28024	273	251	15	7
28025	447	416	23	8
28026	319	301	16	2
28027	386	263	112	11
28028	447	324	111	12
28029	175	159	14	2
28030	53	52	1	0
28031	442	410	26	6
28032	303	289	12	2
28033	347	321	19	7
28034	573	532	32	9
28035	382	368	9	5
28036	184	181	3	0
28037	408	388	16	4
28038	160	144	11	5
28039	240	229	8	3
28040	436	426	8	2
28041	234	220	11	3
28042	330	315	11	4
28043	401	388	11	2
28044	230	222	5	3
28045	459	351	95	13
28046	679	541	120	18
29001	546	436	96	14
29002	537	508	20	9
29003	439	421	13	5
29004	433	409	21	3
29005	346	322	19	5
29006	348	335	9	4
29007	427	374	50	3
29008	355	339	13	3
29009	477	354	115	8
29010	554	438	108	8
29011	238	225	9	4
29012	489	453	26	10
29013	438	410	22	6
29014	366	342	17	7
29015	463	431	27	5
29016	383	363	13	7
29017	359	338	12	9
29018	394	379	8	7
29019	414	385	24	5
29020	500	476	12	12
29021	512	485	19	8
29022	292	256	28	8
29023	471	340	119	12
29024	363	343	17	3
29025	481	466	13	2
29026	411	367	40	4
29027	365	354	8	3
29028	491	455	22	14
29029	390	247	127	16
29030	547	467	73	7
29031	421	239	168	14
29032	409	228	167	14
29033	311	282	25	4
29034	301	264	33	4
29035	302	294	7	1
29036	348	329	14	5
29037	403	378	15	10
29038	435	322	108	5
29039	387	269	108	10
29040	456	432	19	5
29041	323	309	9	5
29042	449	431	15	3
29043	514	449	56	9
29044	516	476	33	7
30001	484	356	105	23
30002	416	312	94	10
30003	360	287	61	12
30004	413	299	98	16
30005	289	234	44	11
30006	356	287	63	6
30007	455	351	90	14
30008	537	437	76	24
30009	341	244	87	10
30010	432	322	99	11
30011	381	309	63	9
30012	362	282	73	7
30013	414	306	96	12
30014	266	217	45	4
30015	423	319	90	14
30016	193	153	35	5
30017	396	310	79	7
30018	520	448	49	23
30019	373	296	66	11
30020	463	371	81	11
30021	322	236	76	10
30022	582	480	84	18
30023	470	375	80	15
30024	553	460	72	21
30025	609	508	87	14
30026	257	192	59	6
30027	287	224	59	4
30028	437	365	54	18
30029	229	183	41	5
30030	194	157	31	6
30031	276	205	64	7
30032	329	281	43	5
31001	258	208	43	7
31002	231	194	32	5
31003	235	166	63	6
31004	394	339	46	9
31005	298	233	56	9
31006	204	173	29	2
31007	442	398	35	9
31008	220	182	28	10
31009	264	211	47	6
31010	244	203	34	7
31011	222	172	45	5
31012	259	194	57	8
31013	272	231	32	9
31014	248	189	53	6
31015	249	187	54	8
31016	344	289	45	10
31017	251	197	48	6
31018	258	201	51	6
