Precinct	total_votes	votes|Larry Rogers, Jr.
24002	115	115
24003	106	106
24004	90	90
24005	68	68
24006	119	119
24008	54	54
24009	91	91
24010	61	61
24011	112	112
24012	65	65
24013	48	48
24014	87	87
24015	52	52
24017	102	102
24018	140	140
24019	162	162
24020	98	98
24021	56	56
24022	145	145
24023	94	94
24024	137	137
24025	89	89
24026	202	202
24027	139	139
24028	95	95
24029	105	105
24030	72	72
24031	121	121
24032	64	64
24033	74	74
24034	104	104
24035	105	105
24036	153	153
24037	73	73
24038	121	121
24039	172	172
24040	119	119
24041	96	96
25003	150	150
25004	125	125
25010	156	156
25016	137	137
25020	90	90
25021	243	243
25025	127	127
25027	0	0
25029	94	94
25031	157	157
26004	83	83
26019	81	81
26045	7	7
27002	134	134
27003	84	84
27004	82	82
27005	111	111
27008	108	108
27010	185	185
27014	71	71
27015	74	74
27016	80	80
27017	130	130
27018	105	105
27019	62	62
27022	89	89
27023	125	125
27024	92	92
27025	152	152
27026	134	134
27027	139	139
27029	86	86
27030	78	78
27031	132	132
27032	118	118
27033	79	79
27034	103	103
27036	115	115
27039	120	120
27041	161	161
27043	83	83
27044	97	97
27045	26	26
27049	113	113
27050	136	136
28001	86	86
28002	105	105
28003	101	101
28004	77	77
28005	93	93
28006	80	80
28007	111	111
28008	86	86
28009	116	116
28010	156	156
28011	187	187
28012	115	115
28013	118	118
28014	115	115
28015	29	29
28016	83	83
28017	102	102
28018	100	100
28019	1	1
28020	110	110
28021	109	109
28022	116	116
28023	139	139
28024	108	108
28025	181	181
28026	127	127
28027	111	111
28028	161	161
28029	46	46
28030	32	32
28031	221	221
28032	109	109
28033	134	134
28034	165	165
28035	114	114
28036	52	52
28037	160	160
28038	53	53
28039	77	77
28040	171	171
28041	100	100
28042	127	127
28043	141	141
28044	89	89
28045	98	98
28046	5	5
29002	251	251
29003	165	165
29004	198	198
29005	104	104
29006	132	132
29008	110	110
29011	101	101
29012	213	213
29013	152	152
29014	172	172
29015	210	210
29016	200	200
29017	191	191
29018	163	163
29019	192	192
29020	187	187
29021	160	160
29022	141	141
29024	170	170
29025	216	216
29026	190	190
29027	142	142
29028	211	211
29033	152	152
29034	83	83
29035	128	128
29036	159	159
29037	165	165
29040	212	212
29041	124	124
29042	170	170
29044	204	204
30006	94	94
30011	95	95
34001	216	216
34002	168	168
34003	162	162
34004	124	124
34005	164	164
34006	208	208
34007	214	214
34008	147	147
34009	126	126
34010	201	201
34011	126	126
34012	189	189
34013	179	179
34014	137	137
34015	133	133
34016	162	162
34017	236	236
34018	141	141
34019	177	177
34020	234	234
34021	253	253
34022	196	196
34023	152	152
34024	160	160
34025	294	294
34026	221	221
34027	158	158
34028	113	113
34029	148	148
34030	209	209
34031	138	138
34032	154	154
34033	127	127
34034	212	212
34035	191	191
34036	187	187
34037	96	96
34038	82	82
34039	125	125
34040	202	202
34041	124	124
34042	207	207
34043	211	211
34044	220	220
34045	194	194
34046	153	153
34047	158	158
34048	231	231
34049	204	204
34050	123	123
34051	225	225
34052	163	163
34053	96	96
36002	98	98
36004	26	26
36005	97	97
36021	93	93
36022	5	5
36023	70	70
37001	94	94
37002	92	92
37003	100	100
37004	100	100
37005	167	167
37006	136	136
37007	101	101
37008	91	91
37009	148	148
37010	99	99
37011	82	82
37012	87	87
37013	105	105
37014	154	154
37015	155	155
37016	149	149
37017	119	119
37018	134	134
37019	115	115
37020	100	100
37021	127	127
37022	71	71
37023	149	149
37024	154	154
37025	131	131
37026	197	197
37027	140	140
37028	115	115
37029	135	135
37030	120	120
37031	146	146
37032	150	150
37033	166	166
37034	121	121
37035	175	175
37036	119	119
37037	179	179
37038	170	170
37039	119	119
37040	171	171
37041	129	129
42002	116	116
42004	191	191
42006	211	211
42007	173	173
42008	139	139
42009	43	43
42010	168	168
42011	112	112
42013	165	165
42019	146	146
42020	110	110
42022	56	56
42023	26	26
42025	121	121
42026	147	147
42027	133	133
42028	196	196
42029	130	130
42030	151	151
42031	154	154
42032	98	98
42033	147	147
42035	201	201
42039	23	23
42040	167	167
42042	206	206
