Precinct	total_votes	votes|Joshua Gray	votes|Bill Lowry	votes|Patricia Horton	votes|Charise A. Williams	votes|Steven R. Wolfe	votes|Erick M. Nickerson	votes|Horace ''Washington'' Howard
05006	211	35	71	41	26	12	2	24
05007	268	10	123	32	43	40	1	19
05008	274	30	155	30	36	8	4	11
05009	319	38	139	48	52	18	2	22
05010	184	24	50	39	37	11	1	22
05011	300	18	136	48	54	16	3	25
05012	160	13	47	47	23	13	1	16
05013	196	18	63	41	47	9	1	17
05014	261	46	99	30	51	12	3	20
05015	230	20	83	29	46	21	2	29
05016	203	21	50	36	50	8	1	37
05017	208	27	70	37	38	13	5	18
05018	248	28	114	34	27	18	1	26
05019	265	30	132	37	42	11	1	12
05020	303	18	161	46	39	21	2	16
05021	236	20	117	31	33	18	0	17
05022	343	12	142	37	39	98	3	12
05023	426	30	225	52	74	20	2	23
05024	276	31	117	37	54	11	3	23
05025	280	57	117	37	23	24	3	19
05026	252	32	82	60	33	12	5	28
05027	210	19	118	22	32	9	0	10
05028	301	54	101	42	51	19	4	30
05029	266	36	96	40	47	16	1	30
05030	173	19	52	37	31	8	1	25
05031	194	26	63	39	31	12	1	22
05032	324	29	103	81	47	27	3	34
05033	280	32	76	43	58	20	4	47
05034	257	13	147	31	43	13	1	9
05035	289	26	142	38	34	29	2	18
05036	132	20	45	30	12	12	1	12
05037	282	20	132	44	40	22	9	15
05038	230	24	76	45	42	10	4	29
05039	230	22	125	40	20	11	0	12
05040	194	28	63	34	38	8	3	20
05041	173	12	90	19	16	29	2	5
06006	231	23	77	53	40	13	2	23
06007	199	15	40	49	43	23	4	25
06010	87	16	28	16	17	4	0	6
06012	43	8	14	8	9	0	0	4
06016	212	18	36	66	45	17	3	27
06017	129	10	38	27	27	15	3	9
06019	148	19	41	34	30	4	1	19
06020	110	13	27	28	17	10	4	11
06030	149	12	39	39	26	12	2	19
06032	210	25	57	49	39	19	4	17
06033	207	14	69	47	40	18	3	16
06039	170	14	50	45	27	12	3	19
06040	189	16	53	43	30	26	2	19
06043	153	14	49	42	19	7	2	20
06047	156	19	47	33	24	12	5	16
06048	134	11	37	41	21	10	3	11
08001	177	16	48	36	31	16	4	26
08002	185	21	42	56	40	3	6	17
08009	147	14	37	35	30	15	3	13
08013	227	21	59	61	49	8	1	28
08014	117	11	20	43	20	7	3	13
08016	60	5	19	13	7	3	3	10
08018	154	19	33	42	27	10	6	17
08020	254	27	85	51	46	13	1	31
08021	274	19	96	69	41	16	2	31
08026	208	23	65	34	39	19	2	26
08028	170	24	48	47	26	9	3	13
08042	269	32	84	62	50	12	4	25
08043	97	8	26	30	8	4	3	18
08045	169	17	34	48	29	16	6	19
08054	126	14	24	31	26	4	5	22
08055	202	12	72	42	33	18	4	21
17002	151	13	45	41	29	14	1	8
17004	234	29	81	47	30	14	5	28
17009	150	11	64	29	17	10	3	16
17010	234	24	62	52	47	16	6	27
17015	174	25	40	40	30	9	3	27
17018	214	28	62	41	44	15	0	24
17020	257	24	90	45	45	24	7	22
17021	262	37	78	51	37	32	3	24
17022	149	13	42	38	20	18	3	15
17024	219	25	71	51	37	17	2	16
17026	190	21	64	42	21	12	5	25
17027	183	26	66	21	35	11	1	23
17029	161	15	46	41	29	5	4	21
17038	151	12	43	41	21	13	3	18
17039	180	25	56	44	23	14	3	15
17040	220	26	74	43	45	15	1	16
17041	238	18	78	59	31	25	7	20
18001	141	19	39	36	24	9	2	12
18004	249	31	53	39	77	28	2	19
18007	158	11	37	35	38	18	2	17
18008	206	25	44	49	48	12	5	23
18009	246	38	55	53	52	19	7	22
18010	291	25	40	74	98	22	4	28
18012	185	30	29	50	39	10	6	21
18013	216	22	39	54	62	22	1	16
18014	205	19	64	38	43	21	2	18
18016	186	24	31	36	46	29	3	17
18018	212	28	50	42	49	24	3	16
18019	213	26	52	48	40	18	2	27
18020	161	21	33	42	29	15	2	19
18021	249	23	56	57	62	20	1	30
18022	254	29	65	59	44	27	6	24
18023	160	16	40	34	41	8	1	20
18026	270	45	44	54	61	51	0	15
18029	3	0	1	2	0	0	0	0
18031	200	16	46	52	46	14	7	19
18033	32	1	6	13	2	6	0	4
18034	272	39	90	39	58	23	4	19
18035	276	25	63	66	64	34	4	20
18036	30	5	10	7	5	1	1	1
18037	247	35	40	71	52	16	4	29
18038	191	35	53	36	32	8	4	23
18041	244	22	45	62	51	30	3	31
18042	142	18	28	37	32	15	1	11
18048	4	1	0	2	1	0	0	0
20001	211	28	48	47	39	14	1	34
20003	163	11	41	45	27	14	5	20
20005	216	28	50	36	43	21	5	33
20008	198	18	46	52	35	15	5	27
20009	270	28	71	63	42	18	4	44
20010	133	14	31	39	21	13	3	12
20014	103	16	25	23	8	14	0	17
20016	204	22	55	38	37	18	4	30
20018	131	9	29	33	23	13	5	19
20019	142	9	24	46	27	13	3	20
20022	244	30	82	37	49	13	4	29
20024	184	20	44	48	31	8	3	30
20026	228	32	35	36	49	20	2	54
20028	1	0	0	1	0	0	0	0
20033	142	13	31	29	29	15	1	24
20034	237	23	56	36	63	11	4	44
20035	15	2	4	4	1	3	0	1
21004	196	15	58	50	39	16	2	16
21015	172	14	48	44	32	15	4	15
21026	183	14	46	48	36	13	1	25
21028	243	22	58	64	45	30	2	22
21030	168	16	54	39	29	4	5	21
21034	3	1	1	0	0	0	0	1
21043	39	3	10	8	8	8	0	2
21047	166	9	49	45	28	16	0	19
21051	200	19	60	38	36	17	5	25
21052	146	15	31	36	31	8	3	22
21053	6	1	1	1	2	0	0	1
21054	189	19	46	41	41	17	4	21
25021	115	13	34	26	26	7	1	8
27006	140	21	25	33	21	18	4	18
27009	74	6	18	20	15	4	1	10
27012	86	15	34	18	7	8	0	4
27020	95	7	32	25	13	5	4	9
27021	121	13	44	32	17	7	1	7
27037	166	21	37	48	23	9	7	21
27038	285	39	83	84	33	16	9	21
27042	104	14	20	28	22	6	3	11
27046	89	4	40	26	9	8	1	1
27047	147	14	47	39	17	10	4	16
27048	210	29	54	54	26	19	10	18
42001	170	16	66	40	17	26	2	3
42002	131	12	46	39	13	11	2	8
42004	216	21	66	68	31	15	5	10
42006	259	15	111	64	20	29	10	10
42007	181	17	65	60	19	9	3	8
42008	156	11	57	48	17	13	2	8
42011	131	8	55	34	16	12	1	5
42013	201	20	88	48	12	21	5	7
42019	52	6	22	14	6	1	0	3
42024	157	9	51	47	20	22	1	7
42026	160	18	46	56	15	8	2	15
42028	218	16	83	70	29	11	3	6
42029	149	9	58	33	25	10	2	12
42030	167	3	64	61	14	15	3	7
42031	163	10	61	48	20	12	4	8
42033	92	3	34	31	11	5	2	6
42034	143	17	66	26	12	15	2	5
42035	225	17	72	73	29	16	1	17
42040	134	13	36	47	13	10	1	14
43028	192	21	49	56	25	22	1	18
43033	203	20	77	51	30	20	2	3
43035	225	20	92	57	22	18	5	11
43038	155	10	76	29	17	14	4	5
43043	201	13	83	56	26	18	3	2
