Precinct	total_votes	votes|Cynthia M. Santos	votes|Melissa Lindberg
38019	195	125	70
38020	154	91	63
38021	137	100	37
38022	176	106	70
38023	190	128	62
38024	155	99	56
38025	128	91	37
38026	156	94	62
38027	150	102	48
38028	180	106	74
38029	164	108	56
38030	147	104	43
38031	183	102	81
38032	142	80	62
38033	157	111	46
38034	168	116	52
38035	75	55	20
38036	139	86	53
38037	174	123	51
38038	146	96	50
38039	198	132	66
38040	180	118	62
39001	204	116	88
39002	173	102	71
39003	244	143	101
39004	197	112	85
39005	178	107	71
39006	194	113	81
39007	159	102	57
39008	201	125	76
39009	169	98	71
39010	100	56	44
39011	154	101	53
39012	171	113	58
39013	139	85	54
39014	153	94	59
39015	178	113	65
39016	127	79	48
39017	227	133	94
39018	199	119	80
39019	205	127	78
39020	213	135	78
39021	167	100	67
39022	129	85	44
39023	207	127	80
39024	226	131	95
39025	154	100	54
39026	166	114	52
39027	39	22	17
39028	129	77	52
39029	105	71	34
39030	231	130	101
39032	159	101	58
39033	202	117	85
39034	197	122	75
39035	170	86	84
39036	57	38	19
39037	226	126	100
39038	129	85	44
39039	115	71	44
39040	157	90	67
39041	196	106	90
39042	227	134	93
39043	205	127	78
39044	143	82	61
39045	187	108	79
40001	155	105	50
40002	183	121	62
40003	280	173	107
40005	226	153	73
40006	251	159	92
40007	239	139	100
40008	286	144	142
40010	51	35	16
40011	232	145	87
40012	148	94	54
40013	345	207	138
40014	125	82	43
40015	188	128	60
40016	276	168	108
40017	193	116	77
40019	230	160	70
40020	179	110	69
40021	274	167	107
40023	282	162	120
40024	153	104	49
40025	221	142	79
40029	220	137	83
40030	207	149	58
40031	81	52	29
40032	291	166	125
40034	155	106	49
40038	304	138	166
41003	172	111	61
41006	233	139	94
41009	163	96	67
41011	63	48	15
41012	162	108	54
41014	201	128	73
41016	141	98	43
41017	167	97	70
41019	201	104	97
41021	177	108	69
41022	226	122	104
41023	79	57	22
41024	132	79	53
41026	184	113	71
41027	106	73	33
41030	165	107	58
41032	148	83	65
41033	125	83	42
41035	223	121	102
41038	174	100	74
41039	209	129	80
41045	64	42	22
41046	220	131	89
41047	183	116	67
43002	145	84	61
43003	166	80	86
43004	170	83	87
43005	130	62	68
43006	113	62	51
43007	120	66	54
43008	140	84	56
43009	183	111	72
43010	210	110	100
43011	97	45	52
43012	125	65	60
43013	183	120	63
43014	185	87	98
43015	159	91	68
43016	117	64	53
43017	131	64	67
43018	185	122	63
43019	195	108	87
43020	158	84	74
43021	169	98	71
43022	102	63	39
43023	123	65	58
43024	128	75	53
43025	170	87	83
43026	126	55	71
43027	157	79	78
43028	195	105	90
43029	144	70	74
43030	152	77	75
43031	206	127	79
43032	193	108	85
43034	149	71	78
43036	71	43	28
43037	161	88	73
43038	148	76	72
43039	115	65	50
43040	127	73	54
43041	232	122	110
43042	174	100	74
43043	188	107	81
43044	142	68	74
43046	76	40	36
44001	313	181	132
44002	198	120	78
44005	197	110	87
44006	234	145	89
44008	257	156	101
44009	157	80	77
44010	150	70	80
44011	194	116	78
44012	217	112	105
44013	131	71	60
44014	145	84	61
44015	186	105	81
44016	190	122	68
44017	306	181	125
44018	184	119	65
44019	256	149	107
44020	184	118	66
44021	218	130	88
44022	250	151	99
44023	179	105	74
44025	175	100	75
44026	206	129	77
44027	220	132	88
44028	208	130	78
44029	167	110	57
44030	197	127	70
44031	138	81	57
44032	209	123	86
44033	201	131	70
44034	223	134	89
44036	179	110	69
44037	227	133	94
44038	138	85	53
44039	167	92	75
44040	143	77	66
44041	227	151	76
45003	201	126	75
45004	260	152	108
45005	233	146	87
45006	273	162	111
45007	309	197	112
45008	12	8	4
45011	134	88	46
45012	201	122	79
45013	185	94	91
45014	232	139	93
45015	274	176	98
45016	185	108	77
45017	195	115	80
45018	168	108	60
45019	91	59	32
45020	124	75	49
45021	179	109	70
45022	162	113	49
45023	163	115	48
45024	147	94	53
45025	120	75	45
45026	94	53	41
45027	143	99	44
45028	119	70	49
45029	112	74	38
45030	179	109	70
45031	151	92	59
45032	139	88	51
45033	127	80	47
45034	198	118	80
45035	210	125	85
45036	196	122	74
45037	173	95	78
45038	149	104	45
45039	161	97	64
45040	184	117	67
45041	162	98	64
45042	180	111	69
45043	181	125	56
45044	160	80	80
45045	91	59	32
45046	120	77	43
45047	117	73	44
45048	112	79	33
46003	282	161	121
46005	195	121	74
46010	247	160	87
46012	38	29	9
46016	119	80	39
46019	187	129	58
46024	68	39	29
46028	254	155	99
46030	206	143	63
46031	206	124	82
46033	231	131	100
46036	218	129	89
46038	141	94	47
46039	202	139	63
47001	108	51	57
47002	234	141	93
47003	274	176	98
47004	273	164	109
47005	268	151	117
47006	239	146	93
47007	208	119	89
47008	234	135	99
47009	197	117	80
47010	313	195	118
47011	190	109	81
47012	278	141	137
47013	253	152	101
47014	222	130	92
47016	262	153	109
47017	230	140	90
47018	221	120	101
47020	240	127	113
47021	254	156	98
47022	275	139	136
47024	225	138	87
47025	233	135	98
47026	277	178	99
47027	206	119	87
47028	238	140	98
47029	238	154	84
47030	143	94	49
47031	217	124	93
47032	308	162	146
47033	170	101	69
47034	271	147	124
47035	222	122	100
47036	280	159	121
47037	240	152	88
47038	229	130	99
47039	242	149	93
47040	299	164	135
47041	276	169	107
47042	248	120	128
47043	199	121	78
47044	172	119	53
47045	243	136	107
47046	232	135	97
47047	235	132	103
47048	29	19	10
50024	117	59	58
50025	12	3	9
