Precinct	total_votes	votes|Danny K. Davis	votes|Craig Cameron
29019	407	392	15
29020	486	473	13
29021	506	497	9
29022	293	270	23
29024	355	340	15
29025	472	465	7
29026	408	388	20
29027	364	360	4
29028	485	475	10
29033	299	283	16
29034	306	277	29
29035	302	296	6
29036	349	338	11
29037	394	377	17
29040	445	433	12
29041	313	307	6
29042	444	440	4
29043	320	287	33
29044	515	489	26
36005	343	306	37
36021	84	73	11
37001	243	228	15
37002	292	272	20
37003	267	261	6
37004	281	256	25
37005	389	378	11
37006	399	391	8
37007	256	248	8
37008	257	244	13
37009	375	367	8
37010	416	397	19
37011	244	238	6
37012	262	247	15
37013	261	254	7
37014	372	361	11
37015	361	354	7
37016	389	376	13
37017	293	285	8
37018	312	301	11
37019	244	233	11
37020	296	289	7
37021	329	310	19
37022	315	288	27
37023	329	321	8
37024	389	378	11
37025	316	308	8
37026	447	428	19
37027	324	312	12
37028	305	290	15
37029	323	309	14
37030	344	338	6
37031	362	355	7
37032	314	300	14
37033	375	360	15
37034	338	327	11
37035	362	353	9
37036	343	339	4
37037	386	374	12
37038	352	340	12
37039	334	319	15
37040	366	360	6
37041	355	339	16
42001	528	364	164
42002	654	526	128
42003	614	501	113
42004	1191	891	300
42005	535	406	129
42006	580	411	169
42007	750	528	222
42008	526	410	116
42009	732	585	147
42010	829	644	185
42011	419	271	148
42012	530	380	150
42013	515	365	150
42014	793	585	208
42015	687	500	187
42016	637	501	136
42017	844	616	228
42018	678	506	172
42019	769	548	221
42020	712	485	227
42021	660	526	134
42022	321	211	110
42023	699	485	214
42024	633	457	176
42025	632	435	197
42026	837	618	219
42027	437	330	107
42028	657	490	167
42029	654	486	168
42030	512	348	164
42031	748	527	221
42032	685	466	219
42033	687	559	128
42034	522	353	169
42035	783	618	165
42036	1022	776	246
42037	462	350	112
42038	583	427	156
42039	884	664	220
42040	849	670	179
42041	639	495	144
42042	1033	818	215
43001	315	246	69
43005	73	55	18
43009	75	48	27
43033	612	428	184
43035	660	483	177
43045	359	278	81
