Precinct	total_votes	votes|Benjamin Thomas Wolf	votes|Mike Quigley	votes|Sameena Mustafa	votes|Steven J. Schwartzberg
46016	139	11	80	45	3
46019	216	14	139	53	10
46024	78	7	43	26	2
46028	313	25	215	59	14
46030	249	25	150	63	11
46031	246	13	158	69	6
46033	296	25	204	61	6
46036	262	19	179	55	9
46038	157	24	77	52	4
46039	246	20	163	55	8
47001	153	7	99	46	1
47002	317	23	224	61	9
47003	332	32	229	63	8
47004	351	22	239	83	7
47005	342	26	196	113	7
47006	280	15	179	79	7
47007	252	18	156	72	6
47008	310	23	198	80	9
47009	240	20	152	60	8
47010	370	24	183	153	10
47011	245	33	144	63	5
47012	342	27	192	115	8
47013	310	18	139	143	10
47014	290	9	169	108	4
47016	317	16	186	107	8
47017	281	18	179	78	6
47018	285	27	170	85	3
47020	289	16	157	106	10
47021	306	18	157	122	9
47022	346	19	199	115	13
47024	264	27	152	78	7
47025	289	22	164	96	7
47026	344	24	170	143	7
47027	259	29	159	64	7
47028	296	10	186	91	9
47029	300	30	171	92	7
47030	168	13	90	58	7
47031	263	30	147	82	4
47032	385	20	209	149	7
47033	218	11	148	50	9
47034	324	17	182	119	6
47035	282	26	193	55	8
47036	354	33	194	121	6
47037	319	13	187	114	5
47038	295	21	178	93	3
47039	315	25	194	89	7
47040	379	15	195	165	4
47041	352	29	201	114	8
47042	311	16	125	162	8
47043	256	31	168	53	4
47044	210	26	131	44	9
47045	308	13	169	121	5
47046	284	24	190	64	6
47047	301	34	169	95	3
47048	31	7	16	7	1
50024	142	11	76	16	39
50025	17	5	7	0	5
