Precinct	total_votes	votes|Michael W. Frerichs	votes|Jim Dodge	votes|Michael Leheney
03011	514	489	9	16
03012	502	471	17	14
03013	615	495	104	16
03014	596	498	74	24
03015	460	434	8	18
03016	429	406	15	8
03017	737	639	72	26
03018	734	671	30	33
03019	632	464	150	18
03020	517	490	13	14
03021	602	483	106	13
03022	738	603	112	23
03023	424	384	25	15
03024	417	387	19	11
03025	938	697	220	21
03026	621	496	114	11
03027	711	536	153	22
03028	323	301	16	6
03029	488	454	18	16
03030	432	418	6	8
03031	540	518	11	11
03032	648	510	112	26
03033	666	530	102	34
03034	689	558	99	32
03035	237	221	8	8
03036	264	246	9	9
03037	434	409	10	15
03038	396	373	12	11
03039	892	712	147	33
03040	547	480	45	22
03041	348	301	36	11
04001	793	735	45	13
04002	708	574	113	21
04003	413	390	8	15
04004	696	650	26	20
04005	508	467	23	18
04006	607	550	43	14
04007	614	584	16	14
04008	552	524	6	22
04009	587	551	13	23
04010	650	608	23	19
04011	539	507	13	19
04012	596	566	15	15
04013	677	554	89	34
04014	537	501	19	17
04015	643	604	19	20
04016	930	781	126	23
04017	706	588	84	34
04018	501	479	10	12
04019	402	381	10	11
04020	510	408	72	30
04021	763	638	100	25
04022	546	504	31	11
04023	712	675	23	14
04024	502	456	27	19
04025	640	512	109	19
04026	504	476	14	14
04027	703	650	33	20
04028	440	407	23	10
04029	445	424	10	11
04030	702	662	19	21
04031	547	512	21	14
04032	583	548	15	20
04033	536	493	25	18
04034	457	425	17	15
04035	603	572	17	14
04036	601	563	15	23
04037	1024	848	149	27
04038	563	532	16	15
05001	399	377	7	15
05002	339	326	9	4
05003	571	530	28	13
05004	687	645	27	15
05005	443	414	14	15
05006	382	357	14	11
05007	527	486	21	20
05008	539	495	34	10
05009	613	576	19	18
05010	380	359	8	13
05011	548	498	28	22
05012	320	301	11	8
05013	413	388	15	10
05014	387	372	8	7
05015	471	432	28	11
05016	453	435	8	10
05017	408	381	14	13
05018	494	460	16	18
05019	487	450	29	8
05020	587	542	30	15
05021	553	513	30	10
05022	584	539	37	8
05023	895	808	61	26
05024	572	533	28	11
05025	450	426	8	16
05026	484	450	19	15
05027	610	531	67	12
05028	520	478	24	18
05029	496	459	23	14
05030	327	306	10	11
05031	373	355	9	9
05032	603	557	24	22
05033	531	503	11	17
05034	607	547	44	16
05035	618	565	40	13
05036	278	256	9	13
05037	563	523	28	12
05038	431	405	11	15
05039	419	382	26	11
05040	338	319	9	10
05041	292	277	11	4
06001	441	432	4	5
06002	417	396	7	14
06003	440	422	10	8
06004	316	299	7	10
06005	269	264	3	2
06006	420	391	17	12
06007	362	332	17	13
06008	392	376	11	5
06009	357	330	9	18
06010	240	227	5	8
06011	350	330	10	10
06012	284	269	8	7
06013	305	292	5	8
06014	366	353	3	10
06015	334	313	9	12
06016	407	386	5	16
06017	265	242	7	16
06018	287	274	8	5
06019	355	337	5	13
06020	237	224	5	8
06021	217	208	4	5
06022	235	220	8	7
06023	209	200	7	2
06024	206	189	12	5
06025	209	197	6	6
06026	291	271	9	11
06027	220	206	6	8
06028	192	183	3	6
06029	421	408	2	11
06030	319	290	11	18
06031	402	379	9	14
06032	362	349	7	6
06033	387	353	20	14
06034	399	384	4	11
06035	361	341	6	14
06036	461	447	7	7
06037	407	386	9	12
06038	416	391	15	10
06039	322	308	6	8
06040	350	328	9	13
06041	388	379	6	3
06042	404	382	11	11
06043	354	335	13	6
06044	385	370	9	6
06045	417	397	8	12
06046	267	254	2	11
06047	276	258	8	10
06048	415	391	9	15
07001	352	333	12	7
07002	361	339	10	12
07003	398	376	9	13
07004	394	364	12	18
07005	317	294	14	9
07006	486	451	16	19
07007	374	352	7	15
07008	313	291	8	14
07009	651	604	21	26
07010	421	407	9	5
07011	411	384	11	16
07012	353	330	11	12
07013	240	218	9	13
07014	409	380	13	16
07015	361	345	5	11
07016	289	269	7	13
07017	322	303	10	9
07018	337	304	20	13
07019	357	337	9	11
07020	290	275	4	11
07021	284	261	11	12
07022	321	293	12	16
07023	358	345	6	7
07024	310	298	9	3
07025	300	265	19	16
07026	304	294	3	7
07027	304	288	6	10
07028	282	265	7	10
07029	313	290	10	13
07030	268	248	9	11
07031	246	232	7	7
07032	493	472	11	10
07033	485	462	14	9
07034	442	423	8	11
07035	401	380	13	8
07036	443	421	9	13
07037	396	371	14	11
07038	315	303	8	4
07039	335	325	4	6
07040	321	307	7	7
07041	369	348	10	11
07042	312	302	5	5
07043	378	357	14	7
07044	316	306	3	7
07045	350	334	7	9
07046	158	151	4	3
08001	333	307	12	14
08002	359	341	8	10
08003	447	429	8	10
08004	441	429	5	7
08005	437	421	9	7
08006	406	385	9	12
08007	454	440	7	7
08008	385	374	5	6
08009	265	253	3	9
08010	493	470	8	15
08011	329	304	15	10
08012	343	324	8	11
08013	443	418	9	16
08014	288	272	4	12
08015	351	336	5	10
08016	123	117	4	2
08017	351	343	5	3
08018	371	345	11	15
08019	418	394	14	10
08020	442	420	11	11
08021	486	465	11	10
08022	361	344	8	9
08023	333	317	6	10
08024	242	226	9	7
08025	388	360	16	12
08026	366	337	13	16
08027	430	407	12	11
08028	406	381	14	11
08029	454	432	9	13
08030	414	390	9	15
08031	291	268	9	14
08032	321	309	0	12
08033	371	349	7	15
08034	379	360	7	12
08035	431	414	7	10
08036	412	397	11	4
08037	328	301	15	12
08038	266	256	4	6
08039	396	374	7	15
08040	296	281	10	5
08041	450	431	5	14
08042	475	459	5	11
08043	218	199	11	8
08044	272	262	5	5
08045	382	357	12	13
08046	315	303	8	4
08047	322	303	11	8
08048	363	346	9	8
08049	369	354	6	9
08050	398	379	7	12
08051	435	411	11	13
08052	475	459	4	12
08053	225	208	8	9
08054	316	296	9	11
08055	313	295	10	8
08056	397	377	4	16
09001	370	356	9	5
09002	331	320	3	8
09003	297	282	6	9
09004	282	274	5	3
09005	356	349	3	4
09006	335	320	4	11
09007	306	285	8	13
09008	365	354	4	7
09009	391	370	12	9
09010	299	291	7	1
09011	243	230	5	8
09012	421	403	9	9
09013	423	400	11	12
09014	446	418	22	6
09015	411	393	9	9
09016	325	311	4	10
09017	249	240	6	3
09018	275	263	9	3
09019	348	339	3	6
09020	368	355	5	8
09021	317	298	14	5
09022	372	356	10	6
09023	428	405	3	20
09024	382	366	11	5
09025	372	355	10	7
09026	403	386	9	8
09027	321	309	5	7
09028	227	208	9	10
09029	327	308	8	11
09030	293	272	10	11
09031	281	263	8	10
09032	366	345	12	9
09033	275	262	9	4
09034	272	256	7	9
09035	374	355	9	10
09036	301	280	6	15
09037	523	432	68	23
09038	393	374	9	10
09039	396	372	13	11
09040	397	373	13	11
09041	304	289	5	10
09042	372	350	9	13
09043	325	307	8	10
09044	325	312	6	7
09045	293	279	10	4
09046	369	341	16	12
09047	384	367	6	11
09048	418	390	7	21
09049	399	381	8	10
09050	489	465	9	15
09051	362	341	15	6
10001	340	299	22	19
10002	380	240	121	19
10003	381	248	115	18
10004	276	246	18	12
10005	297	205	81	11
10006	300	246	46	8
10007	263	213	42	8
10008	233	213	15	5
10009	343	226	110	7
10010	376	289	71	16
10011	416	348	57	11
10012	238	184	43	11
10013	334	305	22	7
10014	450	353	84	13
10015	668	637	11	20
10016	279	195	64	20
10017	484	328	130	26
10018	230	204	14	12
10019	372	259	93	20
10020	402	307	74	21
10021	361	308	44	9
10022	206	176	21	9
10023	314	275	27	12
10024	368	230	129	9
10025	104	97	3	4
10026	263	226	25	12
10027	349	309	24	16
10028	394	327	50	17
10029	323	269	43	11
10030	304	260	27	17
10031	270	245	19	6
10032	369	284	72	13
10033	248	209	31	8
10034	252	224	19	9
10035	425	288	125	12
10036	93	80	8	5
11001	427	308	87	32
11002	32	23	7	2
11003	438	387	34	17
11004	366	285	64	17
11005	548	453	63	32
11006	718	577	115	26
11007	675	590	59	26
11008	427	343	64	20
11009	354	266	72	16
11010	395	307	72	16
11011	477	350	110	17
11012	577	392	156	29
11013	519	330	172	17
11014	243	170	67	6
11015	170	134	32	4
11016	302	207	84	11
11017	533	417	93	23
11018	328	257	65	6
11019	545	448	79	18
11020	298	241	47	10
11021	548	423	104	21
11022	491	366	105	20
11023	266	199	59	8
11024	491	392	85	14
11025	569	435	105	29
11026	508	393	98	17
11027	142	118	20	4
11028	192	128	53	11
11029	469	349	107	13
11030	218	155	54	9
11031	426	284	121	21
11032	219	148	64	7
11033	561	424	115	22
11034	167	125	31	11
11035	125	98	25	2
11036	178	139	36	3
11037	121	98	17	6
11038	238	197	27	14
12001	360	297	41	22
12002	335	283	35	17
12003	485	405	54	26
12004	404	330	49	25
12005	333	251	68	14
12006	379	308	48	23
12007	337	302	23	12
12008	400	326	55	19
12009	322	262	48	12
12010	428	372	21	35
12011	370	319	32	19
12012	373	317	43	13
12013	363	299	42	22
12014	330	297	17	16
12015	279	248	20	11
12016	333	294	22	17
12017	371	312	39	20
12018	319	280	19	20
12019	376	311	39	26
12020	444	366	52	26
12021	360	304	41	15
12022	298	274	12	12
12023	377	311	47	19
13001	298	200	87	11
13002	303	209	87	7
13003	279	235	32	12
13004	354	232	106	16
13005	399	336	50	13
13006	353	226	110	17
13007	264	224	30	10
13008	283	191	81	11
13009	360	291	52	17
13010	323	166	146	11
13011	374	276	87	11
13012	306	238	58	10
13013	355	314	29	12
13014	356	288	50	18
13015	464	391	53	20
13016	224	192	26	6
13017	289	208	67	14
13018	272	179	76	17
13019	370	331	21	18
13020	206	121	76	9
13021	396	252	133	11
13022	391	244	132	15
13023	252	219	27	6
13024	342	268	57	17
13025	342	272	50	20
13026	325	235	73	17
13027	314	229	66	19
13028	266	222	34	10
13029	260	215	39	6
13030	269	245	15	9
13031	374	241	113	20
13032	288	174	109	5
13033	353	235	108	10
13034	413	367	32	14
13035	308	264	35	9
13036	207	176	26	5
13037	384	335	32	17
13038	308	194	103	11
13039	341	297	28	16
13040	348	289	46	13
13041	379	340	25	14
13042	337	208	119	10
13043	352	278	61	13
13044	348	314	24	10
13045	391	283	89	19
13046	396	332	50	14
13047	364	319	30	15
13048	313	205	90	18
14001	425	248	163	14
14002	457	376	67	14
14003	367	329	30	8
14004	384	240	126	18
14005	492	455	21	16
14006	173	159	8	6
14007	418	360	46	12
14008	403	327	57	19
14009	446	302	127	17
14010	255	196	39	20
14011	225	201	12	12
14012	394	324	59	11
14013	320	281	32	7
14014	326	280	30	16
14015	395	356	27	12
14016	256	213	31	12
14017	295	262	21	12
14018	158	112	45	1
14019	313	268	29	16
14020	255	223	25	7
14021	346	302	30	14
14022	482	377	85	20
14023	307	228	60	19
14024	456	291	153	12
14025	206	176	20	10
14026	269	233	22	14
14027	340	276	51	13
14028	276	235	31	10
14029	284	251	24	9
14030	196	177	12	7
14031	202	173	18	11
15001	317	265	33	19
15002	214	203	4	7
15003	233	218	6	9
15004	330	284	25	21
15005	311	266	35	10
15006	320	260	40	20
15007	237	219	6	12
15008	282	249	22	11
15009	420	372	32	16
15010	436	369	50	17
15011	362	308	40	14
15012	383	328	35	20
15013	297	258	26	13
15014	278	245	15	18
15015	257	215	30	12
15016	357	318	26	13
15017	263	247	11	5
15018	209	202	5	2
15019	287	243	28	16
15020	250	234	7	9
15021	211	200	3	8
15022	269	258	4	7
15023	260	244	8	8
15024	210	194	6	10
16001	368	324	30	14
16002	286	265	14	7
16003	235	219	6	10
16004	283	261	13	9
16005	196	183	8	5
16006	285	273	5	7
16007	254	240	8	6
16008	188	169	11	8
16009	287	268	10	9
16010	269	250	8	11
16011	277	249	17	11
16012	243	225	6	12
16013	269	247	16	6
16014	209	188	8	13
16015	298	281	6	11
16016	266	251	7	8
16017	339	298	28	13
16018	311	288	14	9
16019	244	224	11	9
16020	227	215	6	6
16021	238	222	11	5
16022	232	215	5	12
16023	324	287	28	9
16024	155	150	3	2
16025	326	296	16	14
16026	215	207	6	2
16027	238	224	6	8
16028	253	239	5	9
16029	266	259	3	4
16030	234	218	8	8
16031	287	273	5	9
16032	302	265	22	15
16033	260	242	8	10
16034	251	238	6	7
16035	340	317	10	13
16036	223	209	5	9
17001	342	305	24	13
17002	345	330	7	8
17003	352	321	22	9
17004	425	406	9	10
17005	257	240	9	8
17006	297	284	8	5
17007	278	258	12	8
17008	288	269	6	13
17009	262	250	6	6
17010	450	423	7	20
17011	269	250	7	12
17012	441	402	17	22
17013	295	281	9	5
17014	391	362	23	6
17015	372	355	8	9
17016	333	301	21	11
17017	318	290	18	10
17018	377	359	12	6
17019	200	189	6	5
17020	436	426	5	5
17021	456	427	9	20
17022	296	284	2	10
17023	224	211	8	5
17024	356	335	13	8
17025	261	246	4	11
17026	356	340	14	2
17027	324	304	10	10
17028	266	254	5	7
17029	349	334	7	8
17030	270	234	26	10
17031	215	206	2	7
17032	273	254	5	14
17033	222	208	8	6
17034	260	243	8	9
17035	240	232	4	4
17036	327	315	4	8
17037	294	275	7	12
17038	324	314	5	5
17039	330	309	7	14
17040	352	341	6	5
17041	418	400	4	14
18001	339	314	16	9
18002	345	281	50	14
18003	340	256	71	13
18004	404	384	13	7
18005	237	223	7	7
18006	321	229	81	11
18007	364	313	33	18
18008	380	358	14	8
18009	373	344	18	11
18010	493	466	14	13
18011	316	280	28	8
18012	375	350	15	10
18013	398	373	12	13
18014	400	383	7	10
18015	413	350	44	19
18016	364	341	13	10
18017	373	340	20	13
18018	314	297	7	10
18019	364	348	11	5
18020	299	285	5	9
18021	451	420	15	16
18022	451	429	14	8
18023	373	342	27	4
18024	376	304	63	9
18025	376	306	55	15
18026	460	428	21	11
18027	312	291	15	6
18028	361	268	82	11
18029	409	351	42	16
18030	442	340	81	21
18031	396	370	13	13
18032	383	353	13	17
18033	296	282	3	11
18034	446	406	30	10
18035	446	420	17	9
18036	405	355	39	11
18037	439	418	12	9
18038	357	338	10	9
18039	281	256	15	10
18040	414	345	51	18
18041	436	412	16	8
18042	331	307	12	12
18043	280	218	48	14
18044	334	235	89	10
18045	337	291	34	12
18046	411	337	65	9
18047	286	269	10	7
18048	310	289	11	10
18049	228	215	6	7
18050	290	276	8	6
19001	399	232	153	14
19002	601	510	79	12
19003	341	146	186	9
19004	479	230	231	18
19005	478	372	92	14
19006	454	230	206	18
19007	387	258	117	12
19008	474	206	254	14
19009	324	178	136	10
19010	538	413	110	15
19011	412	172	227	13
19012	353	155	189	9
19013	512	484	14	14
19014	513	421	80	12
19015	535	242	263	30
19016	457	223	219	15
19017	384	216	156	12
19018	411	310	87	14
19019	577	445	114	18
19020	365	323	28	14
19021	400	177	203	20
19022	481	341	129	11
19023	443	256	167	20
19024	304	141	154	9
19025	429	284	126	19
19026	447	302	123	22
19027	456	384	52	20
19028	497	457	17	23
19029	443	197	228	18
19030	404	191	197	16
19031	406	279	114	13
19032	399	239	153	7
19033	449	196	229	24
19034	413	295	105	13
19035	405	303	92	10
19036	603	539	45	19
19037	427	368	49	10
19038	385	334	37	14
19039	171	153	14	4
19040	465	355	93	17
19041	396	185	201	10
19042	381	291	73	17
19043	582	542	20	20
19044	475	220	231	24
19045	432	248	172	12
19046	454	265	175	14
19047	613	527	60	26
19048	493	470	16	7
19049	517	452	46	19
19050	365	238	110	17
19051	474	301	152	21
19052	456	214	220	22
19053	402	267	120	15
19054	360	150	187	23
19055	368	166	188	14
19056	475	370	91	14
19057	371	298	64	9
20001	367	343	12	12
20002	157	144	9	4
20003	321	300	6	15
20004	170	160	3	7
20005	432	405	15	12
20006	172	159	7	6
20007	398	372	10	16
20008	353	332	13	8
20009	529	494	13	22
20010	248	238	2	8
20011	505	482	9	14
20012	293	282	5	6
20013	407	380	14	13
20014	188	176	5	7
20015	297	267	18	12
20016	429	399	20	10
20017	220	197	16	7
20018	251	241	4	6
20019	381	358	8	15
20020	245	215	19	11
20021	260	242	11	7
20022	474	439	19	16
20023	408	382	13	13
20024	437	405	18	14
20025	271	247	19	5
20026	397	370	13	14
20027	191	177	11	3
20028	230	210	9	11
20029	434	415	10	9
20030	175	166	4	5
20031	449	427	8	14
20032	360	339	13	8
20033	216	209	4	3
20034	622	577	29	16
20035	267	248	10	9
20036	124	116	6	2
20037	116	111	3	2
20038	123	113	7	3
20039	26	23	2	1
21001	416	399	10	7
21002	287	271	11	5
21003	418	389	14	15
21004	358	347	2	9
21005	414	388	13	13
21006	313	302	7	4
21007	386	371	6	9
21008	392	370	10	12
21009	425	408	10	7
21010	336	317	7	12
21011	351	333	8	10
21012	355	334	10	11
21013	375	352	14	9
21014	398	379	7	12
21015	336	319	6	11
21016	356	336	11	9
21017	344	326	9	9
21018	428	413	8	7
21019	379	361	5	13
21020	330	317	7	6
21021	321	306	8	7
21022	331	314	10	7
21023	327	317	5	5
21024	369	353	9	7
21025	318	304	5	9
21026	369	352	9	8
21027	371	357	3	11
21028	462	442	11	9
21029	436	419	6	11
21030	307	289	8	10
21031	274	261	9	4
21032	342	333	3	6
21033	335	315	11	9
21034	339	325	7	7
21035	437	416	11	10
21036	353	328	9	16
21037	277	263	6	8
21038	356	342	3	11
21039	319	300	8	11
21040	341	324	10	7
21041	379	357	11	11
21042	412	387	13	12
21043	363	348	6	9
21044	370	356	8	6
21045	348	336	5	7
21046	412	396	6	10
21047	360	343	11	6
21048	380	359	12	9
21049	416	389	14	13
21050	295	275	12	8
21051	350	332	5	13
21052	351	333	12	6
21053	318	304	10	4
21054	324	311	11	2
22001	209	195	5	9
22002	413	307	95	11
22003	459	410	32	17
22004	253	231	13	9
22005	316	278	28	10
22006	304	279	14	11
22007	237	217	10	10
22008	466	377	71	18
22009	265	239	10	16
22010	424	374	35	15
22011	260	220	23	17
22012	317	247	53	17
22013	328	292	26	10
22014	243	217	15	11
22015	269	244	16	9
22016	278	255	14	9
22017	346	291	36	19
22018	281	250	19	12
22019	180	165	6	9
22020	293	255	26	12
22021	356	342	6	8
22022	294	257	21	16
22023	457	437	11	9
22024	338	296	24	18
22025	331	295	21	15
23001	347	194	137	16
23002	381	245	114	22
23003	362	211	138	13
23004	393	260	112	21
23005	359	307	32	20
23006	376	308	53	15
23007	285	231	37	17
23008	411	318	81	12
23009	289	248	26	15
23010	396	327	49	20
23011	361	313	33	15
23012	360	194	147	19
23013	304	262	26	16
23014	341	211	118	12
23015	304	252	31	21
23016	358	206	137	15
23017	229	197	21	11
23018	299	183	102	14
23019	280	248	22	10
23020	199	158	31	10
23021	364	198	158	8
23022	369	251	101	17
23023	344	213	115	16
23024	291	242	41	8
23025	293	233	48	12
23026	365	298	56	11
23027	301	151	123	27
23028	372	229	127	16
23029	306	219	80	7
23030	385	312	55	18
23031	285	232	40	13
23032	338	280	48	10
23033	358	294	46	18
23034	323	271	40	12
23035	261	145	110	6
23036	336	201	120	15
23037	371	215	143	13
23038	330	214	97	19
23039	359	319	30	10
24001	285	267	5	13
24002	299	286	3	10
24003	327	307	13	7
24004	252	242	6	4
24005	170	159	4	7
24006	315	301	2	12
24007	211	189	12	10
24008	158	147	4	7
24009	296	283	6	7
24010	140	131	3	6
24011	350	328	12	10
24012	185	172	10	3
24013	170	162	5	3
24014	293	280	4	9
24015	160	150	6	4
24016	431	370	34	27
24017	252	240	4	8
24018	358	343	9	6
24019	374	359	5	10
24020	263	253	3	7
24021	150	143	4	3
24022	384	369	9	6
24023	254	240	7	7
24024	335	316	11	8
24025	264	255	6	3
24026	435	419	7	9
24027	331	312	6	13
24028	206	193	7	6
24029	247	225	9	13
24030	185	177	4	4
24031	342	324	10	8
24032	169	159	5	5
24033	187	177	4	6
24034	295	286	6	3
24035	296	282	2	12
24036	365	336	16	13
24037	183	176	2	5
24038	260	237	12	11
24039	330	291	20	19
24040	367	351	13	3
24041	220	209	7	4
25001	355	310	27	18
25002	519	466	32	21
25003	793	576	187	30
25004	382	336	33	13
25005	474	402	45	27
25006	145	102	35	8
25007	467	416	30	21
25008	493	438	30	25
25009	438	395	24	19
25010	746	544	177	25
25011	487	437	34	16
25012	438	386	27	25
25013	511	478	18	15
25014	280	226	42	12
25015	391	341	30	20
25016	773	561	193	19
25017	513	449	41	23
25018	271	206	54	11
25019	484	432	26	26
25020	301	284	8	9
25021	880	704	130	46
25022	424	385	17	22
25023	511	454	32	25
25024	455	406	24	25
25025	494	354	114	26
25026	398	337	43	18
25027	615	496	100	19
25028	466	409	35	22
25029	362	324	27	11
25030	430	381	31	18
25031	907	628	247	32
25032	369	305	44	20
26001	402	348	33	21
26002	323	288	27	8
26003	443	367	59	17
26004	231	213	13	5
26005	339	308	16	15
26006	321	287	21	13
26007	376	338	24	14
26008	190	158	21	11
26009	261	228	18	15
26010	315	286	18	11
26011	321	281	31	9
26012	407	358	29	20
26013	185	166	11	8
26014	276	249	17	10
26015	209	178	24	7
26016	193	167	19	7
26017	320	233	77	10
26018	267	226	30	11
26019	227	205	17	5
26020	311	264	35	12
26021	439	387	36	16
26022	173	146	17	10
26023	235	208	16	11
26024	289	258	20	11
26025	339	296	27	16
26026	259	225	25	9
26027	438	377	41	20
26028	537	449	66	22
26029	233	191	36	6
26030	286	269	11	6
26031	154	129	19	6
26032	442	360	62	20
26033	421	369	39	13
26034	455	413	29	13
26035	311	270	17	24
26036	377	318	43	16
26037	385	353	21	11
26038	156	141	12	3
26039	405	339	51	15
26040	251	227	12	12
26041	415	373	27	15
26042	304	277	13	14
26043	195	168	11	16
26044	206	181	18	7
26045	169	146	19	4
26046	271	199	56	16
26047	233	199	26	8
26048	348	301	28	19
26049	200	177	16	7
27001	921	713	169	39
27002	471	373	87	11
27003	242	224	10	8
27004	218	202	8	8
27005	319	286	18	15
27006	512	411	84	17
27007	628	523	80	25
27008	308	282	13	13
27009	235	168	62	5
27010	428	393	21	14
27011	607	439	140	28
27012	336	242	86	8
27013	564	505	43	16
27014	197	189	4	4
27015	207	195	7	5
27016	505	382	111	12
27017	402	365	27	10
27018	287	263	15	9
27019	200	182	10	8
27020	321	308	6	7
27021	468	358	94	16
27022	184	173	4	7
27023	279	269	4	6
27024	281	266	12	3
27025	374	334	32	8
27026	309	289	11	9
27027	493	440	31	22
27028	417	310	97	10
27029	260	236	10	14
27030	185	170	12	3
27031	313	291	12	10
27032	367	321	32	14
27033	476	381	74	21
27034	282	267	7	8
27035	520	393	105	22
27036	332	297	17	18
27037	534	416	98	20
27038	646	524	101	21
27039	287	267	10	10
27040	629	478	125	26
27041	326	315	7	4
27042	305	231	60	14
27043	268	238	17	13
27044	269	253	9	7
27045	978	731	214	33
27046	376	258	99	19
27047	277	246	20	11
27048	832	680	129	23
27049	286	273	7	6
27050	364	354	7	3
28001	221	207	5	9
28002	303	279	8	16
28003	268	248	11	9
28004	335	271	54	10
28005	218	194	18	6
28006	196	173	20	3
28007	313	299	8	6
28008	439	337	82	20
28009	311	295	10	6
28010	451	378	57	16
28011	688	600	57	31
28012	321	307	6	8
28013	373	351	18	4
28014	245	234	5	6
28015	69	61	3	5
28016	201	196	3	2
28017	278	268	5	5
28018	286	271	4	11
28019	297	258	27	12
28020	297	274	14	9
28021	263	248	6	9
28022	295	270	8	17
28023	361	340	13	8
28024	270	253	11	6
28025	433	412	14	7
28026	315	304	6	5
28027	379	281	92	6
28028	445	343	82	20
28029	164	150	8	6
28030	52	49	1	2
28031	426	402	15	9
28032	293	276	8	9
28033	334	318	9	7
28034	574	526	27	21
28035	376	357	5	14
28036	178	177	1	0
28037	397	379	11	7
28038	153	141	6	6
28039	235	222	7	6
28040	432	412	10	10
28041	238	229	6	3
28042	321	303	9	9
28043	388	373	5	10
28044	229	217	4	8
28045	452	348	87	17
28046	667	547	91	29
29001	538	455	66	17
29002	531	507	13	11
29003	427	404	8	15
29004	424	410	8	6
29005	334	316	9	9
29006	337	328	4	5
29007	416	374	35	7
29008	345	329	8	8
29009	464	369	78	17
29010	550	459	74	17
29011	235	219	6	10
29012	479	454	18	7
29013	425	399	14	12
29014	365	352	5	8
29015	454	427	16	11
29016	382	367	8	7
29017	355	338	6	11
29018	388	365	10	13
29019	409	384	14	11
29020	485	465	8	12
29021	495	475	8	12
29022	288	251	22	15
29023	466	358	96	12
29024	355	337	11	7
29025	477	458	12	7
29026	400	370	20	10
29027	358	346	6	6
29028	483	462	8	13
29029	380	261	99	20
29030	542	473	57	12
29031	416	255	146	15
29032	404	254	132	18
29033	296	272	9	15
29034	293	259	25	9
29035	295	286	3	6
29036	346	330	9	7
29037	393	371	10	12
29038	424	331	77	16
29039	386	291	78	17
29040	451	428	12	11
29041	307	296	5	6
29042	443	420	11	12
29043	500	446	42	12
29044	511	470	28	13
30001	481	367	92	22
30002	412	318	71	23
30003	356	299	41	16
30004	405	299	80	26
30005	287	237	37	13
30006	351	288	54	9
30007	450	353	76	21
30008	530	445	56	29
30009	338	253	69	16
30010	426	352	62	12
30011	379	331	39	9
30012	360	287	56	17
30013	410	323	78	9
30014	263	227	26	10
30015	425	331	70	24
30016	190	148	32	10
30017	395	322	58	15
30018	517	453	39	25
30019	372	314	43	15
30020	457	364	68	25
30021	320	247	60	13
30022	578	493	60	25
30023	461	383	51	27
30024	543	460	64	19
30025	596	509	66	21
30026	249	191	47	11
30027	287	229	51	7
30028	432	370	45	17
30029	229	192	27	10
30030	193	162	27	4
30031	277	213	53	11
30032	321	272	37	12
31001	254	212	31	11
31002	223	197	19	7
31003	232	175	46	11
31004	392	342	33	17
31005	299	247	39	13
31006	201	177	21	3
31007	433	395	24	14
31008	220	187	29	4
31009	264	211	38	15
31010	245	209	26	10
31011	218	176	36	6
31012	258	201	46	11
31013	271	239	22	10
31014	243	194	37	12
31015	245	190	39	16
31016	335	290	29	16
31017	255	209	39	7
31018	251	208	35	8
