Precinct	total_votes	votes|Rahm Emanuel	votes|Willie Wilson	votes|Robert W. Fioretti	votes|Jesus ''Chuy'' Garcia	votes|William Walls, Iii
02045	277	161	31	22	59	4
02046	122	81	6	9	26	0
03001	300	107	80	11	73	29
03002	432	230	100	14	68	20
03003	261	157	35	14	47	8
03004	292	115	49	25	83	20
03005	194	88	64	9	30	3
03006	259	148	6	39	62	4
03007	272	116	67	23	49	17
03008	197	84	39	12	50	12
03009	296	127	65	14	77	13
03010	155	69	38	12	29	7
03011	252	94	58	18	66	16
03012	331	156	82	16	63	14
03013	303	174	14	39	70	6
03014	199	115	15	22	41	6
03015	233	85	64	16	45	23
03016	242	102	67	8	48	17
03017	263	123	39	25	63	13
03018	334	154	44	42	76	18
03019	226	127	7	52	40	0
03020	259	109	55	14	61	20
03021	306	165	26	46	61	8
03022	226	102	7	41	73	3
03023	246	128	47	12	36	23
03024	251	117	70	6	49	9
03025	290	198	9	29	54	0
03026	363	218	17	45	76	7
03027	225	112	5	50	55	3
03028	243	118	77	8	23	17
03029	274	123	77	11	52	11
03030	292	112	60	21	80	19
03031	299	143	67	12	64	13
03032	264	153	17	33	57	4
03033	186	99	10	33	42	2
03034	296	155	30	49	55	7
03035	121	48	18	19	26	10
03036	140	51	48	10	18	13
03037	220	89	51	6	53	21
03038	311	178	56	16	47	14
03039	212	143	4	28	36	1
03040	303	149	35	29	71	19
03041	277	142	49	25	42	19
04001	352	102	26	27	186	11
04002	279	168	14	32	61	4
04003	265	109	66	4	71	15
04004	352	144	82	16	88	22
04005	325	132	50	16	112	15
04006	408	215	62	39	81	11
04007	369	160	58	22	108	21
04008	363	132	84	14	110	23
04009	462	191	66	23	153	29
04010	343	150	55	22	99	17
04011	297	149	58	19	51	20
04012	289	111	45	15	94	24
04013	139	80	4	22	31	2
04014	307	115	55	46	74	17
04015	359	152	59	21	102	25
04016	232	144	4	24	58	2
04017	268	146	5	43	72	2
04018	312	149	58	17	74	14
04019	259	103	68	15	51	22
04020	292	149	8	51	77	7
04021	243	125	13	38	61	6
04022	323	162	30	14	100	17
04023	370	155	28	14	158	15
04024	262	116	29	18	83	16
04025	254	147	11	37	55	4
04026	332	139	76	21	81	15
04027	312	103	29	26	143	11
04028	329	148	49	28	83	21
04029	246	96	51	13	73	13
04030	346	167	76	16	66	21
04031	390	201	54	20	97	18
04032	281	123	53	14	76	15
04033	343	136	63	19	110	15
04034	270	105	56	15	72	22
04035	392	169	57	29	114	23
04036	344	121	55	48	90	30
04037	291	149	2	56	75	9
04038	358	166	44	28	106	14
05001	224	102	46	8	51	17
05002	223	96	48	6	56	17
05003	275	76	8	14	167	10
05004	293	128	27	26	100	12
05005	286	127	49	7	80	23
05006	251	103	56	9	72	11
05007	265	146	30	8	72	9
05008	303	143	6	10	143	1
05009	321	150	33	14	112	12
05010	220	83	46	11	64	16
05011	331	134	21	13	157	6
05012	200	73	50	9	60	8
05013	255	108	50	1	78	18
05014	314	137	48	15	88	26
05015	265	130	36	7	78	14
05016	268	126	55	14	53	20
05017	228	108	51	5	49	15
05018	262	106	25	15	98	18
05019	315	106	24	16	165	4
05020	341	156	29	19	125	12
05021	263	94	22	17	122	8
05022	368	221	24	12	103	8
05023	447	194	25	28	189	11
05024	290	94	32	17	136	11
05025	289	125	51	13	86	14
05026	258	118	46	12	67	15
05027	236	99	3	9	124	1
05028	336	141	59	19	96	21
05029	346	133	59	18	114	22
05030	190	73	46	11	48	12
05031	228	96	52	15	52	13
05032	349	153	45	24	105	22
05033	321	138	63	13	74	33
05034	334	177	5	8	142	2
05035	316	130	19	17	140	10
05036	215	98	58	8	31	20
05037	361	188	20	20	122	11
05038	249	121	56	9	43	20
05039	269	139	8	10	105	7
05040	253	102	49	17	62	23
05041	205	116	14	9	61	5
06001	320	134	55	22	85	24
06002	290	132	66	27	50	15
06003	300	151	62	11	50	26
06004	192	86	49	2	41	14
06005	177	68	52	6	43	8
06006	271	118	48	18	72	15
06007	240	99	61	3	58	19
06008	287	130	48	20	74	15
06009	221	85	43	7	70	16
06010	144	73	34	9	21	7
06011	230	90	64	8	52	16
06012	150	61	42	3	32	12
06013	218	101	44	20	39	14
06014	261	104	77	15	52	13
06015	197	74	73	8	36	6
06016	310	146	67	13	64	20
06017	176	81	48	6	31	10
06018	203	99	54	7	27	16
06019	243	111	64	10	46	12
06020	132	58	34	7	26	7
06021	158	66	47	3	39	3
06022	181	82	44	6	41	8
06023	145	59	43	4	33	6
06024	151	75	46	5	15	10
06025	144	68	38	6	20	12
06026	157	62	44	7	27	17
06027	142	44	60	5	23	10
06028	136	53	40	4	33	6
06029	328	149	54	21	78	26
06030	199	80	54	10	43	12
06031	284	120	50	15	76	23
06032	258	107	62	13	60	16
06033	275	119	71	6	55	24
06034	272	112	55	9	80	16
06035	264	109	64	7	67	17
06036	285	137	47	12	67	22
06037	325	115	86	17	87	20
06038	313	125	45	20	93	30
06039	236	93	53	10	60	20
06040	235	86	53	8	71	17
06041	257	119	53	14	54	17
06042	259	117	53	18	60	11
06043	240	92	58	14	65	11
06044	292	123	72	12	65	20
06045	281	116	49	19	78	19
06046	217	91	50	12	53	11
06047	189	72	45	10	49	13
06048	248	111	48	10	64	15
07001	207	73	51	13	58	12
07002	200	91	35	13	51	10
07003	250	98	43	7	75	27
07004	235	91	51	8	64	21
07005	226	91	59	7	52	17
07006	290	123	49	10	92	16
07007	179	78	44	6	39	12
07008	247	138	68	4	28	9
07009	451	217	88	15	105	26
07010	258	105	54	8	77	14
07011	243	108	62	8	45	20
07012	209	98	47	9	42	13
07013	194	103	39	5	33	14
07014	240	97	65	9	57	12
07015	275	100	58	12	85	20
07016	184	74	40	9	47	14
07017	182	66	51	6	50	9
07018	201	76	47	16	49	13
07019	220	96	53	4	43	24
07020	166	82	39	5	31	9
07021	173	70	42	3	46	12
07022	207	96	39	8	53	11
07023	276	115	56	18	70	17
07024	248	101	59	12	59	17
07025	203	81	50	5	59	8
07026	212	88	50	8	49	17
07027	223	103	46	11	45	18
07028	176	74	44	2	47	9
07029	210	107	47	9	33	14
07030	175	69	37	8	49	12
07031	148	64	17	7	54	6
07032	392	196	57	29	81	29
07033	370	167	54	15	108	26
07034	313	125	69	22	65	32
07035	235	91	53	12	68	11
07036	318	125	60	16	93	24
07037	297	124	46	14	92	21
07038	178	87	36	9	35	11
07039	223	103	44	4	49	23
07040	252	118	58	8	53	15
07041	221	96	51	16	48	10
07042	215	107	44	6	43	15
07043	240	110	61	7	54	8
07044	205	96	54	5	44	6
07045	225	98	53	8	58	8
07046	126	74	24	3	17	8
08001	183	74	54	5	35	15
08002	225	106	38	16	51	14
08003	329	146	68	25	72	18
08004	303	146	48	5	78	26
08005	338	131	83	15	87	22
08006	264	131	45	11	64	13
08007	323	144	55	9	98	17
08008	300	130	58	22	72	18
08009	182	80	31	6	52	13
08010	359	145	53	24	113	24
08011	254	113	47	11	56	27
08012	228	104	50	8	55	11
08013	286	138	65	8	58	17
08014	127	43	43	2	32	7
08015	227	100	62	11	42	12
08016	72	33	16	2	17	4
08017	243	111	40	14	62	16
08018	208	105	51	6	36	10
08019	340	118	77	24	98	23
08020	282	114	73	14	54	27
08021	282	111	65	13	67	26
08022	235	99	67	8	40	21
08023	205	89	42	12	51	11
08024	170	76	29	12	39	14
08025	230	114	50	1	52	13
08026	232	109	51	7	49	16
08027	298	122	59	15	85	17
08028	276	120	67	7	63	19
08029	286	108	64	9	89	16
08030	287	119	69	12	71	16
08031	211	90	44	19	46	12
08032	221	105	44	2	53	17
08033	257	129	64	9	47	8
08034	259	104	74	10	58	13
08035	315	136	72	15	74	18
08036	281	118	62	16	63	22
08037	245	108	32	19	68	18
08038	178	80	42	7	32	17
08039	267	107	62	6	80	12
08040	196	92	35	4	50	15
08041	258	108	64	13	55	18
08042	317	131	71	5	84	26
08043	132	48	37	2	36	9
08044	178	71	33	6	50	18
08045	184	84	48	5	37	10
08046	196	66	52	11	56	11
08047	225	106	63	2	47	7
08048	216	93	46	8	48	21
08049	264	111	49	11	79	14
08050	299	132	64	8	83	12
08051	287	123	74	12	69	9
08052	360	145	87	15	75	38
08053	156	64	42	5	31	14
08054	168	86	36	5	34	7
08055	161	90	32	5	26	8
08056	281	132	38	15	70	26
09001	245	124	59	4	37	21
09002	216	95	59	5	45	12
09003	144	52	51	3	25	13
09004	187	95	37	9	36	10
09005	241	111	58	7	48	17
09006	252	96	71	6	52	27
09007	169	78	42	6	33	10
09008	206	88	58	9	38	13
09009	295	140	71	9	58	17
09010	202	86	62	2	36	16
09011	181	72	47	9	45	8
09012	280	112	66	12	64	26
09013	310	138	77	14	67	14
09014	345	159	77	17	79	13
09015	153	57	57	6	23	10
09016	231	104	55	10	48	14
09017	185	75	55	2	32	21
09018	158	61	46	8	35	8
09019	219	86	58	10	54	11
09020	284	131	62	7	67	17
09021	224	110	56	7	34	17
09022	278	133	49	19	60	17
09023	284	117	64	13	71	19
09024	271	127	57	9	68	10
09025	253	88	62	12	79	12
09026	153	64	30	7	37	15
09027	220	102	59	10	31	18
09028	124	60	27	2	34	1
09029	228	100	55	3	48	22
09030	201	69	66	10	47	9
09031	201	86	63	12	30	10
09032	237	96	62	9	57	13
09033	178	91	40	4	26	17
09034	191	75	70	7	30	9
09035	267	133	58	16	44	16
09036	208	102	44	7	44	11
09037	326	145	24	57	90	10
09038	234	103	52	8	53	18
09039	257	109	59	12	58	19
09040	290	140	62	13	58	17
09041	216	104	47	12	42	11
09042	304	118	51	8	108	19
09043	202	86	51	12	39	14
09044	237	79	74	6	60	18
09045	184	87	49	6	33	9
09046	250	114	57	10	52	17
09047	318	142	69	16	76	15
09048	277	110	68	12	65	22
09049	234	96	54	12	52	20
09050	361	134	61	22	113	31
09051	267	106	65	9	64	23
10001	240	108	42	3	80	7
10002	320	139	9	57	113	2
10003	304	144	9	38	110	3
10004	191	70	17	9	90	5
10005	253	118	10	34	89	2
10006	239	96	4	29	109	1
10007	197	76	7	8	103	3
10008	129	52	25	1	47	4
10009	336	140	10	54	131	1
10010	337	117	3	34	182	1
10011	340	102	4	24	208	2
10012	195	81	3	20	90	1
10013	296	114	14	11	153	4
10014	423	139	4	26	254	0
10015	477	184	126	24	112	31
10016	205	91	3	29	80	2
10017	429	195	12	61	158	3
10018	143	48	16	1	76	2
10019	338	117	8	41	165	7
10020	338	165	11	23	134	5
10021	317	103	8	24	179	3
10022	154	43	3	6	102	0
10023	276	91	4	16	165	0
10024	349	153	13	54	125	4
10025	79	24	8	4	40	3
10026	176	60	10	8	98	0
10027	232	66	42	7	112	5
10028	359	113	7	26	213	0
10029	245	87	9	19	127	3
10030	246	76	4	11	153	2
10031	214	64	4	11	133	2
10032	282	115	3	20	143	1
10033	206	62	5	21	115	3
10034	158	67	8	4	77	2
10035	400	135	4	56	204	1
10036	78	31	13	2	31	1
11001	320	158	7	49	101	5
11002	32	13	8	3	4	4
11003	197	47	4	10	135	1
11004	282	109	7	40	124	2
11005	274	92	16	35	129	2
11006	249	125	4	30	89	1
11007	183	76	19	19	66	3
11008	249	107	8	35	95	4
11009	251	101	4	50	94	2
11010	276	135	4	48	88	1
11011	298	129	9	48	107	5
11012	567	262	6	114	181	4
11013	478	239	9	81	147	2
11014	176	92	9	33	39	3
11015	126	80	4	14	26	2
11016	221	103	7	39	69	3
11017	288	119	6	47	110	6
11018	265	157	2	40	64	2
11019	337	147	12	39	139	0
11020	232	129	2	39	62	0
11021	467	244	15	64	142	2
11022	387	185	7	67	121	7
11023	200	127	3	25	45	0
11024	458	261	7	87	102	1
11025	294	142	2	35	112	3
11026	403	208	14	51	129	1
11027	101	44	3	12	40	2
11028	177	100	4	22	49	2
11029	388	194	13	61	117	3
11030	142	91	1	13	37	0
11031	331	175	6	49	99	2
11032	189	105	1	52	31	0
11033	210	114	8	22	66	0
11034	124	71	6	16	30	1
11035	130	79	8	18	23	2
11036	136	59	4	24	46	3
11037	98	65	2	7	20	4
11038	93	27	2	2	62	0
12001	283	84	3	19	175	2
12002	184	56	2	8	116	2
12003	302	67	5	20	207	3
12004	242	73	2	10	156	1
12005	228	79	9	23	114	3
12006	226	61	9	11	142	3
12007	193	34	3	2	154	0
12008	250	89	9	12	137	3
12009	198	58	4	13	122	1
12010	199	39	3	4	148	5
12011	217	51	2	9	154	1
12012	191	58	3	11	118	1
12013	219	49	2	13	152	3
12014	177	29	4	1	142	1
12015	213	56	15	6	132	4
12016	176	33	1	0	140	2
12017	231	52	4	10	164	1
12018	184	41	1	10	132	0
12019	217	59	2	9	146	1
12020	232	57	4	9	161	1
12021	232	58	3	16	153	2
12022	165	32	3	4	126	0
12023	238	69	3	21	144	1
13001	235	137	2	24	71	1
13002	260	150	5	31	72	2
13003	133	54	2	6	70	1
13004	292	152	7	43	88	2
13005	272	134	1	14	120	3
13006	275	154	3	39	79	0
13007	188	113	1	6	68	0
13008	202	99	1	28	74	0
13009	196	101	2	13	79	1
13010	260	131	4	36	88	1
13011	297	161	5	28	103	0
13012	189	81	7	8	92	1
13013	230	109	2	17	102	0
13014	208	96	3	18	87	4
13015	343	163	1	23	153	3
13016	157	80	1	8	66	2
13017	225	107	7	32	79	0
13018	204	104	5	23	71	1
13019	226	103	9	3	111	0
13020	165	82	4	29	49	1
13021	318	168	7	65	74	4
13022	264	146	5	41	70	2
13023	165	79	3	12	69	2
13024	210	112	11	15	69	3
13025	239	130	0	21	86	2
13026	263	170	5	18	69	1
13027	214	116	7	22	66	3
13028	181	71	3	16	89	2
13029	184	78	2	12	92	0
13030	156	79	0	8	69	0
13031	271	130	5	46	88	2
13032	249	140	4	30	75	0
13033	235	117	7	30	80	1
13034	276	142	4	18	112	0
13035	211	93	1	14	102	1
13036	131	66	1	3	61	0
13037	282	155	18	10	93	6
13038	242	112	6	33	91	0
13039	229	90	3	10	126	0
13040	190	104	8	9	69	0
13041	231	123	1	12	92	3
13042	284	137	7	56	84	0
13043	275	155	2	14	102	2
13044	363	279	9	11	64	0
13045	279	181	9	22	63	4
13046	244	105	2	10	126	1
13047	224	107	3	11	100	3
13048	220	126	5	23	64	2
14001	348	151	5	67	122	3
14002	314	131	3	12	166	2
14003	199	65	0	6	127	1
14004	241	115	4	34	85	3
14005	276	85	5	3	182	1
14006	111	37	1	5	67	1
14007	219	64	4	14	137	0
14008	209	69	6	11	122	1
14009	295	132	7	40	112	4
14010	154	51	1	9	90	3
14011	133	65	1	2	64	1
14012	216	100	6	19	90	1
14013	188	88	0	12	87	1
14014	188	74	3	11	99	1
14015	196	76	2	8	110	0
14016	174	70	5	3	96	0
14017	222	99	0	4	119	0
14018	86	33	2	7	43	1
14019	183	69	5	6	102	1
14020	137	40	3	12	82	0
14021	210	49	5	6	149	1
14022	229	82	6	36	100	5
14023	213	97	6	24	84	2
14024	336	137	11	52	136	0
14025	136	31	1	5	99	0
14026	122	25	2	7	88	0
14027	193	85	4	8	93	3
14028	141	47	3	10	80	1
14029	174	71	2	9	92	0
14030	79	30	2	3	44	0
14031	114	25	2	3	84	0
15001	229	48	1	3	177	0
15002	140	49	51	6	24	10
15003	161	62	55	7	31	6
15004	220	56	1	9	153	1
15005	187	39	7	1	140	0
15006	223	61	3	11	146	2
15007	188	72	64	8	32	12
15008	218	63	1	4	149	1
15009	272	57	3	9	199	4
15010	244	55	8	24	157	0
15011	232	54	4	12	162	0
15012	258	76	1	10	170	1
15013	181	41	3	1	136	0
15014	147	38	1	3	105	0
15015	161	41	5	7	108	0
15016	215	66	12	2	134	1
15017	194	71	52	4	58	9
15018	163	71	49	7	28	8
15019	217	64	23	5	116	9
15020	166	63	57	3	35	8
15021	160	74	40	2	34	10
15022	177	54	73	9	27	14
15023	177	88	34	4	40	11
15024	143	40	51	5	33	14
16001	184	40	2	5	136	1
16002	199	85	50	16	45	3
16003	168	75	55	4	28	6
16004	172	69	48	11	37	7
16005	147	61	45	7	23	11
16006	188	62	60	9	48	9
16007	166	53	44	7	53	9
16008	117	53	26	8	19	11
16009	210	101	54	6	36	13
16010	185	84	59	6	27	9
16011	160	57	31	5	63	4
16012	129	43	39	9	26	12
16013	145	50	15	7	71	2
16014	153	62	48	5	29	9
16015	195	105	50	3	27	10
16016	191	78	69	7	28	9
16017	146	49	33	0	54	10
16018	195	84	37	7	59	8
16019	167	72	41	2	43	9
16020	155	65	49	7	26	8
16021	146	57	52	5	26	6
16022	145	55	41	6	41	2
16023	147	40	15	7	83	2
16024	131	61	28	4	24	14
16025	222	106	64	4	34	14
16026	178	71	57	6	37	7
16027	160	62	53	5	28	12
16028	211	84	63	3	45	16
16029	173	85	40	2	37	9
16030	175	71	60	5	30	9
16031	226	83	94	3	39	7
16032	153	33	21	4	93	2
16033	221	102	65	4	42	8
16034	188	80	64	12	24	8
16035	143	44	23	2	65	9
16036	155	69	46	8	26	6
17001	215	60	34	10	102	9
17002	200	88	45	4	43	20
17003	216	86	62	4	47	17
17004	272	130	67	5	57	13
17005	209	86	55	12	51	5
17006	171	59	44	8	50	10
17007	136	55	23	2	48	8
17008	202	69	63	6	50	14
17009	229	83	72	19	44	11
17010	248	102	50	13	64	19
17011	192	76	55	6	41	14
17012	203	76	37	4	82	4
17013	191	85	59	7	27	13
17014	207	84	31	3	87	2
17015	229	97	68	7	44	13
17016	156	52	30	9	58	7
17017	188	66	47	10	54	11
17018	269	103	77	10	56	23
17019	136	49	45	7	27	8
17020	301	124	75	19	67	16
17021	335	155	74	13	69	24
17022	214	90	54	13	45	12
17023	155	63	48	3	34	7
17024	293	132	91	7	51	12
17025	152	62	44	1	36	9
17026	284	118	81	9	54	22
17027	212	96	58	6	41	11
17028	199	88	45	1	47	18
17029	240	120	70	7	27	16
17030	174	54	25	13	75	7
17031	145	59	42	5	36	3
17032	175	75	60	6	24	10
17033	154	51	58	4	34	7
17034	177	73	51	5	38	10
17035	210	83	59	8	46	14
17036	258	96	68	17	65	12
17037	186	74	54	5	42	11
17038	259	87	85	9	62	16
17039	234	97	66	4	58	9
17040	228	80	71	10	51	16
17041	275	116	70	12	58	19
18001	180	71	29	6	57	17
18002	201	75	16	13	93	4
18003	238	87	20	25	99	7
18004	276	90	67	13	83	23
18005	184	88	61	2	27	6
18006	217	91	12	28	81	5
18007	265	104	62	17	65	17
18008	280	113	61	16	68	22
18009	280	120	46	13	71	30
18010	355	136	60	26	114	19
18011	196	75	20	22	71	8
18012	246	105	64	12	50	15
18013	290	109	63	17	78	23
18014	254	110	45	20	69	10
18015	260	98	23	17	115	7
18016	261	90	46	12	90	23
18017	241	75	45	22	85	14
18018	274	119	65	20	55	15
18019	277	132	53	12	65	15
18020	235	111	51	4	56	13
18021	338	120	45	27	114	32
18022	344	136	76	13	89	30
18023	192	66	35	13	64	14
18024	205	91	7	11	92	4
18025	218	77	9	32	99	1
18026	343	121	74	21	103	24
18027	190	76	47	14	46	7
18028	242	93	15	30	99	5
18029	224	93	38	8	82	3
18030	227	105	4	20	94	4
18031	253	71	45	13	106	18
18032	272	127	55	11	57	22
18033	210	72	69	5	49	15
18034	379	155	76	27	109	12
18035	331	153	51	10	94	23
18036	231	101	24	23	74	9
18037	292	103	43	20	102	24
18038	262	112	50	10	68	22
18039	164	58	31	4	55	16
18040	292	109	23	20	131	9
18041	298	122	54	19	81	22
18042	198	75	38	11	63	11
18043	183	58	7	18	99	1
18044	235	87	11	29	106	2
18045	215	57	22	15	114	7
18046	254	83	9	30	128	4
18047	159	58	44	7	42	8
18048	190	77	53	9	41	10
18049	161	59	38	5	50	9
18050	182	80	41	8	45	8
19001	316	162	6	48	98	2
19002	433	201	44	34	142	12
19003	240	93	11	41	92	3
19004	373	137	11	95	127	3
19005	375	174	28	24	140	9
19006	335	97	8	75	154	1
19007	316	148	11	37	117	3
19008	337	120	10	61	145	1
19009	255	128	4	42	79	2
19010	379	179	25	27	136	12
19011	318	120	15	58	121	4
19012	273	88	6	84	95	0
19013	353	131	60	28	102	32
19014	342	167	22	34	109	10
19015	423	145	8	99	164	7
19016	323	146	5	69	103	0
19017	291	116	7	45	122	1
19018	306	121	13	34	135	3
19019	396	168	29	43	149	7
19020	256	105	18	27	97	9
19021	350	147	25	68	107	3
19022	347	143	27	43	132	2
19023	326	166	11	40	106	3
19024	254	112	7	36	99	0
19025	307	135	28	36	98	10
19026	328	175	23	37	90	3
19027	310	124	32	19	123	12
19028	346	139	65	24	102	16
19029	290	93	8	58	125	6
19030	257	103	4	54	96	0
19031	294	124	9	45	111	5
19032	293	125	7	52	108	1
19033	321	113	9	70	126	3
19034	324	162	8	35	114	5
19035	281	136	15	24	101	5
19036	344	152	38	31	97	26
19037	297	116	25	29	118	9
19038	282	119	23	24	100	16
19039	80	34	17	4	22	3
19040	326	142	18	39	120	7
19041	290	105	6	58	121	0
19042	256	98	29	17	102	10
19043	376	182	69	16	91	18
19044	346	143	6	77	119	1
19045	335	141	4	57	130	3
19046	349	182	10	45	111	1
19047	458	171	47	53	171	16
19048	311	131	69	14	80	17
19049	401	167	47	20	146	21
19050	246	78	9	37	119	3
19051	374	187	12	41	132	2
19052	324	107	9	67	140	1
19053	310	132	12	43	116	7
19054	247	88	6	56	95	2
19055	279	101	7	62	107	2
19056	366	183	29	46	95	13
19057	282	111	28	21	112	10
20001	182	74	37	4	57	10
20002	106	52	28	2	13	11
20003	174	82	33	6	47	6
20004	91	34	27	6	18	6
20005	224	73	67	13	60	11
20006	96	43	24	2	22	5
20007	176	69	43	11	42	11
20008	234	112	60	8	43	11
20009	278	119	56	9	77	17
20010	163	72	39	5	35	12
20011	254	98	61	13	65	17
20012	122	50	34	6	27	5
20013	248	109	77	4	48	10
20014	169	86	42	2	30	9
20015	146	26	5	3	107	5
20016	259	102	51	12	85	9
20017	133	59	25	5	38	6
20018	171	78	47	6	26	14
20019	224	95	62	5	44	18
20020	126	28	16	4	78	0
20021	163	63	46	5	40	9
20022	293	124	49	14	84	22
20023	249	100	70	7	56	16
20024	214	85	37	9	71	12
20025	191	66	62	7	40	16
20026	237	94	41	12	75	15
20027	143	54	51	4	25	9
20028	167	64	51	6	38	8
20029	294	125	98	5	47	19
20030	112	55	25	3	20	9
20031	221	99	65	6	42	9
20032	224	108	64	1	41	10
20033	136	63	28	3	38	4
20034	272	77	49	12	125	9
20035	140	56	39	5	32	8
20036	80	34	29	2	13	2
20037	80	31	18	0	20	11
20038	89	41	23	2	18	5
20039	37	8	14	2	11	2
21001	291	135	49	15	73	19
21002	183	84	52	6	35	6
21003	263	111	75	8	52	17
21004	241	84	68	12	58	19
21005	304	133	72	18	59	22
21006	229	89	63	5	52	20
21007	298	139	69	13	62	15
21008	260	114	73	7	51	15
21009	314	128	72	19	70	25
21010	249	109	70	8	45	17
21011	255	126	64	4	44	17
21012	245	96	67	7	62	13
21013	202	83	48	10	46	15
21014	320	133	85	16	68	18
21015	206	89	41	11	49	16
21016	235	100	60	10	52	13
21017	216	83	46	19	54	14
21018	272	121	61	14	51	25
21019	270	116	67	9	59	19
21020	240	107	44	11	59	19
21021	214	82	66	6	50	10
21022	257	107	66	8	55	21
21023	248	83	76	10	66	13
21024	254	118	65	7	54	10
21025	258	95	62	10	68	23
21026	223	99	53	13	48	10
21027	267	111	55	13	73	15
21028	309	126	91	7	62	23
21029	266	98	61	12	73	22
21030	191	89	42	7	38	15
21031	194	89	45	9	36	15
21032	241	88	66	13	52	22
21033	237	108	65	10	42	12
21034	235	96	54	9	49	27
21035	274	129	57	8	63	17
21036	279	127	62	10	61	19
21037	229	100	58	9	41	21
21038	200	88	44	9	48	11
21039	188	90	39	3	38	18
21040	210	97	40	10	46	17
21041	274	116	61	9	63	25
21042	289	119	60	13	74	23
21043	256	110	61	11	56	18
21044	255	113	50	12	63	17
21045	253	103	68	7	59	16
21046	272	115	54	11	73	19
21047	219	91	60	8	42	18
21048	252	111	67	12	51	11
21049	281	113	66	16	73	13
21050	221	99	45	6	55	16
21051	283	126	80	6	51	20
21052	264	123	60	8	53	20
21053	195	70	43	6	59	17
21054	208	89	61	3	37	18
22001	156	74	40	3	30	9
22002	271	94	7	30	138	2
22003	268	36	0	6	225	1
22004	181	24	0	3	153	1
22005	217	33	1	5	178	0
22006	246	33	4	3	206	0
22007	147	21	1	3	121	1
22008	272	116	8	21	124	3
22009	182	17	1	3	160	1
22010	293	38	6	5	243	1
22011	186	22	2	3	158	1
22012	231	78	13	11	126	3
22013	214	30	2	6	176	0
22014	184	45	14	4	118	3
22015	159	25	0	6	128	0
22016	185	23	1	2	159	0
22017	220	22	2	4	192	0
22018	182	30	1	1	149	1
22019	91	26	29	2	32	2
22020	184	33	1	2	148	0
22021	273	100	49	4	108	12
22022	183	27	2	2	150	2
22023	312	130	92	2	66	22
22024	262	26	1	2	233	0
22025	223	24	2	4	190	3
23001	351	164	7	70	106	4
23002	269	119	4	43	102	1
23003	319	174	10	61	73	1
23004	346	168	5	57	116	0
23005	196	73	5	15	103	0
23006	271	122	4	22	123	0
23007	172	52	0	15	104	1
23008	311	132	13	37	126	3
23009	183	61	4	6	112	0
