Precinct	total_votes	votes|Brian Burns	votes|Mike Quigley
44008	307	90	217
44009	282	61	221
44010	305	70	235
44011	355	79	276
44012	363	72	291
44013	280	69	211
44014	202	54	148
44015	298	57	241
44016	384	87	297
44017	395	95	300
44018	317	77	240
44019	415	87	328
44020	307	98	209
44021	370	110	260
44022	370	68	302
44023	323	92	231
44025	315	81	234
44026	382	111	271
44027	401	105	296
44028	301	70	231
44029	351	95	256
44030	372	92	280
44031	247	55	192
44032	346	87	259
44033	282	88	194
44034	383	93	290
44036	281	82	199
44037	408	80	328
44038	287	78	209
44039	315	79	236
44040	316	83	233
44041	409	109	300
45003	284	52	232
45004	365	92	273
45005	308	55	253
45006	395	86	309
45007	403	85	318
45008	19	3	16
45011	185	51	134
45012	218	60	158
45013	260	52	208
45014	360	87	273
45015	365	74	291
45016	211	51	160
45017	273	67	206
45018	248	77	171
45019	122	40	82
45020	158	50	108
45021	202	50	152
45022	164	47	117
45023	189	52	137
45024	163	38	125
45025	152	26	126
45026	100	26	74
45027	211	45	166
45028	156	33	123
45029	119	21	98
45030	200	49	151
45031	212	52	160
45032	209	58	151
45033	185	41	144
45034	267	94	173
45035	283	59	224
45036	275	52	223
45037	209	48	161
45038	227	57	170
45039	213	53	160
45040	182	60	122
45041	219	65	154
45042	253	63	190
45043	220	61	159
45044	251	73	178
45045	151	50	101
45046	149	44	105
45047	158	55	103
45048	150	43	107
46003	404	90	314
46005	370	99	271
46010	523	159	364
46012	74	17	57
46016	189	35	154
46019	268	58	210
46024	98	31	67
46028	227	39	188
46030	371	104	267
46031	342	93	249
46033	374	65	309
46036	348	64	284
46038	168	53	115
46039	289	60	229
47001	233	63	170
47002	364	52	312
47003	301	58	243
47004	416	83	333
47005	357	101	256
47006	371	94	277
47007	331	79	252
47008	349	80	269
47009	297	76	221
47010	486	148	338
47011	320	61	259
47012	374	103	271
47013	385	94	291
47014	342	63	279
47016	369	78	291
47017	346	78	268
47018	336	72	264
47020	343	74	269
47021	348	80	268
47022	416	86	330
47024	390	84	306
47025	371	120	251
47026	457	116	341
47027	313	58	255
47028	350	77	273
47029	356	105	251
47030	171	33	138
47031	370	93	277
47032	448	93	355
47033	324	66	258
47034	385	79	306
47035	365	84	281
47036	418	108	310
47037	364	74	290
47038	362	82	280
47039	382	70	312
47040	414	85	329
47041	428	102	326
47042	367	86	281
47043	290	71	219
47044	258	54	204
47045	354	72	282
47046	321	66	255
47047	391	73	318
47048	38	14	24
50024	158	45	113
50025	16	4	12
