Precinct	total_votes	votes|Jacob Meister	votes|Iris Y. Martinez	votes|Richard R. Boykin	votes|Michael M. Cabonargi
08035	294	18	57	149	70
08036	241	10	57	120	54
08037	209	18	36	107	48
08038	158	12	26	70	50
08039	237	15	45	121	56
08040	202	15	40	97	50
08041	240	20	46	118	56
08042	276	16	65	140	55
08043	129	8	22	70	29
08044	156	14	32	77	33
08045	165	14	32	87	32
08046	166	10	33	87	36
08047	189	14	34	100	41
08048	200	9	43	104	44
08049	250	9	51	139	51
08050	253	11	36	152	54
08051	264	10	29	152	73
08052	334	15	52	185	82
08053	104	10	17	58	19
08054	165	14	32	72	47
08055	242	14	43	123	62
08056	261	12	55	134	60
09001	208	17	38	106	47
09002	196	10	47	100	39
09003	122	15	20	64	23
09004	165	19	27	78	41
09005	200	15	39	103	43
09006	216	22	48	110	36
09007	138	18	28	68	24
09008	184	15	50	79	40
09009	245	17	46	129	53
09010	188	25	32	97	34
09011	146	18	25	77	26
09012	239	10	40	132	57
09013	286	15	49	152	70
09014	278	16	44	141	77
09015	173	14	30	102	27
09016	230	32	48	95	55
09017	141	17	35	58	31
09018	155	17	35	72	31
09019	199	13	40	101	45
09020	200	11	52	101	36
09021	195	12	39	98	46
09022	249	7	45	140	57
09023	264	18	48	150	48
09024	251	21	47	121	62
09025	232	11	45	122	54
09026	170	23	36	72	39
09027	181	17	41	87	36
09028	88	8	34	32	14
09029	115	16	13	61	25
09030	159	13	29	82	35
09031	154	16	29	79	30
09032	216	11	36	133	36
09033	152	8	26	90	28
09034	150	16	37	67	30
09035	219	13	42	118	46
09036	173	9	40	92	32
09037	287	36	96	84	71
09038	199	15	53	103	28
09039	233	34	37	112	50
09040	269	19	47	145	58
09041	174	14	27	96	37
09042	255	5	32	156	62
09043	137	18	32	67	20
09044	209	16	37	120	36
09045	157	14	39	65	39
09046	228	22	52	107	47
09047	269	20	44	151	54
09048	249	8	46	137	58
09049	265	18	51	145	51
09050	347	20	61	190	76
09051	246	14	43	132	57
10001	183	17	87	51	28
10002	170	16	98	15	41
10003	160	6	93	22	39
10004	135	7	76	32	20
10005	135	7	80	12	36
10006	139	13	92	14	20
10007	118	8	85	13	12
10008	86	5	32	35	14
10009	149	11	76	16	46
10010	186	10	130	15	31
10011	233	20	169	24	20
10012	123	8	92	13	10
10013	177	10	121	27	19
10014	236	17	169	18	32
10015	401	32	68	232	69
10016	112	11	50	18	33
10017	257	19	129	27	82
10018	100	7	53	24	16
10019	194	7	121	20	46
10020	208	21	127	26	34
10021	203	9	145	19	30
10022	115	8	93	3	11
10023	166	14	114	10	28
10024	156	9	97	15	35
10025	56	4	20	21	11
10026	136	9	87	20	20
10027	157	16	74	47	20
10028	218	13	159	19	27
10029	194	13	137	13	31
10030	159	13	112	12	22
10031	141	14	96	12	19
10032	179	15	118	12	34
10033	142	17	96	13	16
10034	121	13	68	30	10
10035	200	8	135	16	41
10036	48	7	19	14	8
11001	272	63	96	39	74
11002	14	3	3	6	2
11003	235	56	132	21	26
11004	195	40	83	21	51
11005	354	93	161	44	56
11006	286	48	121	48	69
11007	259	38	114	50	57
11008	223	30	107	30	56
11009	229	60	99	21	49
11010	220	42	76	27	75
11011	231	52	91	28	60
11012	328	45	75	62	146
11013	277	32	73	53	119
11014	124	26	36	16	46
11015	92	18	35	10	29
11016	165	26	49	21	69
11017	351	67	154	42	88
11018	212	40	65	26	81
11019	321	77	151	32	61
11020	179	23	60	19	77
11021	360	59	102	38	161
11022	314	72	116	34	92
11023	175	27	44	21	83
11024	348	50	100	43	155
11025	308	48	135	28	97
11026	296	59	96	20	121
11027	85	23	20	17	25
11028	95	15	34	18	28
11029	290	52	81	34	123
11030	119	27	28	15	49
11031	235	26	72	37	100
11032	115	16	24	15	60
11033	279	39	107	51	82
