Precinct	total_votes	votes|Danny K. Davis	votes|Kina Collins	votes|Anthony Clark	votes|Kristine Schanbacher
27030	132	113	8	8	3
27031	202	145	24	27	6
27032	238	143	41	40	14
27033	258	162	33	23	40
27034	166	137	13	10	6
27035	252	87	37	56	72
27036	192	125	18	34	15
27037	219	149	24	14	32
27038	322	208	29	28	57
27039	197	148	21	21	7
27040	254	118	54	43	39
27041	232	192	22	10	8
27042	74	61	10	2	1
27043	163	126	18	12	7
27044	170	124	21	18	7
27045	439	173	106	76	84
27047	196	144	23	12	17
27048	373	207	70	43	53
27049	190	154	17	15	4
27050	243	198	26	15	4
28001	125	109	12	4	0
28002	189	132	22	27	8
28003	155	130	8	11	6
28004	148	68	30	23	27
28005	159	120	16	15	8
28006	97	61	11	7	18
28007	179	157	9	12	1
28008	168	70	26	28	44
28009	189	163	13	10	3
28010	233	124	32	35	42
28011	420	200	94	75	51
28012	177	152	14	8	3
28013	247	222	15	9	1
28014	180	159	12	8	1
28015	51	47	3	0	1
28016	106	90	9	6	1
28017	161	136	14	6	5
28018	184	152	15	10	7
28019	162	80	30	26	26
28020	173	142	15	8	8
28021	165	148	7	5	5
28022	226	169	19	24	14
28023	235	209	16	7	3
28024	164	144	6	12	2
28025	290	239	27	18	6
28026	180	161	8	10	1
28027	207	101	28	39	39
28028	263	137	34	42	50
28029	90	71	12	4	3
28030	39	37	1	1	0
28031	269	221	15	26	7
28032	185	164	7	11	3
28033	217	194	12	8	3
28034	304	238	34	22	10
28035	191	160	19	7	5
28036	114	96	9	8	1
28037	232	200	16	10	6
28038	67	61	2	2	2
28039	127	112	10	4	1
28040	248	211	15	18	4
28041	134	115	10	8	1
28042	177	140	32	5	0
28043	217	167	43	5	2
28044	148	129	12	6	1
28045	189	84	36	38	31
28046	356	163	73	63	57
29001	303	182	59	39	23
29002	320	285	19	10	6
29003	278	243	21	10	4
29004	306	262	21	19	4
29005	176	144	20	8	4
29006	175	156	12	6	1
29007	261	186	36	31	8
29008	189	151	22	12	4
29009	1	0	0	0	1
29010	339	185	69	38	47
29011	130	107	12	10	1
29012	310	252	24	30	4
29013	264	222	23	13	6
29014	245	216	17	9	3
29015	289	250	22	12	5
29016	222	167	17	36	2
29017	232	202	13	16	1
29018	225	175	22	20	8
29019	255	208	24	22	1
29020	249	219	13	14	3
29021	287	251	21	15	0
29022	222	167	28	20	7
29024	225	181	20	20	4
29025	307	266	23	15	3
29026	220	166	23	26	5
29027	236	194	17	22	3
29028	317	262	29	23	3
29033	200	154	12	27	7
29034	195	146	24	16	9
29035	163	141	9	11	2
29036	230	185	19	17	9
29037	255	218	18	13	6
29040	309	263	26	14	6
29041	207	167	25	12	3
29042	281	244	20	13	4
29043	213	129	35	32	17
29044	300	237	28	29	6
36005	121	70	19	22	10
36021	47	21	14	4	8
37001	184	140	18	17	9
37002	135	99	14	16	6
37003	137	116	13	8	0
37004	153	116	22	12	3
37005	255	217	17	16	5
37006	227	197	14	15	1
37007	130	99	17	7	7
37008	124	97	10	13	4
37009	206	174	15	12	5
37010	248	177	34	20	17
37011	123	98	9	10	6
37012	160	112	23	13	12
37013	151	112	18	17	4
37014	215	189	14	7	5
37015	237	205	16	11	5
37016	224	177	26	15	6
37017	157	133	18	6	0
37018	214	190	9	11	4
37019	147	114	16	10	7
37020	159	137	10	9	3
37021	161	136	11	4	10
37022	175	127	22	17	9
37023	218	184	18	13	3
37024	212	181	12	14	5
37025	202	173	14	12	3
37026	263	196	42	12	13
37027	203	174	12	15	2
37028	183	143	13	17	10
37029	193	158	14	15	6
37030	203	174	17	11	1
37031	217	175	22	15	5
37032	183	159	9	15	0
37033	257	232	13	8	4
37034	207	189	6	9	3
37035	249	215	17	11	6
37036	193	156	19	11	7
37037	234	200	19	13	2
37038	254	218	16	14	6
37039	196	158	19	15	4
37040	226	201	13	10	2
37041	210	176	13	15	6
42001	250	103	12	24	111
42002	252	88	60	30	74
42003	253	124	35	36	58
42004	490	192	65	50	183
42005	222	106	17	27	72
42006	311	134	27	27	123
42007	309	96	20	33	160
42008	295	123	35	29	108
42009	323	100	43	70	110
42010	371	143	75	49	104
42011	113	63	4	9	37
42012	272	131	30	36	75
42013	321	132	21	26	142
42014	279	105	38	36	100
42015	276	89	31	40	116
42016	260	113	38	42	67
42017	242	86	30	26	100
42018	209	80	35	36	58
42019	322	150	22	28	122
42020	245	78	30	27	110
42021	221	78	37	36	70
42022	100	37	12	18	33
42023	262	103	27	26	106
42024	193	80	13	19	81
42025	269	98	32	47	92
42026	311	102	37	57	115
42027	243	81	31	38	93
42028	249	116	19	26	88
42029	218	80	26	33	79
42030	214	112	10	18	74
42031	301	131	35	32	103
42032	235	82	37	25	91
42033	321	100	58	57	106
42034	233	92	16	20	105
42035	343	135	51	30	127
42036	299	93	61	46	99
42037	180	68	16	14	82
42038	233	87	20	24	102
42039	325	104	47	45	129
42040	277	105	36	36	100
42041	250	97	42	32	79
42042	475	181	73	77	144
43001	155	77	17	14	47
43005	49	19	6	10	14
43009	32	9	7	6	10
43033	294	138	21	34	101
43035	273	106	30	27	110
43045	201	100	12	20	69
