Precinct	total_votes	votes|Yes	votes|No
19019	634	543	91
19020	410	368	42
19021	543	308	235
19022	553	434	119
19023	527	357	170
19024	377	198	179
19025	485	388	97
19026	509	393	116
19027	481	433	48
19028	572	549	23
19029	558	360	198
19030	505	289	216
19031	472	373	99
19032	453	305	148
19033	564	340	224
19034	437	354	83
19035	462	371	91
19036	690	632	58
19037	493	458	35
19038	452	413	39
19039	238	228	10
19040	558	473	85
19041	500	276	224
19042	413	368	45
19043	662	631	31
19044	616	333	283
19045	524	355	169
19046	509	334	175
19047	695	633	62
19048	589	561	28
19049	598	559	39
19050	427	295	132
19051	570	393	177
19052	618	391	227
19053	485	354	131
19054	440	248	192
19055	442	270	172
19056	529	449	80
19057	416	360	56
20001	450	433	17
20002	152	135	17
20003	380	356	24
20004	198	189	9
20005	491	476	15
20006	187	179	8
20007	501	483	18
20008	381	360	21
20009	608	592	16
20010	293	286	7
20011	567	539	28
20012	417	401	16
20013	384	354	30
20014	248	236	12
20015	449	420	29
20016	533	510	23
20017	288	272	16
20018	308	297	11
20019	456	441	15
20020	345	320	25
20021	359	341	18
20022	596	576	20
20023	254	240	14
20024	583	560	23
20025	296	280	16
20026	423	405	18
20027	225	213	12
20028	273	261	12
20029	290	279	11
20030	188	182	6
20031	513	491	22
20032	341	327	14
20033	271	259	12
20034	577	555	22
20035	313	290	23
20036	144	137	7
20037	132	129	3
20038	154	145	9
20039	38	37	1
21001	471	458	13
21002	305	283	22
21003	421	402	19
21004	360	347	13
21005	446	430	16
21006	354	339	15
21007	417	399	18
21008	442	415	27
21009	443	424	19
21010	361	348	13
21011	382	365	17
21012	369	352	17
21013	439	426	13
21014	459	451	8
21015	388	374	14
21016	377	362	15
21017	363	342	21
21018	394	377	17
21019	465	452	13
21020	387	376	11
21021	361	345	16
21022	394	375	19
21023	396	387	9
21024	432	411	21
21025	373	343	30
21026	437	417	20
21027	454	442	12
21028	507	484	23
21029	466	451	15
21030	375	363	12
21031	231	227	4
21032	300	290	10
21033	371	349	22
21034	413	400	13
21035	504	479	25
21036	424	402	22
21037	299	287	12
21038	439	421	18
21039	388	364	24
21040	388	368	20
21041	450	437	13
21042	458	437	21
21043	419	412	7
21044	450	431	19
21045	395	377	18
21046	446	425	21
21047	384	361	23
21048	422	401	21
21049	470	453	17
21050	304	290	14
21051	428	415	13
21052	419	402	17
21053	363	342	21
21054	358	345	13
22001	224	213	11
22002	562	478	84
22003	680	634	46
22004	359	343	16
22005	420	399	21
22006	423	406	17
22007	349	329	20
22008	642	578	64
22009	350	333	17
22010	584	554	30
22011	340	315	25
22012	370	326	44
22013	465	443	22
22014	365	350	15
22015	365	349	16
22016	352	322	30
22017	577	537	40
22018	382	364	18
22019	212	205	7
22020	438	426	12
22021	411	393	18
22022	417	392	25
22023	464	444	20
22024	521	504	17
22025	424	405	19
23001	425	286	139
23002	468	372	96
23003	424	299	125
23004	428	320	108
23005	451	417	34
23006	460	421	39
23007	420	383	37
23008	543	455	88
23009	422	384	38
23010	507	451	56
23011	502	467	35
23012	498	337	161
23013	418	397	21
23014	388	277	111
23015	400	367	33
23016	448	295	153
23017	350	321	29
23018	406	308	98
23019	382	354	28
23020	315	284	31
23021	424	269	155
23022	468	372	96
23023	421	336	85
23024	395	360	35
23025	387	347	40
23026	439	392	47
23027	417	277	140
23028	507	381	126
23029	385	308	77
23030	516	459	57
23031	391	354	37
23032	403	364	39
23033	473	435	38
23034	479	443	36
23035	350	260	90
23036	454	307	147
23037	488	338	150
23038	414	323	91
23039	477	446	31
24001	323	312	11
24002	368	346	22
24003	424	411	13
24004	301	287	14
24005	196	185	11
24006	375	358	17
24007	278	265	13
24008	174	165	9
24009	347	328	19
24010	181	174	7
24011	388	365	23
24012	232	215	17
24013	222	206	16
24014	313	295	18
24015	198	183	15
24016	1059	984	75
24017	267	258	9
24018	312	301	11
24019	407	387	20
24020	311	292	19
24021	198	181	17
24022	431	405	26
24023	313	298	15
24024	406	374	32
24025	290	277	13
24026	530	510	20
24027	369	347	22
24028	223	210	13
24029	270	251	19
24030	220	208	12
24031	399	379	20
24032	180	172	8
24033	220	213	7
24034	343	327	16
24035	345	323	22
24036	413	383	30
24037	181	171	10
24038	295	276	19
24039	366	351	15
24040	427	399	28
24041	165	154	11
25001	442	411	31
25002	698	655	43
25003	1051	919	132
25004	440	395	45
25005	581	533	48
25006	209	192	17
25007	602	569	33
25008	640	615	25
25009	565	537	28
25010	875	752	123
25011	596	558	38
25012	546	516	30
25013	681	653	28
25014	444	401	43
25015	490	451	39
25016	1084	893	191
25017	598	567	31
25018	354	318	36
25019	603	569	34
25020	328	299	29
25021	1139	1010	129
25022	577	546	31
25023	647	610	37
25024	594	554	40
25025	520	458	62
25026	566	534	32
25027	798	684	114
25028	610	580	30
25029	446	411	35
25030	564	526	38
25031	1232	1013	219
25032	489	441	48
26001	481	445	36
26002	373	347	26
26003	546	504	42
26004	319	302	17
26005	403	385	18
26006	379	348	31
26007	418	390	28
26008	284	263	21
26009	356	330	26
26010	433	407	26
26011	428	392	36
26012	458	428	30
26013	255	240	15
26014	359	339	20
26015	275	257	18
26016	244	223	21
26017	405	350	55
26018	320	299	21
26019	273	255	18
26020	409	382	27
26021	510	480	30
26022	266	258	8
26023	330	310	20
26024	370	351	19
26025	358	330	28
26026	316	299	17
26027	493	465	28
26028	588	528	60
26029	241	218	23
26030	364	343	21
26031	213	199	14
26032	558	500	58
26033	512	484	28
26034	479	447	32
26035	384	360	24
26036	455	417	38
26037	469	440	29
26038	212	199	13
26039	527	491	36
26040	292	271	21
26041	476	449	27
26042	364	338	26
26043	270	250	20
26044	241	226	15
26045	231	209	22
26046	351	307	44
26047	324	304	20
26048	464	438	26
26049	289	274	15
27001	1294	1130	164
27002	587	521	66
27003	234	223	11
27004	263	251	12
27005	379	359	20
27006	649	575	74
27007	759	690	69
27008	376	356	20
27009	287	242	45
27010	418	389	29
27011	687	580	107
27012	465	419	46
27013	678	635	43
27014	236	215	21
27015	247	231	16
27016	662	561	101
27017	502	475	27
27018	327	299	28
27019	240	220	20
27020	334	310	24
27021	534	467	67
27022	206	189	17
27023	287	269	18
27024	310	294	16
27025	460	433	27
27026	327	310	17
27027	638	595	43
27028	752	633	119
27029	304	289	15
27030	212	202	10
27031	352	333	19
27032	442	402	40
27033	740	659	81
27034	245	224	21
27035	694	609	85
27036	340	320	20
27037	559	502	57
27038	682	629	53
27039	337	310	27
27040	784	686	98
27041	361	334	27
27042	381	344	37
27043	369	354	15
27044	330	308	22
27045	1656	1430	226
27046	503	422	81
27047	311	287	24
27048	996	907	89
27049	328	311	17
27050	425	393	32
28001	265	252	13
28002	350	324	26
28003	276	264	12
28004	429	380	49
28005	246	235	11
28006	226	196	30
28007	381	360	21
28008	649	557	92
28009	348	325	23
28010	550	511	39
28011	916	850	66
28012	330	319	11
28013	406	386	20
28014	352	327	25
28015	66	62	4
28016	229	215	14
28017	301	287	14
28018	293	275	18
28019	336	302	34
28020	300	281	19
28021	299	282	17
28022	337	316	21
28023	447	420	27
28024	303	279	24
28025	525	504	21
28026	341	325	16
28027	454	384	70
28028	549	476	73
28029	186	172	14
28030	51	48	3
28031	415	400	15
28032	349	323	26
28033	371	350	21
28034	643	603	40
28035	430	405	25
28036	189	179	10
28037	412	392	20
28038	139	130	9
28039	283	270	13
28040	459	437	22
28041	232	220	12
28042	367	348	19
28043	432	414	18
28044	261	242	19
28045	626	555	71
28046	764	684	80
29001	636	564	72
29002	533	512	21
29003	424	403	21
29004	515	491	24
29005	341	323	18
29006	345	328	17
29007	474	443	31
29008	435	412	23
29009	539	470	69
29010	619	562	57
29011	255	245	10
29012	558	532	26
29013	435	415	20
29014	400	384	16
29015	480	456	24
29016	416	399	17
29017	408	381	27
29018	420	398	22
29019	431	414	17
29020	466	441	25
29021	570	535	35
29022	398	363	35
29023	571	471	100
29024	418	397	21
29025	489	466	23
29026	423	402	21
