Precinct	total_votes	votes|Debbie Meyers-Martin (Joseph R. Biden)	votes|Vernard Alsberry (Joseph R. Biden)	votes|Michael W. Smith (Joseph R. Biden)	votes|Sheila Chalmers-Currin (Joseph R. Bide	votes|Lamar C. Brown (Joseph R. Biden)	votes|Marrice Coverson (Joseph R. Biden)	votes|Cory Thames (Joseph R. Biden)	votes|André J. Washington (Elizabeth Warren	votes|Hope Zawaski (Elizabeth Warren)	votes|Al Riley (Elizabeth Warren)	votes|Cleopatra Watson (Elizabeth Warren)	votes|Jaylin Mcclinton (Elizabeth Warren)	votes|Amanda Jo Greep (Elizabeth Warren)	votes|David Bonner (Elizabeth Warren)	votes|Aisha El-Amin (Bernie Sanders)	votes|Maureen Forte (Bernie Sanders)	votes|Sukari Campbell (Bernie Sanders)	votes|Abdul Malik Mujahid (Bernie Sanders)	votes|John Willard (Bernie Sanders)	votes|Kenneth Franklin (Bernie Sanders)	votes|Lyle C. Evans, Jr. (Bernie Sanders)	votes|Kenneth Henderson (Andrew Yang)	votes|Sanovia Reynolds-Parks (Andrew Yang)	votes|Juan Juarez (Andrew Yang)	votes|Paula Wilson (Andrew Yang)	votes|Reggie Greenwood (Andrew Yang)	votes|Monique Williams (Andrew Yang)	votes|Kyle Summers (Andrew Yang)	votes|Emily Higgs (Pete Buttigieg)	votes|Randall Krause-Vinson (Pete Buttigieg)	votes|Sherry Newquist (Pete Buttigieg)	votes|Alfred Saucedo (Pete Buttigieg)	votes|Micaela G. Smith (Amy J. Klobuchar)	votes|Kristal Hudson-Davis (Amy J. Klobuchar
07041	1390	158	138	143	143	150	134	140	11	8	2	12	9	3	7	42	40	42	38	43	46	44	3	4	5	4	4	8	2	2	1	0	1	0	3
07042	1274	142	129	135	135	134	122	123	13	8	4	10	2	5	2	35	39	34	43	44	45	37	5	2	6	2	4	1	1	2	1	1	1	3	4
07043	1300	148	132	143	142	137	138	138	13	6	9	8	7	3	2	27	28	25	33	37	35	40	6	2	6	7	4	9	6	4	0	1	0	1	3
07044	1162	130	115	121	116	121	112	111	7	3	8	8	0	1	0	39	41	37	43	39	43	47	1	3	6	2	0	4	0	1	1	0	0	0	2
07045	1067	113	91	103	94	92	92	96	10	4	8	9	10	4	6	40	48	30	39	42	46	41	3	2	7	5	3	10	4	4	2	0	1	3	5
07046	596	71	64	66	65	67	61	61	4	3	4	5	4	1	2	14	13	14	14	14	17	13	4	3	2	1	3	2	1	1	0	1	0	0	1
08004	1184	139	133	139	136	142	132	123	5	3	3	3	3	3	4	29	24	23	25	26	30	31	3	2	6	2	1	5	2	1	2	2	2	0	0
08005	35	4	4	4	4	4	4	3	1	0	0	1	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
08007	1870	213	198	206	200	211	195	193	17	9	9	19	7	6	5	50	44	40	48	43	50	49	6	7	9	5	6	7	3	3	2	2	0	3	5
08009	1073	124	105	116	120	114	104	110	8	3	6	8	5	4	4	35	32	27	30	29	30	26	2	3	5	5	2	6	3	2	1	1	1	0	2
08017	1345	153	140	149	137	148	140	142	13	5	9	5	6	6	4	31	33	35	35	35	38	38	6	3	4	6	2	7	1	2	0	4	1	3	4
08027	1421	159	140	143	145	143	137	139	13	8	9	13	11	10	11	44	42	44	41	42	42	44	5	1	1	7	7	6	1	4	0	1	1	3	4
08028	1441	158	145	150	145	146	135	134	17	9	8	11	2	5	8	45	44	38	47	45	54	49	3	2	5	7	3	6	2	3	4	0	1	6	4
08032	1234	149	121	132	129	127	120	124	7	7	6	7	7	1	2	29	31	29	39	36	43	41	4	0	6	6	4	8	4	4	4	4	1	0	2
08036	1514	184	163	173	176	169	158	162	13	10	9	17	10	3	2	39	27	26	35	31	29	30	4	4	4	5	7	7	2	8	0	2	0	1	4
08039	1430	173	152	167	158	152	141	144	12	6	4	9	2	3	5	35	33	34	42	38	42	39	1	3	6	9	3	5	4	5	0	2	0	0	1
08042	1715	193	171	174	175	176	168	165	11	5	12	16	15	1	8	54	46	44	57	57	58	57	7	2	7	7	2	7	4	4	0	2	3	4	3
08046	1060	125	111	117	111	123	111	109	10	1	5	8	7	2	3	30	25	20	25	26	29	28	4	2	2	3	2	4	3	2	3	1	3	3	2
08049	36	5	4	4	5	5	4	5	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
08050	616	68	61	66	67	64	59	61	6	3	4	7	4	3	2	22	17	16	18	14	15	20	3	1	2	2	1	2	0	0	0	2	0	4	2
08053	680	84	75	77	79	79	78	78	10	6	5	6	5	3	3	11	13	11	12	11	11	11	3	0	1	3	1	1	2	1	0	0	0	0	0
09001	1285	154	140	145	149	149	142	135	12	2	5	12	3	0	4	24	21	22	28	29	35	34	3	4	4	4	3	11	3	2	0	1	1	1	3
09002	1191	133	109	118	111	114	103	110	21	11	11	18	9	8	10	33	34	32	38	40	42	34	7	5	7	7	2	5	4	6	0	4	1	2	2
09003	638	63	49	51	54	50	48	51	5	4	4	11	5	3	5	32	27	26	29	31	29	28	1	1	2	4	2	7	1	1	2	6	1	2	3
09004	1152	128	108	118	112	117	107	105	10	7	8	16	9	3	6	41	41	37	37	33	41	37	2	3	1	2	2	9	4	1	1	3	0	3	0
09005	1268	150	130	139	142	140	130	135	11	4	7	30	9	2	3	22	24	22	29	38	34	31	5	3	5	6	8	2	2	2	0	1	0	1	1
09006	1249	135	118	127	125	117	117	113	12	6	9	11	8	2	7	46	44	37	36	41	37	38	5	3	2	5	9	7	2	7	4	4	5	4	6
09007	814	89	76	78	82	80	73	70	13	6	8	19	9	5	4	19	16	15	28	22	31	26	5	3	4	8	2	10	0	4	0	3	1	2	3
09008	1097	116	97	104	110	94	88	93	14	8	9	30	9	5	4	40	41	29	43	38	43	40	3	4	3	5	2	6	5	3	2	4	2	0	3
09009	1506	185	157	170	167	169	157	167	13	7	6	17	6	4	3	34	29	32	34	38	41	36	3	4	2	6	3	4	0	4	0	1	1	4	2
09010	1124	122	106	116	109	110	103	108	11	8	7	13	9	8	5	33	38	36	34	34	35	38	6	4	4	3	4	3	3	1	3	2	4	2	2
09011	844	95	84	90	87	94	86	86	4	5	7	16	5	4	4	21	25	19	19	21	24	21	3	2	3	3	2	4	1	1	2	3	0	1	2
09013	1867	222	206	210	213	210	202	204	12	2	7	22	6	9	4	44	43	38	39	44	45	39	3	5	4	4	4	4	8	3	0	3	1	3	4
09014	1819	211	194	201	203	201	186	189	9	12	15	25	10	6	8	41	37	39	49	43	44	44	8	5	2	7	5	10	2	2	1	3	0	3	4
09015	929	93	84	97	84	87	76	76	8	5	5	14	3	1	7	32	38	32	33	38	39	39	5	1	3	3	6	7	2	3	1	0	1	2	4
09016	1531	173	156	164	159	167	152	150	7	9	12	16	8	8	7	38	42	37	47	45	51	43	5	2	5	3	3	7	5	2	2	2	0	1	3
09017	843	100	83	93	87	94	83	83	10	7	9	16	6	3	5	15	17	13	21	21	21	19	3	2	7	5	3	6	2	2	2	3	0	1	1
09018	880	103	92	93	93	94	86	88	4	9	9	12	9	5	7	24	19	20	21	22	22	19	5	2	4	4	2	3	2	2	0	1	2	0	2
09019	1244	137	126	133	129	133	122	125	11	2	7	19	9	1	5	32	33	26	38	35	41	33	4	3	8	5	4	4	5	6	3	2	1	1	1
09020	1192	148	121	125	125	117	118	111	11	0	13	13	7	5	4	33	38	31	31	36	36	33	6	0	3	7	1	5	2	4	2	2	0	0	4
09021	1217	131	111	119	124	118	113	118	13	12	15	23	13	6	8	32	34	29	43	40	46	41	2	0	3	6	3	8	0	0	1	0	2	3	0
09022	1498	183	160	175	165	160	151	158	11	12	10	26	9	4	5	33	36	30	37	31	34	29	6	3	4	3	5	5	5	1	1	1	0	2	3
09026	1036	104	82	81	87	93	78	86	13	7	9	17	5	4	6	46	46	37	49	42	53	53	2	1	5	5	3	5	5	2	2	2	1	3	2
09027	1054	117	101	106	115	111	102	105	8	6	6	8	2	4	3	29	29	27	35	32	36	31	3	4	7	6	3	6	1	4	0	4	1	1	1
09028	559	55	45	49	50	48	48	50	4	3	2	8	3	2	3	21	25	21	21	23	24	20	2	3	5	3	1	7	1	1	0	2	3	3	3
09029	743	92	84	84	82	85	82	80	6	5	3	12	4	2	2	12	14	11	14	16	13	14	5	1	2	1	2	1	2	1	2	2	2	2	3
09030	915	105	98	101	99	99	97	96	8	4	10	14	5	7	3	24	21	17	25	21	24	21	0	1	4	1	1	2	1	0	2	0	2	0	2
09031	942	101	87	95	92	95	81	84	9	7	5	12	7	2	2	33	37	29	34	33	32	28	4	2	5	3	5	3	3	2	0	3	2	4	1
09032	1384	151	136	144	145	144	137	142	12	5	6	31	8	4	9	37	38	31	42	41	42	36	3	0	4	8	3	9	4	2	2	2	0	1	5
09033	912	110	98	98	99	93	92	96	6	6	5	14	6	4	4	20	21	17	23	26	24	20	3	2	1	3	3	2	2	3	0	2	1	3	5
09034	939	103	83	92	90	87	85	86	13	8	6	23	10	4	6	23	27	25	33	30	35	26	9	4	2	5	4	5	3	5	2	1	1	2	1
09035	1410	176	159	161	167	160	159	150	7	6	5	18	5	0	1	29	26	25	32	32	34	28	3	0	2	3	2	3	1	5	3	3	2	3	0
09037	1950	177	164	170	163	163	153	158	22	23	19	28	14	7	12	91	85	78	93	89	90	87	4	4	5	6	2	5	4	5	4	7	4	8	6
09038	1215	135	120	125	123	119	106	115	12	6	4	22	4	5	5	36	37	31	40	39	48	42	6	3	4	6	4	5	3	4	1	0	0	2	3
09039	1521	176	165	172	163	171	166	166	14	9	5	15	8	0	5	36	34	33	38	31	31	36	4	3	5	1	6	3	4	7	1	0	2	5	6
09040	1656	192	171	180	175	176	165	168	13	8	6	32	8	5	7	46	45	34	40	41	47	43	4	2	7	11	3	11	3	3	2	1	0	2	5
09041	1115	130	119	124	124	128	117	119	5	4	3	16	3	4	4	29	27	26	29	21	29	24	1	3	3	4	1	5	3	1	2	2	0	1	4
09043	910	102	85	92	95	92	87	88	11	8	13	16	8	5	2	17	21	18	27	23	33	26	4	5	3	6	3	5	7	1	0	3	0	2	2
09044	1257	143	129	133	137	138	123	125	17	10	11	13	7	3	7	24	32	27	34	36	37	32	3	1	3	8	3	3	3	6	2	1	1	3	2
09045	967	111	99	99	104	102	100	97	6	9	7	11	6	2	3	24	24	21	32	26	31	33	0	0	1	2	1	5	1	5	1	3	0	0	1
09046	1420	146	116	134	134	130	113	115	15	15	17	32	16	17	14	51	49	42	54	53	55	51	6	5	0	5	2	9	7	4	1	4	2	3	3
10001	1050	112	88	95	94	91	82	87	14	7	9	11	10	6	6	43	42	33	36	38	47	37	4	6	14	3	5	11	5	2	2	3	1	2	4
10002	1048	78	69	75	72	69	66	66	13	14	10	10	11	8	8	55	61	55	58	56	62	56	2	5	11	3	3	1	0	11	6	9	10	9	6
10003	950	80	69	77	74	66	71	69	10	14	5	6	3	6	3	42	52	43	48	48	52	51	6	4	13	6	4	3	4	4	3	1	8	2	3
10004	777	64	55	57	58	53	55	53	9	2	5	6	7	2	4	43	39	41	46	49	47	43	0	4	14	2	2	5	1	1	1	1	4	2	2
10005	730	63	46	46	47	43	44	42	4	6	4	3	7	5	6	47	47	41	38	41	46	37	5	3	16	2	6	4	3	5	4	3	10	2	4
10006	856	51	52	52	54	53	51	53	7	6	6	6	5	7	8	58	59	52	53	54	52	47	5	2	18	2	3	3	2	6	5	8	12	2	2
10007	709	49	35	36	36	35	33	37	4	5	5	4	5	2	6	45	45	41	53	56	57	58	6	5	12	2	5	7	3	6	2	3	6	4	1
10008	483	48	41	41	40	41	36	38	3	3	3	3	5	1	2	19	23	23	23	23	23	24	3	4	3	1	2	1	1	2	0	1	0	1	1
10009	962	67	61	63	62	58	52	57	7	12	5	5	5	5	9	55	59	51	53	55	56	55	9	8	24	10	7	6	10	8	3	6	7	5	7
10010	1037	73	61	62	60	54	52	56	8	12	6	11	6	5	5	67	68	75	78	80	78	73	3	1	21	2	1	3	0	5	0	0	9	2	0
10011	1414	77	69	74	68	67	65	69	9	11	11	12	6	3	4	100	106	105	111	113	119	115	4	2	35	4	5	4	3	8	2	5	17	7	4
10012	752	39	34	35	37	36	30	29	18	15	12	12	8	4	6	47	49	44	57	64	58	58	8	5	16	6	1	3	2	2	3	3	3	4	4
10013	1044	98	88	92	91	77	82	80	8	13	9	7	9	2	6	46	44	43	50	46	46	39	4	2	20	4	2	4	1	4	3	4	13	5	2
10014	1381	107	91	97	102	90	90	96	16	8	9	12	5	6	3	77	79	72	86	80	83	74	6	5	27	5	3	5	4	9	3	5	15	6	5
10015	2517	291	256	276	264	254	248	248	25	23	18	23	21	9	12	65	63	51	71	67	67	66	11	8	7	11	7	13	5	9	2	7	5	5	9
10016	663	43	35	42	43	39	39	40	3	6	3	3	2	1	1	42	42	39	41	47	47	45	5	4	12	5	3	5	4	6	4	3	4	3	2
10017	1607	131	108	113	120	106	106	114	6	14	8	5	7	18	4	90	92	85	85	88	93	90	7	5	19	7	6	8	6	18	11	11	12	4	10
10018	625	48	35	42	45	37	43	39	6	10	5	10	10	9	8	35	33	32	35	35	34	37	3	2	9	3	2	3	0	3	2	1	4	3	2
10019	1151	86	69	74	65	64	64	68	12	12	7	11	10	11	9	62	67	66	81	74	75	71	4	4	24	7	6	6	5	8	3	3	11	8	4
10020	1245	88	80	84	78	77	73	79	6	10	8	8	6	3	4	64	68	71	91	90	90	82	4	6	23	7	5	6	6	7	2	5	5	4	5
10021	1174	75	69	73	66	62	58	65	7	8	10	8	8	5	7	83	83	79	84	81	86	80	2	6	22	2	2	1	2	9	4	6	14	3	4
10022	680	44	28	35	31	32	32	35	11	7	11	6	7	4	5	42	48	46	42	47	51	47	4	4	21	3	3	6	4	4	0	5	12	2	1
10023	995	60	48	46	53	48	50	50	11	8	8	10	6	7	3	67	71	68	73	75	74	72	6	3	29	3	2	5	3	5	4	3	14	5	5
10024	969	87	78	73	86	73	73	71	7	7	6	6	7	7	6	50	47	45	46	44	45	43	3	3	14	5	3	2	3	6	1	3	11	3	5
10025	338	32	28	31	28	28	27	26	4	5	5	4	2	1	1	14	14	14	15	13	14	14	7	1	4	0	1	1	3	0	0	0	1	0	0
10026	787	59	47	55	50	48	42	42	4	7	3	8	6	7	4	46	47	45	50	55	50	49	4	6	18	6	2	5	5	7	1	0	5	1	3
10027	904	87	70	77	77	80	69	68	10	10	11	11	7	5	6	36	39	38	39	42	37	39	1	2	12	4	3	3	0	5	5	1	7	1	2
10028	1226	75	60	62	57	59	53	47	11	8	8	7	8	5	3	81	88	83	96	100	104	90	3	7	36	7	3	8	3	10	4	4	18	9	9
10029	1174	68	50	57	59	43	48	47	16	17	16	7	15	10	5	85	87	82	95	95	83	87	6	6	32	4	8	8	5	6	3	4	11	6	3
10030	996	62	55	57	56	49	51	50	9	9	9	9	5	8	2	64	68	65	77	76	73	76	1	1	15	6	3	1	5	9	4	5	10	3	3
10031	825	55	39	47	43	39	37	36	10	7	7	11	11	3	4	56	51	52	63	69	68	64	2	3	23	1	1	3	3	5	2	2	6	1	1
10032	1098	54	48	49	50	48	49	47	11	9	10	7	5	2	4	86	87	90	96	100	96	95	3	4	14	2	4	3	3	5	1	1	7	4	4
10033	887	42	34	37	39	32	32	30	10	6	9	7	5	5	1	66	74	76	80	81	77	79	4	5	21	4	2	6	6	2	1	1	11	1	1
10034	706	64	51	59	51	50	47	48	6	4	4	6	2	5	4	41	41	35	37	38	40	36	2	1	11	1	4	1	3	4	1	2	1	4	2
10035	1216	73	63	66	66	61	66	69	7	14	8	7	5	7	6	81	85	78	92	92	91	86	8	4	27	4	3	2	2	9	5	5	14	4	6
10036	224	25	18	20	21	19	22	19	0	1	1	0	2	0	0	10	8	9	10	9	12	10	1	1	2	1	0	0	0	1	0	0	0	1	1
34002	201	24	23	25	20	24	23	22	1	1	0	3	1	1	1	3	5	5	4	5	3	4	0	0	0	0	1	1	0	0	0	0	0	0	1
34004	950	98	85	95	93	92	86	92	11	8	4	13	5	2	3	27	34	35	38	34	34	31	1	2	3	2	5	5	1	4	1	1	3	1	1
34018	901	106	87	87	89	89	82	77	6	9	7	10	4	1	2	29	24	23	35	34	29	31	6	4	5	5	2	6	4	1	1	1	1	1	3
34022	578	72	65	65	68	67	66	67	2	2	4	6	1	1	2	13	9	9	12	9	13	11	3	2	1	1	1	3	1	0	0	0	1	1	0
34023	1184	131	110	117	114	118	109	111	9	4	4	7	8	3	4	38	46	34	41	39	43	39	6	5	5	8	4	9	3	2	3	2	5	2	1
34024	1158	135	119	128	119	123	113	116	14	2	7	8	4	4	6	31	31	24	27	31	29	29	6	3	4	7	6	10	2	4	1	2	0	7	6
34027	918	98	86	95	92	95	87	85	6	7	6	10	7	1	6	30	25	27	29	29	36	32	2	2	0	3	4	6	0	4	0	3	2	0	3
34028	646	73	64	64	62	63	59	62	5	4	2	2	2	2	1	20	25	20	28	21	24	22	3	1	2	1	1	4	1	1	0	1	0	2	4
34030	843	105	92	97	95	88	88	91	9	3	4	6	5	2	3	20	19	16	24	21	20	24	0	0	0	2	1	2	0	2	0	1	1	0	2
34036	1310	150	145	151	147	149	148	143	11	4	9	5	2	4	4	25	32	28	31	31	30	28	1	1	7	5	6	2	1	2	1	1	1	3	2
34037	680	76	62	66	69	68	64	63	3	5	4	4	3	0	3	19	20	20	30	27	25	27	2	2	2	1	3	4	2	1	1	2	0	1	1
34038	532	56	49	53	53	51	48	52	3	3	8	5	4	3	2	16	23	15	19	18	15	17	1	1	3	3	0	1	1	2	1	0	1	2	3
