Precinct	total_votes	votes|No Candidate
Elk Grove 34	0	0
Elk Grove 35	0	0
Elk Grove 36	0	0
Elk Grove 37	0	0
Elk Grove 38	0	0
Elk Grove 39	0	0
Elk Grove 40	0	0
Elk Grove 41	0	0
Elk Grove 42	0	0
Elk Grove 43	0	0
Elk Grove 44	0	0
Elk Grove 45	0	0
Elk Grove 46	0	0
Elk Grove 47	0	0
Elk Grove 48	0	0
Elk Grove 49	0	0
Elk Grove 50	0	0
Elk Grove 51	0	0
Elk Grove 52	0	0
Hanover 1	0	0
Hanover 2	0	0
Hanover 3	0	0
Hanover 4	0	0
Hanover 5	0	0
Hanover 6	0	0
Hanover 7	0	0
Hanover 8	0	0
Hanover 9	0	0
Hanover 10	0	0
Hanover 11	0	0
Hanover 12	0	0
Hanover 13	0	0
Hanover 14	0	0
Hanover 15	0	0
Hanover 16	0	0
Hanover 17	0	0
Hanover 18	0	0
Hanover 19	0	0
Hanover 20	0	0
Hanover 21	0	0
Hanover 22	0	0
Hanover 23	0	0
Hanover 24	0	0
Hanover 25	0	0
Hanover 26	0	0
Hanover 27	0	0
Hanover 28	0	0
Hanover 29	0	0
Hanover 30	0	0
Hanover 31	0	0
Hanover 32	0	0
Hanover 33	0	0
Hanover 34	0	0
Hanover 35	0	0
Hanover 36	0	0
Hanover 37	0	0
Hanover 38	0	0
Hanover 39	0	0
Hanover 40	0	0
Hanover 41	0	0
Hanover 42	0	0
Hanover 43	0	0
Hanover 44	0	0
Lemont 1	0	0
Lemont 2	0	0
Lemont 3	0	0
Lemont 4	0	0
Lemont 5	0	0
Lemont 6	0	0
Lemont 7	0	0
Lemont 8	0	0
Lemont 9	0	0
Lemont 10	0	0
Lemont 11	0	0
Lemont 12	0	0
Lemont 13	0	0
Lemont 14	0	0
Leyden 1	0	0
Leyden 2	0	0
Leyden 3	0	0
Leyden 4	0	0
Leyden 5	0	0
Leyden 6	0	0
Leyden 7	0	0
Leyden 8	0	0
Leyden 9	0	0
Leyden 10	0	0
Leyden 11	0	0
Leyden 12	0	0
Leyden 13	0	0
Leyden 14	0	0
Leyden 15	0	0
Leyden 16	0	0
Leyden 17	0	0
Leyden 18	0	0
Leyden 19	0	0
Leyden 20	0	0
Leyden 21	0	0
Leyden 22	0	0
Leyden 23	0	0
Leyden 24	0	0
Leyden 25	0	0
Leyden 26	0	0
Leyden 27	0	0
Leyden 28	0	0
Leyden 29	0	0
Leyden 30	0	0
Leyden 31	0	0
Leyden 32	0	0
Leyden 33	0	0
Leyden 34	0	0
Leyden 35	0	0
Leyden 36	0	0
Leyden 37	0	0
Leyden 38	0	0
Leyden 39	0	0
Leyden 40	0	0
Leyden 41	0	0
Leyden 43	0	0
Leyden 44	0	0
Leyden 45	0	0
Leyden 46	0	0
Leyden 47	0	0
Leyden 48	0	0
Leyden 49	0	0
Leyden 50	0	0
Lyons 1	0	0
Lyons 2	0	0
Lyons 3	0	0
Lyons 4	0	0
Lyons 5	0	0
Lyons 6	0	0
Lyons 7	0	0
Lyons 9	0	0
Lyons 10	0	0
Lyons 11	0	0
Lyons 12	0	0
Lyons 14	0	0
Lyons 15	0	0
Lyons 16	0	0
Lyons 17	0	0
Lyons 18	0	0
Lyons 19	0	0
Lyons 20	0	0
Lyons 21	0	0
Lyons 22	0	0
Lyons 23	0	0
Lyons 24	0	0
Lyons 25	0	0
Lyons 26	0	0
Lyons 27	0	0
Lyons 28	0	0
Lyons 29	0	0
Lyons 30	0	0
Lyons 31	0	0
Lyons 32	0	0
Lyons 33	0	0
Lyons 34	0	0
Lyons 35	0	0
Lyons 36	0	0
Lyons 37	0	0
Lyons 39	0	0
Lyons 40	0	0
Lyons 41	0	0
Lyons 42	0	0
Lyons 43	0	0
Lyons 44	0	0
Lyons 45	0	0
Lyons 46	0	0
Lyons 47	0	0
Lyons 48	0	0
Lyons 49	0	0
Lyons 50	0	0
Lyons 51	0	0
Lyons 52	0	0
Lyons 53	0	0
Lyons 54	0	0
Lyons 55	0	0
Lyons 59	0	0
Lyons 61	0	0
Lyons 62	0	0
Lyons 63	0	0
Lyons 64	0	0
Lyons 66	0	0
Lyons 67	0	0
Lyons 68	0	0
Lyons 69	0	0
Lyons 71	0	0
Lyons 72	0	0
Lyons 73	0	0
Lyons 74	0	0
Lyons 76	0	0
Lyons 78	0	0
Maine 1	0	0
Maine 2	0	0
Maine 3	0	0
Maine 4	0	0
Maine 5	0	0
Maine 6	0	0
Maine 7	0	0
Maine 8	0	0
Maine 9	0	0
Maine 10	0	0
Maine 11	0	0
Maine 12	0	0
Maine 13	0	0
Maine 14	0	0
Maine 16	0	0
Maine 17	0	0
Maine 18	0	0
Maine 19	0	0
Maine 20	0	0
Maine 21	0	0
Maine 22	0	0
Maine 23	0	0
Maine 24	0	0
Maine 25	0	0
Maine 26	0	0
Maine 27	0	0
Maine 28	0	0
Maine 29	0	0
Maine 30	0	0
Maine 31	0	0
Maine 32	0	0
Maine 33	0	0
Maine 34	0	0
Maine 35	0	0
Maine 36	0	0
Maine 37	0	0
Maine 38	0	0
Maine 39	0	0
Maine 41	0	0
Maine 42	0	0
Maine 43	0	0
Maine 44	0	0
Maine 45	0	0
Maine 46	0	0
Maine 47	0	0
Maine 48	0	0
Maine 49	0	0
Maine 50	0	0
Maine 51	0	0
Maine 52	0	0
Maine 53	0	0
Maine 54	0	0
Maine 55	0	0
Maine 56	0	0
Maine 57	0	0
Maine 58	0	0
Maine 59	0	0
Maine 60	0	0
Maine 61	0	0
Maine 64	0	0
Maine 65	0	0
Maine 66	0	0
Maine 67	0	0
Maine 68	0	0
Maine 69	0	0
Maine 70	0	0
Maine 72	0	0
Maine 74	0	0
Maine 75	0	0
Maine 76	0	0
Maine 77	0	0
Maine 78	0	0
Maine 79	0	0
Maine 80	0	0
Maine 81	0	0
Maine 82	0	0
Maine 83	0	0
Maine 84	0	0
Maine 85	0	0
Maine 86	0	0
Maine 87	0	0
Maine 88	0	0
Maine 89	0	0
Maine 91	0	0
Maine 92	0	0
New Trier 1	0	0
New Trier 2	0	0
New Trier 4	0	0
New Trier 5	0	0
New Trier 6	0	0
New Trier 7	0	0
New Trier 8	0	0
New Trier 9	0	0
New Trier 10	0	0
New Trier 11	0	0
New Trier 12	0	0
New Trier 13	0	0
New Trier 14	0	0
New Trier 15	0	0
New Trier 16	0	0
