Precinct	total_votes	votes|Herb Schumann	votes|Martin J. Durkan	votes|Christopher Anthony
13004	412	123	247	42
13005	460	58	370	32
13006	361	127	198	36
13007	322	39	252	31
13008	324	109	190	25
13009	411	63	312	36
13010	341	144	166	31
13011	398	104	264	30
13012	359	67	249	43
13013	377	43	302	32
13014	395	60	293	42
13015	603	64	490	49
13016	294	21	249	24
13017	368	88	234	46
13018	325	107	182	36
13019	478	34	408	36
13020	256	91	150	15
13021	434	150	242	42
13022	416	139	242	35
13023	344	52	264	28
13024	371	66	270	35
13025	406	74	281	51
13026	420	89	297	34
13027	359	60	263	36
13028	301	36	235	30
13029	342	53	260	29
13030	314	20	258	36
13031	401	120	239	42
13032	324	120	178	26
13033	358	108	210	40
13034	452	44	369	39
13035	355	41	287	27
13036	255	27	203	25
13037	445	42	361	42
13038	343	113	201	29
13039	401	33	331	37
13040	319	57	239	23
13041	465	41	386	38
13042	370	142	187	41
13043	402	58	299	45
13044	436	33	380	23
13045	423	88	303	32
13046	490	55	390	45
13047	456	43	379	34
13048	338	87	214	37
14001	459	170	245	44
14002	570	82	434	54
14003	493	30	406	57
14004	399	144	221	34
14005	625	29	552	44
14006	230	13	197	20
14007	545	62	426	57
14008	510	74	368	68
14009	491	141	297	53
14010	303	50	211	42
14011	274	12	238	24
14012	455	67	346	42
14013	360	34	289	37
14014	440	32	368	40
14015	510	30	438	42
14016	310	29	242	39
14017	357	35	282	40
14018	173	52	107	14
14019	450	37	358	55
14020	300	32	236	32
14021	409	33	328	48
14022	552	129	351	72
14023	346	86	226	34
14024	499	159	284	56
14025	278	24	232	22
14026	330	26	271	33
14027	436	55	325	56
14028	350	48	267	35
14029	382	33	311	38
14030	265	16	225	24
14031	256	17	211	28
15001	415	30	337	48
15002	319	5	298	16
15003	328	7	308	13
15004	422	48	318	56
15005	425	34	346	45
15006	463	56	355	52
15007	327	5	301	21
15008	390	31	313	46
15009	547	58	430	59
15010	584	63	441	80
15011	542	49	434	59
15012	530	59	425	46
15013	432	33	352	47
15014	400	33	314	53
15015	397	22	333	42
15016	463	27	402	34
15017	327	9	306	12
15018	353	7	331	15
15019	374	30	302	42
15020	285	7	267	11
15021	292	1	275	16
15022	357	3	339	15
15023	365	11	340	14
15024	357	5	337	15
16001	487	60	391	36
16002	420	12	377	31
16003	356	14	331	11
16004	388	12	353	23
16005	348	7	326	15
16006	381	3	364	14
16007	363	10	331	22
16008	289	11	264	14
16009	417	13	375	29
16010	376	13	344	19
16011	396	15	351	30
16012	354	8	320	26
16013	442	23	384	35
16014	364	11	325	28
16015	410	7	380	23
16016	362	6	334	22
16017	458	14	399	45
16018	367	14	328	25
16019	359	14	331	14
16020	342	7	313	22
16021	338	7	314	17
16022	380	11	350	19
16023	417	31	359	27
16024	226	10	201	15
16025	412	9	373	30
16026	332	6	317	9
16027	343	10	316	17
16028	355	9	329	17
16029	363	6	344	13
16030	360	12	333	15
16031	396	7	367	22
16032	458	35	387	36
16033	353	5	332	16
16034	351	7	322	22
16035	470	28	405	37
16036	292	11	269	12
17001	414	34	352	28
17002	412	7	379	26
17003	465	14	422	29
17004	571	7	534	30
17005	352	10	324	18
17006	431	16	388	27
17007	434	20	376	38
17008	431	13	391	27
17009	351	11	334	6
17010	560	14	501	45
17011	381	10	354	17
17012	570	23	493	54
17013	384	13	353	18
17014	469	22	407	40
17015	507	16	460	31
17016	461	24	411	26
17017	422	20	373	29
17018	450	7	423	20
17019	296	9	275	12
17020	512	8	481	23
17021	477	8	436	33
17022	392	9	363	20
17023	288	5	265	18
17024	462	14	414	34
17025	342	14	308	20
17026	510	11	486	13
17027	426	11	401	14
17028	340	9	311	20
17029	427	8	389	30
17030	385	36	314	35
17031	313	9	293	11
17032	402	8	384	10
17033	327	5	304	18
17034	333	3	308	22
17035	365	5	342	18
17036	435	8	402	25
17037	388	9	361	18
17038	461	9	424	28
17039	434	5	407	22
