Precinct	total_votes	votes|Luis V. Gutierrez	votes|Javier Salas
Proviso 88	208	160	48
Proviso 89	217	150	67
Proviso 90	449	342	107
Proviso 95	236	185	51
Proviso 97	359	286	73
Proviso 98	292	209	83
Proviso 100	322	228	94
Proviso 102	146	110	36
River Forest 1	392	316	76
Riverside 1	288	232	56
Riverside 2	29	23	6
Riverside 3	185	149	36
Riverside 4	378	287	91
Riverside 5	210	167	43
Riverside 6	219	153	66
Riverside 7	155	111	44
Riverside 8	308	250	58
Riverside 9	222	173	49
Riverside 10	290	221	69
Riverside 11	370	270	100
Riverside 12	203	163	40
Riverside 13	254	203	51
