Precinct	total_votes	votes|Dan Patlak	votes|Marty Stack
Maine 12	417	217	200
Maine 13	609	310	299
Maine 14	753	385	368
Maine 16	438	219	219
Maine 17	605	298	307
Maine 18	513	237	276
Maine 19	403	230	173
Maine 20	329	175	154
Maine 21	789	495	294
Maine 22	754	465	289
Maine 23	626	291	335
Maine 24	785	466	319
Maine 25	667	408	259
Maine 26	509	270	239
Maine 27	415	228	187
Maine 28	366	108	258
Maine 29	920	597	323
Maine 30	1,341	868	473
Maine 31	614	307	307
Maine 32	372	234	138
Maine 33	514	125	389
Maine 34	732	318	414
Maine 35	522	222	300
Maine 36	578	365	213
Maine 37	635	448	187
Maine 38	498	272	226
Maine 39	656	361	295
Maine 41	505	250	255
Maine 42	845	540	305
Maine 43	512	382	130
Maine 44	410	236	174
Maine 45	298	96	202
Maine 46	649	369	280
Maine 47	644	269	375
Maine 48	696	367	329
Maine 49	600	286	314
Maine 50	546	353	193
Maine 51	620	267	353
Maine 52	527	272	255
Maine 53	561	246	315
Maine 54	603	367	236
Maine 55	526	305	221
Maine 56	795	399	396
Maine 57	470	152	318
Maine 58	723	422	301
Maine 59	596	354	242
Maine 60	1,065	722	343
Maine 61	348	186	162
Maine 64	466	257	209
Maine 65	443	296	147
Maine 66	329	204	125
Maine 67	883	617	266
Maine 68	430	206	224
Maine 69	639	341	298
Maine 70	713	259	454
Maine 72	494	293	201
Maine 74	488	261	227
Maine 75	560	335	225
Maine 76	328	189	139
Maine 77	930	518	412
Maine 78	551	173	378
Maine 79	615	199	416
Maine 80	513	302	211
Maine 81	458	209	249
Maine 82	518	280	238
Maine 83	418	268	150
Maine 84	374	159	215
Maine 85	324	201	123
Maine 86	504	168	336
Maine 87	379	246	133
Maine 88	411	289	122
Maine 89	470	210	260
Maine 91	835	454	381
Maine 92	506	234	272
New Trier 1	991	493	498
New Trier 2	1,048	459	589
New Trier 4	876	433	443
New Trier 5	562	239	323
New Trier 6	523	254	269
New Trier 7	682	378	304
New Trier 8	581	381	200
New Trier 9	753	511	242
New Trier 10	687	455	232
New Trier 11	894	608	286
New Trier 12	814	532	282
New Trier 13	916	479	437
New Trier 14	831	534	297
New Trier 15	532	376	156
New Trier 16	985	665	320
New Trier 19	559	433	126
New Trier 20	974	548	426
New Trier 22	706	508	198
New Trier 23	736	580	156
New Trier 25	612	376	236
New Trier 29	648	370	278
New Trier 39	500	236	264
New Trier 40	426	265	161
New Trier 41	586	373	213
Niles 3	713	465	248
Niles 11	351	183	168
Northfield 1	808	346	462
Northfield 2	631	395	236
Northfield 3	457	203	254
Northfield 4	674	420	254
Northfield 5	503	296	207
Northfield 6	715	519	196
Northfield 7	928	540	388
Northfield 8	765	511	254
Northfield 9	505	338	167
Northfield 10	591	302	289
Northfield 11	375	216	159
Northfield 12	1,101	714	387
Northfield 13	601	343	258
Northfield 14	544	300	244
Northfield 15	537	274	263
Northfield 16	793	423	370
Northfield 17	583	283	300
Northfield 18	890	485	405
Northfield 19	697	405	292
Northfield 20	670	372	298
Northfield 21	978	600	378
Northfield 22	694	327	367
Northfield 23	539	387	152
Northfield 24	606	361	245
Northfield 25	624	360	264
Northfield 26	582	271	311
Northfield 27	657	279	378
Northfield 28	1,038	512	526
Northfield 29	558	329	229
Northfield 30	716	453	263
Northfield 31	869	571	298
Northfield 32	947	500	447
Northfield 33	465	218	247
Northfield 34	516	349	167
Northfield 35	708	459	249
Northfield 36	472	253	219
Northfield 37	798	491	307
Northfield 38	546	321	225
Northfield 39	395	209	186
Northfield 40	438	241	197
Northfield 41	606	294	312
Northfield 42	616	369	247
Northfield 43	691	319	372
Northfield 44	520	309	211
Northfield 45	809	454	355
Northfield 46	902	488	414
Northfield 47	882	424	458
Northfield 48	681	401	280
Northfield 49	521	258	263
Northfield 50	819	487	332
Northfield 51	1,538	934	604
Northfield 52	612	354	258
Northfield 53	682	344	338
Northfield 54	528	222	306
Northfield 55	557	194	363
Northfield 56	896	546	350
Northfield 57	468	251	217
Northfield 58	387	221	166
Northfield 59	667	325	342
Northfield 60	730	321	409
Northfield 61	505	342	163
Northfield 62	745	444	301
Norwood Park 3	687	385	302
Norwood Park 10	419	291	128
Norwood Park 11	856	514	342
Norwood Park 14	512	291	221
Orland 1	844	458	386
Orland 2	766	480	286
Orland 3	390	168	222
Orland 4	454	284	170
Orland 5	459	254	205
Orland 6	397	239	158
Orland 7	399	211	188
Orland 8	529	262	267
Orland 9	731	408	323
Orland 10	627	365	262
Orland 11	443	259	184
Orland 12	319	175	144
Orland 13	816	435	381
Orland 14	705	400	305
Orland 15	828	560	268
Orland 16	643	449	194
Orland 17	432	199	233
Orland 18	768	435	333
Orland 19	452	277	175
Orland 20	339	221	118
Orland 21	814	562	252
Orland 22	592	337	255
Orland 23	508	309	199
Orland 24	583	350	233
Orland 25	1,043	610	433
Orland 26	554	268	286
Orland 27	431	249	182
Orland 28	452	320	132
Orland 29	948	598	350
Orland 30	407	230	177
Orland 31	491	281	210
Orland 32	402	243	159
Orland 33	484	304	180
Orland 34	716	444	272
Orland 35	674	400	274
Orland 36	795	369	426
Orland 37	704	408	296
Orland 38	357	177	180
Orland 39	506	312	194
Orland 40	718	452	266
Orland 41	584	330	254
Orland 42	704	415	289
Orland 43	570	332	238
Orland 44	521	302	219
Orland 45	585	372	213
Orland 46	502	284	218
Orland 47	908	562	346
Orland 48	630	362	268
Orland 49	455	276	179
Orland 50	526	278	248
Orland 51	761	494	267
Orland 52	613	416	197
Orland 53	512	308	204
Orland 54	879	579	300
Orland 55	507	303	204
Orland 56	567	421	146
Orland 57	639	432	207
Orland 58	651	389	262
Orland 59	641	390	251
Orland 60	439	270	169
Orland 61	523	344	179
Orland 62	688	419	269
Orland 63	701	465	236
Orland 64	859	597	262
Orland 65	555	380	175
Orland 66	593	359	234
Orland 67	409	222	187
Orland 68	483	299	184
Orland 69	382	142	240
Orland 70	767	436	331
Orland 71	604	443	161
Orland 72	501	276	225
Orland 73	830	488	342
Orland 74	407	234	173
Orland 75	758	546	212
