Precinct	total_votes	votes|Bobby L. Rush	votes|O. Patrick Brutus	votes|Howard B. Brookins, Jr.
Orland 37	213	103	70	40
Orland 38	103	52	34	17
Orland 40	171	78	60	33
Orland 46	137	83	38	16
Orland 48	175	82	61	32
Orland 50	85	50	21	14
Orland 52	164	79	48	37
Orland 54	198	95	63	40
Orland 55	167	88	54	25
Orland 62	193	90	53	50
Orland 67	132	64	41	27
Orland 69	157	108	29	20
Orland 72	164	83	43	38
Orland 73	242	134	54	54
Palos 1	117	57	31	29
Palos 9	70	36	14	20
Palos 33	195	83	56	56
Rich 7	293	197	27	69
Rich 20	291	158	72	61
Thornton 31	119	83	16	20
Thornton 49	12	11	0	1
Thornton 97	143	110	14	19
Worth 7	154	71	47	36
Worth 8	354	241	74	39
Worth 9	159	95	39	25
Worth 10	328	189	68	71
Worth 12	160	87	44	29
Worth 13	302	192	55	55
Worth 14	325	221	48	56
Worth 15	230	147	45	38
Worth 16	320	176	108	36
Worth 17	366	245	58	63
Worth 18	117	51	40	26
Worth 19	326	216	61	49
Worth 20	207	127	52	28
Worth 23	212	120	49	43
Worth 24	187	132	22	33
Worth 29	286	206	28	52
Worth 31	402	243	90	69
Worth 32	173	85	52	36
Worth 34	295	207	46	42
Worth 37	279	204	38	37
Worth 38	353	228	34	91
Worth 39	273	147	62	64
Worth 42	208	139	45	24
Worth 43	309	270	11	28
Worth 45	208	116	39	53
Worth 50	212	121	60	31
Worth 52	142	80	30	32
Worth 54	307	186	66	55
Worth 55	177	106	43	28
Worth 57	299	173	66	60
Worth 59	519	395	49	75
Worth 64	243	110	82	51
Worth 65	278	122	90	66
Worth 68	272	189	44	39
Worth 69	386	253	71	62
Worth 72	309	195	64	50
Worth 73	164	99	39	26
Worth 79	114	52	35	27
Worth 80	404	288	48	68
Worth 81	55	29	18	8
Worth 87	218	118	62	38
Worth 88	162	93	41	28
Worth 89	231	113	61	57
Worth 95	163	90	36	37
Worth 96	388	251	59	78
Worth 97	278	203	33	42
