Precinct	total_votes	votes|Leslie Geissler Munger	votes|Susana Mendoza	votes|Claire Ball	votes|Tim Curtin
08040	380	17	338	12	13
08041	524	28	476	7	13
08042	635	33	574	15	13
08043	272	7	248	12	5
08044	332	23	283	13	13
08045	514	20	476	10	8
08046	401	34	348	9	10
08047	401	16	374	5	6
08048	468	18	417	17	16
08049	433	23	391	11	8
08050	473	22	422	12	17
08051	507	29	463	9	6
08052	585	41	529	9	6
08053	262	14	236	6	6
08054	465	22	422	15	6
08055	363	21	325	11	6
08056	487	26	439	12	10
09001	485	26	436	15	8
09002	436	10	410	9	7
09003	453	25	409	8	11
09004	383	16	356	6	5
09005	408	19	371	9	9
09006	448	23	386	20	19
09007	374	24	331	13	6
09008	518	29	458	21	10
09009	507	29	458	12	8
09010	399	17	365	11	6
09011	375	23	326	12	14
09012	513	31	455	13	14
09013	477	31	431	8	7
09014	552	31	502	11	8
09015	607	27	543	16	21
09016	409	22	364	15	8
09017	436	17	397	13	9
09018	346	10	319	9	8
09019	435	28	391	12	4
09020	457	15	419	17	6
09021	422	12	388	13	9
09022	476	23	434	9	10
09023	483	26	430	12	15
09024	449	27	398	15	9
09025	451	27	410	6	8
09026	653	12	623	7	11
09027	442	26	399	8	9
09028	352	19	322	5	6
09029	472	33	411	16	12
09030	395	24	356	7	8
09031	399	22	363	7	7
09032	449	26	401	11	11
09033	397	14	357	12	14
09034	428	23	386	9	10
09035	436	26	396	6	8
09036	420	21	381	8	10
09037	574	96	439	21	18
09038	478	16	435	14	13
09039	500	22	462	9	7
09040	478	26	430	11	11
09041	382	21	349	7	5
09042	450	23	409	10	8
09043	474	22	429	11	12
09044	381	28	335	11	7
09045	429	11	396	17	5
09046	498	41	425	20	12
09047	476	38	420	7	11
09048	491	27	434	18	12
09049	491	32	436	13	10
09050	574	37	503	21	13
09051	446	35	396	9	6
10001	425	16	383	12	14
10002	433	148	262	8	15
10003	434	135	273	11	15
10004	439	35	368	18	18
10005	376	120	225	20	11
10006	400	57	327	6	10
10007	356	45	283	14	14
10008	391	12	355	13	11
10009	441	145	265	13	18
10010	479	108	341	14	16
10011	570	73	471	11	15
10012	340	80	238	13	9
10013	528	42	458	17	11
10014	593	117	437	22	17
10015	862	37	794	13	18
10016	373	72	262	17	22
10017	586	196	348	21	21
10018	328	24	292	3	9
10019	498	119	337	24	18
10020	483	110	347	10	16
10021	485	85	373	7	20
10022	298	33	255	1	9
10023	443	53	356	18	16
10024	480	193	258	18	11
10025	153	14	133	3	3
10026	385	42	320	13	10
10027	510	37	441	17	15
10028	522	74	412	17	19
10029	451	74	351	11	15
10030	449	38	383	16	12
10031	358	45	294	10	9
10032	458	97	336	11	14
