Precinct	total_votes	votes|Michael Cabonargi
33028	295	295
35001	243	243
35002	267	267
35003	290	290
35004	243	243
35005	229	229
35006	248	248
35007	300	300
35008	281	281
35009	249	249
35010	351	351
35011	282	282
35012	190	190
35013	207	207
35014	261	261
35015	291	291
35016	186	186
35017	256	256
35018	241	241
35019	175	175
35020	252	252
35021	256	256
35022	309	309
35023	265	265
35024	246	246
35025	316	316
35026	230	230
35027	251	251
35028	251	251
35029	221	221
35030	275	275
35031	286	286
36001	268	268
36003	206	206
36004	191	191
36006	192	192
36007	223	223
36008	198	198
36009	209	209
36010	261	261
36011	184	184
36012	157	157
36013	158	158
36014	207	207
36015	234	234
36016	200	200
36017	258	258
36018	194	194
36019	279	279
36020	203	203
36022	199	199
36024	202	202
36025	259	259
36026	162	162
36027	188	188
36028	181	181
36029	260	260
36030	208	208
37010	213	213
37022	99	99
38001	183	183
38002	169	169
38003	204	204
38004	198	198
38005	177	177
38006	184	184
38007	181	181
38008	189	189
38009	209	209
38010	193	193
38011	193	193
38012	161	161
38013	197	197
38014	238	238
38015	208	208
38016	191	191
38017	203	203
38018	181	181
38019	204	204
38020	188	188
38021	177	177
38022	208	208
38023	231	231
38024	186	186
38025	162	162
38026	195	195
38027	201	201
38028	211	211
38029	216	216
38030	169	169
38031	216	216
38032	189	189
38033	200	200
38034	181	181
38035	238	238
38036	197	197
38037	205	205
38038	177	177
38039	248	248
38040	211	211
38041	208	208
39001	201	201
39002	131	131
39003	251	251
39004	182	182
39005	245	245
39006	238	238
39007	212	212
39008	255	255
39009	227	227
39010	135	135
39011	242	242
39012	307	307
39013	184	184
39014	206	206
39015	237	237
39016	185	185
39017	256	256
39018	229	229
39019	216	216
39020	232	232
39021	173	173
39022	174	174
39023	216	216
39024	253	253
39025	195	195
39026	180	180
39027	44	44
39028	302	302
39029	130	130
39030	287	287
39031	228	228
39032	186	186
39033	228	228
39034	258	258
39035	208	208
39036	77	77
39037	211	211
39038	141	141
39039	132	132
39040	159	159
39041	214	214
39042	224	224
39043	199	199
39044	164	164
39045	202	202
40001	203	203
40002	212	212
40003	326	326
40004	136	136
40005	268	268
40006	313	313
40007	283	283
40008	360	360
40009	193	193
40010	256	256
40011	259	259
40012	191	191
40013	414	414
40014	219	219
40015	221	221
40016	334	334
40017	220	220
40018	217	217
40019	322	322
40020	244	244
40021	311	311
40022	264	264
40023	334	334
40024	190	190
40025	337	337
40026	275	275
40027	377	377
40028	341	341
40029	224	224
40030	212	212
40031	309	309
40032	288	288
40033	285	285
40034	198	198
40035	182	182
40036	235	235
40037	267	267
40038	349	349
40039	76	76
41001	180	180
41002	203	203
41004	210	210
41006	263	263
41009	211	211
41010	206	206
41011	31	31
41012	200	200
41014	249	249
41016	72	72
41019	212	212
41022	7	7
41024	172	172
41027	79	79
41032	182	182
41035	10	10
41039	220	220
41040	190	190
41042	173	173
41044	193	193
41047	208	208
42001	178	178
42003	240	240
42005	136	136
42009	148	148
42012	129	129
42014	168	168
42015	109	109
42016	206	206
42017	195	195
42018	194	194
42019	64	64
42021	160	160
42023	136	136
42024	166	166
42034	143	143
42036	242	242
42037	118	118
42038	148	148
42039	146	146
42041	186	186
43001	126	126
43002	180	180
43003	197	197
43004	183	183
43005	170	170
43006	132	132
43007	152	152
43008	161	161
43009	238	238
43010	199	199
43011	142	142
43012	124	124
43013	222	222
43014	187	187
43015	191	191
43016	205	205
43017	130	130
43018	204	204
43019	220	220
43020	242	242
43021	220	220
43022	126	126
43023	139	139
43024	136	136
43025	191	191
43026	130	130
43027	185	185
43028	251	251
43029	154	154
43030	283	283
43031	221	221
43032	230	230
43033	189	189
43034	158	158
43035	194	194
43036	121	121
43037	270	270
43038	121	121
43039	262	262
43040	167	167
43041	293	293
43042	157	157
43043	183	183
43044	184	184
43045	139	139
43046	94	94
44001	418	418
44002	233	233
44003	175	175
44004	212	212
44005	276	276
44006	301	301
44007	179	179
44008	294	294
44009	174	174
44010	228	228
44011	233	233
44012	253	253
44013	157	157
44014	193	193
44015	245	245
44016	246	246
44017	352	352
44018	222	222
44019	327	327
44020	234	234
44021	271	271
44022	302	302
44023	224	224
44024	172	172
44025	217	217
44026	300	300
44027	247	247
44028	299	299
44029	242	242
44030	263	263
44031	242	242
44032	263	263
44033	307	307
44034	251	251
44035	298	298
44036	268	268
44037	283	283
44038	199	199
44039	211	211
44040	210	210
44041	316	316
45001	203	203
45002	239	239
45003	232	232
45004	280	280
45005	229	229
45006	281	281
45007	322	322
45008	235	235
45009	263	263
45010	250	250
45011	203	203
45012	214	214
45013	222	222
45014	333	333
45015	322	322
45016	206	206
45017	225	225
45018	230	230
45019	119	119
45020	145	145
45021	177	177
45022	195	195
45023	194	194
45024	166	166
45025	135	135
45026	121	121
45027	199	199
45028	163	163
45029	121	121
45030	200	200
45031	175	175
45032	169	169
45033	154	154
45034	241	241
45035	216	216
45036	244	244
45037	191	191
45038	187	187
45039	196	196
45040	217	217
45041	178	178
45042	193	193
45043	167	167
45044	176	176
46001	193	193
46002	247	247
46003	336	336
46004	263	263
46005	281	281
46006	220	220
46007	310	310
46008	207	207
46009	286	286
46010	374	374
46011	241	241
46012	277	277
46013	271	271
46014	267	267
46015	255	255
46016	305	305
46017	278	278
46018	280	280
46019	176	176
46020	245	245
46021	190	190
46022	186	186
46023	242	242
46024	282	282
46025	262	262
46026	300	300
46027	299	299
46028	287	287
46029	189	189
46030	282	282
46031	271	271
46032	274	274
46033	309	309
46034	289	289
46035	327	327
46036	230	230
46037	176	176
46038	248	248
46039	283	283
46040	237	237
47001	158	158
47002	266	266
47003	277	277
47004	257	257
47005	302	302
47006	292	292
47007	271	271
47008	271	271
47009	215	215
47010	386	386
47011	237	237
47012	286	286
47013	304	304
47014	218	218
47015	400	400
47016	279	279
47017	269	269
47018	265	265
47019	391	391
47020	285	285
47021	251	251
47022	314	314
47023	365	365
47024	258	258
47025	302	302
47026	366	366
47027	235	235
47028	299	299
47029	285	285
47030	346	346
47031	293	293
47032	364	364
47033	232	232
47034	331	331
47035	240	240
47036	363	363
47037	295	295
47038	270	270
47039	282	282
47040	271	271
47041	307	307
47042	277	277
47043	238	238
47044	227	227
47045	291	291
47046	248	248
47047	283	283
47048	31	31
48001	240	240
48002	108	108
48003	358	358
48004	292	292
48005	154	154
48006	356	356
48007	283	283
48008	131	131
48009	176	176
48010	416	416
48011	233	233
48012	353	353
48013	333	333
48014	137	137
48015	173	173
48016	271	271
48017	291	291
48018	221	221
48019	205	205
48020	354	354
48021	330	330
48022	244	244
48023	302	302
48024	277	277
48025	282	282
48026	131	131
48027	393	393
48028	286	286
48029	152	152
48030	270	270
48031	398	398
48032	313	313
48033	162	162
48034	246	246
48035	190	190
48036	185	185
48037	291	291
48038	307	307
48039	212	212
48040	283	283
48041	357	357
48042	381	381
48043	323	323
48044	374	374
48045	247	247
48046	200	200
49001	232	232
49002	210	210
49003	321	321
49004	385	385
49005	299	299
49006	292	292
49007	325	325
49008	235	235
49009	305	305
49010	299	299
49011	374	374
49012	441	441
49013	357	357
49014	266	266
49015	234	234
49016	309	309
49017	204	204
49018	414	414
49019	284	284
49020	489	489
49021	191	191
49022	320	320
49023	412	412
49024	252	252
49025	436	436
49026	337	337
49027	364	364
49028	409	409
49029	394	394
49030	336	336
49031	242	242
49032	335	335
49033	266	266
50001	123	123
50002	117	117
50003	155	155
50004	192	192
50005	84	84
50006	233	233
50007	259	259
50008	192	192
50009	170	170
50010	149	149
50011	70	70
50012	77	77
50013	253	253
50014	47	47
50015	270	270
50016	52	52
50017	150	150
50018	23	23
50019	135	135
50020	216	216
50021	172	172
50022	130	130
50023	110	110
50024	104	104
50025	112	112
50026	192	192
50027	49	49
50028	222	222
50029	173	173
50030	135	135
50031	253	253
50032	223	223
50033	94	94
50034	245	245
50035	250	250
50036	179	179
50037	220	220
50038	105	105
50039	111	111
50040	104	104
Evanston Ward 1 Precinct 1	264	264
Evanston Ward 1 Precinct 2	269	269
Evanston Ward 1 Precinct 3	282	282
Evanston Ward 1 Precinct 4	371	371
Evanston Ward 2 Precinct 1	506	506
Evanston Ward 2 Precinct 2	270	270
Evanston Ward 2 Precinct 3	354	354
Evanston Ward 2 Precinct 4	425	425
Evanston Ward 2 Precinct 5	325	325
Evanston Ward 3 Precinct 1	292	292
Evanston Ward 3 Precinct 2	371	371
Evanston Ward 3 Precinct 3	342	342
Evanston Ward 3 Precinct 4	168	168
Evanston Ward 3 Precinct 5	291	291
Evanston Ward 3 Precinct 6	299	299
Evanston Ward 3 Precinct 7	278	278
Evanston Ward 4 Precinct 1	197	197
Evanston Ward 4 Precinct 2	311	311
Evanston Ward 4 Precinct 3	167	167
Evanston Ward 4 Precinct 4	465	465
Evanston Ward 4 Precinct 5	177	177
Evanston Ward 4 Precinct 6	403	403
Evanston Ward 5 Precinct 1	375	375
Evanston Ward 5 Precinct 2	392	392
Evanston Ward 5 Precinct 3	304	304
Evanston Ward 5 Precinct 4	216	216
Evanston Ward 6 Precinct 1	466	466
Evanston Ward 6 Precinct 2	255	255
Evanston Ward 6 Precinct 3	254	254
Evanston Ward 6 Precinct 4	325	325
Evanston Ward 6 Precinct 5	388	388
Evanston Ward 6 Precinct 6	195	195
Evanston Ward 6 Precinct 7	365	365
Evanston Ward 7 Precinct 1	474	474
Evanston Ward 7 Precinct 2	455	455
Evanston Ward 7 Precinct 3	179	179
Evanston Ward 7 Precinct 4	276	276
Evanston Ward 7 Precinct 5	401	401
Evanston Ward 7 Precinct 6	79	79
Evanston Ward 8 Precinct 1	414	414
Evanston Ward 8 Precinct 2	309	309
Evanston Ward 8 Precinct 3	263	263
Evanston Ward 8 Precinct 4	359	359
Evanston Ward 8 Precinct 5	390	390
Evanston Ward 9 Precinct 1	260	260
Evanston Ward 9 Precinct 2	333	333
Evanston Ward 9 Precinct 3	450	450
Evanston Ward 9 Precinct 4	384	384
Evanston Ward 9 Precinct 5	228	228
Evanston Ward 9 Precinct 6	315	315
Leyden 1	7	7
Leyden 42	146	146
Maine 15	114	114
Maine 40	171	171
Maine 62	98	98
Maine 63	145	145
Maine 71	110	110
Maine 73	65	65
Maine 90	91	91
New Trier 3	225	225
New Trier 15	115	115
New Trier 17	226	226
New Trier 18	141	141
New Trier 21	246	246
New Trier 24	304	304
New Trier 26	178	178
New Trier 27	207	207
New Trier 28	173	173
New Trier 30	222	222
New Trier 31	240	240
New Trier 32	173	173
New Trier 33	285	285
New Trier 34	174	174
New Trier 35	120	120
New Trier 36	310	310
New Trier 37	265	265
New Trier 38	240	240
Niles 1	203	203
Niles 2	232	232
Niles 3	80	80
Niles 4	163	163
Niles 5	109	109
Niles 6	153	153
Niles 7	291	291
Niles 8	124	124
Niles 9	122	122
Niles 10	221	221
Niles 12	174	174
Niles 13	215	215
Niles 14	318	318
Niles 15	256	256
Niles 16	311	311
Niles 17	289	289
Niles 18	152	152
Niles 19	169	169
Niles 20	178	178
Niles 21	356	356
Niles 22	227	227
Niles 23	231	231
Niles 24	287	287
Niles 25	164	164
Niles 26	242	242
Niles 27	199	199
Niles 28	260	260
Niles 29	132	132
Niles 30	144	144
Niles 31	255	255
Niles 32	103	103
Niles 33	309	309
Niles 34	201	201
Niles 35	212	212
Niles 36	192	192
Niles 37	226	226
Niles 38	333	333
Niles 39	276	276
Niles 40	104	104
Niles 41	241	241
Niles 42	242	242
Niles 43	229	229
Niles 44	281	281
Niles 45	191	191
Niles 46	214	214
Niles 47	128	128
Niles 48	226	226
Niles 49	368	368
Niles 50	230	230
Niles 51	120	120
Niles 52	148	148
Niles 53	298	298
Niles 54	135	135
Niles 55	143	143
Niles 56	228	228
Niles 57	225	225
Niles 58	238	238
Niles 59	266	266
Niles 60	313	313
Niles 61	271	271
Niles 62	155	155
Niles 63	328	328
Niles 64	310	310
Norwood Park 1	210	210
Norwood Park 2	183	183
Norwood Park 4	186	186
Norwood Park 5	148	148
Norwood Park 6	180	180
Norwood Park 7	135	135
Norwood Park 8	86	86
Norwood Park 9	109	109
Norwood Park 12	141	141
Norwood Park 13	126	126
Norwood Park 15	152	152
Norwood Park 16	132	132
Norwood Park 17	153	153
