Precinct	total_votes	votes|Donald J. Trump & Michael R. Pence	votes|Hillary R. Clinton & Timothy M. Kaine	votes|Gary Johnson & Bill Weld	votes|Jill Stein & Ajamu Baraka
08035	490	8	472	5	5
08036	512	1	496	5	10
08037	376	5	363	0	8
08038	323	3	317	0	3
08039	502	9	482	5	6
08040	389	6	379	0	4
08041	537	3	521	6	7
08042	656	8	640	2	6
08043	279	8	268	1	2
08044	340	7	328	2	3
08045	537	6	527	0	4
08046	414	3	407	2	2
08047	411	5	394	5	7
08048	484	8	469	2	5
08049	446	9	434	1	2
08050	477	7	464	1	5
08051	520	7	507	3	3
08052	602	6	591	1	4
08053	277	2	267	2	6
08054	487	11	470	2	4
08055	372	6	362	2	2
08056	506	9	487	3	7
09001	491	12	470	5	4
09002	438	5	430	1	2
09003	492	2	489	0	1
09004	393	3	387	1	2
09005	423	0	417	2	4
09006	465	10	448	4	3
09007	391	7	381	0	3
09008	532	6	519	5	2
09009	530	5	523	0	2
09010	407	3	393	2	9
09011	383	5	373	1	4
09012	519	12	496	1	10
09013	487	3	473	5	6
09014	563	13	544	3	3
09015	618	3	608	3	4
09016	412	5	401	2	4
09017	450	3	441	2	4
09018	356	5	347	2	2
09019	446	4	438	1	3
09020	468	6	456	2	4
09021	433	13	419	0	1
09022	490	11	470	1	8
09023	501	8	487	2	4
09024	456	8	443	2	3
09025	463	4	449	4	6
09026	667	1	663	2	1
09027	458	6	448	1	3
09028	358	11	345	1	1
09029	504	11	484	4	5
09030	409	10	397	2	0
09031	406	11	388	1	6
09032	463	6	450	3	4
09033	413	3	405	3	2
09034	446	4	434	5	3
09035	441	6	431	1	3
09036	433	4	423	2	4
09037	591	64	504	12	11
09038	479	8	463	5	3
09039	500	4	490	3	3
09040	489	9	470	6	4
09041	394	10	379	1	4
09042	458	10	441	2	5
09043	502	5	490	3	4
09044	396	8	387	0	1
09045	444	8	429	1	6
09046	513	16	489	4	4
09047	487	8	470	4	5
09048	496	9	478	3	6
09049	498	10	480	2	6
09050	575	10	556	2	7
09051	457	6	442	3	6
10001	450	12	428	6	4
10002	443	178	257	6	2
10003	449	165	266	7	11
10004	451	17	423	3	8
10005	402	146	246	8	2
10006	413	74	329	2	8
10007	369	49	305	5	10
10008	399	8	379	8	4
10009	452	153	283	10	6
10010	487	112	356	7	12
10011	590	79	486	14	11
10012	345	81	248	11	5
10013	535	38	485	6	6
10014	607	131	457	10	9
10015	893	10	872	5	6
10016	382	93	270	9	10
10017	591	194	366	18	13
10018	337	10	321	2	4
10019	503	140	346	11	6
10020	491	90	383	12	6
10021	497	81	398	10	8
10022	304	28	266	4	6
10023	454	51	395	7	1
10024	492	208	268	12	4
10025	161	9	151	0	1
10026	397	45	335	9	8
10027	527	20	497	5	5
10028	550	81	456	7	6
10029	450	59	380	7	4
10030	473	36	419	10	8
10031	378	28	333	9	8
10032	461	79	367	9	6
10033	354	40	308	4	2
10034	373	22	343	5	3
10035	510	168	330	7	5
10036	110	6	102	1	1
11001	566	156	376	16	18
11002	82	16	64	0	2
11003	508	28	444	12	24
11004	507	98	388	8	13
11005	717	115	563	16	23
11006	785	119	617	31	18
11007	942	86	809	17	30
11008	525	90	412	8	15
11009	483	122	331	16	14
11010	521	138	370	3	10
11011	591	164	393	19	15
11012	718	308	367	27	16
11013	663	297	334	26	6
11014	355	110	232	6	7
11015	217	50	160	2	5
11016	432	148	263	11	10
11017	626	135	450	12	29
11018	463	143	305	8	7
11019	694	142	521	17	14
11020	382	104	260	10	8
11021	663	238	393	19	13
11022	676	175	455	22	24
11023	311	99	198	5	9
11024	592	195	369	17	11
11025	619	153	430	15	21
11026	618	171	405	20	22
11027	239	55	177	5	2
11028	264	104	149	7	4
11029	616	200	382	21	13
11030	327	102	215	6	4
11031	538	215	299	14	10
11032	271	106	146	12	7
11033	650	98	514	22	16
11034	223	79	134	6	4
11035	169	46	121	1	1
11036	261	65	189	1	6
11037	200	35	155	5	5
11038	269	16	230	7	16
12001	502	67	405	13	17
12002	419	38	360	14	7
12003	611	84	471	21	35
12004	498	72	392	15	19
12005	445	109	312	12	12
12006	513	73	418	10	12
12007	504	21	452	7	24
12008	517	71	424	13	9
12009	429	62	337	13	17
12010	564	19	510	9	26
12011	510	38	450	12	10
12012	521	58	446	8	9
12013	526	56	437	14	19
12014	472	16	445	6	5
12015	474	33	428	7	6
12016	502	18	464	9	11
12017	566	69	471	4	22
12018	451	32	399	8	12
12019	499	65	408	10	16
12020	598	54	529	2	13
12021	540	54	460	12	14
12022	484	20	435	8	21
12023	510	81	403	14	12
13001	361	114	233	6	8
13002	356	145	202	6	3
13003	351	42	297	5	7
13004	462	193	245	17	7
13005	507	72	418	10	7
13006	390	168	203	13	6
13007	350	54	279	13	4
13008	335	133	184	12	6
13009	441	79	345	8	9
13010	364	203	146	8	7
13011	436	148	268	11	9
13012	384	79	296	6	3
13013	411	64	335	6	6
13014	429	86	328	7	8
13015	631	104	506	6	15
13016	331	47	275	5	4
13017	401	132	248	14	7
13018	358	143	205	7	3
13019	538	33	487	10	8
13020	281	140	128	9	4
13021	466	215	236	8	7
13022	442	189	235	14	4
13023	365	61	300	1	3
13024	405	88	306	9	2
13025	437	94	321	10	12
13026	444	123	296	15	10
13027	391	101	266	15	9
13028	336	48	277	4	7
13029	370	78	271	11	10
13030	334	20	300	5	9
13031	442	189	240	9	4
13032	359	175	167	12	5
13033	386	155	209	14	8
13034	479	58	405	6	10
13035	374	49	304	11	10
13036	270	32	227	4	7
13037	476	54	409	7	6
13038	364	182	165	12	5
13039	428	50	357	11	10
13040	344	64	265	11	4
13041	497	49	432	7	9
13042	397	209	176	8	4
13043	435	102	313	9	11
13044	465	57	395	8	5
13045	460	151	291	13	5
13046	534	79	431	12	12
13047	515	54	445	9	7
13048	381	156	207	12	6
14001	501	255	232	9	5
14002	614	112	485	6	11
14003	544	36	490	5	13
14004	457	201	233	11	12
14005	694	33	642	7	12
14006	237	15	217	1	4
14007	579	74	491	7	7
14008	577	95	458	7	17
14009	535	181	332	16	6
14010	334	51	272	5	6
14011	293	16	269	3	5
14012	503	96	390	10	7
14013	396	36	348	3	9
14014	470	36	414	11	9
14015	552	28	503	5	16
14016	346	49	279	10	8
14017	397	36	346	8	7
14018	192	49	138	2	3
14019	474	37	424	8	5
14020	337	34	291	3	9
14021	448	38	390	6	14
14022	610	158	420	18	14
14023	375	112	246	9	8
14024	540	238	287	11	4
14025	298	33	252	5	8
14026	353	21	319	7	6
14027	485	68	396	9	12
14028	384	58	307	7	12
14029	422	27	376	7	12
14030	278	7	264	0	7
14031	269	26	230	5	8
15001	466	31	428	3	4
15002	339	2	334	0	3
15003	345	5	337	2	1
15004	467	37	413	9	8
15005	472	33	425	3	11
15006	530	62	439	16	13
15007	399	7	388	2	2
15008	420	29	375	3	13
15009	608	58	527	16	7
15010	650	72	550	11	17
15011	558	47	497	10	4
15012	557	60	477	12	8
15013	457	29	419	2	7
15014	442	20	405	4	13
15015	431	20	398	4	9
15016	523	24	485	6	8
15017	364	10	352	1	1
15018	388	6	377	4	1
15019	416	26	375	9	6
15020	326	3	321	1	1
