Precinct	total_votes	votes|Susana Mendoza
15020	146	146
15021	197	197
15022	212	212
15023	202	202
15024	179	179
16001	329	329
16002	252	252
16003	195	195
16004	184	184
16005	233	233
16006	243	243
16007	222	222
16008	164	164
16009	284	284
16010	193	193
16011	236	236
16012	208	208
16013	253	253
16014	168	168
16015	229	229
16016	213	213
16017	249	249
16018	228	228
16019	232	232
16020	193	193
16021	175	175
16022	201	201
16023	252	252
16024	143	143
16025	233	233
16026	173	173
16027	188	188
16028	180	180
16029	195	195
16030	212	212
16031	228	228
16032	278	278
16033	190	190
16034	217	217
16035	259	259
16036	174	174
17001	256	256
17002	226	226
17003	256	256
17004	385	385
17005	233	233
17006	255	255
17007	273	273
17008	246	246
17009	252	252
17010	281	281
17011	219	219
17012	362	362
17013	193	193
17014	291	291
17015	279	279
17016	290	290
17017	257	257
17018	310	310
17019	164	164
17020	355	355
17021	341	341
17022	225	225
17023	174	174
17024	279	279
17025	223	223
17026	289	289
17027	322	322
17028	218	218
17029	241	241
17030	230	230
17031	172	172
17032	223	223
17033	164	164
17034	194	194
17035	224	224
17036	289	289
17037	233	233
17038	242	242
17039	278	278
17040	300	300
17041	318	318
18001	286	286
18002	264	264
18003	217	217
18004	321	321
18005	179	179
18006	223	223
18007	286	286
18008	290	290
18009	264	264
18010	410	410
18011	250	250
18012	267	267
18013	304	304
18014	303	303
18015	356	356
18016	292	292
18017	303	303
18018	246	246
18019	274	274
18020	243	243
18021	362	362
18022	337	337
18023	268	268
18024	279	279
18025	281	281
18026	371	371
18027	219	219
18028	244	244
18029	308	308
18030	295	295
18031	324	324
18032	310	310
18033	242	242
18034	355	355
18035	331	331
18036	308	308
18037	333	333
18038	285	285
18039	228	228
18040	338	338
18041	349	349
18042	246	246
18043	237	237
18044	229	229
18045	258	258
18046	317	317
18047	221	221
18048	231	231
18049	200	200
18050	206	206
19001	233	233
19002	402	402
19003	155	155
19004	249	249
19005	332	332
19006	223	223
19007	256	256
19008	229	229
19009	177	177
19010	340	340
19011	205	205
19012	167	167
19013	386	386
19014	313	313
19015	246	246
19016	241	241
19017	225	225
19018	268	268
19019	354	354
19020	275	275
19021	179	179
19022	253	253
19023	243	243
19024	165	165
19025	254	254
19026	236	236
19027	321	321
19028	371	371
19029	206	206
19030	207	207
19031	232	232
19032	217	217
19033	221	221
19034	242	242
19035	260	260
19036	392	392
19037	313	313
19038	282	282
19039	132	132
19040	314	314
19041	194	194
19042	217	217
19043	383	383
19044	264	264
19045	247	247
19046	250	250
19047	461	461
19048	351	351
19049	396	396
19050	212	212
19051	320	320
19052	234	234
19053	229	229
19054	155	155
19055	169	169
19056	305	305
19057	250	250
20001	246	246
20002	117	117
20003	202	202
20004	134	134
20005	275	275
20006	139	139
20007	278	278
20008	258	258
20009	333	333
20010	203	203
20011	347	347
20012	172	172
20013	278	278
20014	150	150
20015	294	294
20016	312	312
20017	153	153
20018	198	198
20019	278	278
20020	248	248
20021	224	224
20022	362	362
20023	262	262
20024	266	266
20025	191	191
20026	304	304
20027	163	163
20028	182	182
20029	302	302
20030	137	137
20031	329	329
20032	272	272
20033	153	153
20034	384	384
20035	220	220
20036	100	100
20037	95	95
20038	110	110
20039	37	37
21001	302	302
21002	210	210
21003	312	312
21004	297	297
21005	308	308
21006	245	245
21007	315	315
21008	294	294
21009	320	320
21010	263	263
21011	267	267
21012	270	270
21013	265	265
21014	360	360
21015	267	267
21016	274	274
21017	274	274
21018	359	359
21019	298	298
21020	281	281
21021	254	254
21022	259	259
21023	256	256
21024	281	281
21025	258	258
21026	283	283
21027	276	276
21028	313	313
21029	299	299
21030	237	237
21031	211	211
21032	275	275
21033	335	335
21034	270	270
21035	313	313
21036	284	284
21037	227	227
21038	297	297
21039	236	236
21040	243	243
21041	291	291
21042	304	304
21043	308	308
21044	271	271
21045	264	264
21046	285	285
21047	267	267
21048	265	265
21049	296	296
21050	243	243
21051	289	289
21052	285	285
21053	229	229
21054	243	243
22001	175	175
22002	301	301
22003	400	400
22004	252	252
22005	263	263
22006	253	253
22007	202	202
22008	330	330
22009	246	246
22010	384	384
22011	233	233
22012	250	250
22013	309	309
22014	221	221
22015	254	254
22016	295	295
22017	286	286
22018	254	254
22019	130	130
22020	292	292
22021	311	311
22022	263	263
22023	308	308
22024	361	361
22025	285	285
23001	243	243
23002	211	211
23003	200	200
23004	298	298
23005	308	308
23006	311	311
23007	273	273
23008	309	309
23009	266	266
23010	356	356
23011	365	365
23012	217	217
23013	236	236
23014	190	190
23015	258	258
23016	225	225
23017	206	206
23018	214	214
23019	257	257
23020	205	205
23021	222	222
23022	251	251
23023	230	230
23024	242	242
23025	253	253
23026	283	283
23027	211	211
23028	256	256
23029	214	214
23030	346	346
23031	197	197
23032	308	308
23033	325	325
23034	274	274
23035	152	152
23036	213	213
23037	189	189
23038	210	210
23039	288	288
24001	267	267
24002	245	245
24003	233	233
24004	234	234
24005	133	133
24006	241	241
24007	150	150
24008	110	110
24009	253	253
24010	140	140
24011	261	261
24012	149	149
24013	131	131
24014	212	212
24015	140	140
24016	299	299
24017	195	195
24018	271	271
24019	274	274
24020	182	182
24021	138	138
24022	322	322
24023	213	213
24024	270	270
24025	208	208
24026	322	322
24027	251	251
24028	200	200
24029	179	179
24030	132	132
24031	265	265
24032	134	134
24033	153	153
24034	215	215
24035	241	241
24036	297	297
24037	137	137
24038	187	187
24039	264	264
24040	215	215
24041	166	166
25001	275	275
25002	326	326
25003	282	282
25004	254	254
25005	326	326
25006	70	70
25007	322	322
25008	355	355
25009	357	357
25010	271	271
25011	361	361
25012	294	294
25013	351	351
25014	162	162
25015	313	313
25016	234	234
25017	318	318
25018	134	134
25019	330	330
25020	202	202
25021	351	351
25022	323	323
25023	389	389
25024	343	343
25025	244	244
25026	346	346
25027	252	252
25028	354	354
25029	221	221
25030	336	336
25031	261	261
25032	281	281
26001	221	221
26002	197	197
26003	238	238
26004	180	180
26005	229	229
26006	223	223
26007	212	212
26008	125	125
26009	196	196
26010	236	236
26011	229	229
26012	225	225
26013	151	151
26014	195	195
26015	134	134
26016	139	139
26017	150	150
26018	210	210
26019	140	140
26020	213	213
26021	278	278
26022	142	142
26023	153	153
26024	203	203
26025	180	180
26026	148	148
26027	247	247
26028	239	239
26029	136	136
26030	182	182
26031	114	114
26032	251	251
26033	220	220
26034	252	252
26035	174	174
26036	215	215
26037	246	246
26038	121	121
26039	215	215
26040	143	143
26041	241	241
26042	168	168
26043	140	140
26044	137	137
26045	112	112
26046	141	141
26047	144	144
26048	212	212
26049	146	146
27001	196	196
27002	240	240
27003	142	142
27004	153	153
27005	191	191
27006	182	182
27007	328	328
27008	205	205
27009	90	90
27010	281	281
27011	180	180
27012	144	144
27013	385	385
27014	142	142
27015	173	173
27016	176	176
27017	255	255
27018	214	214
27019	180	180
27020	216	216
27021	184	184
27022	160	160
27023	210	210
27024	223	223
27025	221	221
27026	219	219
27027	302	302
27028	127	127
27029	195	195
27030	166	166
27031	205	205
27032	196	196
27033	229	229
27034	249	249
27035	200	200
27036	225	225
27037	262	262
27038	320	320
27039	208	208
27040	281	281
27041	232	232
27042	138	138
27043	238	238
27044	226	226
27045	283	283
27046	126	126
27047	185	185
27048	252	252
27049	197	197
27050	231	231
28001	236	236
28002	227	227
28003	194	194
28004	168	168
28005	154	154
28006	123	123
28007	254	254
28008	143	143
28009	208	208
28010	265	265
28011	408	408
28012	265	265
28013	229	229
28014	238	238
28015	69	69
28016	157	157
28017	214	214
28018	196	196
28019	235	235
28020	206	206
28021	181	181
28022	192	192
28023	281	281
28024	217	217
28025	334	334
28026	251	251
28027	229	229
28028	252	252
28029	111	111
28030	35	35
28031	304	304
28032	238	238
28033	266	266
28034	412	412
28035	255	255
28036	147	147
28037	337	337
28038	117	117
28039	188	188
28040	335	335
28041	198	198
28042	250	250
28043	323	323
28044	161	161
28045	172	172
28046	372	372
29001	349	349
29002	484	484
29003	317	317
29004	321	321
29005	242	242
29006	249	249
29007	277	277
29008	278	278
29009	282	282
29010	348	348
29011	167	167
29012	332	332
29013	325	325
29014	294	294
29015	337	337
29016	352	352
29017	317	317
29018	327	327
29019	305	305
29020	360	360
29021	365	365
29022	241	241
29023	278	278
29024	292	292
29025	296	296
29026	281	281
29027	241	241
29028	372	372
29029	226	226
29030	323	323
29031	185	185
29032	199	199
29033	223	223
29034	176	176
29035	255	255
29036	260	260
29037	262	262
29038	231	231
29039	249	249
29040	336	336
29041	254	254
29042	315	315
29043	357	357
29044	372	372
30001	293	293
30002	269	269
30003	203	203
30004	253	253
30005	189	189
30006	252	252
30007	275	275
30008	299	299
30009	218	218
30010	296	296
30011	268	268
30012	204	204
30013	221	221
30014	194	194
30015	243	243
30016	138	138
30017	267	267
30018	290	290
30019	308	308
30020	263	263
30021	180	180
30022	370	370
30023	332	332
30024	283	283
30025	325	325
30026	150	150
30027	167	167
30028	282	282
30029	161	161
30030	113	113
30031	166	166
30032	203	203
31001	169	169
31002	166	166
31003	176	176
31004	265	265
31005	212	212
31006	152	152
31007	290	290
31008	126	126
31009	228	228
31010	168	168
31011	149	149
31012	165	165
31013	206	206
31014	165	165
31015	140	140
31016	237	237
31017	157	157
31018	178	178
31019	158	158
31020	158	158
31021	192	192
31022	157	157
31023	164	164
31024	209	209
31025	160	160
31026	199	199
31027	154	154
31028	177	177
31029	210	210
31030	143	143
31031	189	189
31032	166	166
31033	158	158
31034	174	174
31035	201	201
31036	185	185
31037	173	173
31038	200	200
31039	195	195
31040	190	190
31041	187	187
32001	324	324
32002	243	243
32003	370	370
32004	262	262
32005	240	240
32006	266	266
32007	228	228
32008	275	275
32009	290	290
32010	216	216
32011	329	329
32012	263	263
32013	240	240
32014	347	347
32015	254	254
32016	279	279
32017	339	339
32018	205	205
32019	276	276
32020	348	348
32021	286	286
32022	422	422
32023	234	234
32024	157	157
32025	251	251
32026	341	341
32027	212	212
32028	341	341
32029	336	336
32030	176	176
32031	272	272
32032	265	265
32033	241	241
32034	266	266
32035	236	236
32036	276	276
32037	240	240
32038	229	229
32039	193	193
32040	295	295
32041	255	255
32042	246	246
32043	306	306
33001	370	370
33002	401	401
33003	426	426
33004	438	438
33005	275	275
33006	351	351
33007	352	352
33008	423	423
33009	352	352
33010	303	303
33011	376	376
33012	373	373
33013	387	387
33014	173	173
33015	410	410
33016	482	482
33017	371	371
33018	402	402
33019	357	357
33020	411	411
33021	386	386
33022	374	374
33023	347	347
33024	448	448
33025	398	398
33026	281	281
33027	319	319
33028	337	337
34001	335	335
34002	229	229
34003	313	313
34004	257	257
34005	257	257
34006	348	348
34007	354	354
34008	253	253
34009	239	239
34010	304	304
34011	233	233
34012	319	319
34013	289	289
34014	242	242
34015	247	247
34016	245	245
34017	357	357
34018	222	222
34019	326	326
34020	344	344
34021	382	382
34022	276	276
34023	239	239
34024	280	280
34025	337	337
34026	310	310
34027	237	237
34028	219	219
34029	237	237
34030	301	301
34031	235	235
34032	324	324
34033	254	254
34034	336	336
34035	316	316
34036	274	274
34037	203	203
34038	166	166
34039	237	237
34040	314	314
34041	208	208
34042	286	286
34043	266	266
34044	316	316
34045	323	323
34046	220	220
34047	273	273
34048	319	319
34049	359	359
34050	239	239
34051	318	318
34052	261	261
34053	223	223
35001	265	265
35002	307	307
35003	303	303
35004	279	279
35005	260	260
35006	278	278
35007	321	321
35008	313	313
35009	275	275
35010	401	401
35011	317	317
35012	205	205
35013	211	211
35014	287	287
35015	332	332
35016	220	220
35017	286	286
35018	246	246
35019	182	182
35020	278	278
35021	293	293
35022	327	327
35023	294	294
35024	284	284
35025	365	365
35026	248	248
35027	261	261
35028	269	269
35029	236	236
35030	308	308
35031	318	318
36001	289	289
36002	240	240
36003	231	231
36004	270	270
36005	298	298
36006	194	194
36007	255	255
36008	214	214
36009	214	214
36010	273	273
36011	212	212
36012	174	174
36013	175	175
36014	247	247
36015	269	269
36016	236	236
36017	288	288
36018	224	224
36019	304	304
36020	223	223
36021	248	248
36022	208	208
36023	234	234
36024	222	222
36025	269	269
36026	175	175
36027	212	212
36028	206	206
36029	268	268
36030	242	242
37001	213	213
37002	181	181
37003	223	223
37004	209	209
37005	269	269
37006	274	274
37007	198	198
37008	204	204
37009	275	275
37010	284	284
37011	198	198
37012	229	229
37013	193	193
37014	254	254
37015	289	289
37016	300	300
37017	241	241
37018	256	256
37019	215	215
37020	222	222
37021	228	228
37022	252	252
37023	285	285
37024	268	268
37025	263	263
37026	353	353
37027	235	235
37028	216	216
37029	282	282
37030	275	275
37031	289	289
37032	240	240
37033	267	267
37034	244	244
37035	245	245
37036	240	240
37037	294	294
37038	300	300
37039	236	236
37040	306	306
37041	256	256
38001	211	211
38002	192	192
38003	226	226
38004	222	222
38005	206	206
38006	213	213
38007	195	195
38008	218	218
38009	239	239
38010	218	218
38011	220	220
38012	178	178
38013	220	220
38014	254	254
38015	253	253
38016	206	206
38017	234	234
38018	214	214
38019	231	231
38020	211	211
38021	199	199
38022	223	223
38023	268	268
38024	214	214
38025	193	193
38026	230	230
38027	220	220
38028	245	245
38029	237	237
38030	196	196
38031	234	234
38032	212	212
38033	240	240
38034	238	238
38035	270	270
38036	227	227
38037	239	239
38038	204	204
38039	283	283
38040	237	237
38041	234	234
39001	227	227
39002	166	166
39003	290	290
39004	219	219
39005	278	278
39006	272	272
39007	240	240
39008	298	298
39009	260	260
39010	151	151
39011	270	270
39012	340	340
39013	206	206
39014	224	224
39015	271	271
39016	209	209
39017	281	281
39018	260	260
39019	240	240
39020	269	269
39021	197	197
39022	195	195
39023	247	247
39024	289	289
39025	226	226
39026	213	213
39027	54	54
39028	325	325
39029	146	146
39030	322	322
39031	258	258
39032	201	201
39033	272	272
39034	288	288
39035	245	245
39036	83	83
39037	247	247
39038	157	157
39039	163	163
39040	187	187
39041	256	256
39042	260	260
39043	237	237
39044	199	199
39045	241	241
40001	238	238
40002	240	240
40003	377	377
40004	160	160
40005	309	309
40006	359	359
40007	330	330
40008	425	425
40009	212	212
40010	291	291
40011	288	288
40012	231	231
40013	487	487
40014	244	244
40015	256	256
40016	388	388
40017	250	250
40018	247	247
40019	362	362
40020	276	276
40021	360	360
40022	307	307
40023	384	384
40024	208	208
40025	399	399
40026	334	334
40027	421	421
40028	373	373
40029	259	259
40030	250	250
40031	352	352
40032	334	334
40033	319	319
40034	231	231
40035	203	203
40036	272	272
40037	309	309
40038	397	397
40039	85	85
41001	206	206
41002	242	242
41003	210	210
41004	253	253
41005	264	264
41006	307	307
41007	243	243
41008	201	201
41009	241	241
41010	249	249
41011	236	236
41012	224	224
41013	232	232
41014	296	296
41015	289	289
41016	201	201
41017	208	208
41018	203	203
41019	257	257
41020	175	175
41021	216	216
41022	234	234
41023	193	193
41024	199	199
41025	144	144
41026	233	233
41027	163	163
41028	210	210
41029	143	143
41030	231	231
41031	249	249
41032	208	208
41033	213	213
41034	182	182
41035	250	250
41036	218	218
41037	251	251
41038	209	209
41039	256	256
41040	211	211
41041	210	210
41042	211	211
41043	226	226
41044	221	221
41045	205	205
41046	250	250
41047	247	247
42001	226	226
42002	219	219
42003	273	273
42004	338	338
42005	153	153
42006	292	292
42007	245	245
42008	220	220
42009	279	279
42010	266	266
42011	146	146
42012	156	156
42013	241	241
42014	191	191
42015	127	127
42016	249	249
42017	240	240
42018	217	217
42019	233	233
42020	168	168
42021	195	195
42022	115	115
42023	181	181
42024	201	201
42025	203	203
42026	238	238
42027	213	213
42028	308	308
42029	209	209
42030	185	185
42031	241	241
42032	184	184
42033	299	299
42034	172	172
42035	337	337
42036	292	292
42037	142	142
42038	185	185
42039	206	206
42040	252	252
42041	224	224
42042	285	285
43001	139	139
43002	220	220
43003	229	229
43004	231	231
43005	200	200
43006	152	152
43007	182	182
43008	194	194
43009	272	272
43010	254	254
43011	165	165
43012	142	142
43013	255	255
43014	231	231
43015	238	238
43016	245	245
43017	159	159
43018	250	250
43019	273	273
43020	289	289
43021	253	253
43022	149	149
43023	168	168
43024	162	162
43025	219	219
43026	164	164
43027	215	215
43028	292	292
43029	206	206
43030	322	322
43031	249	249
43032	266	266
43033	233	233
43034	191	191
43035	223	223
43036	135	135
43037	314	314
43038	157	157
43039	306	306
43040	191	191
43041	339	339
43042	188	188
43043	229	229
43044	219	219
43045	152	152
43046	115	115
44001	488	488
44002	262	262
44003	209	209
44004	264	264
44005	325	325
44006	356	356
44007	220	220
44008	338	338
44009	206	206
44010	259	259
44011	265	265
44012	303	303
44013	185	185
44014	225	225
44015	296	296
44016	301	301
44017	394	394
44018	253	253
44019	372	372
44020	277	277
44021	336	336
44022	347	347
44023	257	257
44024	202	202
44025	264	264
44026	356	356
44027	292	292
44028	348	348
44029	285	285
44030	306	306
44031	279	279
44032	307	307
44033	356	356
44034	301	301
44035	336	336
44036	300	300
44037	338	338
44038	242	242
44039	252	252
44040	257	257
44041	360	360
45001	241	241
45002	275	275
45003	279	279
45004	327	327
45005	261	261
45006	334	334
45007	375	375
45008	268	268
45009	282	282
45010	280	280
45011	232	232
45012	255	255
45013	273	273
45014	365	365
45015	372	372
45016	233	233
45017	262	262
45018	263	263
45019	136	136
45020	157	157
45021	213	213
45022	231	231
45023	222	222
45024	189	189
45025	154	154
45026	134	134
45027	218	218
45028	191	191
45029	140	140
45030	226	226
45031	196	196
45032	209	209
45033	197	197
45034	278	278
45035	256	256
45036	263	263
45037	220	220
45038	211	211
45039	233	233
45040	245	245
45041	203	203
45042	232	232
45043	198	198
45044	204	204
45045	133	133
45046	153	153
45047	159	159
45048	130	130
46001	225	225
46002	290	290
46003	375	375
46004	299	299
46005	324	324
46006	253	253
46007	336	336
46008	237	237
46009	339	339
46010	427	427
46011	274	274
46012	352	352
46013	315	315
46014	302	302
46015	294	294
46016	355	355
46017	333	333
46018	322	322
46019	204	204
46020	283	283
46021	210	210
46022	201	201
46023	273	273
46024	332	332
46025	298	298
46026	330	330
46027	359	359
46028	334	334
46029	237	237
46030	329	329
46031	315	315
46032	315	315
46033	364	364
46034	335	335
46035	379	379
46036	270	270
46037	195	195
46038	283	283
46039	323	323
46040	287	287
47001	185	185
47002	307	307
47003	328	328
47004	309	309
47005	356	356
47006	335	335
47007	300	300
47008	312	312
47009	243	243
47010	441	441
47011	268	268
47012	336	336
47013	347	347
47014	271	271
47015	437	437
47016	324	324
47017	314	314
47018	308	308
47019	446	446
47020	315	315
47021	297	297
47022	363	363
47023	411	411
47024	290	290
47025	361	361
47026	444	444
47027	274	274
47028	334	334
47029	334	334
47030	404	404
47031	334	334
47032	423	423
47033	278	278
47034	387	387
47035	290	290
47036	412	412
47037	345	345
47038	328	328
47039	336	336
47040	308	308
47041	361	361
47042	330	330
47043	272	272
47044	260	260
47045	340	340
47046	290	290
47047	339	339
47048	38	38
48001	287	287
48002	144	144
48003	402	402
48004	324	324
48005	181	181
48006	385	385
48007	339	339
48008	151	151
48009	194	194
48010	489	489
48011	284	284
48012	397	397
48013	383	383
48014	161	161
48015	207	207
48016	305	305
48017	322	322
48018	241	241
48019	233	233
48020	402	402
48021	368	368
48022	281	281
48023	329	329
48024	310	310
48025	333	333
48026	152	152
48027	446	446
48028	313	313
48029	179	179
48030	309	309
48031	446	446
48032	347	347
48033	181	181
48034	284	284
48035	238	238
48036	204	204
48037	329	329
48038	351	351
48039	248	248
48040	316	316
48041	407	407
48042	428	428
48043	360	360
