Precinct	total_votes	votes|Vince Kolber	votes|Mike Quigley	votes|Rob Sherman
39014	491	110	354	27
39015	590	219	348	23
39016	486	84	385	17
39017	528	115	378	35
39018	501	93	376	32
39019	499	105	351	43
39020	611	199	383	29
39021	487	180	288	19
39022	477	83	368	26
39023	514	161	321	32
39024	623	232	367	24
39025	452	65	356	31
39026	503	149	328	26
39027	93	26	66	1
39028	291	36	229	26
39029	289	27	246	16
39030	645	83	524	38
39032	453	134	300	19
39033	624	125	466	33
39034	571	103	426	42
39035	516	98	397	21
39036	156	25	118	13
39037	500	141	340	19
39038	291	73	210	8
39039	325	99	211	15
39040	459	123	318	18
39041	567	169	375	23
39042	548	218	315	15
39043	545	184	337	24
39044	410	152	244	14
39045	479	158	306	15
40001	531	90	407	34
40002	530	73	426	31
40003	708	72	590	46
40005	581	83	462	36
40006	688	76	553	59
40007	570	59	482	29
40008	705	64	604	37
40010	151	28	121	2
40011	586	69	475	42
40012	458	69	368	21
40013	855	60	748	47
40014	496	89	383	24
40015	512	84	393	35
40016	717	81	611	25
40017	493	86	373	34
40019	705	122	533	50
40020	562	74	454	34
40021	645	80	527	38
40023	640	67	532	41
40024	529	97	395	37
40025	580	46	497	37
40029	540	99	403	38
40030	495	111	365	19
40031	104	10	91	3
40032	627	70	526	31
40034	515	88	404	23
40038	713	97	580	36
41003	479	138	312	29
41006	597	221	357	19
41009	542	188	333	21
41011	170	49	116	5
41012	553	195	337	21
41014	608	207	371	30
41016	523	170	325	28
41017	447	158	266	23
41019	597	216	360	21
41021	503	151	331	21
41022	554	217	315	22
41023	271	117	144	10
41024	490	213	259	18
41026	500	173	312	15
41027	500	205	268	27
41030	539	182	322	35
41032	447	156	266	25
41033	434	168	248	18
41035	611	234	347	30
41038	498	173	310	15
41039	577	234	327	16
41045	221	68	144	9
41046	535	191	319	25
41047	534	181	331	22
43002	677	207	450	20
43003	658	203	435	20
43004	881	316	550	15
43005	480	154	320	6
43006	502	152	333	17
43007	429	121	296	12
43008	531	139	373	19
43009	585	166	395	24
43010	765	256	487	22
43011	647	246	376	25
43012	473	136	326	11
43013	645	152	470	23
43014	633	189	429	15
43015	734	225	471	38
43016	775	236	505	34
43017	558	194	350	14
43018	740	252	468	20
43019	708	209	480	19
43020	726	207	498	21
43021	698	220	453	25
43022	474	127	326	21
43023	479	127	338	14
43024	544	157	363	24
43025	519	115	385	19
43026	421	93	313	15
43027	638	176	434	28
43028	837	226	584	27
43029	667	189	455	23
43030	835	217	584	34
43031	638	167	448	23
43032	742	178	543	21
43034	472	134	329	9
43036	389	123	248	18
43037	781	165	578	38
43038	559	206	343	10
43039	731	211	494	26
43040	509	123	357	29
43041	860	222	608	30
43042	628	152	453	23
43043	691	247	430	14
43044	632	182	432	18
43046	395	117	263	15
44001	1088	180	864	44
44002	684	142	522	20
44005	759	122	611	26
44006	894	158	691	45
44008	898	179	673	46
44009	652	172	456	24
44010	704	183	504	17
44011	748	167	546	35
44012	745	137	588	20
44013	605	142	438	25
44014	643	125	503	15
44015	646	119	491	36
44016	760	183	553	24
44017	902	127	736	39
44018	713	171	521	21
44019	827	148	651	28
44020	731	122	583	26
44021	824	131	663	30
44022	726	143	570	13
44023	707	127	551	29
44025	699	165	504	30
44026	796	138	625	33
44027	782	160	598	24
44028	714	112	567	35
44029	802	189	588	25
44030	801	182	604	15
44031	639	137	481	21
44032	814	183	603	28
44033	710	93	593	24
44034	730	124	574	32
44036	732	159	557	16
44037	766	120	615	31
44038	718	177	508	33
44039	709	202	487	20
44040	690	226	438	26
44041	893	157	695	41
45003	472	76	375	21
45004	625	107	480	38
45005	519	89	398	32
45006	631	123	473	35
45007	732	162	533	37
45008	35	12	23	0
45011	410	63	326	21
45012	501	102	361	38
45013	448	83	344	21
45014	677	125	510	42
45015	625	98	481	46
45016	432	93	307	32
45017	580	150	389	41
45018	553	146	370	37
45019	293	66	199	28
45020	395	108	268	19
45021	464	129	314	21
45022	485	120	343	22
45023	492	141	333	18
45024	406	119	275	12
45025	323	94	205	24
45026	292	104	171	17
45027	480	147	309	24
45028	432	121	285	26
45029	340	88	234	18
45030	497	84	375	38
45031	414	90	301	23
45032	438	101	317	20
45033	348	80	252	16
45034	539	106	393	40
45035	515	138	361	16
45036	514	150	337	27
45037	486	126	336	24
45038	444	111	308	25
45039	506	141	338	27
45040	495	133	338	24
45041	483	141	315	27
45042	490	140	314	36
45043	525	189	314	22
45044	513	168	322	23
45045	342	128	199	15
45046	416	146	242	28
45047	389	140	238	11
45048	426	167	235	24
46003	765	120	605	40
46005	780	149	592	39
46010	1049	154	851	44
46012	64	4	56	4
46016	294	30	249	15
46019	439	65	356	18
46024	229	29	190	10
46028	625	98	511	16
46030	671	58	584	29
46031	687	80	571	36
46033	742	117	599	26
46036	605	110	466	29
46038	559	61	479	19
46039	621	107	488	26
47001	408	78	317	13
47002	639	118	487	34
47003	615	93	497	25
47004	658	129	511	18
47005	687	87	562	38
47006	738	137	572	29
47007	592	103	455	34
47008	648	115	497	36
47009	586	120	429	37
47010	807	84	681	42
47011	666	135	501	30
47012	681	99	539	43
47013	582	66	483	33
47014	583	99	467	17
47016	604	90	484	30
47017	609	122	450	37
47018	669	116	521	32
47020	597	87	473	37
47021	586	83	472	31
47022	709	97	578	34
47024	669	104	528	37
47025	745	135	575	35
47026	858	96	714	48
47027	579	107	447	25
47028	594	93	463	38
47029	675	123	520	32
47030	355	37	288	30
47031	625	72	518	35
47032	748	77	628	43
47033	651	149	478	24
47034	669	90	554	25
47035	650	110	503	37
47036	737	83	607	47
47037	693	90	568	35
47038	651	93	532	26
47039	644	91	517	36
47040	619	69	512	38
47041	736	90	604	42
47042	635	60	529	46
47043	637	137	468	32
47044	634	137	469	28
47045	612	87	483	42
47046	573	122	425	26
47047	781	143	601	37
47048	56	10	42	4
50024	410	187	208	15
50025	31	11	17	3
