Precinct	total_votes	votes|Daniel William Lipinski
Lyons 19	286	286
Lyons 20	282	282
Lyons 21	288	288
Lyons 22	206	206
Lyons 23	236	236
Lyons 24	145	145
Lyons 25	195	195
Lyons 28	182	182
Lyons 29	211	211
Lyons 30	64	64
Lyons 31	144	144
Lyons 32	101	101
Lyons 33	103	103
Lyons 34	110	110
Lyons 35	171	171
Lyons 37	178	178
Lyons 38	109	109
Lyons 39	172	172
Lyons 40	138	138
Lyons 41	118	118
Lyons 42	122	122
Lyons 43	151	151
Lyons 44	234	234
Lyons 45	322	322
Lyons 46	170	170
Lyons 47	161	161
Lyons 48	286	286
Lyons 49	152	152
Lyons 50	238	238
Lyons 51	194	194
Lyons 52	215	215
Lyons 53	160	160
Lyons 54	126	126
Lyons 55	176	176
Lyons 56	417	417
Lyons 57	365	365
Lyons 58	181	181
Lyons 59	217	217
Lyons 60	543	543
Lyons 61	187	187
Lyons 64	224	224
Lyons 65	341	341
Lyons 66	175	175
Lyons 67	269	269
Lyons 68	153	153
Lyons 69	200	200
Lyons 70	285	285
Lyons 71	143	143
Lyons 72	254	254
Lyons 73	201	201
Lyons 74	121	121
Lyons 75	156	156
Lyons 76	166	166
Lyons 77	181	181
Lyons 78	130	130
Orland 1	208	208
Orland 2	181	181
Orland 4	127	127
Orland 8	170	170
Orland 9	189	189
Orland 12	81	81
Orland 14	30	30
Orland 15	182	182
Orland 16	119	119
Orland 18	192	192
Orland 20	86	86
Orland 22	197	197
Orland 23	161	161
Orland 26	180	180
Orland 29	201	201
Orland 36	274	274
Orland 39	132	132
Orland 41	156	156
Orland 42	207	207
Orland 43	175	175
Orland 44	171	171
Orland 45	153	153
Orland 47	201	201
Orland 49	125	125
Orland 50	86	86
Orland 51	216	216
Orland 53	151	151
Orland 56	102	102
Orland 57	138	138
Orland 58	178	178
Orland 59	170	170
Orland 60	108	108
Orland 61	139	139
Orland 63	183	183
Orland 64	175	175
Orland 65	145	145
Orland 66	157	157
Orland 68	122	122
Orland 70	234	234
Orland 71	126	126
Orland 74	121	121
Orland 75	130	130
Palos 2	121	121
Palos 3	130	130
Palos 4	157	157
Palos 5	117	117
Palos 6	162	162
Palos 7	192	192
Palos 8	89	89
Palos 9	44	44
Palos 10	173	173
Palos 11	150	150
Palos 12	185	185
Palos 13	139	139
Palos 14	128	128
Palos 15	171	171
Palos 16	182	182
Palos 17	279	279
Palos 18	208	208
Palos 19	235	235
Palos 20	211	211
Palos 21	116	116
Palos 22	34	34
Palos 23	131	131
Palos 24	89	89
Palos 25	221	221
Palos 26	123	123
Palos 27	249	249
Palos 28	236	236
Palos 29	138	138
Palos 30	224	224
Palos 31	198	198
Palos 32	87	87
Palos 34	119	119
Palos 35	234	234
Palos 36	216	216
Palos 37	158	158
Palos 38	155	155
Palos 39	191	191
Riverside 2	0	0
Stickney 1	104	104
Stickney 2	248	248
Stickney 3	457	457
Stickney 4	330	330
Stickney 5	365	365
Stickney 6	401	401
Stickney 7	185	185
Stickney 8	254	254
Stickney 9	277	277
Stickney 10	376	376
Stickney 11	346	346
Stickney 12	316	316
Stickney 13	271	271
Stickney 14	347	347
Stickney 15	350	350
Stickney 16	290	290
Stickney 17	206	206
Stickney 18	126	126
Stickney 19	217	217
Stickney 20	272	272
Worth 1	134	134
Worth 2	264	264
Worth 3	252	252
Worth 4	363	363
Worth 5	269	269
Worth 6	199	199
Worth 9	145	145
Worth 11	253	253
Worth 15	143	143
Worth 21	345	345
Worth 22	197	197
Worth 25	270	270
Worth 26	168	168
Worth 27	181	181
Worth 28	173	173
Worth 30	244	244
Worth 33	208	208
Worth 35	242	242
Worth 36	291	291
Worth 40	269	269
Worth 41	150	150
Worth 44	144	144
Worth 46	293	293
Worth 47	126	126
Worth 48	155	155
Worth 49	154	154
Worth 51	147	147
Worth 53	253	253
Worth 56	210	210
Worth 58	269	269
Worth 60	132	132
Worth 61	187	187
Worth 62	141	141
Worth 63	261	261
Worth 66	154	154
Worth 67	108	108
Worth 70	309	309
Worth 71	174	174
Worth 74	116	116
Worth 75	291	291
Worth 76	138	138
Worth 77	243	243
Worth 78	292	292
Worth 81	77	77
Worth 82	225	225
Worth 83	128	128
Worth 84	254	254
Worth 85	224	224
Worth 86	229	229
Worth 90	282	282
Worth 91	132	132
Worth 92	262	262
Worth 93	153	153
Worth 94	260	260
Worth 98	282	282
Worth 99	104	104
Worth 100	265	265
