Precinct	total_votes	votes|Yes	votes|No
19011	493	402	91
19012	420	360	60
19013	586	534	52
19014	538	494	44
19015	645	538	107
19016	524	443	81
19017	463	402	61
19018	448	407	41
19019	609	561	48
19020	427	398	29
19021	523	437	86
19022	516	461	55
19023	489	439	50
19024	369	308	61
19025	461	415	46
19026	517	457	60
19027	470	432	38
19028	549	507	42
19029	532	454	78
19030	472	399	73
19031	439	401	38
19032	438	392	46
19033	519	447	72
19034	455	420	35
19035	442	406	36
19036	669	625	44
19037	466	435	31
19038	432	393	39
19039	222	204	18
19040	527	482	45
19041	480	405	75
19042	382	346	36
19043	668	610	58
19044	563	483	80
19045	489	440	49
19046	495	441	54
19047	685	630	55
19048	603	557	46
19049	579	534	45
19050	415	358	57
19051	552	500	52
19052	575	497	78
19053	464	417	47
19054	415	349	66
19055	433	389	44
19056	522	483	39
19057	413	382	31
20001	489	452	37
20002	191	171	20
20003	383	341	42
20004	240	214	26
20005	505	457	48
20006	234	204	30
20007	492	443	49
20008	437	395	42
20009	595	549	46
20010	411	375	36
20011	409	366	43
20012	333	296	37
20013	223	205	18
20014	244	226	18
20015	477	435	42
20016	511	474	37
20017	283	265	18
20018	357	324	33
20019	481	433	48
20020	407	374	33
20021	392	352	40
20022	416	393	23
20023	512	462	50
20024	469	441	28
20025	366	314	52
20026	480	437	43
20027	236	218	18
20028	302	283	19
20029	534	496	38
20030	236	212	24
20031	564	524	40
20032	447	405	42
20033	342	313	29
20034	706	653	53
20035	432	384	48
20036	173	164	9
20037	123	109	14
20038	197	183	14
20039	54	45	9
21001	456	413	43
21002	381	343	38
21003	445	402	43
21004	439	398	41
21005	501	466	35
21006	411	370	41
21007	412	379	33
21008	479	438	41
21009	478	454	24
21010	428	386	42
21011	406	378	28
21012	428	393	35
21013	478	441	37
21014	519	460	59
21015	423	392	31
21016	406	365	41
21017	433	393	40
21018	491	450	41
21019	469	443	26
21020	406	378	28
21021	392	355	37
21022	423	386	37
21023	414	378	36
21024	450	419	31
21025	372	347	25
21026	489	457	32
21027	420	393	27
21028	572	535	37
21029	513	473	40
21030	381	358	23
21031	315	298	17
21032	447	409	38
21033	442	409	33
21034	470	418	52
21035	443	404	39
21036	470	435	35
21037	376	326	50
21038	475	427	48
21039	389	354	35
21040	377	357	20
21041	430	402	28
21042	496	445	51
21043	463	427	36
21044	447	413	34
21045	428	395	33
21046	492	444	48
21047	450	408	42
21048	408	374	34
