Precinct	total_votes	votes|Danny K. Davis	votes|Craig Cameron	votes|Tracy Jennings
Oak Park 6	1103	905	95	103
Oak Park 7	645	525	84	36
Oak Park 8	827	719	54	54
Oak Park 9	536	467	45	24
Oak Park 10	839	711	79	49
Oak Park 11	763	613	89	61
Oak Park 12	479	382	65	32
Oak Park 13	832	702	57	73
Oak Park 14	940	745	143	52
Oak Park 15	1079	902	82	95
Oak Park 16	1231	982	164	85
Oak Park 17	1239	1007	144	88
Oak Park 18	775	595	128	52
Oak Park 19	999	794	139	66
Oak Park 20	1337	1034	197	106
Oak Park 21	653	548	54	51
Oak Park 22	720	572	88	60
Oak Park 23	921	727	126	68
Oak Park 24	648	495	106	47
Oak Park 25	855	689	105	61
Oak Park 26	747	640	62	45
Oak Park 27	271	224	33	14
Oak Park 28	1191	950	138	103
Oak Park 29	793	629	110	54
Oak Park 30	971	817	74	80
Oak Park 31	1318	1115	124	79
Oak Park 32	577	484	52	41
Oak Park 33	750	623	62	65
Oak Park 34	712	561	92	59
Oak Park 35	1102	886	138	78
Oak Park 36	1023	824	140	59
Oak Park 37	490	401	54	35
Proviso 1	560	450	78	32
Proviso 2	568	456	74	38
Proviso 3	351	263	63	25
Proviso 4	669	598	21	50
Proviso 5	622	575	15	32
Proviso 8	469	369	61	39
Proviso 9	584	522	18	44
Proviso 17	427	378	27	22
Proviso 18	858	765	30	63
Proviso 19	645	595	19	31
Proviso 20	512	478	12	22
Proviso 21	554	326	191	37
Proviso 22	500	462	14	24
Proviso 30	707	576	92	39
Proviso 31	391	349	14	28
Proviso 33	724	656	17	51
Proviso 34	1017	902	50	65
Proviso 36	639	586	16	37
Proviso 37	425	387	11	27
Proviso 38	621	546	33	42
Proviso 39	808	636	110	62
Proviso 40	587	529	20	38
Proviso 41	510	476	17	17
Proviso 42	405	377	5	23
Proviso 43	400	365	14	21
Proviso 44	466	424	18	24
Proviso 45	567	527	12	28
Proviso 47	377	335	14	28
Proviso 48	791	687	52	52
Proviso 49	480	393	55	32
Proviso 50	1113	744	211	158
