Precinct	total_votes	votes|Marie Newman	votes|Mike Fricilone
Worth 51	500	230	270
Worth 53	748	430	318
Worth 56	718	336	382
Worth 58	771	461	310
Worth 60	442	215	227
Worth 61	613	324	289
Worth 62	424	205	219
Worth 63	680	451	229
Worth 66	595	288	307
Worth 67	503	235	268
Worth 70	858	489	369
Worth 71	586	310	276
Worth 74	301	167	134
Worth 75	916	528	388
Worth 76	368	248	120
Worth 77	744	428	316
Worth 78	901	535	366
Worth 81	280	108	172
Worth 82	671	349	322
Worth 83	325	236	89
Worth 84	773	405	368
Worth 85	729	412	317
Worth 86	717	399	318
Worth 90	804	501	303
Worth 91	384	219	165
Worth 92	750	443	307
Worth 93	407	234	173
Worth 94	838	465	373
Worth 98	808	441	367
Worth 99	466	261	205
Worth 100	779	411	368
