Precinct	total_votes	votes|Iris Y. Martinez	votes|Barbara Bellar
10021	469	370	99
10022	265	234	31
10023	399	342	57
10024	468	292	176
10025	127	121	6
10026	329	299	30
10027	384	359	25
10028	520	454	66
10029	473	391	82
10030	421	362	59
10031	382	339	43
10032	471	388	83
10033	356	315	41
10034	304	271	33
10035	501	365	136
10036	114	106	8
11001	550	402	148
11002	41	28	13
11003	538	483	55
11004	433	343	90
11005	697	573	124
11006	848	693	155
11007	511	434	77
11008	490	376	114
11009	455	323	132
11010	520	358	162
11011	596	422	174
11012	680	365	315
11013	639	336	303
11014	294	180	114
11015	207	155	52
11016	389	238	151
11017	649	500	149
11018	437	294	143
11019	694	560	134
11020	372	247	125
11021	639	425	214
11022	656	476	180
11023	298	192	106
11024	579	397	182
11025	656	486	170
11026	557	399	158
11027	218	152	66
11028	260	166	94
11029	627	387	240
11030	290	196	94
11031	542	326	216
11032	237	136	101
11033	699	533	166
11034	172	111	61
11035	89	58	31
11036	251	162	89
11037	160	119	41
11038	277	237	40
12001	461	390	71
12002	396	336	60
12003	561	476	85
12004	541	456	85
12005	428	312	116
12006	553	444	109
12007	435	404	31
12008	475	392	83
12009	400	326	74
12010	612	574	38
12011	513	452	61
12012	477	395	82
12013	510	437	73
12014	418	373	45
12015	425	380	45
12016	417	377	40
12017	554	482	72
12018	411	378	33
12019	461	387	74
12020	562	495	67
12021	500	430	70
12022	446	408	38
12023	478	398	80
13001	395	256	139
13002	327	200	127
13003	343	303	40
13004	449	264	185
13005	492	411	81
13006	398	212	186
13007	352	270	82
13008	321	213	108
13009	445	367	78
13010	367	168	199
13011	436	283	153
13012	388	307	81
13013	398	330	68
13014	400	317	83
13015	588	500	88
13016	305	273	32
13017	362	254	108
13018	349	210	139
13019	515	471	44
13020	301	162	139
13021	472	244	228
13022	461	260	201
13023	342	286	56
13024	418	318	100
13025	424	351	73
13026	435	322	113
13027	412	282	130
13028	320	259	61
13029	345	278	67
13030	328	296	32
13031	458	247	211
13032	363	186	177
13033	401	222	179
13034	406	366	40
13035	361	297	64
13036	298	256	42
13037	415	348	67
13038	350	195	155
13039	394	338	56
13040	408	307	101
13041	484	425	59
13042	428	227	201
13043	411	304	107
13044	429	378	51
13045	436	297	139
13046	478	404	74
13047	479	413	66
13048	364	214	150
14001	506	247	259
14002	612	503	109
14003	436	388	48
14004	470	246	224
14005	642	584	58
14006	247	218	29
14007	604	504	100
14008	557	451	106
14009	590	356	234
14010	338	275	63
14011	274	245	29
14012	499	380	119
14013	411	352	59
14014	436	393	43
14015	486	437	49
14016	329	275	54
14017	401	344	57
14018	220	168	52
14019	426	374	52
14020	352	298	54
14021	442	382	60
14022	641	471	170
14023	387	280	107
14024	539	309	230
14025	249	220	29
14026	342	315	27
14027	453	369	84
14028	384	322	62
14029	343	305	38
14030	306	281	25
14031	247	213	34
15001	389	348	41
15002	244	223	21
15003	264	247	17
15004	448	395	53
15005	411	369	42
15006	457	395	62
15007	248	222	26
15008	440	387	53
15009	598	527	71
15010	582	499	83
15011	544	472	72
15012	553	470	83
15013	434	377	57
15014	394	355	39
15015	401	349	52
15016	502	459	43
15017	244	225	19
15018	214	195	19
15019	365	330	35
15020	258	246	12
15021	208	189	19
15022	239	217	22
15023	274	257	17
15024	246	230	16
16001	541	491	50
16002	304	279	25
16003	288	279	9
16004	361	341	20
16005	239	228	11
16006	288	279	9
16007	334	314	20
16008	224	214	10
16009	303	284	19
16010	280	269	11
16011	337	308	29
16012	293	271	22
16013	393	361	32
16014	239	217	22
16015	301	281	20
16016	269	253	16
16017	456	422	34
16018	383	347	36
16019	327	304	23
16020	233	219	14
16021	270	254	16
16022	297	274	23
16023	461	419	42
16024	154	146	8
16025	370	340	30
16026	232	210	22
16027	236	224	12
16028	259	235	24
16029	253	239	14
16030	249	232	17
16031	287	263	24
16032	452	408	44
16033	249	233	16
16034	276	257	19
16035	484	437	47
16036	224	202	22
17001	445	408	37
17002	375	358	17
17003	388	360	28
17004	441	400	41
17005	301	278	23
17006	400	372	28
17007	394	368	26
17008	347	322	25
17009	308	290	18
17010	483	444	39
17011	299	280	19
17012	561	498	63
17013	304	291	13
17014	443	416	27
17015	399	375	24
17016	454	412	42
17017	393	357	36
17018	437	421	16
17019	237	220	17
17020	472	455	17
17021	443	426	17
17022	361	346	15
17023	257	244	13
17024	396	375	21
17025	301	279	22
17026	382	363	19
17027	356	334	22
17028	305	290	15
17029	368	348	20
17030	393	345	48
17031	237	232	5
17032	306	282	24
17033	216	195	21
17034	269	248	21
17035	263	252	11
17036	344	327	17
17037	307	288	19
17038	427	400	27
17039	370	348	22
17040	416	395	21
17041	500	470	30
18001	401	378	23
18002	490	421	69
18003	402	303	99
18004	459	436	23
18005	262	248	14
18006	406	306	100
18007	432	379	53
18008	426	398	28
18009	406	382	24
18010	530	503	27
18011	399	345	54
18012	396	372	24
18013	475	443	32
18014	433	420	13
18015	485	407	78
18016	420	397	23
18017	451	415	36
18018	318	306	12
18019	367	339	28
18020	315	292	23
18021	535	488	47
18022	469	443	26
18023	431	399	32
18024	446	344	102
18025	476	390	86
18026	522	496	26
18027	368	339	29
18028	444	314	130
18029	500	444	56
18030	549	432	117
18031	474	452	22
18032	423	396	27
18033	336	318	18
18034	467	436	31
18035	488	460	28
18036	478	422	56
18037	487	459	28
18038	382	363	19
18039	381	352	29
18040	474	408	66
18041	506	477	29
18042	388	358	30
18043	394	315	79
18044	415	298	117
18045	461	411	50
18046	509	405	104
18047	339	311	28
18048	320	307	13
18049	286	267	19
18050	329	296	33
19001	444	219	225
19002	632	528	104
19003	421	122	299
19004	589	229	360
19005	520	388	132
19006	546	228	318
19007	436	269	167
19008	567	200	367
19009	349	164	185
19010	603	473	130
19011	493	155	338
19012	433	140	293
19013	557	527	30
19014	525	414	111
19015	665	244	421
19016	489	184	305
19017	419	203	216
19018	464	343	121
19019	615	476	139
19020	391	336	55
19021	538	189	349
19022	534	379	155
19023	508	263	245
19024	377	140	237
19025	472	306	166
19026	476	306	170
19027	486	423	63
19028	544	506	38
19029	536	208	328
19030	494	176	318
19031	450	296	154
19032	435	224	211
19033	553	199	354
19034	430	296	134
19035	440	315	125
19036	666	585	81
19037	477	420	57
19038	428	374	54
19039	236	221	15
19040	512	384	128
19041	496	181	315
19042	393	310	83
19043	650	606	44
19044	573	209	364
19045	511	255	256
19046	469	227	242
19047	680	590	90
19048	581	549	32
19049	587	527	60
19050	413	239	174
19051	527	303	224
19052	595	236	359
19053	451	262	189
19054	427	133	294
19055	425	153	272
19056	503	395	108
19057	400	329	71
20001	461	437	24
20002	156	140	16
20003	381	359	22
20004	198	182	16
20005	497	473	24
20006	184	169	15
20007	518	488	30
20008	366	342	24
20009	613	593	20
20010	308	291	17
20011	558	526	32
20012	412	384	28
20013	421	379	42
20014	251	239	12
20015	450	400	50
20016	528	495	33
20017	286	249	37
20018	296	283	13
20019	448	419	29
20020	344	300	44
20021	359	334	25
20022	589	551	38
20023	408	381	27
20024	564	531	33
20025	292	268	24
20026	398	374	24
20027	243	225	18
20028	267	257	10
20029	485	451	34
20030	189	174	15
20031	524	495	29
20032	348	320	28
20033	269	254	15
20034	552	501	51
20035	309	288	21
20036	141	130	11
20037	131	126	5
20038	144	132	12
20039	40	36	4
21001	463	449	14
21002	323	308	15
21003	427	402	25
21004	399	383	16
21005	437	420	17
21006	351	324	27
21007	411	391	20
21008	452	424	28
21009	443	424	19
21010	346	334	12
21011	377	363	14
21012	368	343	25
21013	433	408	25
21014	450	428	22
21015	375	358	17
21016	403	380	23
21017	352	327	25
21018	476	462	14
21019	458	443	15
21020	390	375	15
21021	352	327	25
21022	377	358	19
21023	379	370	9
21024	428	410	18
21025	367	347	20
21026	442	413	29
21027	458	435	23
21028	491	474	17
21029	460	444	16
21030	365	346	19
21031	314	307	7
21032	417	406	11
21033	358	335	23
21034	397	371	26
21035	498	466	32
21036	422	404	18
21037	314	304	10
21038	421	404	17
21039	390	369	21
21040	373	355	18
21041	433	407	26
21042	463	434	29
21043	419	397	22
21044	452	416	36
21045	398	378	20
21046	437	413	24
21047	383	363	20
21048	411	391	20
21049	450	427	23
21050	302	282	20
21051	429	414	15
21052	400	377	23
21053	341	318	23
21054	350	329	21
22001	237	223	14
22002	540	392	148
22003	676	602	74
22004	358	331	27
22005	422	380	42
22006	420	380	40
22007	346	322	24
22008	627	507	120
22009	352	331	21
22010	592	528	64
22011	355	318	37
22012	370	286	84
22013	466	423	43
22014	356	325	31
22015	368	335	33
22016	358	327	31
22017	573	503	70
22018	374	334	40
22019	206	191	15
22020	441	398	43
22021	410	393	17
22022	423	381	42
22023	475	451	24
22024	512	460	52
22025	424	394	30
23001	412	208	204
23002	463	266	197
23003	418	213	205
23004	483	298	185
23005	454	394	60
23006	462	366	96
23007	412	347	65
23008	523	379	144
23009	413	367	46
23010	490	400	90
23011	500	443	57
23012	470	203	267
23013	422	374	48
23014	411	231	180
23015	395	348	47
23016	422	222	200
23017	342	297	45
23018	407	231	176
23019	377	328	49
23020	310	262	48
23021	418	208	210
23022	448	271	177
23023	411	252	159
23024	393	335	58
23025	386	309	77
23026	446	348	98
23027	403	202	201
23028	489	280	209
23029	396	250	146
23030	506	413	93
23031	393	335	58
23032	408	356	52
23033	494	423	71
23034	482	414	68
23035	337	182	155
23036	441	221	220
23037	485	239	246
23038	402	255	147
23039	475	424	51
24001	305	289	16
24002	354	335	19
24003	428	395	33
24004	293	273	20
24005	201	193	8
24006	374	353	21
24007	265	255	10
24008	170	157	13
24009	342	319	23
24010	171	161	10
24011	404	375	29
24012	229	217	12
24013	218	198	20
24014	318	294	24
24015	192	181	11
24016	1051	865	186
24017	266	244	22
24018	356	334	22
24019	419	394	25
24020	304	281	23
24021	195	176	19
24022	442	410	32
24023	315	292	23
24024	408	382	26
24025	290	273	17
24026	513	485	28
24027	367	347	20
24028	241	224	17
24029	251	240	11
24030	220	207	13
24031	382	350	32
24032	190	176	14
24033	228	214	14
24034	346	320	26
24035	340	314	26
24036	400	366	34
24037	199	191	8
24038	285	257	28
24039	361	328	33
24040	412	387	25
24041	248	231	17
25001	435	386	49
25002	665	617	48
25003	1013	765	248
25004	428	370	58
25005	587	519	68
25006	193	136	57
25007	579	526	53
25008	643	607	36
25009	550	505	45
25010	819	591	228
25011	571	521	50
25012	539	482	57
25013	655	603	52
25014	415	322	93
25015	467	409	58
25016	1021	671	350
25017	600	528	72
25018	316	229	87
25019	586	547	39
25020	320	293	27
25021	1096	895	201
25022	560	526	34
25023	632	577	55
25024	565	519	46
25025	507	367	140
25026	555	506	49
25027	770	604	166
25028	579	526	53
25029	441	392	49
25030	538	484	54
25031	1152	799	353
25032	478	389	89
26001	466	413	53
26002	373	328	45
26003	536	450	86
26004	318	278	40
26005	386	357	29
26006	378	348	30
26007	413	378	35
26008	272	239	33
26009	380	338	42
26010	424	370	54
26011	415	355	60
26012	451	407	44
26013	250	223	27
26014	360	325	35
26015	292	252	40
26016	234	203	31
26017	389	276	113
26018	322	279	43
26019	279	257	22
26020	402	349	53
26021	503	453	50
26022	256	216	40
26023	321	286	35
26024	367	332	35
26025	350	316	34
26026	308	278	30
26027	490	427	63
26028	553	460	93
26029	240	204	36
26030	356	329	27
26031	212	178	34
26032	524	428	96
26033	494	443	51
26034	468	424	44
26035	377	343	34
26036	440	367	73
26037	453	411	42
26038	229	196	33
26039	502	428	74
26040	292	256	36
26041	476	444	32
26042	344	308	36
26043	266	245	21
26044	238	215	23
26045	219	193	26
26046	329	234	95
26047	315	277	38
26048	453	410	43
26049	275	249	26
27001	1216	915	301
27002	553	434	119
27003	243	230	13
27004	263	233	30
27005	383	343	40
27006	608	460	148
27007	728	634	94
27008	378	343	35
27009	265	172	93
27010	378	334	44
27011	664	475	189
27012	445	329	116
27013	666	590	76
27014	229	211	18
27015	235	218	17
27016	629	470	159
27017	489	425	64
27018	323	287	36
27019	234	213	21
27020	343	319	24
27021	507	363	144
27022	224	209	15
27023	305	283	22
27024	310	285	25
27025	462	409	53
27026	317	291	26
27027	626	560	66
27028	722	500	222
27029	303	270	33
27030	218	197	21
27031	341	312	29
27032	433	383	50
27033	714	562	152
27034	310	290	20
27035	663	507	156
27036	340	320	20
27037	534	408	126
27038	658	528	130
27039	326	296	30
27040	728	547	181
27041	383	354	29
27042	361	282	79
27043	369	343	26
27044	316	293	23
27045	1581	1175	406
27046	463	309	154
27047	321	282	39
27048	984	773	211
27049	323	304	19
27050	425	377	48
28001	277	251	26
28002	332	308	24
28003	278	264	14
28004	401	325	76
28005	247	228	19
28006	221	183	38
28007	366	345	21
28008	628	482	146
28009	359	340	19
28010	531	436	95
28011	884	779	105
28012	334	323	11
28013	417	395	22
28014	344	326	18
28015	70	67	3
28016	228	212	16
28017	304	290	14
28018	306	283	23
28019	332	283	49
28020	293	269	24
28021	295	274	21
28022	332	309	23
28023	461	429	32
28024	324	290	34
28025	536	504	32
28026	351	333	18
28027	435	300	135
28028	537	420	117
28029	190	176	14
28030	54	52	2
28031	392	370	22
28032	354	333	21
28033	390	365	25
28034	649	598	51
28035	410	383	27
28036	188	181	7
28037	400	378	22
28038	141	131	10
28039	290	270	20
28040	461	438	23
28041	246	235	11
28042	358	332	26
28043	450	428	22
28044	268	256	12
28045	594	456	138
28046	757	631	126
29001	620	518	102
29002	560	526	34
29003	476	449	27
29004	521	482	39
29005	336	316	20
29006	327	314	13
29007	496	441	55
29008	404	373	31
29009	505	395	110
29010	612	496	116
29011	241	224	17
29012	549	512	37
29013	458	425	33
29014	384	359	25
29015	502	481	21
29016	417	401	16
29017	429	411	18
29018	423	395	28
29019	448	422	26
29020	473	442	31
29021	592	553	39
29022	345	313	32
29023	578	408	170
29024	427	398	29
29025	505	480	25
29026	425	398	27
29027	396	378	18
29028	547	521	26
29029	616	404	212
29030	652	559	93
29031	573	335	238
29032	561	345	216
29033	320	299	21
29034	330	292	38
29035	344	326	18
29036	377	356	21
29037	417	386	31
29038	594	443	151
29039	556	386	170
29040	500	480	20
29041	383	358	25
29042	487	468	19
29043	582	521	61
29044	573	530	43
30001	598	489	109
30002	560	428	132
30003	432	363	69
30004	528	385	143
30005	411	344	67
30006	433	367	66
30007	569	467	102
30008	629	526	103
30009	482	369	113
30010	568	467	101
30011	524	457	67
30012	491	398	93
30013	529	405	124
30014	418	351	67
30015	471	382	89
30016	314	242	72
30017	555	427	128
30018	655	594	61
30019	541	463	78
30020	593	466	127
30021	409	282	127
30022	764	665	99
30023	666	563	103
30024	784	675	109
30025	785	677	108
30026	346	281	65
30027	401	314	87
30028	535	460	75
30029	372	321	51
30030	229	199	30
30031	354	279	75
30032	444	377	67
31001	351	307	44
31002	314	279	35
31003	352	276	76
31004	450	404	46
31005	374	314	60
31006	267	226	41
31007	523	471	52
31008	327	275	52
31009	387	328	59
31010	423	372	51
31011	305	252	53
31012	322	240	82
31013	401	342	59
31014	348	288	60
31015	376	299	77
31016	429	385	44
31017	347	279	68
31018	344	303	41
31019	335	274	61
31020	322	259	63
31021	327	274	53
31022	321	285	36
31023	395	329	66
31024	374	326	48
31025	362	287	75
31026	366	304	62
31027	425	345	80
31028	325	267	58
31029	352	298	54
31030	293	257	36
31031	316	238	78
31032	298	249	49
31033	346	283	63
31034	377	310	67
31035	441	376	65
31036	385	323	62
31037	355	299	56
31038	335	293	42
31039	402	359	43
31040	409	355	54
31041	335	287	48
32001	839	681	158
32002	750	581	169
32003	691	602	89
32004	619	500	119
32005	705	590	115
32006	777	653	124
32007	764	607	157
32008	863	635	228
32009	692	557	135
32010	782	581	201
32011	576	519	57
32012	452	420	32
32013	788	569	219
32014	699	626	73
32015	640	496	144
32016	652	537	115
32017	626	561	65
32018	674	467	207
32019	648	521	127
32020	603	553	50
32021	672	536	136
32022	787	713	74
32023	710	544	166
32024	600	403	197
32025	665	533	132
32026	671	602	69
32027	736	515	221
32028	654	592	62
32029	709	602	107
32030	709	509	200
32031	737	551	186
32032	779	630	149
32033	657	501	156
32034	751	625	126
32035	664	509	155
32036	727	578	149
32037	790	630	160
32038	695	522	173
32039	783	535	248
32040	693	532	161
32041	736	548	188
32042	661	495	166
32043	577	509	68
33001	692	614	78
33002	875	723	152
33003	914	801	113
33004	897	764	133
33005	668	562	106
33006	601	527	74
33007	688	601	87
33008	822	706	116
33009	746	622	124
33010	589	485	104
33011	684	577	107
33012	697	598	99
33013	646	560	86
33014	330	287	43
33015	711	630	81
33016	955	811	144
33017	716	603	113
33018	976	849	127
33019	831	690	141
33020	838	754	84
33021	708	622	86
33022	646	527	119
33023	738	630	108
33024	807	686	121
33025	811	683	128
33026	519	468	51
33027	800	676	124
33028	607	551	56
34001	452	439	13
34002	370	349	21
34003	421	403	18
34004	322	306	16
34005	375	359	16
34006	477	452	25
34007	455	432	23
34008	361	346	15
34009	297	276	21
34010	432	414	18
34011	367	342	25
34012	452	427	25
34013	424	402	22
34014	336	311	25
34015	400	373	27
34016	370	356	14
34017	516	494	22
34018	288	272	16
34019	464	440	24
34020	460	437	23
34021	471	451	20
34022	424	408	16
34023	347	335	12
34024	363	345	18
34025	632	607	25
34026	481	463	18
34027	345	329	16
34028	271	251	20
34029	349	338	11
34030	403	383	20
34031	340	319	21
34032	416	394	22
34033	346	323	23
34034	485	466	19
34035	516	488	28
34036	369	350	19
34037	240	224	16
34038	210	195	15
34039	311	291	20
34040	460	447	13
34041	252	239	13
34042	399	383	16
34043	379	362	17
34044	389	380	9
34045	424	412	12
34046	286	276	10
34047	389	374	15
34048	429	411	18
34049	393	377	16
34050	337	319	18
34051	449	423	26
34052	320	301	19
34053	284	263	21
35001	608	543	65
35002	588	520	68
35003	528	468	60
35004	586	483	103
35005	500	455	45
35006	602	543	59
35007	593	547	46
35008	580	530	50
35009	527	436	91
35010	664	620	44
35011	661	586	75
35012	431	369	62
35013	415	378	37
35014	459	407	52
35015	689	624	65
35016	342	304	38
35017	589	548	41
35018	387	338	49
35019	371	319	52
35020	583	508	75
35021	582	542	40
35022	681	596	85
35023	599	505	94
35024	521	463	58
35025	586	520	66
35026	497	425	72
35027	541	467	74
35028	560	504	56
35029	565	473	92
35030	557	475	82
35031	615	507	108
36001	493	389	104
36002	475	417	58
36003	432	347	85
36004	529	454	75
36005	427	369	58
36006	459	373	86
36007	560	357	203
36008	413	357	56
36009	463	385	78
36010	645	485	160
36011	353	303	50
36012	332	288	44
36013	367	326	41
36014	537	396	141
36015	518	363	155
36016	509	381	128
36017	617	467	150
36018	537	388	149
36019	622	501	121
36020	570	413	157
36021	444	370	74
36022	445	390	55
36023	451	385	66
36024	591	437	154
36025	508	442	66
36026	508	315	193
36027	442	343	99
36028	514	346	168
36029	543	384	159
36030	480	359	121
37001	338	311	27
37002	356	330	26
37003	280	256	24
37004	323	294	29
37005	399	371	28
37006	409	388	21
37007	321	292	29
37008	297	278	19
37009	389	362	27
37010	497	459	38
37011	258	239	19
37012	384	360	24
37013	289	269	20
37014	425	395	30
37015	422	397	25
37016	461	426	35
37017	296	271	25
37018	349	313	36
37019	304	288	16
37020	357	340	17
37021	352	326	26
37022	367	331	36
37023	378	357	21
37024	395	375	20
37025	346	319	27
37026	531	484	47
37027	362	341	21
37028	364	333	31
37029	372	341	31
37030	382	358	24
37031	455	412	43
37032	345	316	29
37033	416	387	29
37034	336	315	21
37035	382	362	20
37036	387	364	23
37037	431	405	26
37038	422	394	28
37039	359	333	26
37040	402	376	26
37041	394	363	31
38001	489	370	119
38002	549	213	336
38003	563	324	239
38004	518	283	235
38005	552	333	219
38006	560	304	256
38007	523	281	242
38008	525	305	220
38009	621	330	291
38010	479	289	190
38011	470	313	157
38012	541	228	313
38013	619	335	284
38014	560	362	198
38015	516	359	157
38016	514	309	205
38017	643	293	350
38018	575	353	222
38019	615	361	254
38020	572	272	300
38021	528	361	167
38022	484	347	137
38023	549	378	171
38024	575	305	270
38025	509	308	201
38026	572	347	225
38027	560	314	246
38028	669	323	346
38029	579	360	219
38030	554	299	255
38031	516	379	137
38032	517	348	169
38033	546	385	161
