Precinct	total_votes	votes|Sophia Olazaba (Warren)	votes|Will Guzzardi (Warren)	votes|Venu Gupta (Warren)	votes|Omar Aquino (Warren)	votes|Abby Witt (Warren)	votes|Emanuel ''Chris'' Welch (Biden)	votes|Claudia P. Rodriguez (Biden)	votes|Juan Jose Gonzalez (Biden)	votes|Angelica Alfaro (Biden)	votes|Alma Anaya (Sanders)	votes|Melissa Rubio (Sanders)	votes|Shana East (Sanders)	votes|Byron Sigcho-Lopez (Sanders)	votes|Colin Bird-Martinez (Sanders)	votes|Jesus Ayala, Jr. (Yang)	votes|Bridget Flynn (Yang)	votes|Melissa Strube (Yang)	votes|Peter Gariepy (Buttigieg)
29043	519	8	4	7	3	12	74	72	71	71	41	42	38	34	27	2	4	1	8
30001	1056	35	47	15	19	31	76	102	85	86	110	118	92	91	85	21	12	11	20
30002	785	14	7	5	28	5	58	74	60	63	100	104	76	75	74	14	7	6	15
30003	950	27	22	19	16	26	69	69	71	72	111	113	99	97	103	10	8	1	17
30004	871	14	27	10	20	14	66	77	63	60	111	106	93	95	83	12	6	3	11
30005	622	16	7	4	23	7	41	49	49	43	85	88	61	67	59	12	2	2	7
30006	754	28	12	9	21	16	52	59	69	57	89	96	75	70	65	16	7	7	6
30007	1017	25	43	22	14	21	59	70	61	58	138	137	115	110	104	10	4	7	19
30008	1348	28	20	22	22	21	56	66	61	56	209	210	181	186	171	13	8	9	9
30009	694	17	17	8	13	10	63	82	66	66	74	74	55	57	58	13	5	4	12
30010	728	21	7	7	23	10	65	76	71	67	82	80	57	61	62	14	6	6	13
30011	742	18	9	5	26	3	45	67	63	55	107	102	71	72	69	15	4	4	7
30012	701	13	7	7	21	7	46	56	50	46	92	104	71	80	75	12	2	7	5
30013	776	12	8	9	26	10	82	87	87	86	78	79	59	64	54	11	3	7	14
30014	557	12	10	6	29	7	47	63	62	55	62	59	37	41	41	14	4	4	4
30015	327	8	7	6	6	7	26	26	26	25	35	42	38	33	31	2	1	1	7
30016	395	8	6	3	17	4	28	34	34	29	58	50	38	42	35	2	2	2	3
30017	361	10	19	8	6	8	29	35	39	32	35	37	27	30	28	2	6	3	7
30018	1370	24	35	15	14	18	68	74	68	68	206	210	180	186	168	15	8	3	10
30019	817	14	11	6	17	7	50	57	61	56	120	121	84	90	87	21	3	9	3
30020	1040	18	41	10	16	14	80	89	87	75	123	119	109	105	99	8	11	8	28
30022	1544	30	20	17	18	24	51	61	63	54	250	250	225	213	218	18	8	6	18
30023	1096	30	43	19	28	20	40	43	45	44	166	164	140	139	134	14	7	7	13
30024	1604	26	25	17	21	25	56	62	56	57	265	266	235	233	224	9	6	10	11
30025	1514	45	39	21	24	33	57	67	61	56	232	236	206	205	188	14	7	8	15
30026	556	21	22	13	17	15	36	40	42	34	67	59	57	55	57	9	3	5	4
30027	662	12	24	7	14	11	52	61	52	52	82	80	62	71	63	4	1	4	10
30028	1213	47	31	31	30	39	86	97	82	79	143	135	119	115	114	22	14	15	14
30029	477	5	8	4	10	7	26	29	28	28	71	70	54	57	54	9	6	5	6
30030	341	3	1	4	9	1	22	29	25	22	49	48	39	41	35	5	3	3	2
30031	638	16	26	11	14	9	59	66	60	60	63	59	55	52	51	11	7	6	13
30032	950	28	22	21	21	25	78	83	82	80	98	100	89	88	84	9	9	10	23
31001	452	10	21	5	14	5	33	45	41	38	51	49	36	42	48	12	1	0	1
31002	435	7	25	4	12	5	36	40	34	32	52	51	42	42	36	7	2	3	5
31003	519	15	7	6	19	8	38	55	43	39	68	62	46	48	41	11	2	5	6
31004	905	37	34	25	34	30	26	37	30	28	127	128	119	112	113	4	4	7	10
31005	646	14	23	8	10	7	44	60	52	50	70	80	64	66	67	7	6	4	14
31006	355	11	14	4	11	10	20	28	21	21	46	54	38	36	34	2	1	1	3
31007	1240	30	42	21	24	24	57	79	68	60	179	178	153	140	154	8	2	5	16
31008	432	9	14	4	7	7	27	43	32	25	56	58	41	48	44	6	2	3	6
31009	527	12	12	6	17	7	32	34	31	30	79	75	54	57	61	6	5	5	4
31010	724	15	23	6	15	6	34	49	46	35	106	107	83	88	83	13	3	4	8
31011	444	7	15	5	12	3	36	41	39	37	50	52	44	45	42	3	5	1	7
31012	512	11	18	5	11	8	49	47	45	42	59	59	46	43	47	7	2	3	10
31013	604	17	23	6	10	8	32	37	43	31	87	92	64	66	67	8	6	3	4
31014	527	14	15	8	11	8	42	46	50	46	59	58	48	46	46	9	5	8	8
31015	560	9	8	3	19	8	42	51	43	42	66	66	54	59	58	10	5	6	11
31016	1091	22	27	15	13	11	49	54	48	47	164	159	150	151	149	9	3	6	14
31017	475	11	17	8	14	13	29	38	31	29	62	60	48	49	54	6	2	1	3
31018	521	8	17	4	8	9	47	61	59	49	56	58	46	44	44	9	0	1	1
31019	569	8	12	6	11	9	35	39	37	34	85	81	62	65	65	8	4	4	4
31020	436	7	14	0	18	6	26	30	34	29	52	63	48	42	41	11	5	4	6
31021	442	15	10	5	16	9	31	49	40	34	54	50	37	36	32	12	3	1	8
31022	399	15	11	7	20	11	19	25	23	16	55	52	40	44	35	12	5	5	4
31023	599	15	20	2	9	4	38	40	34	34	81	84	68	70	71	7	4	8	10
31024	631	17	23	6	14	9	37	49	46	38	82	86	67	66	67	11	4	5	4
31025	605	16	7	4	17	7	39	45	42	40	91	84	68	67	68	3	2	1	4
31026	648	14	41	10	18	9	38	43	42	43	81	79	63	63	69	15	7	9	4
31027	584	11	21	3	14	6	35	46	44	35	76	87	64	65	64	8	1	2	2
31028	437	11	15	6	10	8	31	36	36	32	59	56	43	41	38	8	2	1	4
31029	452	9	13	7	7	11	31	40	38	31	53	57	44	46	46	6	2	4	7
31030	446	3	18	4	11	6	25	35	28	28	62	61	46	52	52	7	0	1	7
31031	442	16	8	6	14	8	31	38	36	30	52	50	42	48	42	5	3	4	9
31032	391	10	17	3	9	7	20	19	22	19	55	55	44	44	45	7	3	7	5
31033	548	14	14	4	8	12	50	59	51	51	57	63	44	45	47	10	7	5	7
31034	695	19	23	9	15	13	47	59	55	49	86	89	65	64	65	15	8	3	11
31035	668	20	23	9	13	14	44	48	43	41	93	86	69	66	73	13	2	5	6
31036	601	12	23	5	8	8	45	57	51	44	72	77	59	65	62	4	1	2	6
31037	549	12	19	4	12	7	43	54	48	46	57	69	47	55	52	10	1	6	7
31038	404	10	12	4	6	5	27	36	37	28	48	48	38	41	40	12	3	1	8
31039	727	21	18	8	13	6	29	33	29	26	114	116	103	88	98	10	5	3	7
31040	735	17	27	9	16	10	29	38	38	33	107	114	93	90	92	7	3	4	8
31041	459	9	18	5	10	7	22	29	29	28	63	65	50	52	56	5	2	2	7
32001	23	0	0	0	0	1	1	1	2	1	3	5	3	3	3	0	0	0	0
32003	1711	53	59	31	32	36	118	134	118	126	208	204	187	179	159	13	10	5	39
32011	1411	42	67	29	29	39	71	81	76	72	189	184	168	169	155	10	5	4	21
32012	1187	21	37	18	19	12	55	56	56	52	179	177	165	164	150	3	6	5	12
32014	1553	41	51	26	30	39	80	101	86	87	206	212	191	182	172	9	10	8	22
32016	72	2	1	1	2	2	8	7	8	6	8	6	6	6	4	2	0	0	3
32017	1717	49	31	28	17	29	87	92	91	86	240	243	231	220	216	12	10	8	27
32020	1636	54	55	29	31	36	70	84	81	78	225	227	214	198	187	13	11	16	27
32022	1757	54	56	37	39	45	96	97	91	91	234	237	219	202	199	11	11	7	31
32026	1716	47	57	24	26	35	125	136	129	124	211	202	190	182	172	10	10	10	26
32028	1620	44	57	34	35	40	105	112	104	100	196	202	189	181	167	13	7	7	27
32043	1532	56	47	33	30	43	107	113	107	104	185	176	169	163	149	5	6	4	35
33001	1636	44	27	25	32	36	92	110	98	98	226	226	191	188	183	19	10	10	21
33003	2138	77	35	40	41	52	134	143	134	136	274	278	249	238	228	16	7	8	48
33004	2062	41	24	22	31	31	132	151	132	133	279	286	238	234	225	32	15	11	45
33006	1257	35	20	13	24	19	84	91	88	81	163	170	144	147	137	15	8	5	13
33007	552	16	7	12	6	7	31	36	30	28	77	76	67	67	65	9	4	3	11
33008	893	37	26	24	21	36	55	66	54	56	105	102	102	92	85	6	6	5	15
33009	1569	37	26	20	29	39	122	144	127	127	174	176	157	154	152	18	19	14	34
33010	1174	28	19	17	20	28	105	128	116	106	117	116	108	108	103	14	7	5	29
33011	1442	33	23	23	26	29	99	110	96	98	175	180	170	164	156	16	8	7	29
33012	1281	27	16	14	20	24	93	99	95	88	167	166	144	141	138	13	11	6	19
33013	1423	26	21	17	20	20	59	76	64	69	217	211	198	198	188	9	5	7	18
33014	661	14	13	7	6	6	38	43	39	34	94	94	86	85	79	5	2	5	11
33015	1425	41	32	31	34	36	77	95	84	89	186	195	167	156	154	16	7	5	20
33016	1900	54	26	32	36	41	137	157	140	136	238	237	203	203	189	20	10	16	25
33017	1510	43	23	24	26	52	94	119	110	110	187	185	170	161	151	16	7	6	26
33019	826	18	11	9	15	14	52	68	60	55	105	104	91	92	89	10	9	4	20
