Precinct	total_votes	votes|Bobby L. Rush	votes|Ameena Nuur Matthews	votes|Sarah Gad	votes|Robert Emmons, Jr.
Orland 19	120	51	20	24	25
Orland 21	219	78	33	52	56
Orland 24	159	59	34	43	23
Orland 25	276	139	40	55	42
Orland 27	130	68	23	24	15
Orland 28	110	50	12	29	19
Orland 30	105	47	22	22	14
Orland 31	120	55	24	26	15
Orland 32	121	44	30	31	16
Orland 33	149	73	17	32	27
Orland 34	187	85	27	46	29
Orland 35	198	98	18	45	37
Orland 37	188	86	33	38	31
Orland 38	86	35	20	22	9
Orland 40	200	86	27	61	26
Orland 46	129	70	13	31	15
Orland 48	170	62	26	41	41
Orland 50	81	42	7	19	13
Orland 52	166	65	17	43	41
Orland 54	279	121	37	66	55
Orland 55	145	64	13	47	21
Orland 62	222	79	54	56	33
Orland 67	145	68	17	41	19
Orland 69	125	70	21	19	15
Orland 72	166	84	16	41	25
Orland 73	248	115	21	72	40
Palos 1	113	52	25	20	16
Palos 9	75	28	9	18	20
Palos 33	247	95	26	65	61
Rich 7	317	241	23	27	26
Rich 20	369	194	33	80	62
Thornton 31	68	51	3	9	5
Thornton 49	8	6	1	0	1
Thornton 97	100	74	8	12	6
Worth 7	175	68	18	51	38
Worth 8	276	190	29	37	20
Worth 9	120	61	10	32	17
Worth 10	332	183	34	70	45
Worth 12	146	81	23	26	16
Worth 13	290	183	19	53	35
Worth 14	269	168	29	34	38
Worth 15	172	121	11	25	15
Worth 16	239	120	27	64	28
Worth 17	286	191	22	47	26
Worth 18	153	58	21	43	31
Worth 19	251	147	29	45	30
Worth 20	49	30	5	6	8
Worth 23	191	102	18	44	27
Worth 24	125	76	11	18	20
Worth 29	227	173	10	19	25
Worth 31	370	219	41	65	45
Worth 32	198	93	19	53	33
Worth 34	214	138	26	32	18
Worth 37	193	146	18	17	12
Worth 38	357	220	32	56	49
Worth 39	265	128	26	70	41
Worth 42	160	82	18	42	18
Worth 43	168	150	6	2	10
Worth 45	215	114	19	55	27
Worth 50	216	134	16	42	24
Worth 52	164	77	21	44	22
Worth 54	284	168	25	61	30
Worth 55	129	70	9	34	16
Worth 57	316	174	33	74	35
Worth 59	417	333	24	33	27
Worth 64	283	122	30	87	44
Worth 65	288	105	35	88	60
Worth 68	236	163	19	31	23
Worth 69	350	211	42	60	37
Worth 72	302	172	26	55	49
Worth 73	169	104	18	24	23
Worth 79	100	46	8	27	19
Worth 80	321	225	23	36	37
Worth 81	78	39	9	19	11
Worth 87	164	74	25	38	27
Worth 88	139	83	14	29	13
Worth 89	253	126	20	56	51
Worth 95	239	112	36	55	36
Worth 96	332	229	22	44	37
Worth 97	235	186	13	20	16
