Precinct	total_votes	votes|Brandon Johnson (Warren)	votes|Jamie Brown (Warren)	votes|Frederick ''Fritz'' Kaegi (Warren)	votes|Mony Ruiz Velasco (Warren)	votes|Marlon D. Harris (Warren)	votes|Harlene Ellin (Warren)	votes|Mihir Garud (Warren)	votes|Benetta Mansfield (Warren)	votes|Mary Ann Abbott (Yang)	votes|David Hernandez (Yang)	votes|Elizabeth Henricks (Yang)	votes|Steven Dyme (Yang)	votes|Yvonne O'Connor (Yang)	votes|Peter Wojda IV (Yang)	votes|Rudyard ''Rudy'' Urian (Yang)	votes|Marty Castro (Buttigieg)	votes|Eric Davis (Buttigieg)	votes|Thomas Gary (Buttigieg)	votes|Marla Izbicky (Buttigieg)	votes|Amalia Mahoney (Buttigieg)	votes|Cristal Thomas Gary (Buttigieg)	votes|Melissa Conyears-Ervin (Biden)	votes|Pat Quinn (Biden)	votes|Emma M. Mitts (Biden)	votes|Brendan Reilly (Biden)	votes|Patricia Dowell (Biden)	votes|Rory Hoskins (Biden)	votes|Barbara McGowan (Biden)	votes|Marcelino Garcia (Biden)	votes|Claudia Moreno-Nunez (Sanders)	votes|Julie Lehrman (Sanders)	votes|Martese Luzette Chism (Sanders)	votes|Ojus Khanolkar (Sanders)	votes|Dominique Coronel (Sanders)	votes|Miguel Bautista (Sanders)	votes|Ronald Lawless (Sanders)	votes|Tim Thomas (Sanders)	votes|Barton Moy (Klobuchar)	votes|Gail M. Silver (Klobuchar)	votes|Joan L. Long (Klobuchar)	votes|Addison Woodward (Klobuchar)	votes|Ann Henstrand (Klobuchar)	votes|Jennifer Vincent (Klobuchar)	votes|Markayle Tolliver (Klobuchar)	votes|Thomas A. (Tom) Ciavarella (Klobuchar)
04011	920	18	9	6	3	12	6	3	4	8	5	8	3	4	2	2	3	6	2	1	0	3	58	85	82	78	91	80	83	76	28	24	18	15	24	22	19	18	2	0	1	0	2	3	1	2
04013	2897	28	28	25	22	20	29	23	28	10	7	7	3	6	6	5	23	16	12	21	21	15	137	152	163	151	168	149	155	153	183	173	157	158	162	158	149	141	3	10	3	4	4	6	3	0
04014	331	3	4	1	1	3	1	1	3	1	2	1	4	3	2	4	0	0	0	0	1	0	22	25	26	26	29	25	27	24	11	12	10	10	11	12	12	12	1	0	0	1	0	0	0	0
04015	858	10	7	4	5	9	7	5	6	9	2	3	0	2	2	1	3	3	2	2	2	4	59	63	74	69	74	70	70	67	33	31	29	27	28	27	25	22	1	0	0	0	0	0	0	1
04016	3681	38	45	31	34	29	32	31	34	19	11	15	7	14	5	7	15	8	8	12	12	9	209	213	240	226	247	225	237	229	189	191	177	171	180	173	163	158	9	8	3	3	3	5	3	3
04017	2935	42	40	41	48	39	36	38	35	13	14	11	11	14	7	8	6	7	8	13	8	4	135	149	172	164	175	164	172	169	162	156	147	142	142	142	133	130	5	9	6	5	7	4	1	1
04020	2305	32	29	25	21	15	24	22	24	10	9	6	3	9	4	3	12	14	10	13	18	12	126	143	159	155	159	148	155	147	102	96	90	97	100	96	89	81	8	8	7	3	8	6	4	3
04021	2819	29	31	30	23	24	26	26	26	10	9	6	7	7	5	2	13	10	10	10	12	7	107	130	136	135	134	129	135	129	192	183	179	177	181	181	167	165	4	6	5	4	4	4	3	6
04022	32	1	2	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	2	1	2	2	3	1	3	2	1	1	0	0	0	1	0	0	0	0
04025	2887	30	23	22	24	16	21	25	16	10	14	11	9	10	8	10	12	14	13	16	13	13	179	200	223	217	221	205	212	199	123	106	106	106	107	105	97	90	11	15	6	7	6	8	3	5
04028	1406	30	28	11	11	22	14	9	10	6	11	11	3	3	4	6	1	4	0	5	1	1	77	92	111	105	110	100	104	99	58	47	51	51	53	50	44	42	3	3	3	2	3	3	3	1
04029	652	13	7	3	4	11	5	4	5	1	2	1	5	0	0	2	0	1	1	0	1	0	37	42	53	50	51	48	56	51	23	26	28	20	24	24	22	24	2	0	1	0	0	2	1	1
04030	358	8	5	2	2	4	3	2	2	3	2	2	1	2	1	2	2	1	0	0	0	0	17	22	30	31	32	28	30	27	13	11	9	12	14	11	12	11	0	1	0	1	1	1	0	0
04034	1954	26	27	23	24	22	25	19	25	8	4	4	4	4	3	2	3	10	2	5	3	5	114	131	159	154	167	148	157	151	75	66	63	57	69	67	56	55	1	4	1	3	4	1	2	1
04035	2491	38	30	23	15	27	11	11	18	10	9	5	2	5	1	2	7	5	6	5	2	2	158	190	225	209	235	211	221	210	85	79	79	65	72	70	64	71	1	1	3	1	1	4	1	1
04036	1298	17	17	15	7	19	11	9	14	8	6	5	1	2	2	3	0	3	2	2	0	1	72	79	103	93	98	90	102	92	59	55	48	50	52	53	51	47	1	1	3	3	0	2	0	0
04037	3973	51	47	45	44	38	43	38	44	14	14	16	10	14	10	9	21	20	17	18	15	13	205	228	240	235	242	222	239	219	206	197	187	186	198	191	178	169	16	22	11	8	10	8	8	7
06021	583	10	19	6	5	8	7	5	5	7	2	3	2	2	0	5	1	4	2	1	2	2	28	40	46	42	50	41	38	38	17	20	20	20	21	17	23	15	0	2	1	0	0	2	0	4
11002	108	5	5	0	1	2	1	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	5	10	8	9	8	7	5	5	5	4	4	4	4	4	2	3	0	1	1	0	0	0	0	1
11006	2450	26	24	16	17	14	17	12	16	8	13	5	4	5	3	3	10	10	7	7	6	5	115	129	148	138	147	139	144	139	148	145	137	134	136	139	127	123	5	7	4	3	4	4	3	4
11007	2143	21	17	14	18	15	16	17	19	17	15	8	5	7	4	4	3	7	1	2	3	3	68	76	96	85	98	86	99	90	174	149	147	151	152	156	140	142	2	2	4	1	1	4	3	1
11014	787	6	12	6	7	6	7	4	5	10	18	13	10	12	6	10	4	2	3	5	5	3	20	26	30	34	31	29	30	35	54	49	46	45	46	50	41	42	11	3	2	1	2	2	1	3
11030	928	9	7	11	5	8	7	5	5	16	13	10	11	10	8	11	3	3	3	3	0	0	34	48	47	51	46	44	44	50	58	53	49	46	55	49	45	47	8	0	3	1	0	0	0	2
11033	2302	26	21	24	27	20	18	19	17	11	23	11	8	12	6	6	19	6	8	9	10	7	109	126	149	141	149	131	137	143	114	95	100	100	105	115	97	91	10	12	14	9	13	12	9	13
11034	537	13	8	9	6	9	7	6	7	7	6	7	3	4	3	1	2	3	4	1	1	1	10	20	22	24	21	22	21	24	30	33	29	31	31	34	28	28	2	3	3	4	2	3	1	3
11035	381	11	8	8	6	5	8	6	8	7	7	9	5	6	5	4	2	0	0	1	0	0	7	9	34	38	35	34	34	33	10	6	5	6	5	8	4	3	0	0	2	0	0	1	0	1
11036	606	5	5	3	2	3	3	4	6	3	4	6	6	5	1	3	0	1	0	1	3	0	18	22	25	25	26	23	27	24	45	44	40	42	42	42	38	37	2	2	2	4	3	4	3	2
11037	427	6	4	3	3	1	3	2	2	5	3	4	3	7	4	3	1	3	1	1	1	0	10	20	28	23	26	22	24	21	27	27	20	21	21	23	19	18	4	1	0	3	2	3	2	2
12010	236	4	4	5	6	4	5	5	5	1	5	1	0	3	0	0	4	2	0	1	1	0	5	6	7	5	7	4	5	6	20	18	15	14	14	21	15	16	0	0	0	0	0	1	1	0
12015	417	2	6	4	7	4	2	0	1	4	4	3	1	4	1	2	3	4	2	4	1	3	10	13	21	15	16	13	16	18	34	27	28	29	30	30	25	25	1	0	2	0	0	1	0	1
12018	567	7	5	2	9	3	3	2	3	2	6	1	1	0	0	0	1	0	0	0	2	0	5	7	7	5	8	7	6	11	62	57	55	56	56	61	53	52	1	2	1	2	1	3	1	1
15002	746	17	10	5	5	10	8	7	11	4	7	2	3	2	5	4	0	2	1	1	0	1	39	50	58	58	56	52	60	47	28	26	22	22	29	30	27	30	0	1	1	2	1	0	1	1
15003	834	13	8	2	5	9	4	4	7	5	6	2	2	5	1	2	0	5	4	0	2	1	46	60	79	70	77	74	73	74	33	25	19	20	26	25	22	18	0	2	0	0	1	1	1	1
15007	663	12	9	5	5	9	7	3	6	5	3	8	2	1	1	2	1	5	0	0	0	4	43	50	63	57	55	50	48	43	19	16	20	20	23	19	17	17	1	3	1	2	2	3	1	2
15013	175	2	1	1	2	1	1	1	3	0	2	1	1	0	0	1	2	1	0	1	1	0	1	4	1	1	4	1	1	7	21	15	16	13	15	20	15	13	0	2	0	0	0	1	0	2
15014	95	0	2	1	4	0	1	0	1	1	3	1	0	1	0	1	2	0	1	0	0	1	1	1	1	0	0	0	0	4	12	9	8	7	7	10	7	7	1	0	0	0	0	0	0	0
15016	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	2	0	0	0	0	0	0	0	0
15017	825	26	15	8	8	14	11	11	5	10	2	10	4	5	3	1	2	5	2	0	4	1	46	62	81	67	65	60	69	64	26	26	12	19	23	18	17	14	0	0	2	1	1	2	2	1
15018	621	14	11	6	3	11	4	3	7	5	4	7	1	2	2	1	2	4	0	0	2	4	36	41	54	45	50	46	43	37	24	28	22	18	20	18	19	18	0	3	2	0	1	2	0	1
15020	794	14	12	8	8	10	11	6	9	4	5	6	3	1	0	2	0	3	4	0	0	2	59	60	66	64	65	65	68	55	23	22	24	23	24	20	19	24	1	2	0	0	1	1	0	0
15021	723	18	16	9	6	13	8	6	4	6	1	2	4	7	1	2	1	2	2	3	0	0	58	54	69	61	64	57	60	55	19	19	11	9	17	17	11	10	1	4	4	3	1	3	2	3
15022	733	14	8	5	9	11	8	7	9	5	4	8	2	7	2	1	2	6	6	1	2	6	45	51	57	59	57	52	51	45	29	19	24	19	28	16	19	21	3	0	7	1	2	0	2	3
15023	756	19	9	6	5	7	8	7	5	9	8	6	5	4	4	3	1	4	3	4	4	3	49	53	68	63	64	56	61	49	23	20	19	18	21	20	17	16	2	0	4	0	2	3	2	2
15024	622	9	12	6	2	3	2	4	6	5	3	3	0	7	2	1	0	2	2	3	1	3	34	47	57	45	58	51	47	42	20	20	14	17	18	16	21	18	2	2	2	3	2	6	2	2
16002	1060	18	16	10	14	17	10	16	9	10	8	8	1	6	2	4	4	5	1	5	3	4	39	56	72	62	68	61	66	57	67	57	48	42	56	46	41	41	1	1	1	1	0	3	3	0
16003	809	17	16	7	4	10	2	5	12	8	9	5	3	2	2	1	2	4	0	0	1	1	33	51	70	67	72	68	69	71	26	27	20	17	29	25	22	19	2	2	1	1	1	3	0	2
16004	920	15	15	10	5	5	7	3	9	7	5	2	7	3	1	1	3	5	3	2	1	2	49	59	77	71	74	69	73	68	41	31	34	29	37	33	29	26	1	2	0	3	2	1	0	0
16005	673	18	11	14	5	11	12	4	9	6	6	3	6	4	2	3	4	2	4	0	2	2	25	50	46	45	47	44	45	40	27	26	22	24	23	19	24	23	0	2	1	3	0	5	2	2
16006	1020	16	18	9	7	12	7	5	5	4	5	2	2	3	2	2	2	3	2	1	3	3	45	67	89	79	94	80	86	83	39	40	36	29	38	32	26	29	4	2	1	2	0	2	0	4
16007	892	10	11	13	10	9	9	7	7	5	4	7	2	0	1	0	1	0	2	0	1	0	38	49	70	63	65	62	66	62	48	42	38	37	40	42	33	32	1	3	1	1	0	0	0	0
16008	481	3	9	2	3	2	2	1	2	3	3	2	0	1	0	2	2	1	3	0	1	1	21	33	38	35	36	32	36	35	24	22	21	17	24	22	22	19	0	0	0	0	0	1	0	0
