Precinct	total_votes	votes|Kim Foxx	votes|Bill Conway	votes|Donna More	votes|Bob Fioretti
10025	59	39	18	0	2
10026	144	49	57	22	16
10027	168	117	30	14	7
10028	232	76	107	32	17
10029	206	55	97	34	20
10030	178	55	84	30	9
10031	145	44	66	21	14
10032	188	58	83	30	17
10033	150	46	73	23	8
10034	129	69	38	13	9
10035	213	48	112	25	28
10036	52	36	11	4	1
11001	307	107	127	34	39
11002	18	12	5	1	0
11003	277	145	75	29	28
11004	209	59	94	33	23
11005	386	196	90	59	41
11006	348	166	112	58	12
11007	295	158	60	61	16
11008	245	78	106	40	21
11009	257	85	118	38	16
11010	253	71	126	36	20
11011	261	97	114	31	19
11012	383	49	272	36	26
11013	329	47	227	28	27
11014	144	33	78	18	15
11015	106	36	43	13	14
11016	188	36	101	29	22
11017	395	163	149	51	32
11018	241	62	132	27	20
11019	365	175	111	45	34
11020	199	41	119	14	25
11021	403	92	244	31	36
11022	351	120	154	39	38
11023	194	38	124	14	18
11024	406	64	271	37	34
11025	349	121	162	36	30
11026	328	89	167	42	30
11027	96	30	38	15	13
11028	106	21	67	6	12
11029	329	58	209	30	32
11030	143	29	83	14	17
11031	284	54	188	21	21
11032	132	25	76	10	21
11033	315	143	120	31	21
11034	100	34	50	7	9
11035	66	17	36	5	8
11036	97	33	41	15	8
11037	81	47	27	4	3
11038	137	63	43	23	8
12001	281	101	115	42	23
12002	203	67	106	17	13
12003	371	152	147	50	22
12004	293	121	103	43	26
12005	235	60	118	26	31
12006	267	94	114	33	26
12007	241	108	88	34	11
12008	286	83	148	30	25
12009	222	60	107	38	17
12010	302	139	97	46	20
12011	241	73	108	43	17
12012	232	63	122	23	24
12013	230	74	107	33	16
12014	202	87	82	24	9
12015	213	84	100	22	7
12016	182	65	79	26	12
12017	249	76	128	26	19
12018	171	79	59	24	9
12019	238	91	106	20	21
12020	251	92	114	30	15
12021	229	87	97	30	15
12022	245	108	87	37	13
12023	291	93	134	40	24
13001	195	25	116	22	32
13002	191	22	134	18	17
13003	181	58	83	28	12
13004	211	22	141	26	22
13005	243	74	123	28	18
13006	251	42	155	13	41
13007	155	34	83	29	9
13008	162	35	96	15	16
13009	207	53	100	39	15
13010	220	17	155	19	29
13011	264	53	165	33	13
13012	194	57	94	28	15
13013	222	58	111	35	18
13014	200	49	95	36	20
13015	314	99	148	45	22
13016	145	41	74	18	12
13017	179	26	122	19	12
13018	175	22	118	18	17
13019	269	94	108	42	25
13020	146	19	92	19	16
13021	242	23	171	12	36
13022	224	31	142	26	25
13023	144	38	75	19	12
13024	187	45	110	24	8
13025	216	59	104	33	20
13026	191	43	108	19	21
13027	203	42	119	23	19
13028	168	52	91	17	8
13029	170	36	100	18	16
13030	179	57	82	23	17
13031	218	27	147	21	23
13032	202	16	148	19	19
13033	221	25	144	23	29
13034	254	68	135	35	16
13035	223	49	111	44	19
13036	139	25	77	24	13
13037	220	87	100	17	16
13038	214	26	144	26	18
13039	193	45	98	27	23
13040	190	38	119	15	18
13041	252	71	114	50	17
13042	244	35	169	27	13
13043	212	55	106	32	19
13044	200	54	96	29	21
13045	247	51	141	29	26
13046	230	52	117	35	26
13047	235	67	104	37	27
13048	184	29	123	18	14
14001	276	21	214	18	23
14002	293	92	137	40	24
14003	181	63	78	24	16
14004	226	32	155	18	21
14005	281	107	118	38	18
14006	108	34	52	18	4
14007	269	87	117	47	18
14008	235	85	89	40	21
14009	303	56	188	33	26
14010	151	60	65	13	13
14011	121	32	60	21	8
14012	200	60	80	43	17
14013	200	59	93	32	16
14014	221	71	103	29	18
14015	232	74	98	46	14
14016	176	58	81	21	16
14017	202	86	76	31	9
14018	107	32	56	8	11
14019	160	42	78	30	10
14020	158	45	80	18	15
14021	158	68	58	23	9
14022	289	77	134	51	27
14023	177	48	91	25	13
14024	289	42	186	36	25
14025	123	41	57	19	6
14026	177	57	82	29	9
14027	234	81	105	33	15
14028	164	58	76	25	5
14029	181	66	83	27	5
14030	126	54	45	16	11
14031	133	47	54	24	8
15001	193	59	83	31	20
15002	122	102	15	2	3
15003	146	124	12	5	5
15004	202	60	102	25	15
15005	163	54	75	25	9
15006	193	54	90	37	12
15007	128	107	15	4	2
15008	196	56	103	26	11
15009	253	80	117	36	20
15010	266	72	129	42	23
15011	220	71	97	40	12
15012	238	81	112	28	17
15013	205	71	92	29	13
15014	175	71	58	35	11
15015	167	65	70	24	8
15016	232	91	97	33	11
15017	152	122	19	8	3
15018	115	94	12	4	5
15019	194	89	74	19	12
15020	142	123	14	4	1
15021	142	119	13	7	3
15022	144	115	17	9	3
15023	144	111	25	6	2
15024	119	100	9	6	4
16001	187	60	83	34	10
16002	177	137	26	9	5
16003	134	114	10	9	1
16004	157	127	11	12	7
16005	111	94	11	5	1
16006	170	142	16	7	5
16007	161	122	17	15	7
16008	97	72	20	2	3
16009	156	130	17	3	6
16010	144	123	12	3	6
16011	152	110	27	8	7
16012	135	96	24	10	5
16013	146	70	49	21	6
