Precinct	total_votes	votes|Robin Kelly	votes|Marcus Lewis
34037	119	99	20
34038	91	74	17
34039	142	121	21
34041	108	87	21
34053	128	112	16
Bloom 1	341	312	29
Bloom 2	262	233	29
Bloom 3	176	152	24
Bloom 4	180	152	28
Bloom 5	141	109	32
Bloom 6	84	70	14
Bloom 7	228	185	43
Bloom 8	161	122	39
Bloom 9	166	139	27
Bloom 10	81	73	8
Bloom 11	123	95	28
Bloom 12	243	212	31
Bloom 13	462	412	50
Bloom 14	319	262	57
Bloom 15	151	121	30
Bloom 16	256	221	35
Bloom 17	206	185	21
Bloom 18	207	164	43
Bloom 19	299	264	35
Bloom 20	252	231	21
Bloom 21	44	39	5
Bloom 22	161	132	29
Bloom 23	191	152	39
Bloom 24	376	308	68
Bloom 25	132	112	20
Bloom 26	118	91	27
Bloom 27	195	151	44
Bloom 28	207	174	33
Bloom 29	100	82	18
Bloom 30	409	359	50
Bloom 31	201	165	36
Bloom 32	169	133	36
Bloom 33	288	251	37
Bloom 34	176	155	21
Bloom 35	104	87	17
Bloom 36	411	352	59
Bloom 37	206	175	31
Bloom 38	708	627	81
Bloom 39	158	135	23
Bloom 40	215	189	26
Bloom 41	398	327	71
Bloom 42	282	257	25
Bloom 43	302	268	34
Bloom 44	256	211	45
Bloom 45	431	368	63
Bloom 46	100	87	13
Bloom 47	333	286	47
Bloom 48	216	187	29
Bloom 49	347	309	38
Bloom 50	266	250	16
Bloom 51	113	98	15
Bloom 52	179	154	25
Bloom 53	100	83	17
Bloom 54	198	163	35
Bloom 55	188	144	44
Bloom 56	180	160	20
Bloom 57	208	172	36
Bloom 58	209	186	23
Bloom 59	182	166	16
Bloom 60	244	217	27
Bloom 61	153	126	27
Bremen 3	1	1	0
Bremen 7	150	128	22
Bremen 8	177	152	25
Bremen 26	290	268	22
Bremen 29	403	342	61
Bremen 31	223	189	34
Bremen 32	248	227	21
Bremen 35	158	140	18
Bremen 38	178	158	20
Bremen 39	136	117	19
Bremen 40	334	280	54
Bremen 44	218	179	39
Bremen 45	46	37	9
Bremen 47	221	196	25
Bremen 48	218	181	37
Bremen 49	289	253	36
Bremen 51	333	289	44
Bremen 56	288	234	54
Bremen 63	293	264	29
Bremen 66	265	249	16
Bremen 70	180	153	27
Bremen 71	202	186	16
Bremen 75	321	282	39
Bremen 78	235	214	21
Bremen 80	275	243	32
Calumet 4	196	152	44
Rich 1	1,215	1,104	111
Rich 2	371	337	34
Rich 3	541	487	54
Rich 4	227	205	22
Rich 5	496	450	46
Rich 6	496	454	42
Rich 8	340	301	39
Rich 9	451	406	45
Rich 10	256	227	29
Rich 11	263	229	34
Rich 12	367	319	48
Rich 13	127	113	14
Rich 14	229	200	29
Rich 15	633	583	50
Rich 16	187	164	23
Rich 17	219	199	20
Rich 18	353	314	39
Rich 19	147	129	18
Rich 21	373	322	51
Rich 22	274	233	41
Rich 23	476	424	52
Rich 24	354	323	31
Rich 25	484	447	37
Rich 26	385	339	46
Rich 27	377	339	38
Rich 28	315	289	26
Rich 29	333	297	36
Rich 30	479	430	49
Rich 31	252	228	24
Rich 32	429	394	35
Rich 33	244	214	30
Rich 34	343	296	47
Rich 35	321	297	24
Rich 36	886	783	103
Rich 37	301	270	31
Rich 38	288	260	28
Rich 39	372	346	26
Rich 40	329	296	33
Rich 41	259	239	20
Rich 42	319	286	33
Rich 43	246	222	24
Rich 44	276	250	26
Rich 45	485	435	50
Rich 46	491	448	43
Rich 47	554	504	50
Rich 48	375	338	37
Rich 49	271	229	42
Rich 50	101	79	22
Rich 51	286	249	37
Thornton 1	159	133	26
Thornton 2	102	85	17
Thornton 3	220	174	46
Thornton 4	304	275	29
Thornton 5	160	124	36
Thornton 6	367	307	60
Thornton 7	297	247	50
Thornton 8	235	196	39
Thornton 9	174	155	19
Thornton 10	215	171	44
Thornton 11	128	109	19
Thornton 12	183	145	38
Thornton 13	222	169	53
Thornton 14	244	199	45
Thornton 15	217	183	34
Thornton 16	189	152	37
Thornton 17	260	214	46
Thornton 18	242	195	47
Thornton 19	262	218	44
Thornton 20	135	111	24
Thornton 21	400	350	50
Thornton 22	218	186	32
Thornton 23	254	228	26
Thornton 24	313	280	33
Thornton 25	245	212	33
Thornton 26	205	175	30
Thornton 27	402	350	52
Thornton 28	176	152	24
Thornton 29	136	117	19
Thornton 30	136	119	17
Thornton 32	179	139	40
Thornton 33	242	210	32
Thornton 34	171	153	18
Thornton 35	414	342	72
Thornton 36	116	102	14
Thornton 37	247	202	45
Thornton 38	323	258	65
Thornton 39	178	157	21
Thornton 40	175	142	33
Thornton 41	148	122	26
Thornton 42	179	153	26
Thornton 43	176	141	35
Thornton 44	148	124	24
Thornton 45	256	214	42
Thornton 46	276	229	47
Thornton 47	154	126	28
Thornton 48	232	194	38
Thornton 49	95	81	14
Thornton 50	190	151	39
Thornton 51	153	118	35
Thornton 52	314	268	46
Thornton 53	165	140	25
Thornton 54	400	352	48
Thornton 55	185	162	23
Thornton 56	165	126	39
Thornton 57	136	112	24
Thornton 58	263	218	45
Thornton 59	174	151	23
Thornton 60	152	129	23
Thornton 61	132	96	36
Thornton 62	79	60	19
Thornton 63	134	112	22
Thornton 64	288	249	39
Thornton 65	265	213	52
Thornton 66	432	380	52
Thornton 67	296	252	44
Thornton 68	214	173	41
Thornton 69	165	147	18
Thornton 70	124	106	18
Thornton 71	123	107	16
Thornton 72	250	207	43
Thornton 73	366	313	53
Thornton 74	253	210	43
Thornton 75	246	216	30
Thornton 76	319	266	53
Thornton 77	378	318	60
Thornton 78	290	243	47
Thornton 79	303	240	63
Thornton 80	279	246	33
Thornton 81	243	218	25
Thornton 82	157	121	36
Thornton 83	321	285	36
Thornton 84	356	301	55
Thornton 85	252	214	38
Thornton 86	223	188	35
Thornton 87	362	302	60
Thornton 88	285	238	47
Thornton 89	371	314	57
Thornton 90	297	255	42
Thornton 91	280	246	34
Thornton 92	298	260	38
Thornton 93	171	146	25
Thornton 94	305	261	44
Thornton 95	180	153	27
Thornton 96	194	157	37
Thornton 98	65	52	13
Thornton 99	174	142	32
Thornton 100	141	110	31
Thornton 101	187	166	21
Thornton 102	120	98	22
Thornton 103	138	116	22
Thornton 104	76	64	12
Thornton 105	228	197	31
Thornton 106	162	138	24
Thornton 107	428	375	53
Thornton 108	123	101	22
Thornton 109	148	123	25
Thornton 110	90	76	14
Thornton 111	184	149	35
Thornton 112	109	93	16
Thornton 113	127	103	24
Thornton 114	250	200	50
Thornton 115	287	250	37
Thornton 116	243	203	40
Thornton 117	291	249	42
Thornton 118	307	265	42
Thornton 119	214	184	30
Thornton 120	451	375	76
Thornton 121	198	172	26
Thornton 122	338	300	38
Thornton 123	175	155	20
