Precinct	total_votes	votes|Janice D. Schakowsky	votes|Sargis Sangari
Niles 57	1,008	647	361
Niles 58	968	681	287
Niles 59	1,241	833	408
Niles 60	1,112	763	349
Niles 61	1,164	795	369
Niles 62	538	383	155
Niles 63	984	722	262
Niles 64	1,062	763	299
Northfield 6	897	436	461
Northfield 7	1,093	685	408
Northfield 8	883	501	382
Northfield 9	604	345	259
Northfield 12	1,358	781	577
Northfield 14	713	466	247
Northfield 19	901	582	319
Northfield 20	855	563	292
Northfield 21	1,233	761	472
Northfield 23	640	306	334
Northfield 24	778	489	289
Northfield 30	865	566	299
Northfield 31	1,064	540	524
Northfield 35	905	459	446
Northfield 37	940	533	407
Northfield 42	724	412	312
Northfield 44	592	390	202
Northfield 45	1,051	679	372
Northfield 46	1,112	712	400
Northfield 52	729	461	268
Northfield 56	1,050	610	440
Norwood Park 3	843	517	326
Norwood Park 10	535	234	301
Norwood Park 11	1,040	592	448
Norwood Park 14	611	376	235
Wheeling 2	569	326	243
Wheeling 3	788	480	308
Wheeling 5	731	489	242
Wheeling 7	983	634	349
Wheeling 8	538	316	222
Wheeling 10	988	586	402
Wheeling 13	731	356	375
Wheeling 14	596	356	240
Wheeling 15	642	394	248
Wheeling 18	719	426	293
Wheeling 19	972	600	372
Wheeling 20	834	517	317
Wheeling 21	556	280	276
Wheeling 22	869	556	313
Wheeling 23	713	356	357
Wheeling 24	567	308	259
Wheeling 25	917	619	298
Wheeling 26	1,095	660	435
Wheeling 27	1,155	703	452
Wheeling 28	397	211	186
Wheeling 30	1,091	576	515
Wheeling 31	556	319	237
Wheeling 32	523	271	252
Wheeling 34	1,023	607	416
Wheeling 35	691	393	298
Wheeling 36	1,077	651	426
Wheeling 39	868	547	321
Wheeling 40	848	461	387
Wheeling 41	1,287	741	546
Wheeling 44	941	494	447
Wheeling 45	607	400	207
Wheeling 46	1,238	649	589
Wheeling 47	712	394	318
Wheeling 52	2	2	0
Wheeling 53	856	464	392
Wheeling 54	957	465	492
Wheeling 57	871	500	371
Wheeling 58	700	360	340
Wheeling 59	927	548	379
Wheeling 60	3	1	2
Wheeling 61	618	278	340
Wheeling 62	906	559	347
Wheeling 68	467	245	222
Wheeling 69	754	491	263
Wheeling 71	1,182	697	485
Wheeling 73	803	498	305
Wheeling 78	1,151	714	437
Wheeling 82	1,049	654	395
Wheeling 86	884	487	397
Wheeling 87	736	446	290
Wheeling 90	729	416	313
Wheeling 92	653	381	272
