Precinct	total_votes	votes|Colleen Patricia Burns (Clinton)	votes|Michael E. Hastings (Clinton)	votes|Clarisol Duque (Clinton)	votes|Jorge Ramirez (Clinton)	votes|Shirley Madigan (Clinton)	votes|Josephine Singler (O'Malley)	votes|Nancy Heskin Jados (O'Malley)	votes|Edward D. Maloney (O'Malley)	votes|David B. Maher (O'Malley)	votes|Matthew Lafond (O'Malley)	votes|Nathaniel Harris (Sanders)	votes|Rebecca Davies (Sanders)	votes|Daniel Buys (Sanders)	votes|Myriam Calvache (Sanders)	votes|Maureen Sullivan (Sanders)
19003	678	59	50	48	53	58	17	12	30	17	12	61	65	60	58	78
19004	1105	80	71	60	76	78	32	28	61	42	34	100	101	108	103	131
19005	494	57	50	47	49	49	10	5	15	8	7	40	37	35	39	46
19006	992	97	89	85	89	94	16	15	50	26	16	79	84	80	78	94
19007	1143	129	110	91	95	111	25	22	51	22	13	91	97	96	81	109
19008	1053	82	72	75	74	76	21	19	41	33	13	103	108	108	104	124
19009	820	93	77	79	84	87	24	16	39	25	20	54	56	48	46	72
19010	1525	164	140	142	152	150	21	14	22	11	12	145	143	130	130	149
19011	661	52	41	41	39	49	22	21	37	27	28	59	63	56	56	70
19012	785	59	51	47	50	55	17	12	35	28	19	77	76	87	74	98
19015	1122	82	79	73	77	84	28	20	35	21	16	119	127	112	110	139
19016	1072	83	73	60	70	87	34	27	63	42	37	88	100	90	87	131
19017	1014	78	66	65	75	80	24	20	46	20	11	101	109	98	101	120
19018	1314	121	108	102	117	113	22	8	21	11	9	139	137	126	132	148
19019	1836	180	160	161	172	178	19	11	32	20	21	176	184	169	165	188
19021	844	63	46	52	55	59	18	12	29	24	16	86	98	91	84	111
19022	1280	128	117	109	122	111	12	8	26	11	9	127	136	117	114	133
19023	1122	90	83	79	78	87	26	18	41	27	24	111	112	109	106	131
19024	747	66	61	54	56	67	18	13	34	24	17	68	64	67	60	78
19025	965	105	96	95	97	94	12	9	23	14	10	80	88	73	75	94
19026	1205	126	124	112	112	115	9	16	21	6	4	106	112	110	108	124
19029	953	69	56	56	58	63	18	20	26	15	13	110	116	106	107	120
19030	904	67	61	54	56	70	19	16	28	27	14	94	100	94	87	117
19032	1084	87	70	72	75	80	12	17	40	22	20	116	118	116	106	133
19033	1005	89	74	66	73	83	29	26	55	33	24	88	90	92	81	102
19034	1235	110	103	102	107	108	12	18	26	15	11	130	122	119	118	134
19035	1294	128	112	111	118	117	19	14	34	20	13	122	126	115	115	130
19041	829	64	57	50	52	69	19	15	45	28	21	78	82	80	73	96
19044	1113	73	64	55	56	71	29	25	52	34	28	122	122	124	115	143
19045	1073	86	64	62	68	68	22	21	55	30	16	113	114	110	106	138
19046	1166	109	98	76	87	94	23	18	66	27	23	104	107	102	102	130
19050	1023	104	83	83	89	89	18	22	41	29	21	89	92	85	79	99
