Precinct	total_votes	votes|Kevin Mcdevitt	votes|Barbara Mcgowan	votes|Mariyana T. Spyropoulos	votes|Josina Morita	votes|R. Cary Capparelli	votes|Joseph Daniel Cook
06047	536	97	158	82	69	25	105
06048	743	120	234	114	102	38	135
07001	641	108	195	88	78	31	141
07002	635	104	199	91	94	23	124
07003	686	113	215	109	100	23	126
07004	740	123	227	120	108	32	130
07005	481	78	148	63	75	20	97
07006	826	121	252	142	142	38	131
07007	562	107	177	66	77	29	106
07008	506	91	150	84	66	33	82
07009	987	144	300	170	172	39	162
07010	770	120	230	135	120	36	129
07011	789	127	227	120	112	37	166
07012	621	104	186	90	89	37	115
07013	412	72	120	55	65	18	82
07014	634	108	172	112	86	35	121
07015	714	112	221	126	119	23	113
07016	615	94	197	94	98	24	108
07017	604	103	173	98	110	22	98
07018	502	92	139	67	74	19	111
07019	659	118	179	100	99	28	135
07020	511	86	147	85	78	25	90
07021	505	75	160	78	82	26	84
07022	506	77	148	84	89	22	86
07023	726	107	219	112	108	33	147
07024	602	113	160	93	88	25	123
07025	629	105	168	110	99	34	113
07026	625	105	189	94	100	24	113
07027	598	91	173	114	78	26	116
07028	473	77	127	72	82	28	87
07029	599	93	172	107	96	33	98
07030	526	96	144	83	82	36	85
07031	400	82	97	64	49	26	82
07032	1029	161	299	172	179	29	189
07033	950	162	273	150	149	48	168
07034	823	128	242	111	128	39	175
07035	647	104	185	104	107	36	111
07036	931	139	277	159	153	34	169
07037	833	141	226	147	129	33	157
07038	582	113	170	88	58	32	121
07039	624	96	188	103	90	26	121
07040	629	115	186	91	82	25	130
07041	651	121	197	99	103	19	112
07042	659	107	186	104	93	35	134
07043	585	92	177	93	78	33	112
07044	643	109	186	90	86	39	133
07045	619	123	168	89	78	27	134
07046	311	69	89	36	36	14	67
08001	525	74	171	84	85	24	87
08002	735	132	227	119	87	31	139
08003	931	112	283	175	169	29	163
08004	901	99	275	176	173	35	143
08005	892	126	289	145	147	33	152
08006	885	135	267	153	150	31	149
08007	893	138	264	153	161	30	147
08008	786	93	237	160	153	27	116
08009	511	51	165	101	99	19	76
08010	972	128	302	164	185	27	166
08011	704	100	210	128	127	31	108
08012	703	108	206	131	117	27	114
08013	765	134	232	99	104	35	161
08014	603	101	190	95	83	29	105
08015	692	117	193	125	112	37	108
08016	286	52	83	41	44	13	53
08017	691	94	213	124	133	18	109
08018	681	111	203	133	103	37	94
08019	955	147	299	165	150	32	162
08020	816	120	267	141	140	25	123
08021	948	129	296	174	166	43	140
08022	636	95	187	113	93	23	125
08023	629	106	173	109	91	30	120
08024	471	65	143	83	88	16	76
08025	743	128	219	124	119	26	127
08026	731	107	220	113	119	33	139
08027	833	105	257	159	156	25	131
08028	768	123	228	133	127	27	130
08029	889	140	261	158	156	36	138
08030	835	125	249	134	128	37	162
08031	593	90	165	98	88	29	123
08032	551	86	156	77	98	24	110
08033	706	115	203	122	94	44	128
08034	706	115	205	122	91	32	141
08035	822	131	250	150	134	31	126
08036	804	117	246	146	144	26	125
08037	689	86	207	122	135	28	111
08038	482	89	148	71	73	15	86
08039	742	118	218	113	124	34	135
08040	582	91	173	105	105	19	89
08041	729	129	228	126	103	24	119
08042	926	147	283	153	145	34	164
08043	387	60	109	69	61	19	69
08044	499	81	154	92	74	18	80
08045	723	123	227	90	112	25	146
08046	567	78	177	86	97	26	103
08047	594	104	168	101	84	25	112
08048	717	120	211	112	101	35	138
08049	754	102	232	137	140	21	122
08050	758	98	246	132	144	23	115
08051	883	121	275	153	169	23	142
08052	1003	152	313	175	171	30	162
08053	420	64	126	70	71	23	66
08054	680	125	195	113	104	30	113
08055	549	75	178	106	92	13	85
08056	733	120	230	133	111	15	124
09001	751	121	230	117	106	38	139
09002	632	96	187	98	95	34	122
09003	474	87	149	67	62	18	91
09004	586	101	164	93	88	26	114
09005	621	113	184	89	100	18	117
09006	654	112	192	93	97	25	135
09007	490	73	152	67	77	23	98
09008	659	112	188	95	87	27	150
09009	751	122	227	107	106	31	158
09010	630	109	182	91	93	34	121
09011	499	83	158	70	86	16	86
09012	758	121	234	125	105	34	139
09013	803	127	252	134	117	30	143
09014	885	123	266	164	141	32	159
09015	567	112	166	78	80	24	107
09016	671	102	201	105	118	20	125
09017	526	75	154	85	90	30	92
09018	475	78	149	59	76	25	88
09019	673	119	193	105	98	28	130
09020	776	126	227	131	123	34	135
09021	549	86	166	90	92	23	92
09022	725	111	215	126	124	31	118
09023	808	120	233	145	131	33	146
09024	753	120	240	119	112	25	137
09025	705	115	214	100	95	31	150
09026	557	91	174	76	82	26	108
09027	649	117	197	101	85	32	117
09028	420	68	109	64	80	23	76
09029	517	98	165	63	73	21	97
09030	601	93	187	94	98	22	107
09031	481	88	132	82	68	22	89
09032	628	87	175	115	114	22	115
09033	486	94	139	73	75	21	84
09034	558	92	173	84	80	32	97
09035	737	103	220	134	133	32	115
09036	666	116	188	101	103	34	124
09037	780	100	200	182	150	51	97
09038	666	121	191	101	97	28	128
09039	796	129	243	118	125	31	150
09040	800	128	233	130	126	32	151
09041	582	95	184	96	88	18	101
09042	809	114	241	161	132	25	136
09043	573	99	175	93	82	23	101
09044	658	107	199	92	107	26	127
09045	532	87	168	72	74	28	103
09046	688	111	194	121	112	26	124
09047	795	112	246	147	136	34	120
09048	781	118	243	115	117	40	148
09049	798	119	243	137	146	27	126
09050	924	146	275	155	141	32	175
09051	765	126	214	115	132	27	151
10001	534	88	142	84	84	35	101
10002	440	66	81	89	82	62	60
10003	482	71	101	108	79	66	57
10004	476	68	112	77	101	31	87
10005	360	53	71	72	65	47	52
10006	457	59	98	88	118	40	54
10007	405	59	87	67	95	38	59
10008	400	75	96	60	58	31	80
10009	449	80	89	83	71	64	62
10010	581	68	110	103	121	89	90
10011	643	84	126	113	149	64	107
10012	403	52	82	77	96	49	47
10013	599	98	137	96	115	62	91
10014	696	84	125	118	171	92	106
10015	1311	219	377	198	202	64	251
10016	409	56	81	89	86	42	55
10017	650	90	139	143	128	68	82
10018	401	64	91	51	89	29	77
10019	507	73	92	104	103	72	63
10020	552	75	102	106	102	87	80
10021	566	61	114	98	142	54	97
10022	339	50	61	63	79	31	55
10023	543	78	117	94	128	52	74
10024	442	70	95	86	75	46	70
10025	196	35	49	30	29	17	36
10026	475	66	99	81	109	38	82
10027	555	88	140	83	91	40	113
10028	590	68	124	94	142	59	103
10029	534	83	118	90	114	46	83
10030	562	65	125	89	143	53	87
10031	484	61	100	83	116	47	77
10032	518	64	104	95	134	49	72
10033	390	51	85	58	102	27	67
10034	379	64	99	47	77	27	65
10035	551	76	117	104	118	73	63
10036	135	20	38	20	27	11	19
11001	623	81	158	146	116	43	79
11002	91	24	23	14	8	7	15
11003	541	60	109	137	134	43	58
11004	657	93	154	142	142	45	81
11005	826	93	190	172	170	70	131
11006	678	62	156	162	157	58	83
11007	1067	135	254	227	214	84	153
11008	658	89	135	139	148	50	97
11009	585	93	131	129	113	41	78
11010	550	75	123	128	118	46	60
11011	607	70	125	134	131	52	95
11012	865	129	231	206	141	66	92
11013	791	89	195	185	160	61	101
11014	280	47	58	59	45	35	36
11015	239	26	55	57	51	20	30
11016	428	42	116	89	85	48	48
11017	766	94	167	182	167	60	96
11018	587	62	142	149	104	60	70
11019	843	99	197	192	182	62	111
11020	490	68	104	120	102	49	47
11021	1006	111	256	275	205	58	101
11022	851	78	206	218	181	74	94
11023	432	53	105	112	84	39	39
11024	995	84	270	284	216	52	89
11025	745	75	163	177	164	72	94
11026	829	70	204	217	172	82	84
11027	216	23	48	46	44	19	36
11028	346	35	99	76	72	24	40
11029	749	77	167	187	149	64	105
11030	347	49	59	86	79	47	27
11031	564	85	115	139	86	49	90
11032	328	30	82	90	71	31	24
11033	581	74	118	142	132	42	73
11034	197	23	49	51	39	21	14
11035	151	22	40	40	21	12	16
11036	265	40	54	60	51	28	32
11037	191	33	50	35	36	12	25
11038	323	34	66	68	82	24	49
12001	647	75	133	145	139	51	104
12002	528	64	103	82	130	36	113
12003	781	92	140	178	179	67	125
12004	710	102	137	145	151	44	131
12005	566	83	104	126	106	48	99
12006	590	83	108	126	133	42	98
12007	548	78	106	92	140	31	101
12008	678	109	125	138	127	51	128
12009	546	81	101	121	115	37	91
12010	733	86	165	112	188	52	130
12011	674	89	127	121	141	54	142
12012	622	94	107	114	129	44	134
12013	672	90	126	127	147	51	131
12014	578	76	112	78	158	32	122
12015	477	55	100	79	120	39	84
